symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ABBV,2024-03-13 04:00:00+00:00,182.5,182.51,179.42,179.86,5987932.0,72189.0,180.430814
ABBV,2024-03-14 04:00:00+00:00,180.155,182.04,178.66,181.2,6999445.0,93814.0,180.947911
ABBV,2024-03-15 04:00:00+00:00,179.84,180.58,177.54,177.88,20957948.0,93252.0,178.22739
ABBV,2024-03-18 04:00:00+00:00,179.01,179.88,177.565,178.49,8569244.0,66349.0,178.51871
ABBV,2024-03-19 04:00:00+00:00,178.19,179.93,178.19,179.66,7625613.0,55677.0,179.480936
ABBV,2024-03-20 04:00:00+00:00,179.22,179.23,175.73,176.27,7326558.0,81544.0,176.568283
ABBV,2024-03-21 04:00:00+00:00,176.81,177.74,175.875,177.5,5743564.0,80688.0,177.243463
ABBV,2024-03-22 04:00:00+00:00,177.23,178.99,176.78,178.45,4084352.0,53825.0,178.279397
ABBV,2024-03-25 04:00:00+00:00,179.0,179.2,178.125,178.53,4366502.0,50272.0,178.541126
ABBV,2024-03-26 04:00:00+00:00,179.23,179.77,178.38,179.19,4392427.0,54211.0,179.177788
ABBV,2024-03-27 04:00:00+00:00,179.8,180.58,178.81,180.35,5073508.0,59587.0,179.83563
ABBV,2024-03-28 04:00:00+00:00,181.0,182.3,180.3,182.1,5418687.0,60400.0,181.795009
ABBV,2024-04-01 04:00:00+00:00,181.88,181.9,179.24,180.76,3502141.0,54741.0,180.313803
ABBV,2024-04-02 04:00:00+00:00,179.39,181.03,178.51,180.69,4523931.0,62713.0,180.319096
ABBV,2024-04-03 04:00:00+00:00,180.72,181.6,176.6,177.33,5892990.0,76804.0,177.84528
ABBV,2024-04-04 04:00:00+00:00,177.65,177.7,167.45,167.9,10538991.0,143287.0,170.637581
ABBV,2024-04-05 04:00:00+00:00,168.0,171.04,167.29,170.0,7030108.0,80986.0,169.759847
ABBV,2024-04-08 04:00:00+00:00,169.21,171.97,168.4,169.8,4744996.0,70806.0,170.232561
ABBV,2024-04-09 04:00:00+00:00,169.73,170.545,167.395,170.14,5933987.0,74737.0,168.826304
ABBV,2024-04-10 04:00:00+00:00,168.59,169.96,167.36,169.03,3231664.0,56503.0,169.070295
ABBV,2024-04-11 04:00:00+00:00,169.2,169.37,167.227,167.52,3307034.0,52762.0,167.810718
ABBV,2024-04-12 04:00:00+00:00,164.45,164.45,160.0,162.28,7029460.0,103896.0,162.247181
ABBV,2024-04-15 04:00:00+00:00,164.52,164.7,161.5,161.67,5433730.0,74678.0,162.266599
ABBV,2024-04-16 04:00:00+00:00,162.18,163.74,162.0772,162.54,4881516.0,61678.0,162.976761
ABBV,2024-04-17 04:00:00+00:00,164.15,164.74,163.23,164.25,4792382.0,61267.0,164.108812
ABBV,2024-04-18 04:00:00+00:00,164.96,167.44,164.43,164.66,4480224.0,70083.0,165.415403
ABBV,2024-04-19 04:00:00+00:00,165.02,166.6,163.25,166.41,5532492.0,70926.0,165.803756
ABBV,2024-04-22 04:00:00+00:00,167.68,169.59,166.92,167.89,5580685.0,68406.0,168.216564
ABBV,2024-04-23 04:00:00+00:00,168.59,170.365,168.22,169.54,4084105.0,67785.0,169.591388
ABBV,2024-04-24 04:00:00+00:00,168.52,169.11,166.74,167.8,4074765.0,57425.0,168.020028
ABBV,2024-04-25 04:00:00+00:00,167.66,169.29,165.57,167.29,5503656.0,83271.0,167.159174
ABBV,2024-04-26 04:00:00+00:00,167.09,167.46,157.65,159.62,10721740.0,153018.0,160.375107
ABBV,2024-04-29 04:00:00+00:00,159.59,161.55,158.56,161.52,6226196.0,91462.0,160.496437
ABBV,2024-04-30 04:00:00+00:00,161.27,163.05,159.69,162.64,5484841.0,76828.0,162.309104
ABBV,2024-05-01 04:00:00+00:00,162.09,163.6923,161.14,161.72,5178876.0,73121.0,162.314737
ABBV,2024-05-02 04:00:00+00:00,162.17,162.44,158.12,160.81,5904251.0,84884.0,159.999856
ABBV,2024-05-03 04:00:00+00:00,161.16,164.25,160.74,163.79,5850102.0,73360.0,163.221043
ABBV,2024-05-06 04:00:00+00:00,164.41,164.6346,161.0,162.73,5834562.0,78400.0,162.284831
ABBV,2024-05-07 04:00:00+00:00,163.36,163.99,161.89,162.55,5301668.0,75346.0,162.657417
ABBV,2024-05-08 04:00:00+00:00,162.14,162.9,159.87,160.45,5906701.0,73818.0,160.479699
ABBV,2024-05-09 04:00:00+00:00,160.805,161.32,160.02,160.4,3570072.0,56593.0,160.496433
