symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AIG,2024-03-13 04:00:00+00:00,75.84,76.1,75.345,75.49,3645081.0,40437.0,75.66898
AIG,2024-03-14 04:00:00+00:00,75.44,76.015,74.84,75.85,3869140.0,38556.0,75.604614
AIG,2024-03-15 04:00:00+00:00,75.33,76.36,75.24,76.27,7185011.0,47874.0,76.029737
AIG,2024-03-18 04:00:00+00:00,76.17,76.52,75.13,75.34,6434609.0,54092.0,75.689548
AIG,2024-03-19 04:00:00+00:00,75.91,76.27,75.42,75.49,5565080.0,46567.0,75.712981
AIG,2024-03-20 04:00:00+00:00,75.63,76.8,75.48,76.74,4133104.0,42892.0,76.3338
AIG,2024-03-21 04:00:00+00:00,76.67,77.48,76.57,77.41,3860787.0,47796.0,77.13407
AIG,2024-03-22 04:00:00+00:00,77.44,77.63,76.24,76.38,2914418.0,34014.0,76.596481
AIG,2024-03-25 04:00:00+00:00,76.49,77.12,76.36,76.59,3286845.0,36330.0,76.780376
AIG,2024-03-26 04:00:00+00:00,76.71,77.425,76.43,77.39,3861935.0,35063.0,77.166799
AIG,2024-03-27 04:00:00+00:00,77.71,78.39,77.33,78.34,3474150.0,42171.0,77.952977
AIG,2024-03-28 04:00:00+00:00,78.51,78.7,78.14,78.17,4293056.0,36730.0,78.335963
AIG,2024-04-01 04:00:00+00:00,78.0,78.295,77.3,77.64,2329257.0,32316.0,77.699261
AIG,2024-04-02 04:00:00+00:00,77.61,78.29,77.365,78.02,3335127.0,37500.0,77.959577
AIG,2024-04-03 04:00:00+00:00,78.18,78.95,77.56,77.8,3380764.0,39818.0,78.001824
AIG,2024-04-04 04:00:00+00:00,78.27,78.92,76.42,76.62,4013062.0,43593.0,77.436552
AIG,2024-04-05 04:00:00+00:00,76.93,77.86,76.69,77.71,2999980.0,37004.0,77.499866
AIG,2024-04-08 04:00:00+00:00,77.85,78.24,77.5,77.85,3027651.0,33283.0,77.94007
AIG,2024-04-09 04:00:00+00:00,78.09,78.11,75.19,75.52,4389959.0,46695.0,75.803953
AIG,2024-04-10 04:00:00+00:00,75.09,75.6793,74.33,75.32,4501467.0,52709.0,75.271274
AIG,2024-04-11 04:00:00+00:00,74.85,74.86,73.6,74.17,3833899.0,41581.0,74.29041
AIG,2024-04-12 04:00:00+00:00,74.0,74.649,73.1908,73.68,4176528.0,40182.0,73.711671
AIG,2024-04-15 04:00:00+00:00,74.56,74.84,72.97,73.05,3584504.0,46074.0,73.414772
AIG,2024-04-16 04:00:00+00:00,73.5,74.56,72.6,73.81,4653038.0,55785.0,73.664617
AIG,2024-04-17 04:00:00+00:00,72.64,73.55,71.51,72.58,6222979.0,62372.0,72.39822
AIG,2024-04-18 04:00:00+00:00,73.17,73.595,72.77,72.99,3162147.0,41974.0,73.069533
AIG,2024-04-19 04:00:00+00:00,73.43,74.61,72.91,74.23,3510538.0,40820.0,74.116
AIG,2024-04-22 04:00:00+00:00,74.66,75.38,74.13,74.96,2769854.0,33504.0,74.883928
