symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BAC,2024-03-13 04:00:00+00:00,35.96,36.445,35.96,36.08,38289551.0,165121.0,36.193047
BAC,2024-03-14 04:00:00+00:00,35.92,36.22,35.48,35.69,40178054.0,183462.0,35.693363
BAC,2024-03-15 04:00:00+00:00,35.28,36.01,35.24,35.41,69646394.0,180233.0,35.572992
BAC,2024-03-18 04:00:00+00:00,35.66,36.085,35.39,36.01,50617856.0,142844.0,35.903948
BAC,2024-03-19 04:00:00+00:00,35.89,36.39,35.8533,36.03,46113767.0,139969.0,36.102645
BAC,2024-03-20 04:00:00+00:00,35.84,36.88,35.73,36.75,40518959.0,166344.0,36.362246
BAC,2024-03-21 04:00:00+00:00,36.93,37.6,36.88,37.51,43219490.0,209742.0,37.413522
BAC,2024-03-22 04:00:00+00:00,37.41,37.61,37.0,37.05,29001054.0,135063.0,37.13359
BAC,2024-03-25 04:00:00+00:00,37.1,37.275,36.84,36.86,30480245.0,130405.0,36.956515
BAC,2024-03-26 04:00:00+00:00,37.0,37.235,36.8,37.09,33673447.0,138111.0,37.038336
BAC,2024-03-27 04:00:00+00:00,37.25,37.845,37.24,37.81,36350234.0,157155.0,37.592285
BAC,2024-03-28 04:00:00+00:00,37.72,38.0,37.415,37.92,42262527.0,163376.0,37.800315
BAC,2024-04-01 04:00:00+00:00,37.94,38.35,37.44,37.52,33908007.0,149291.0,37.602216
BAC,2024-04-02 04:00:00+00:00,37.19,37.575,37.1625,37.3,34806824.0,152978.0,37.341783
BAC,2024-04-03 04:00:00+00:00,37.4,38.015,37.27,37.44,33338470.0,159124.0,37.545977
BAC,2024-04-04 04:00:00+00:00,37.7,37.96,36.87,36.92,42888184.0,161282.0,37.37043
BAC,2024-04-05 04:00:00+00:00,36.81,37.34,36.73,37.11,30823542.0,137438.0,37.092289
BAC,2024-04-08 04:00:00+00:00,37.2,37.58,37.13,37.5,29470287.0,134956.0,37.462018
BAC,2024-04-09 04:00:00+00:00,37.51,37.77,37.2,37.73,30977654.0,141254.0,37.53093
BAC,2024-04-10 04:00:00+00:00,37.18,37.23,36.55,36.65,37610659.0,197644.0,36.789105
BAC,2024-04-11 04:00:00+00:00,36.75,36.75,36.05,36.35,38604029.0,179110.0,36.358466
BAC,2024-04-12 04:00:00+00:00,35.81,36.09,35.53,35.79,47139923.0,218077.0,35.766884
BAC,2024-04-15 04:00:00+00:00,36.33,36.76,35.755,35.95,44391988.0,208214.0,36.100498
BAC,2024-04-16 04:00:00+00:00,36.095,36.17,34.15,34.68,95566094.0,466516.0,34.710012
BAC,2024-04-17 04:00:00+00:00,34.89,35.75,34.75,35.23,65951375.0,269692.0,35.346328
BAC,2024-04-18 04:00:00+00:00,35.54,35.99,35.18,35.77,44506200.0,196200.0,35.765283
BAC,2024-04-19 04:00:00+00:00,36.1,37.12,36.06,36.97,56273683.0,249100.0,36.850851
BAC,2024-04-22 04:00:00+00:00,37.0,37.91,36.87,37.73,43867084.0,192296.0,37.558402
BAC,2024-04-23 04:00:00+00:00,37.94,38.42,37.83,38.37,39180332.0,179179.0,38.260369
BAC,2024-04-24 04:00:00+00:00,38.02,38.495,38.0,38.32,28670551.0,151204.0,38.32467
BAC,2024-04-25 04:00:00+00:00,37.93,38.27,37.375,37.91,41115959.0,179677.0,37.787885
BAC,2024-04-26 04:00:00+00:00,37.93,38.31,37.78,37.83,28668680.0,134463.0,37.976762
BAC,2024-04-29 04:00:00+00:00,37.84,38.06,37.45,37.55,26563913.0,129180.0,37.704458
BAC,2024-04-30 04:00:00+00:00,37.345,37.67,36.981,37.01,30283845.0,128784.0,37.239599
BAC,2024-05-01 04:00:00+00:00,37.21,37.505,36.77,36.95,32277502.0,161207.0,37.092912
BAC,2024-05-02 04:00:00+00:00,37.37,37.49,36.65,36.88,34860256.0,150956.0,36.895199
BAC,2024-05-03 04:00:00+00:00,37.25,37.53,37.08,37.25,34082662.0,162701.0,37.256197
BAC,2024-05-06 04:00:00+00:00,37.66,37.79,37.36,37.69,28422334.0,122369.0,37.622996
BAC,2024-05-07 04:00:00+00:00,37.695,38.145,37.695,37.84,29119475.0,129225.0,37.937141
BAC,2024-05-08 04:00:00+00:00,37.7,37.82,37.515,37.71,32803303.0,135136.0,37.671746
BAC,2024-05-09 04:00:00+00:00,37.53,38.42,37.46,38.28,26855355.0,125587.0,38.10781
BAC,2024-05-10 04:00:00+00:00,38.48,38.78,38.325,38.45,27359138.0,147031.0,38.526588
BAC,2024-05-13 04:00:00+00:00,38.62,38.78,38.18,38.21,24060648.0,105906.0,38.39274
BAC,2024-05-14 04:00:00+00:00,38.4,38.79,38.37,38.49,27594832.0,112941.0,38.584793
BAC,2024-05-15 04:00:00+00:00,38.8,39.24,38.775,38.91,34389138.0,132106.0,38.935244
BAC,2024-05-16 04:00:00+00:00,38.92,39.36,38.7082,39.22,32554172.0,134609.0,39.154078
BAC,2024-05-17 04:00:00+00:00,39.45,39.49,39.16,39.29,25537347.0,114998.0,39.27041
BAC,2024-05-20 04:00:00+00:00,39.26,39.47,38.79,38.82,28369830.0,129597.0,39.141243
BAC,2024-05-21 04:00:00+00:00,38.77,39.75,38.77,39.65,31799161.0,123259.0,39.392514
BAC,2024-05-22 04:00:00+00:00,39.41,39.81,39.335,39.76,42837576.0,153303.0,39.641617
BAC,2024-05-23 04:00:00+00:00,39.77,39.84,38.94,39.17,39033934.0,169824.0,39.332063
BAC,2024-05-24 04:00:00+00:00,39.16,39.78,39.07,39.7,22166306.0,106005.0,39.611759
BAC,2024-05-28 04:00:00+00:00,39.65,39.74,39.11,39.32,31217890.0,141702.0,39.398319
BAC,2024-05-29 04:00:00+00:00,38.84,38.9,38.5599,38.72,26677534.0,125473.0,38.708804
BAC,2024-05-30 04:00:00+00:00,38.73,39.12,37.59,38.63,51008626.0,261927.0,38.469641
BAC,2024-05-31 04:00:00+00:00,38.7,40.08,38.66,39.99,58188352.0,206506.0,39.586511
BAC,2024-06-03 04:00:00+00:00,40.04,40.19,39.36,39.88,31898567.0,159593.0,39.757535
BAC,2024-06-04 04:00:00+00:00,39.62,40.135,39.42,39.68,26974159.0,123879.0,39.685294
