symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BA,2024-03-13 04:00:00+00:00,183.16,185.97,182.08,182.35,10196147.0,138080.0,183.628708
BA,2024-03-14 04:00:00+00:00,182.0,184.9399,180.52,181.15,10016189.0,132285.0,182.194068
BA,2024-03-15 04:00:00+00:00,180.99,184.18,180.91,182.53,10800678.0,106516.0,182.646471
BA,2024-03-18 04:00:00+00:00,180.26,181.19,177.5194,179.84,9497831.0,133140.0,179.621383
BA,2024-03-19 04:00:00+00:00,180.11,181.86,179.735,181.14,7648033.0,92239.0,180.723682
BA,2024-03-20 04:00:00+00:00,178.99,188.297,178.6,187.78,12770004.0,156830.0,185.167714
BA,2024-03-21 04:00:00+00:00,189.79,190.3843,187.55,187.7,7436385.0,101416.0,188.542504
BA,2024-03-22 04:00:00+00:00,188.75,192.94,188.19,188.85,7826970.0,98310.0,190.162886
BA,2024-03-25 04:00:00+00:00,196.01,196.18,189.5001,191.41,12952957.0,162762.0,191.408204
BA,2024-03-26 04:00:00+00:00,192.02,192.03,186.81,187.5,8972192.0,117412.0,188.442143
BA,2024-03-27 04:00:00+00:00,188.84,191.99,188.33,191.95,7372795.0,92117.0,190.825112
BA,2024-03-28 04:00:00+00:00,192.0,193.38,191.2,192.99,4471666.0,66794.0,192.462262
BA,2024-04-01 04:00:00+00:00,192.24,192.8673,189.03,189.5,5107773.0,72350.0,190.066187
BA,2024-04-02 04:00:00+00:00,189.0,189.23,187.13,188.04,4477218.0,67292.0,188.043667
BA,2024-04-03 04:00:00+00:00,187.68,188.78,184.27,184.92,6609307.0,94085.0,186.425839
BA,2024-04-04 04:00:00+00:00,185.93,188.0,182.81,183.29,6513806.0,87258.0,185.370642
BA,2024-04-05 04:00:00+00:00,184.16,184.66,182.44,183.14,4130401.0,63495.0,183.591695
BA,2024-04-08 04:00:00+00:00,182.14,184.55,181.49,181.56,6176429.0,73794.0,182.463009
BA,2024-04-09 04:00:00+00:00,181.51,183.05,176.57,178.12,11439940.0,151557.0,178.903488
BA,2024-04-10 04:00:00+00:00,176.31,178.1,172.44,174.63,9727732.0,143772.0,174.555716
BA,2024-04-11 04:00:00+00:00,174.47,174.7,171.38,173.36,7625110.0,102457.0,172.869718
BA,2024-04-12 04:00:00+00:00,172.2,173.24,169.37,169.55,7560421.0,112194.0,170.692975
BA,2024-04-15 04:00:00+00:00,170.74,171.18,167.53,167.82,6490657.0,96861.0,168.87638
BA,2024-04-16 04:00:00+00:00,168.14,170.64,167.75,170.55,7986725.0,99195.0,169.436661
BA,2024-04-17 04:00:00+00:00,170.0,170.85,168.1215,170.21,8162632.0,105539.0,169.518858
BA,2024-04-18 04:00:00+00:00,169.48,172.04,169.095,170.23,5123020.0,75044.0,170.616797
BA,2024-04-19 04:00:00+00:00,170.0,172.0,169.65,169.82,4693869.0,67640.0,170.548307
BA,2024-04-22 04:00:00+00:00,169.82,172.15,168.16,170.48,4724887.0,68759.0,170.283661
BA,2024-04-23 04:00:00+00:00,170.95,171.18,168.43,169.18,7632123.0,103691.0,169.261324
BA,2024-04-24 04:00:00+00:00,176.5,177.64,162.74,164.33,20889273.0,258008.0,168.153799
BA,2024-04-25 04:00:00+00:00,163.59,168.13,159.7,166.81,12504691.0,160173.0,163.387966
BA,2024-04-26 04:00:00+00:00,165.98,168.65,164.93,167.22,7208103.0,81749.0,167.006306
BA,2024-04-29 04:00:00+00:00,167.9,173.81,167.55,173.49,7805459.0,107155.0,172.08177
BA,2024-04-30 04:00:00+00:00,171.49,174.07,167.76,167.84,8248754.0,105152.0,170.441186
BA,2024-05-01 04:00:00+00:00,167.5,173.86,167.5,171.46,6206091.0,87502.0,170.938545
BA,2024-05-02 04:00:00+00:00,173.0,178.9,172.2501,178.85,10223730.0,120182.0,176.824609
BA,2024-05-03 04:00:00+00:00,179.59,180.49,177.9,179.79,5416263.0,83205.0,179.259356
BA,2024-05-06 04:00:00+00:00,180.88,183.98,174.71,178.35,11913389.0,150100.0,179.101169
BA,2024-05-07 04:00:00+00:00,177.22,178.35,176.13,176.71,5097451.0,81004.0,176.987622
BA,2024-05-08 04:00:00+00:00,175.95,181.66,175.95,180.35,4956761.0,67877.0,179.05961
BA,2024-05-09 04:00:00+00:00,179.55,181.75,179.31,181.25,5107368.0,68625.0,181.037217
BA,2024-05-10 04:00:00+00:00,181.25,181.88,177.92,178.51,3715473.0,58559.0,179.336713
BA,2024-05-13 04:00:00+00:00,179.04,180.75,178.07,178.44,3105206.0,51784.0,179.266929
BA,2024-05-14 04:00:00+00:00,180.23,183.66,179.63,180.76,4686537.0,63757.0,181.293853
BA,2024-05-15 04:00:00+00:00,180.14,180.67,176.17,176.99,5858857.0,89617.0,177.526268
BA,2024-05-16 04:00:00+00:00,177.6,183.76,177.25,182.96,6993218.0,96342.0,182.216351
BA,2024-05-17 04:00:00+00:00,183.25,185.3799,181.22,184.95,5562368.0,73287.0,183.669659
BA,2024-05-20 04:00:00+00:00,184.65,188.63,184.01,186.61,6228560.0,88794.0,187.130798
BA,2024-05-21 04:00:00+00:00,185.3,186.39,183.11,184.78,4349117.0,68948.0,184.808727
BA,2024-05-22 04:00:00+00:00,184.6,186.8183,183.41,186.28,3785412.0,56381.0,185.504476
BA,2024-05-23 04:00:00+00:00,185.79,186.0,171.61,172.21,17117754.0,207256.0,175.708309
BA,2024-05-24 04:00:00+00:00,173.2,174.8595,169.57,174.52,9489380.0,109770.0,172.583574
BA,2024-05-28 04:00:00+00:00,174.73,178.4914,173.38,175.08,5274390.0,71682.0,175.261743
BA,2024-05-29 04:00:00+00:00,173.61,175.8299,171.61,171.65,3666368.0,59631.0,173.339564
BA,2024-05-30 04:00:00+00:00,172.64,174.68,171.5501,172.75,3927919.0,58126.0,173.114063
BA,2024-05-31 04:00:00+00:00,173.12,177.9,172.21,177.61,5774549.0,70575.0,175.662857
BA,2024-06-03 04:00:00+00:00,178.09,186.01,178.0197,184.57,8951574.0,115959.0,182.750812
BA,2024-06-04 04:00:00+00:00,185.05,188.84,183.25,188.62,7176817.0,99850.0,186.62549
BA,2024-06-05 04:00:00+00:00,187.9,190.34,186.5268,189.85,5943952.0,85202.0,188.905932
BA,2024-06-06 04:00:00+00:00,188.83,192.1,187.35,191.42,5942160.0,77577.0,190.259236
BA,2024-06-07 04:00:00+00:00,190.46,191.98,189.66,190.24,3374548.0,59599.0,190.58965
BA,2024-06-10 04:00:00+00:00,190.0,192.63,189.6,190.12,4388254.0,63572.0,190.568613
BA,2024-06-11 04:00:00+00:00,189.32,189.32,182.75,185.5,5010058.0,77065.0,185.26085
BA,2024-06-12 04:00:00+00:00,186.5,187.16,181.71,182.67,5245156.0,80797.0,183.387619
BA,2024-06-13 04:00:00+00:00,181.74,183.87,178.99,180.7,4201004.0,61954.0,181.003617
BA,2024-06-14 04:00:00+00:00,178.9,180.2899,175.22,177.27,5105974.0,73461.0,177.431024
BA,2024-06-17 04:00:00+00:00,176.75,180.45,176.32,178.39,4789953.0,67823.0,178.33233
BA,2024-06-18 04:00:00+00:00,177.61,178.0,173.82,174.99,6179870.0,93589.0,174.979628
BA,2024-06-20 04:00:00+00:00,173.02,176.6489,172.045,176.3,5479280.0,83622.0,174.683043
BA,2024-06-21 04:00:00+00:00,176.83,178.41,175.66,176.56,8635096.0,69407.0,176.660751
BA,2024-06-24 04:00:00+00:00,176.15,180.6,175.5901,179.1,7388289.0,83585.0,178.97243
BA,2024-06-25 04:00:00+00:00,176.29,178.76,173.29,175.1,7695061.0,100440.0,175.120429
BA,2024-06-26 04:00:00+00:00,174.96,178.82,173.76,178.5,6553895.0,84312.0,177.471859
BA,2024-06-27 04:00:00+00:00,178.91,183.68,178.01,182.51,8198963.0,100817.0,182.067315
BA,2024-06-28 04:00:00+00:00,182.6,184.435,180.65,182.01,5891538.0,65698.0,182.318895
BA,2024-07-01 04:00:00+00:00,182.2,189.47,182.2,186.7,9056710.0,118209.0,186.730125
BA,2024-07-02 04:00:00+00:00,186.34,189.225,184.52,185.42,4110453.0,75209.0,186.346534
BA,2024-07-03 04:00:00+00:00,185.05,185.42,182.85,184.31,2764797.0,45268.0,184.197333
BA,2024-07-05 04:00:00+00:00,184.0,185.38,182.23,184.83,3290380.0,56370.0,184.346296
BA,2024-07-08 04:00:00+00:00,186.94,191.5,182.28,185.84,9878141.0,124870.0,187.123265
BA,2024-07-09 04:00:00+00:00,185.11,186.245,183.15,183.24,3955122.0,62936.0,184.737844
BA,2024-07-10 04:00:00+00:00,183.6,184.9,182.8,183.73,3583175.0,51566.0,183.861481
