symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BKNG,2024-03-13 04:00:00+00:00,3500.0,3519.72,3482.23,3500.0,232567.0,18737.0,3501.080805
BKNG,2024-03-14 04:00:00+00:00,3550.0,3550.0,3500.28,3511.56,347984.0,21296.0,3517.330988
BKNG,2024-03-15 04:00:00+00:00,3498.29,3501.0,3409.01,3413.98,771176.0,25936.0,3429.846792
BKNG,2024-03-18 04:00:00+00:00,3466.52,3470.0,3426.31,3450.93,230996.0,17084.0,3452.118467
BKNG,2024-03-19 04:00:00+00:00,3454.11,3510.19,3445.02,3505.98,187748.0,15508.0,3493.171544
BKNG,2024-03-20 04:00:00+00:00,3510.08,3623.0,3500.01,3578.49,430452.0,25325.0,3575.671523
BKNG,2024-03-21 04:00:00+00:00,3615.29,3660.19,3586.66,3647.81,304480.0,20428.0,3640.340141
BKNG,2024-03-22 04:00:00+00:00,3624.97,3646.1199,3604.46,3624.73,205423.0,16150.0,3625.255672
BKNG,2024-03-25 04:00:00+00:00,3608.44,3629.83,3569.5,3626.94,166649.0,15681.0,3609.190575
BKNG,2024-03-26 04:00:00+00:00,3649.0,3688.91,3640.6042,3661.08,274874.0,18879.0,3660.555752
BKNG,2024-03-27 04:00:00+00:00,3677.94,3711.43,3656.14,3673.5,209236.0,18082.0,3680.900239
BKNG,2024-03-28 04:00:00+00:00,3690.0,3694.64,3618.4,3627.88,274096.0,16753.0,3639.0018
BKNG,2024-04-01 04:00:00+00:00,3651.03,3654.85,3548.0,3568.87,227670.0,18357.0,3575.169813
BKNG,2024-04-02 04:00:00+00:00,3518.6,3585.07,3518.6,3566.09,257167.0,16836.0,3559.666987
BKNG,2024-04-03 04:00:00+00:00,3599.0,3646.11,3595.42,3632.38,255038.0,17957.0,3630.149603
BKNG,2024-04-04 04:00:00+00:00,3658.0,3671.48,3518.3,3521.93,322745.0,23769.0,3563.767734
BKNG,2024-04-05 04:00:00+00:00,3530.0,3610.48,3530.0,3601.9,258504.0,19644.0,3586.214835
BKNG,2024-04-08 04:00:00+00:00,3589.88,3634.25,3589.15,3601.17,165659.0,12958.0,3603.49398
BKNG,2024-04-09 04:00:00+00:00,3610.0,3614.22,3530.84,3581.48,158055.0,13274.0,3570.711936
BKNG,2024-04-10 04:00:00+00:00,3572.57,3617.34,3546.93,3586.13,180985.0,17435.0,3584.582172
BKNG,2024-04-11 04:00:00+00:00,3576.92,3656.81,3568.05,3637.87,174495.0,15908.0,3623.187462
BKNG,2024-04-12 04:00:00+00:00,3579.37,3598.575,3501.5,3531.8,240832.0,19725.0,3534.210792
BKNG,2024-04-15 04:00:00+00:00,3583.07,3625.225,3480.98,3485.63,207636.0,20931.0,3513.526864
BKNG,2024-04-16 04:00:00+00:00,3470.53,3497.47,3450.785,3467.77,223317.0,18065.0,3471.959656
BKNG,2024-04-17 04:00:00+00:00,3472.98,3493.4079,3430.57,3443.91,170865.0,15872.0,3451.023761
BKNG,2024-04-18 04:00:00+00:00,3470.0,3485.16,3424.14,3430.14,156720.0,14685.0,3444.773834
BKNG,2024-04-19 04:00:00+00:00,3460.51,3478.185,3405.1565,3414.82,218821.0,16584.0,3432.666525
BKNG,2024-04-22 04:00:00+00:00,3441.12,3492.52,3424.515,3463.0,202419.0,13100.0,3460.07405
BKNG,2024-04-23 04:00:00+00:00,3468.22,3546.9,3468.22,3533.99,152220.0,15661.0,3524.869966
BKNG,2024-04-24 04:00:00+00:00,3505.25,3571.11,3505.25,3517.52,155900.0,14254.0,3518.91486
BKNG,2024-04-25 04:00:00+00:00,3522.72,3525.0,3466.27,3502.48,142949.0,14653.0,3503.795892
BKNG,2024-04-26 04:00:00+00:00,3484.23,3541.87,3484.23,3521.08,146026.0,14337.0,3520.394539
BKNG,2024-04-29 04:00:00+00:00,3521.08,3532.07,3487.24,3514.8,146490.0,12713.0,3508.531844
BKNG,2024-04-30 04:00:00+00:00,3512.79,3516.1375,3444.23,3452.03,232261.0,17535.0,3474.370436
BKNG,2024-05-01 04:00:00+00:00,3437.25,3485.11,3405.23,3415.64,226212.0,17324.0,3427.324191
BKNG,2024-05-02 04:00:00+00:00,3440.0,3487.9099,3393.95,3472.91,454174.0,33443.0,3439.92568
BKNG,2024-05-03 04:00:00+00:00,3700.0,3748.21,3566.91,3577.38,534715.0,38841.0,3632.35208
BKNG,2024-05-06 04:00:00+00:00,3618.72,3618.72,3520.93,3598.41,349992.0,26983.0,3566.825325
BKNG,2024-05-07 04:00:00+00:00,3580.75,3623.06,3550.01,3605.41,266371.0,21599.0,3596.790807
BKNG,2024-05-08 04:00:00+00:00,3603.8,3663.6,3573.0001,3660.0,273358.0,23050.0,3641.009161
BKNG,2024-05-09 04:00:00+00:00,3640.0,3800.92,3640.0,3780.03,437135.0,32852.0,3762.882716
BKNG,2024-05-10 04:00:00+00:00,3783.45,3811.57,3775.42,3805.75,282987.0,21095.0,3799.677342
BKNG,2024-05-13 04:00:00+00:00,3800.75,3807.8,3717.48,3745.0,238428.0,24233.0,3748.929831
BKNG,2024-05-14 04:00:00+00:00,3729.57,3778.67,3729.0,3772.85,210776.0,16272.0,3760.268389
BKNG,2024-05-15 04:00:00+00:00,3783.27,3796.8722,3749.1987,3792.53,192495.0,27675.0,3784.515494
BKNG,2024-05-16 04:00:00+00:00,3792.53,3797.02,3735.01,3735.01,198351.0,18628.0,3754.035506
BKNG,2024-05-17 04:00:00+00:00,3758.24,3758.24,3690.51,3708.35,198416.0,17333.0,3714.599819
BKNG,2024-05-20 04:00:00+00:00,3703.98,3773.34,3694.26,3768.62,219936.0,16751.0,3749.179058
BKNG,2024-05-21 04:00:00+00:00,3772.21,3827.82,3749.11,3822.34,224153.0,19518.0,3808.682381
BKNG,2024-05-22 04:00:00+00:00,3830.0,3853.0,3798.215,3825.1,203372.0,18751.0,3825.33191
BKNG,2024-05-23 04:00:00+00:00,3850.0,3850.0,3731.785,3752.68,218731.0,19088.0,3771.452131
BKNG,2024-05-24 04:00:00+00:00,3760.0,3807.06,3754.92,3795.35,151814.0,14585.0,3789.365351
BKNG,2024-05-28 04:00:00+00:00,3796.55,3815.0,3764.7,3790.12,170668.0,16291.0,3789.134359
BKNG,2024-05-29 04:00:00+00:00,3751.0,3776.06,3726.72,3734.29,255611.0,16415.0,3743.201469
BKNG,2024-05-30 04:00:00+00:00,3745.59,3766.95,3704.57,3754.62,210167.0,15872.0,3748.101629
BKNG,2024-05-31 04:00:00+00:00,3747.0,3783.52,3711.85,3776.35,353098.0,18283.0,3768.400942
BKNG,2024-06-03 04:00:00+00:00,3776.35,3784.43,3713.89,3763.64,229912.0,20013.0,3757.709895
BKNG,2024-06-04 04:00:00+00:00,3772.5,3823.76,3768.91,3801.36,162694.0,15857.0,3796.496119
BKNG,2024-06-05 04:00:00+00:00,3809.06,3838.0,3753.915,3831.04,142583.0,16969.0,3821.311718
BKNG,2024-06-06 04:00:00+00:00,3831.04,3854.89,3800.0,3810.06,146448.0,15881.0,3818.228576
BKNG,2024-06-07 04:00:00+00:00,3787.28,3820.24,3770.0,3813.09,161377.0,15726.0,3802.539469
BKNG,2024-06-10 04:00:00+00:00,3805.55,3805.55,3746.68,3788.72,226783.0,16941.0,3783.473655
BKNG,2024-06-11 04:00:00+00:00,3772.98,3819.8899,3762.72,3788.7,219282.0,15577.0,3788.646699
BKNG,2024-06-12 04:00:00+00:00,3807.0,3911.69,3807.0,3876.41,256520.0,20708.0,3876.008301
BKNG,2024-06-13 04:00:00+00:00,3850.0,3866.17,3820.465,3856.14,153760.0,13640.0,3852.750247
BKNG,2024-06-14 04:00:00+00:00,3837.01,3863.11,3814.095,3859.1,143721.0,13492.0,3848.218382
BKNG,2024-06-17 04:00:00+00:00,3878.75,3957.98,3854.51,3953.07,180148.0,18571.0,3925.602016
BKNG,2024-06-18 04:00:00+00:00,3957.71,3989.12,3937.44,3973.18,179880.0,18526.0,3971.890859
