symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BMY,2024-03-13 04:00:00+00:00,54.33,55.035,52.595,52.65,26855196.0,145006.0,53.592846
BMY,2024-03-14 04:00:00+00:00,52.57,52.68,51.805,52.49,14430168.0,119920.0,52.275296
BMY,2024-03-15 04:00:00+00:00,52.32,53.195,51.95,52.34,123585283.0,156424.0,52.382459
BMY,2024-03-18 04:00:00+00:00,52.58,52.7,51.53,51.59,19738671.0,94282.0,51.757013
BMY,2024-03-19 04:00:00+00:00,51.76,51.93,51.39,51.8,14593246.0,79866.0,51.7951
BMY,2024-03-20 04:00:00+00:00,51.63,52.155,51.27,51.88,10436323.0,73224.0,51.854344
BMY,2024-03-21 04:00:00+00:00,51.91,52.65,51.56,51.59,12625067.0,79321.0,51.75328
BMY,2024-03-22 04:00:00+00:00,51.65,52.4478,51.5208,51.93,11727720.0,84547.0,52.044599
BMY,2024-03-25 04:00:00+00:00,52.08,52.74,51.91,52.25,12348068.0,81846.0,52.247678
BMY,2024-03-26 04:00:00+00:00,52.39,52.65,52.035,52.55,9951952.0,77891.0,52.463486
BMY,2024-03-27 04:00:00+00:00,53.0,53.69,52.85,53.25,13077608.0,91309.0,53.139248
BMY,2024-03-28 04:00:00+00:00,53.39,54.475,53.39,54.23,14348196.0,99612.0,54.151654
BMY,2024-04-01 04:00:00+00:00,54.17,54.23,52.96,52.99,9520366.0,89781.0,53.240756
BMY,2024-04-02 04:00:00+00:00,53.1,53.35,52.53,52.74,10234303.0,89462.0,52.798508
BMY,2024-04-03 04:00:00+00:00,52.75,52.87,52.1,52.18,10434586.0,84223.0,52.328084
BMY,2024-04-04 04:00:00+00:00,51.94,52.085,51.2,51.4,10993708.0,80317.0,51.560919
BMY,2024-04-05 04:00:00+00:00,51.19,51.45,50.77,51.32,9095546.0,77354.0,51.235887
BMY,2024-04-08 04:00:00+00:00,51.28,51.3,50.855,51.1,12258519.0,71332.0,51.109463
BMY,2024-04-09 04:00:00+00:00,51.13,51.68,51.07,51.6,9487714.0,69462.0,51.482693
BMY,2024-04-10 04:00:00+00:00,51.04,51.285,50.275,50.29,11492824.0,101900.0,50.574391
BMY,2024-04-11 04:00:00+00:00,50.46,50.575,49.11,49.12,11781039.0,93689.0,49.46351
BMY,2024-04-12 04:00:00+00:00,49.04,49.09,48.26,48.28,12457533.0,104150.0,48.60654
BMY,2024-04-15 04:00:00+00:00,48.36,49.1,48.12,48.51,11943603.0,102418.0,48.655974
BMY,2024-04-16 04:00:00+00:00,48.45,48.6,48.24,48.26,11931277.0,97579.0,48.39389
