symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CL,2024-03-13 04:00:00+00:00,88.92,89.36,88.53,89.2,3193142.0,39426.0,89.11222
CL,2024-03-14 04:00:00+00:00,88.86,89.05,88.09,88.35,4895507.0,48987.0,88.416941
CL,2024-03-15 04:00:00+00:00,87.46,88.78,87.46,88.45,6630997.0,50442.0,88.288346
CL,2024-03-18 04:00:00+00:00,88.25,88.98,88.09,88.27,3430794.0,41070.0,88.460071
CL,2024-03-19 04:00:00+00:00,88.5,88.78,88.1,88.77,3265145.0,38976.0,88.584698
CL,2024-03-20 04:00:00+00:00,88.38,88.82,88.24,88.35,3366718.0,37814.0,88.458641
CL,2024-03-21 04:00:00+00:00,88.35,89.11,87.92,88.77,3416197.0,42629.0,88.723258
CL,2024-03-22 04:00:00+00:00,88.98,89.31,88.83,89.2,3563013.0,36040.0,89.113584
CL,2024-03-25 04:00:00+00:00,89.24,89.418,88.32,88.64,3178539.0,37262.0,88.675464
CL,2024-03-26 04:00:00+00:00,88.73,89.17,88.59,88.9,3287687.0,38414.0,88.912135
CL,2024-03-27 04:00:00+00:00,89.6,90.27,89.325,89.95,4078632.0,49246.0,89.726015
CL,2024-03-28 04:00:00+00:00,90.2,90.37,89.9,90.05,3459748.0,39228.0,90.052566
CL,2024-04-01 04:00:00+00:00,89.82,89.82,88.765,89.06,3070230.0,34298.0,89.085581
CL,2024-04-02 04:00:00+00:00,88.77,89.25,88.665,89.06,3307312.0,37342.0,89.024179
CL,2024-04-03 04:00:00+00:00,89.0,89.105,87.8,88.1,4429207.0,47512.0,88.178283
CL,2024-04-04 04:00:00+00:00,88.52,88.63,87.28,87.4,3155393.0,40397.0,87.656631
CL,2024-04-05 04:00:00+00:00,87.73,88.12,87.15,87.88,3479583.0,38161.0,87.731164
CL,2024-04-08 04:00:00+00:00,87.67,88.0,87.515,87.72,3086913.0,33784.0,87.720772
CL,2024-04-09 04:00:00+00:00,88.27,88.325,87.21,87.65,3176301.0,36318.0,87.634959
CL,2024-04-10 04:00:00+00:00,87.33,87.58,86.37,86.56,4750320.0,58315.0,86.846238
