symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CMCSA,2024-03-13 04:00:00+00:00,43.41,43.68,43.2,43.28,14472182.0,94945.0,43.371653
CMCSA,2024-03-14 04:00:00+00:00,43.1,43.15,42.01,42.82,25065930.0,129401.0,42.549271
CMCSA,2024-03-15 04:00:00+00:00,42.84,43.31,42.69,42.77,45303655.0,105216.0,42.77948
CMCSA,2024-03-18 04:00:00+00:00,43.05,43.49,42.94,43.12,21627847.0,96002.0,43.191535
CMCSA,2024-03-19 04:00:00+00:00,42.94,43.25,42.63,42.99,23083725.0,106778.0,42.860309
CMCSA,2024-03-20 04:00:00+00:00,42.9,43.22,42.69,43.1,27557859.0,119057.0,42.931932
CMCSA,2024-03-21 04:00:00+00:00,43.0,43.01,42.45,42.89,18752160.0,110940.0,42.758471
CMCSA,2024-03-22 04:00:00+00:00,43.09,43.125,42.465,42.74,15037893.0,76163.0,42.718817
CMCSA,2024-03-25 04:00:00+00:00,42.87,42.88,42.3,42.64,17851439.0,83771.0,42.581042
CMCSA,2024-03-26 04:00:00+00:00,42.66,42.66,42.14,42.48,19299312.0,82257.0,42.453007
CMCSA,2024-03-27 04:00:00+00:00,42.74,43.085,42.69,43.07,14106573.0,87970.0,42.928729
CMCSA,2024-03-28 04:00:00+00:00,43.19,43.59,43.12,43.35,21157395.0,79720.0,43.324692
CMCSA,2024-04-01 04:00:00+00:00,43.03,43.05,41.85,42.28,18303607.0,124753.0,42.209625
CMCSA,2024-04-02 04:00:00+00:00,42.18,42.655,41.61,41.81,16801512.0,98932.0,41.850478
CMCSA,2024-04-03 04:00:00+00:00,41.74,41.945,41.41,41.53,18818652.0,97221.0,41.579498
CMCSA,2024-04-04 04:00:00+00:00,41.81,42.005,40.95,41.11,24458125.0,108920.0,41.36771
CMCSA,2024-04-05 04:00:00+00:00,40.87,41.185,40.635,40.9,22833032.0,113029.0,40.971491
CMCSA,2024-04-08 04:00:00+00:00,40.75,41.01,40.58,40.71,28115922.0,121149.0,40.750683
CMCSA,2024-04-09 04:00:00+00:00,40.28,40.785,39.95,40.15,32646632.0,136955.0,40.140382
CMCSA,2024-04-10 04:00:00+00:00,40.15,40.15,39.38,39.72,22368353.0,130608.0,39.704026
CMCSA,2024-04-11 04:00:00+00:00,40.0544,40.26,39.64,40.14,24560315.0,119031.0,40.040602
CMCSA,2024-04-12 04:00:00+00:00,39.87,39.95,39.23,39.37,23411874.0,105102.0,39.442483
CMCSA,2024-04-15 04:00:00+00:00,39.75,39.915,39.11,39.43,21293670.0,114861.0,39.452365
CMCSA,2024-04-16 04:00:00+00:00,39.4,39.595,39.01,39.12,18927170.0,96297.0,39.171306
CMCSA,2024-04-17 04:00:00+00:00,39.31,39.42,38.88,38.99,20450108.0,111850.0,39.037556
CMCSA,2024-04-18 04:00:00+00:00,39.35,39.69,39.13,39.62,15684831.0,89066.0,39.550916
CMCSA,2024-04-19 04:00:00+00:00,39.71,40.3,39.57,40.24,24227565.0,126325.0,40.044684
CMCSA,2024-04-22 04:00:00+00:00,40.48,40.7,39.96,40.57,24644675.0,140612.0,40.4507
CMCSA,2024-04-23 04:00:00+00:00,40.45,41.12,40.305,40.36,15324926.0,97181.0,40.538332
CMCSA,2024-04-24 04:00:00+00:00,39.96,40.34,39.82,40.21,19581243.0,117382.0,40.180981
CMCSA,2024-04-25 04:00:00+00:00,38.65,39.2399,37.19,37.87,37835380.0,238612.0,37.86867
CMCSA,2024-04-26 04:00:00+00:00,37.1,38.715,36.43,38.57,29783241.0,158489.0,38.370546
CMCSA,2024-04-29 04:00:00+00:00,38.57,38.95,38.46,38.85,14933010.0,89385.0,38.798802
CMCSA,2024-04-30 04:00:00+00:00,38.62,38.74,37.835,38.11,20206711.0,108886.0,38.132514
CMCSA,2024-05-01 04:00:00+00:00,38.05,38.695,38.02,38.2,19737007.0,109299.0,38.330573
CMCSA,2024-05-02 04:00:00+00:00,38.54,38.75,38.072,38.36,16967731.0,98299.0,38.316632
CMCSA,2024-05-03 04:00:00+00:00,38.45,38.84,38.375,38.69,22278723.0,102158.0,38.606566
CMCSA,2024-05-06 04:00:00+00:00,38.78,39.06,38.4239,38.49,32166449.0,120175.0,38.560285
CMCSA,2024-05-07 04:00:00+00:00,38.64,38.72,38.3701,38.49,30573445.0,125537.0,38.5221
CMCSA,2024-05-08 04:00:00+00:00,38.46,39.8,38.36,39.05,22394440.0,121432.0,39.304723
CMCSA,2024-05-09 04:00:00+00:00,39.01,39.11,38.4,38.54,23593232.0,126990.0,38.684024
CMCSA,2024-05-10 04:00:00+00:00,38.37,39.45,38.33,39.31,15227369.0,95119.0,39.140349
CMCSA,2024-05-13 04:00:00+00:00,39.57,39.74,39.32,39.7,18405611.0,89744.0,39.614615
CMCSA,2024-05-14 04:00:00+00:00,40.01,40.0575,39.59,39.7,16096676.0,90835.0,39.730792
CMCSA,2024-05-15 04:00:00+00:00,39.88,39.95,39.01,39.25,18828056.0,128574.0,39.251755
CMCSA,2024-05-16 04:00:00+00:00,39.16,39.43,38.885,39.37,15663821.0,92876.0,39.260625
CMCSA,2024-05-17 04:00:00+00:00,39.28,39.385,38.91,39.27,13733368.0,77608.0,39.264068
CMCSA,2024-05-20 04:00:00+00:00,39.17,39.31,38.665,39.21,12533555.0,77506.0,39.159643
CMCSA,2024-05-21 04:00:00+00:00,39.0,39.625,38.96,39.21,13471991.0,88151.0,39.330641
CMCSA,2024-05-22 04:00:00+00:00,39.19,39.19,38.66,38.89,17755165.0,99848.0,38.910855
CMCSA,2024-05-23 04:00:00+00:00,38.82,39.14,38.5001,38.68,16081792.0,95840.0,38.757891
CMCSA,2024-05-24 04:00:00+00:00,38.74,38.82,38.25,38.54,14375674.0,81648.0,38.517128
CMCSA,2024-05-28 04:00:00+00:00,38.23,38.8095,38.155,38.54,16937290.0,98762.0,38.495002
CMCSA,2024-05-29 04:00:00+00:00,38.26,38.43,37.845,37.94,28533496.0,109676.0,38.024191
CMCSA,2024-05-30 04:00:00+00:00,38.06,38.905,37.92,38.87,18256097.0,85535.0,38.655668
CMCSA,2024-05-31 04:00:00+00:00,38.46,40.09,38.125,40.03,27039346.0,109441.0,39.677994
CMCSA,2024-06-03 04:00:00+00:00,40.0,40.07,39.28,39.58,15651441.0,103819.0,39.611756
CMCSA,2024-06-04 04:00:00+00:00,39.42,39.785,39.2,39.56,14580868.0,79552.0,39.528288
CMCSA,2024-06-05 04:00:00+00:00,39.6,39.6,39.06,39.14,12635487.0,78501.0,39.202266
CMCSA,2024-06-06 04:00:00+00:00,39.17,39.92,39.0088,39.07,20336260.0,109442.0,39.308448
CMCSA,2024-06-07 04:00:00+00:00,39.06,39.355,38.905,38.96,16049255.0,96638.0,39.051244
CMCSA,2024-06-10 04:00:00+00:00,38.91,38.975,38.52,38.79,13185628.0,78611.0,38.747391
CMCSA,2024-06-11 04:00:00+00:00,38.15,38.6,37.955,38.32,16479963.0,92186.0,38.361935
CMCSA,2024-06-12 04:00:00+00:00,38.53,38.64,37.48,37.83,18902747.0,114538.0,37.87344
CMCSA,2024-06-13 04:00:00+00:00,37.5,37.84,37.305,37.58,18514835.0,82322.0,37.628005
CMCSA,2024-06-14 04:00:00+00:00,37.37,37.68,37.26,37.44,12692458.0,83100.0,37.41822
CMCSA,2024-06-17 04:00:00+00:00,37.39,37.47,36.92,37.31,31105461.0,147578.0,37.273903
CMCSA,2024-06-18 04:00:00+00:00,37.34,37.79,36.75,36.9,22444935.0,115026.0,36.976188
CMCSA,2024-06-20 04:00:00+00:00,36.78,37.98,36.71,37.85,21203331.0,130382.0,37.593288
CMCSA,2024-06-21 04:00:00+00:00,38.22,38.71,37.965,38.48,49147049.0,112979.0,38.407681
CMCSA,2024-06-24 04:00:00+00:00,38.29,38.795,38.06,38.48,19434313.0,108355.0,38.521711
CMCSA,2024-06-25 04:00:00+00:00,38.66,38.66,37.94,38.4,25171946.0,74459.0,38.276077
CMCSA,2024-06-26 04:00:00+00:00,38.29,38.44,37.62,38.22,23560558.0,97353.0,38.006071
CMCSA,2024-06-27 04:00:00+00:00,38.28,38.39,37.955,38.28,13073219.0,75060.0,38.198362
CMCSA,2024-06-28 04:00:00+00:00,38.54,39.25,38.5,39.16,38196781.0,120436.0,39.078509
CMCSA,2024-07-01 04:00:00+00:00,38.9,39.08,38.14,38.17,16905672.0,103149.0,38.395048
CMCSA,2024-07-02 04:00:00+00:00,38.36,38.36,37.77,38.16,15707757.0,95496.0,38.04995
CMCSA,2024-07-03 04:00:00+00:00,37.75,38.31,37.71,38.05,7657993.0,61804.0,38.043286
