symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COP,2024-03-13 04:00:00+00:00,116.8,118.61,116.17,117.55,7685432.0,86291.0,117.707514
COP,2024-03-14 04:00:00+00:00,119.17,119.99,118.74,119.78,7800847.0,88785.0,119.563178
COP,2024-03-15 04:00:00+00:00,119.13,120.795,119.13,120.04,17549004.0,72042.0,119.956983
COP,2024-03-18 04:00:00+00:00,120.9,121.07,119.16,120.26,4828002.0,62706.0,120.006791
COP,2024-03-19 04:00:00+00:00,120.36,122.16,120.3,122.02,4457939.0,53493.0,121.702316
COP,2024-03-20 04:00:00+00:00,121.22,122.36,121.03,121.91,3596962.0,49749.0,121.756149
COP,2024-03-21 04:00:00+00:00,122.07,123.59,121.68,123.51,4925649.0,61349.0,123.035177
COP,2024-03-22 04:00:00+00:00,123.55,124.05,122.71,123.03,4976248.0,52771.0,123.134373
COP,2024-03-25 04:00:00+00:00,123.72,126.6498,123.15,126.23,7054378.0,78278.0,125.943481
COP,2024-03-26 04:00:00+00:00,126.5,126.9,125.2,125.99,5203426.0,69219.0,125.86515
COP,2024-03-27 04:00:00+00:00,125.65,127.02,125.32,126.84,3847838.0,56133.0,126.325817
COP,2024-03-28 04:00:00+00:00,128.0,128.64,126.71,127.28,4657970.0,51843.0,127.395121
COP,2024-04-01 04:00:00+00:00,128.0,128.94,126.75,128.68,3036214.0,46654.0,128.373227
COP,2024-04-02 04:00:00+00:00,129.52,130.84,128.6292,130.67,4969715.0,58486.0,130.192871
COP,2024-04-03 04:00:00+00:00,130.91,132.0,130.52,131.63,3707331.0,50958.0,131.475696
COP,2024-04-04 04:00:00+00:00,132.13,132.43,131.05,131.75,3908373.0,56689.0,131.773212
COP,2024-04-05 04:00:00+00:00,131.96,133.84,131.19,133.52,3595473.0,52236.0,133.063467
COP,2024-04-08 04:00:00+00:00,133.75,134.0249,132.18,132.42,4481961.0,54143.0,132.958361
COP,2024-04-09 04:00:00+00:00,132.79,133.2,131.015,132.25,3756123.0,55264.0,131.876465
