symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COST,2024-03-13 04:00:00+00:00,735.0,736.5,726.58,734.2,2270262.0,80807.0,732.759968
COST,2024-03-14 04:00:00+00:00,738.33,740.6754,728.99,731.95,1826066.0,69331.0,732.939467
COST,2024-03-15 04:00:00+00:00,732.52,732.52,723.22,725.63,3390743.0,75493.0,727.694998
COST,2024-03-18 04:00:00+00:00,726.1,733.335,726.015,731.54,1595245.0,62093.0,731.01911
COST,2024-03-19 04:00:00+00:00,731.79,735.35,730.02,732.17,1322684.0,56250.0,732.722652
COST,2024-03-20 04:00:00+00:00,731.0,742.09,729.13,740.72,1398710.0,53763.0,737.291116
COST,2024-03-21 04:00:00+00:00,743.5,752.31,741.1,742.56,2106857.0,70144.0,745.688955
COST,2024-03-22 04:00:00+00:00,744.43,744.79,734.38,734.8,1794078.0,65210.0,737.825001
COST,2024-03-25 04:00:00+00:00,731.0,734.16,726.74,730.96,1604668.0,70296.0,730.042783
COST,2024-03-26 04:00:00+00:00,731.0,734.7,730.2201,730.98,1353548.0,53501.0,731.850624
COST,2024-03-27 04:00:00+00:00,734.0,735.89,727.75,732.08,1246672.0,51011.0,731.340419
COST,2024-03-28 04:00:00+00:00,733.85,734.9,728.32,732.63,1713268.0,57320.0,731.785051
COST,2024-04-01 04:00:00+00:00,731.76,733.27,720.2,721.24,1600705.0,79387.0,722.852727
COST,2024-04-02 04:00:00+00:00,720.0,720.0,708.4,711.3,2326670.0,92690.0,712.016181
COST,2024-04-03 04:00:00+00:00,709.98,710.81,697.27,705.69,3205499.0,118188.0,703.913581
COST,2024-04-04 04:00:00+00:00,708.77,717.13,704.22,704.88,2252433.0,75963.0,708.974508
COST,2024-04-05 04:00:00+00:00,706.04,716.8899,706.02,713.72,1552889.0,62630.0,712.948327
COST,2024-04-08 04:00:00+00:00,713.51,716.14,710.87,711.81,1459032.0,54819.0,712.691896
COST,2024-04-09 04:00:00+00:00,716.24,719.05,706.975,718.59,1388289.0,56705.0,714.544032
COST,2024-04-10 04:00:00+00:00,711.0,723.9799,708.95,722.58,1832047.0,67584.0,719.190331
COST,2024-04-11 04:00:00+00:00,731.5,733.79,724.1501,732.35,2107799.0,68057.0,731.040588
COST,2024-04-12 04:00:00+00:00,728.0,732.9,726.54,731.31,1481100.0,57523.0,730.198822
COST,2024-04-15 04:00:00+00:00,735.43,741.0,717.95,718.28,1808014.0,70749.0,725.429913
COST,2024-04-16 04:00:00+00:00,718.3,722.4999,712.13,715.97,1412304.0,55427.0,717.372301
COST,2024-04-17 04:00:00+00:00,723.0,723.8,711.0,715.19,1376665.0,51858.0,715.448217
COST,2024-04-18 04:00:00+00:00,715.19,718.95,709.57,711.25,1846393.0,48811.0,713.438859
COST,2024-04-19 04:00:00+00:00,713.03,714.87,702.0,709.51,2190356.0,63814.0,708.401716
COST,2024-04-22 04:00:00+00:00,714.86,718.26,706.17,715.46,1437110.0,53639.0,713.349192
COST,2024-04-23 04:00:00+00:00,719.03,724.27,716.2975,722.68,1176191.0,52210.0,721.710621
COST,2024-04-24 04:00:00+00:00,719.71,725.43,716.09,723.89,1206638.0,48549.0,722.549509
COST,2024-04-25 04:00:00+00:00,727.29,727.29,714.41,721.86,1613597.0,59084.0,720.33561
COST,2024-04-26 04:00:00+00:00,715.0,730.945,715.0,729.18,1524431.0,53536.0,728.198844
COST,2024-04-29 04:00:00+00:00,729.53,732.25,720.2182,726.33,1526906.0,51409.0,725.286395
COST,2024-04-30 04:00:00+00:00,725.51,725.51,717.1,722.9,1734764.0,54497.0,722.415038
COST,2024-05-01 04:00:00+00:00,722.27,729.86,715.32,722.22,1609060.0,54725.0,722.560977
COST,2024-05-02 04:00:00+00:00,724.75,734.4,720.63,732.44,1826910.0,59905.0,730.69658
COST,2024-05-03 04:00:00+00:00,734.28,747.49,733.345,743.9,2323300.0,66742.0,742.234003
COST,2024-05-06 04:00:00+00:00,749.59,756.94,746.48,756.45,1773298.0,67483.0,753.173639
COST,2024-05-07 04:00:00+00:00,758.69,772.24,755.57,771.31,1897769.0,69838.0,768.336365
COST,2024-05-08 04:00:00+00:00,770.0,773.39,762.71,763.41,1511930.0,57101.0,766.111779
COST,2024-05-09 04:00:00+00:00,763.8,779.71,763.6057,779.04,1716249.0,64921.0,775.254869
COST,2024-05-10 04:00:00+00:00,779.04,787.4499,778.16,787.19,1652658.0,55924.0,784.367705
COST,2024-05-13 04:00:00+00:00,788.0,789.4814,773.58,775.15,1596784.0,65181.0,778.436572
COST,2024-05-14 04:00:00+00:00,774.93,780.812,771.4301,777.9,1327707.0,54700.0,777.037338
COST,2024-05-15 04:00:00+00:00,778.52,789.66,778.52,787.04,1661652.0,62177.0,786.670542
COST,2024-05-16 04:00:00+00:00,791.81,804.56,787.83,793.07,2000002.0,79208.0,796.627816
COST,2024-05-17 04:00:00+00:00,793.61,797.6,790.605,795.81,1309108.0,49694.0,794.770345
COST,2024-05-20 04:00:00+00:00,795.25,802.98,792.39,793.0,1347079.0,54736.0,795.733728
COST,2024-05-21 04:00:00+00:00,795.57,801.44,792.0,800.93,1375735.0,46999.0,798.479697
COST,2024-05-22 04:00:00+00:00,800.04,806.35,798.01,801.86,1192763.0,56147.0,802.790671
COST,2024-05-23 04:00:00+00:00,804.3,808.05,795.43,796.34,1519159.0,62866.0,800.026963
COST,2024-05-24 04:00:00+00:00,800.63,816.8668,799.09,809.73,1622970.0,66622.0,809.630251
COST,2024-05-28 04:00:00+00:00,809.74,815.29,804.72,813.17,1986260.0,73537.0,810.456107
COST,2024-05-29 04:00:00+00:00,807.02,813.44,806.29,806.52,2282792.0,64622.0,808.588765
COST,2024-05-30 04:00:00+00:00,810.2,819.5,808.3,815.34,2288522.0,99203.0,815.685275
COST,2024-05-31 04:00:00+00:00,809.03,811.74,788.2,809.89,4360692.0,123513.0,803.432669
COST,2024-06-03 04:00:00+00:00,811.0,827.91,807.1324,815.39,2008733.0,81833.0,815.575369
COST,2024-06-04 04:00:00+00:00,814.98,828.01,813.04,827.39,1754454.0,69801.0,824.285956
COST,2024-06-05 04:00:00+00:00,830.91,834.39,821.68,834.3,2080014.0,76224.0,830.059675
COST,2024-06-06 04:00:00+00:00,835.42,849.0909,834.32,842.64,1734991.0,75181.0,843.123719
COST,2024-06-07 04:00:00+00:00,846.68,850.38,842.29,845.58,1593589.0,66507.0,846.446148
COST,2024-06-10 04:00:00+00:00,847.18,849.48,842.74,848.34,1402332.0,69693.0,847.334853
COST,2024-06-11 04:00:00+00:00,849.24,850.935,840.26,849.31,1690514.0,64123.0,847.833832
COST,2024-06-12 04:00:00+00:00,852.31,855.74,843.61,847.81,1838255.0,65917.0,849.070957
COST,2024-06-13 04:00:00+00:00,847.81,847.81,837.55,845.96,1322381.0,66895.0,844.586996
COST,2024-06-14 04:00:00+00:00,843.42,856.18,841.91,855.67,1395485.0,61342.0,852.546589
COST,2024-06-17 04:00:00+00:00,854.49,870.56,853.37,867.91,1904926.0,82796.0,863.941726
COST,2024-06-18 04:00:00+00:00,868.0,873.9599,867.7,870.75,1763802.0,70255.0,870.629468
COST,2024-06-20 04:00:00+00:00,871.31,873.85,860.56,862.44,1944601.0,89191.0,865.549924
