symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CRM,2024-03-13 04:00:00+00:00,305.0,307.73,303.11,304.68,5548843.0,79071.0,305.63361
CRM,2024-03-14 04:00:00+00:00,305.0,309.49,301.995,303.32,4828755.0,88177.0,304.230962
CRM,2024-03-15 04:00:00+00:00,298.96,300.05,293.77,294.33,11885105.0,119430.0,295.355274
CRM,2024-03-18 04:00:00+00:00,299.62,300.97,296.02,300.51,5240467.0,73727.0,299.253859
CRM,2024-03-19 04:00:00+00:00,298.18,301.77,296.62,301.45,3329873.0,59785.0,299.949248
CRM,2024-03-20 04:00:00+00:00,301.97,307.02,300.685,306.08,4946571.0,74539.0,304.719545
CRM,2024-03-21 04:00:00+00:00,307.94,311.8,306.35,308.39,6083853.0,94112.0,309.391303
CRM,2024-03-22 04:00:00+00:00,309.32,310.23,306.65,307.77,3779208.0,60806.0,308.170432
CRM,2024-03-25 04:00:00+00:00,303.7,307.71,302.54,306.06,4141223.0,67927.0,305.688312
CRM,2024-03-26 04:00:00+00:00,307.48,307.98,304.89,305.83,3893853.0,67896.0,306.291556
CRM,2024-03-27 04:00:00+00:00,307.44,309.3,298.63,301.38,3859858.0,81564.0,301.716293
CRM,2024-03-28 04:00:00+00:00,300.0,302.8,299.6348,301.18,4892275.0,70825.0,301.073661
CRM,2024-04-01 04:00:00+00:00,301.69,303.51,299.99,302.26,2918140.0,55951.0,301.817561
CRM,2024-04-02 04:00:00+00:00,297.5,304.457,294.8895,304.0,4746113.0,81563.0,301.549785
CRM,2024-04-03 04:00:00+00:00,303.99,307.16,303.1,304.74,3047382.0,60941.0,305.12165
CRM,2024-04-04 04:00:00+00:00,308.26,311.3,292.1,294.14,8351020.0,140833.0,298.113163
CRM,2024-04-05 04:00:00+00:00,293.54,303.415,293.295,301.91,4918179.0,78613.0,300.218814
CRM,2024-04-08 04:00:00+00:00,301.1,303.5,299.52,301.73,3142901.0,59375.0,301.996509
CRM,2024-04-09 04:00:00+00:00,303.32,305.6,299.2501,302.37,2998100.0,63742.0,301.902999
CRM,2024-04-10 04:00:00+00:00,298.45,300.92,298.15,299.62,3036384.0,63350.0,299.4224
CRM,2024-04-11 04:00:00+00:00,299.47,301.09,296.4077,299.15,3468596.0,72932.0,298.461035
CRM,2024-04-12 04:00:00+00:00,296.87,297.85,293.5,294.32,3817068.0,74134.0,295.144522
CRM,2024-04-15 04:00:00+00:00,282.94,286.4766,271.66,272.9,18365087.0,263073.0,276.761575
CRM,2024-04-16 04:00:00+00:00,274.78,280.56,272.4401,277.41,7624347.0,127631.0,277.100901
CRM,2024-04-17 04:00:00+00:00,277.74,278.9678,274.84,276.32,4199384.0,76651.0,276.664429
CRM,2024-04-18 04:00:00+00:00,276.32,276.33,269.75,271.92,5918155.0,97170.0,272.296883
CRM,2024-04-19 04:00:00+00:00,272.49,273.15,268.73,270.37,4913553.0,83332.0,270.975431
CRM,2024-04-22 04:00:00+00:00,279.39,279.7,269.56,273.81,6752204.0,109989.0,274.079418
CRM,2024-04-23 04:00:00+00:00,274.95,276.7,270.41,276.68,6285237.0,106408.0,273.760758
CRM,2024-04-24 04:00:00+00:00,278.0,278.9393,274.11,276.19,3938845.0,67770.0,276.631817
CRM,2024-04-25 04:00:00+00:00,271.6,273.58,269.28,273.14,4811919.0,84724.0,271.946092
CRM,2024-04-26 04:00:00+00:00,275.0,276.9,273.4625,274.29,3754585.0,68180.0,274.908164
CRM,2024-04-29 04:00:00+00:00,274.89,277.29,273.2201,275.74,3608840.0,64791.0,275.080525
CRM,2024-04-30 04:00:00+00:00,274.51,274.61,268.355,268.94,5217985.0,80226.0,270.644143
CRM,2024-05-01 04:00:00+00:00,269.02,274.0,266.55,268.69,3761619.0,69506.0,269.300342
CRM,2024-05-02 04:00:00+00:00,270.43,273.08,267.94,272.13,3859883.0,64175.0,271.267039
CRM,2024-05-03 04:00:00+00:00,276.82,277.67,273.35,273.66,4041636.0,77509.0,274.675298
CRM,2024-05-06 04:00:00+00:00,276.17,277.13,274.06,275.63,3744763.0,68282.0,275.452407
CRM,2024-05-07 04:00:00+00:00,275.59,278.882,274.07,277.18,3507733.0,64143.0,277.29333
CRM,2024-05-08 04:00:00+00:00,275.73,279.94,275.73,278.97,3283270.0,61298.0,278.683361
CRM,2024-05-09 04:00:00+00:00,272.17,275.35,271.0708,275.17,4709740.0,84068.0,274.311205
CRM,2024-05-10 04:00:00+00:00,276.1,279.64,274.97,276.67,2912308.0,57798.0,276.745783
CRM,2024-05-13 04:00:00+00:00,277.14,277.8,275.185,277.52,2998662.0,58076.0,277.056312
CRM,2024-05-14 04:00:00+00:00,276.96,278.86,275.04,276.8,3056843.0,62366.0,276.971485
CRM,2024-05-15 04:00:00+00:00,279.74,287.8,279.73,287.54,5828547.0,100196.0,285.39656
CRM,2024-05-16 04:00:00+00:00,289.42,290.02,284.58,284.68,3559188.0,70881.0,286.112296
CRM,2024-05-17 04:00:00+00:00,287.04,287.34,284.26,285.61,3478869.0,61140.0,286.048517
CRM,2024-05-20 04:00:00+00:00,286.0,287.7206,285.11,287.07,2799272.0,48819.0,286.895624
CRM,2024-05-21 04:00:00+00:00,286.79,287.22,283.29,283.76,3492113.0,62464.0,284.677598
CRM,2024-05-22 04:00:00+00:00,283.41,287.09,282.835,283.82,3309164.0,58529.0,284.664305
CRM,2024-05-23 04:00:00+00:00,286.68,287.0,277.46,278.57,5456632.0,88789.0,279.84606
CRM,2024-05-24 04:00:00+00:00,270.93,274.96,268.53,272.29,8325132.0,143034.0,271.678009
CRM,2024-05-28 04:00:00+00:00,273.1,273.225,267.16,269.83,9294119.0,148928.0,269.302763
CRM,2024-05-29 04:00:00+00:00,268.0,272.865,267.77,271.62,13397852.0,215679.0,271.214515
CRM,2024-05-30 04:00:00+00:00,223.4,225.09,212.0,218.01,66860913.0,820956.0,217.030552
CRM,2024-05-31 04:00:00+00:00,219.11,234.62,216.06,234.44,36807425.0,437100.0,225.595573
CRM,2024-06-03 04:00:00+00:00,234.62,240.99,230.2101,236.62,19962737.0,260514.0,234.266954
CRM,2024-06-04 04:00:00+00:00,235.72,240.5899,232.2,234.86,11197479.0,157184.0,235.920346
CRM,2024-06-05 04:00:00+00:00,235.64,236.92,231.55,236.53,10772093.0,153183.0,234.390641
CRM,2024-06-06 04:00:00+00:00,239.88,246.75,239.45,242.76,11693763.0,172290.0,243.482226
CRM,2024-06-07 04:00:00+00:00,242.33,243.9299,240.2884,241.85,6883831.0,100692.0,242.355958
CRM,2024-06-10 04:00:00+00:00,241.79,243.64,240.43,241.84,7660118.0,111788.0,241.741606
CRM,2024-06-11 04:00:00+00:00,241.16,243.75,236.26,240.99,7264354.0,119349.0,240.393614
CRM,2024-06-12 04:00:00+00:00,240.56,242.2,234.89,235.8,10260116.0,164856.0,237.129633
CRM,2024-06-13 04:00:00+00:00,235.52,235.65,228.66,229.03,13566707.0,182658.0,230.691897
CRM,2024-06-14 04:00:00+00:00,229.35,235.2499,229.2,231.94,8833734.0,121468.0,232.121932
CRM,2024-06-17 04:00:00+00:00,230.28,231.84,227.77,230.48,10563678.0,142943.0,229.750793
CRM,2024-06-18 04:00:00+00:00,230.48,232.29,229.23,231.81,7119770.0,107009.0,230.84949
CRM,2024-06-20 04:00:00+00:00,232.85,243.77,232.85,241.8,14809627.0,194560.0,240.775132
CRM,2024-06-21 04:00:00+00:00,240.57,245.374,240.19,245.06,15928785.0,158978.0,243.826911
CRM,2024-06-24 04:00:00+00:00,243.19,244.41,239.81,239.94,7545685.0,108714.0,241.471803
CRM,2024-06-25 04:00:00+00:00,241.78,243.1,239.87,241.76,6216627.0,74780.0,241.538205
CRM,2024-06-26 04:00:00+00:00,241.47,243.61,239.901,243.15,4524735.0,72148.0,242.017274
CRM,2024-06-27 04:00:00+00:00,245.0,258.6,244.45,252.85,12869018.0,163312.0,253.567882
CRM,2024-06-28 04:00:00+00:00,253.5,260.18,253.18,257.1,12603925.0,142925.0,257.691398
CRM,2024-07-01 04:00:00+00:00,258.15,259.4799,254.53,256.21,5871685.0,96176.0,256.460331
CRM,2024-07-02 04:00:00+00:00,255.05,257.73,254.06,256.19,5130593.0,76608.0,256.220618
CRM,2024-07-03 04:00:00+00:00,256.98,261.22,256.935,260.95,4755729.0,60942.0,259.877987
CRM,2024-07-05 04:00:00+00:00,262.72,265.8059,261.315,263.19,6562111.0,97253.0,263.743244
CRM,2024-07-08 04:00:00+00:00,261.38,262.84,257.19,257.37,6539287.0,97581.0,258.83802
CRM,2024-07-09 04:00:00+00:00,256.09,257.0,251.09,252.43,7017109.0,110280.0,252.654638
CRM,2024-07-10 04:00:00+00:00,251.2,254.8,246.11,252.59,8947679.0,129779.0,250.05859
CRM,2024-07-11 04:00:00+00:00,252.6,255.42,250.92,251.12,5343727.0,79292.0,252.200893
CRM,2024-07-12 04:00:00+00:00,251.62,255.29,249.69,253.97,4705492.0,76428.0,253.951065
CRM,2024-07-15 04:00:00+00:00,256.02,256.39,252.12,252.86,4404270.0,69876.0,253.68283
CRM,2024-07-16 04:00:00+00:00,253.78,256.78,252.67,256.03,4780386.0,72731.0,255.268737
CRM,2024-07-17 04:00:00+00:00,254.0,255.57,249.61,251.22,5625254.0,84499.0,251.869042
CRM,2024-07-18 04:00:00+00:00,252.14,252.45,245.72,247.35,6351643.0,76091.0,248.249541
CRM,2024-07-19 04:00:00+00:00,248.65,248.99,245.17,247.63,4468875.0,67984.0,247.33013
CRM,2024-07-22 04:00:00+00:00,248.75,255.58,248.0,254.08,5647588.0,82909.0,253.342888
CRM,2024-07-23 04:00:00+00:00,256.59,257.33,253.7513,256.06,3905543.0,61427.0,255.964891
CRM,2024-07-24 04:00:00+00:00,253.63,255.91,248.9,249.78,5204088.0,70260.0,251.28161
CRM,2024-07-25 04:00:00+00:00,254.74,264.08,251.7245,256.52,7155846.0,119061.0,257.86273
CRM,2024-07-26 04:00:00+00:00,258.17,264.49,257.07,262.71,6127323.0,84730.0,262.292705
CRM,2024-07-29 04:00:00+00:00,262.71,266.075,258.52,258.59,5101425.0,73137.0,259.989001
CRM,2024-07-30 04:00:00+00:00,259.62,260.75,255.12,257.93,3944295.0,59605.0,257.462583
CRM,2024-07-31 04:00:00+00:00,256.21,261.83,255.35,258.8,4647690.0,77645.0,258.961098
CRM,2024-08-01 04:00:00+00:00,259.9,263.36,249.74,253.06,5527395.0,79369.0,254.285798
CRM,2024-08-02 04:00:00+00:00,247.79,248.0,241.1165,243.97,6504544.0,107056.0,243.421867
CRM,2024-08-05 04:00:00+00:00,232.32,241.82,232.21,239.01,6899342.0,113177.0,238.084441
CRM,2024-08-06 04:00:00+00:00,241.09,243.85,238.03,238.42,5673889.0,93387.0,240.526564
CRM,2024-08-07 04:00:00+00:00,242.61,246.53,239.66,240.04,4035549.0,67265.0,242.334857
CRM,2024-08-08 04:00:00+00:00,243.24,249.43,243.08,249.12,4474252.0,70943.0,247.679789
CRM,2024-08-09 04:00:00+00:00,248.7,252.95,248.45,252.53,2975285.0,61956.0,251.646823
CRM,2024-08-12 04:00:00+00:00,252.6,254.09,249.02,251.31,3679904.0,53896.0,250.86045
CRM,2024-08-13 04:00:00+00:00,253.0,255.78,253.0,254.6,4031818.0,65687.0,254.483453
CRM,2024-08-14 04:00:00+00:00,255.39,257.71,253.86,255.32,4145248.0,64441.0,255.599271
CRM,2024-08-15 04:00:00+00:00,257.9,262.89,256.24,262.79,5167930.0,73255.0,261.286543
CRM,2024-08-16 04:00:00+00:00,261.75,263.6,259.68,262.91,3494863.0,58134.0,262.608822
CRM,2024-08-19 04:00:00+00:00,263.1,265.39,261.63,265.38,4501262.0,70881.0,264.184382
CRM,2024-08-20 04:00:00+00:00,264.95,265.5,261.03,261.84,5731309.0,74651.0,262.39838
CRM,2024-08-21 04:00:00+00:00,261.1,262.14,259.18,261.09,4648204.0,71981.0,260.884833
CRM,2024-08-22 04:00:00+00:00,261.5,263.26,257.27,258.59,5111442.0,81849.0,259.445701
CRM,2024-08-23 04:00:00+00:00,261.99,265.6,260.7,264.0,4711326.0,78714.0,263.497934
CRM,2024-08-26 04:00:00+00:00,263.94,267.3,263.24,265.28,3818271.0,72841.0,265.510569
CRM,2024-08-27 04:00:00+00:00,259.65,264.46,259.4,264.2,5276384.0,88466.0,263.134791
CRM,2024-08-28 04:00:00+00:00,261.83,265.18,257.36,258.9,10981901.0,157982.0,260.070494
CRM,2024-08-29 04:00:00+00:00,271.01,271.95,256.28,257.01,14301691.0,189188.0,260.860061
CRM,2024-08-30 04:00:00+00:00,257.44,259.13,251.0,252.9,10507704.0,133118.0,253.417592
CRM,2024-09-03 04:00:00+00:00,252.62,253.69,246.64,248.06,6190352.0,98149.0,249.998875
CRM,2024-09-04 04:00:00+00:00,246.47,249.48,245.16,247.68,4706546.0,75507.0,247.909598
CRM,2024-09-05 04:00:00+00:00,245.98,248.4999,245.0,246.12,4083624.0,69592.0,246.338917
CRM,2024-09-06 04:00:00+00:00,247.74,250.0,241.4401,243.97,6259431.0,88252.0,243.89478
CRM,2024-09-09 04:00:00+00:00,246.5,249.36,244.77,245.76,4588809.0,75286.0,246.414341
CRM,2024-09-10 04:00:00+00:00,247.13,247.34,243.311,246.16,3544808.0,57346.0,245.674247
CRM,2024-09-11 04:00:00+00:00,244.81,250.02,242.0141,249.57,4822215.0,77693.0,246.787434
CRM,2024-09-12 04:00:00+00:00,251.39,254.14,249.57,253.37,5221397.0,73251.0,252.401567
CRM,2024-09-13 04:00:00+00:00,252.54,256.83,252.445,254.57,4998901.0,76106.0,254.89554
CRM,2024-09-16 04:00:00+00:00,254.57,257.81,254.57,256.91,5367024.0,72408.0,256.694463
CRM,2024-09-17 04:00:00+00:00,258.72,259.37,254.76,255.19,5423388.0,77642.0,256.651285
CRM,2024-09-18 04:00:00+00:00,256.0,256.12,250.96,252.43,4436734.0,80396.0,252.960595
