symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CSCO,2024-03-13 04:00:00+00:00,50.03,50.15,49.825,50.11,16669863.0,111603.0,50.028764
CSCO,2024-03-14 04:00:00+00:00,50.27,50.345,49.6,49.79,17239397.0,113595.0,49.800429
CSCO,2024-03-15 04:00:00+00:00,49.79,49.96,48.904,48.93,57049238.0,137389.0,49.128716
CSCO,2024-03-18 04:00:00+00:00,49.22,49.66,48.98,49.27,17406663.0,105763.0,49.349401
CSCO,2024-03-19 04:00:00+00:00,49.12,49.595,48.97,49.14,19601131.0,106381.0,49.259146
CSCO,2024-03-20 04:00:00+00:00,49.04,49.58,48.94,49.55,18554114.0,108684.0,49.299006
CSCO,2024-03-21 04:00:00+00:00,49.71,50.19,49.56,49.88,26102850.0,100702.0,49.938276
CSCO,2024-03-22 04:00:00+00:00,50.05,50.1,49.72,49.78,15022861.0,75701.0,49.83211
CSCO,2024-03-25 04:00:00+00:00,49.56,49.76,49.29,49.68,16191164.0,73081.0,49.619948
CSCO,2024-03-26 04:00:00+00:00,49.55,49.81,49.48,49.55,13842923.0,74046.0,49.593752
CSCO,2024-03-27 04:00:00+00:00,49.77,49.9,49.41,49.77,17230958.0,90311.0,49.662678
CSCO,2024-03-28 04:00:00+00:00,49.89,50.195,49.81,49.91,18139735.0,89560.0,49.961659
CSCO,2024-04-01 04:00:00+00:00,49.96,50.2,49.865,50.04,15138079.0,92846.0,50.037633
CSCO,2024-04-02 04:00:00+00:00,49.96,50.09,49.145,49.36,16414408.0,93252.0,49.388828
CSCO,2024-04-03 04:00:00+00:00,48.8,49.22,48.66,48.74,22210022.0,97868.0,48.845207
CSCO,2024-04-04 04:00:00+00:00,49.09,49.55,48.0431,48.11,17373966.0,99936.0,48.571525
CSCO,2024-04-05 04:00:00+00:00,47.96,48.67,47.89,48.55,18661294.0,121297.0,48.46699
CSCO,2024-04-08 04:00:00+00:00,48.19,48.66,48.16,48.24,15375698.0,84618.0,48.392264
CSCO,2024-04-09 04:00:00+00:00,48.84,50.2,48.515,50.01,26697099.0,161838.0,49.696248
CSCO,2024-04-10 04:00:00+00:00,49.73,49.77,48.81,49.21,20026353.0,143819.0,49.118678
CSCO,2024-04-11 04:00:00+00:00,49.32,49.59,49.0,49.53,15703887.0,100022.0,49.376535
CSCO,2024-04-12 04:00:00+00:00,49.21,49.23,48.44,48.49,16416371.0,107404.0,48.712983
CSCO,2024-04-15 04:00:00+00:00,49.72,49.79,48.2,48.24,20310808.0,127711.0,48.622946
CSCO,2024-04-16 04:00:00+00:00,48.47,48.51,47.84,47.92,14233427.0,101601.0,48.052776
CSCO,2024-04-17 04:00:00+00:00,48.0,48.28,47.7101,47.79,14407572.0,87265.0,47.879808
