symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CVS,2024-03-13 04:00:00+00:00,75.15,76.01,74.76,75.08,5155664.0,60009.0,75.221447
CVS,2024-03-14 04:00:00+00:00,74.77,76.5,74.275,76.42,7849061.0,85433.0,75.847295
CVS,2024-03-15 04:00:00+00:00,75.6,77.6064,75.6,77.4,17144918.0,84937.0,77.132292
CVS,2024-03-18 04:00:00+00:00,77.26,77.64,76.39,77.57,7117438.0,71250.0,77.316153
CVS,2024-03-19 04:00:00+00:00,77.89,78.9,77.69,78.06,7177994.0,71585.0,78.23243
CVS,2024-03-20 04:00:00+00:00,77.74,79.0,77.625,78.98,6446364.0,64451.0,78.5056
CVS,2024-03-21 04:00:00+00:00,78.59,78.94,77.4,78.27,8800017.0,74454.0,78.353446
CVS,2024-03-22 04:00:00+00:00,78.38,79.5,78.38,78.48,11110471.0,68438.0,78.809151
CVS,2024-03-25 04:00:00+00:00,78.83,79.83,78.55,78.98,7956840.0,68835.0,78.930642
CVS,2024-03-26 04:00:00+00:00,77.66,79.745,77.66,79.32,10158917.0,80127.0,79.228053
CVS,2024-03-27 04:00:00+00:00,79.55,79.99,78.71,79.43,10263568.0,68045.0,79.276224
CVS,2024-03-28 04:00:00+00:00,79.54,80.75,79.315,79.76,8981310.0,67988.0,79.816942
CVS,2024-04-01 04:00:00+00:00,79.73,79.98,79.1,79.56,8967665.0,58873.0,79.484581
CVS,2024-04-02 04:00:00+00:00,74.88,75.19,71.96,73.82,23677328.0,193736.0,73.28241
CVS,2024-04-03 04:00:00+00:00,74.04,74.7,73.32,74.6,9200700.0,85540.0,74.23484
CVS,2024-04-04 04:00:00+00:00,74.88,75.27,73.78,73.9,5816269.0,68982.0,74.466129
CVS,2024-04-05 04:00:00+00:00,74.06,75.12,73.7,74.58,6366618.0,60790.0,74.635169
CVS,2024-04-08 04:00:00+00:00,74.41,74.75,73.835,74.44,6497038.0,56705.0,74.440693
CVS,2024-04-09 04:00:00+00:00,74.74,74.85,73.11,73.36,5935359.0,61285.0,73.486798
CVS,2024-04-10 04:00:00+00:00,73.1,73.18,70.84,71.15,8366055.0,94869.0,71.422273
CVS,2024-04-11 04:00:00+00:00,71.12,71.21,69.7,69.74,10455283.0,102514.0,70.015352
CVS,2024-04-12 04:00:00+00:00,69.54,69.8583,68.3175,68.64,7690584.0,84248.0,68.839956
CVS,2024-04-15 04:00:00+00:00,69.12,70.0,68.775,68.96,7236243.0,70345.0,69.283307
CVS,2024-04-16 04:00:00+00:00,71.66,71.66,68.97,69.03,9607388.0,93899.0,69.523667
CVS,2024-04-17 04:00:00+00:00,69.09,69.4,67.96,68.6,8100101.0,77416.0,68.535812
CVS,2024-04-18 04:00:00+00:00,69.17,69.6,68.86,69.39,10087092.0,83893.0,69.249735
CVS,2024-04-19 04:00:00+00:00,69.17,69.935,68.79,69.75,7809721.0,71606.0,69.602789
CVS,2024-04-22 04:00:00+00:00,69.49,70.12,69.13,69.63,5701582.0,63722.0,69.69037
CVS,2024-04-23 04:00:00+00:00,69.82,70.21,68.375,68.5,8450704.0,85978.0,68.986809
CVS,2024-04-24 04:00:00+00:00,68.1,68.21,67.48,67.77,8651960.0,84245.0,67.859967
CVS,2024-04-25 04:00:00+00:00,67.5,67.75,66.875,67.33,8918219.0,76088.0,67.214242
CVS,2024-04-26 04:00:00+00:00,67.21,67.42,66.75,67.18,6396438.0,65267.0,67.163554
CVS,2024-04-29 04:00:00+00:00,67.14,67.875,67.08,67.45,6556349.0,66250.0,67.454969
CVS,2024-04-30 04:00:00+00:00,67.2,68.185,66.92,67.71,13488466.0,96914.0,67.771851
CVS,2024-05-01 04:00:00+00:00,56.0,56.885,54.0,56.31,65769862.0,462985.0,55.643958
CVS,2024-05-02 04:00:00+00:00,56.39,56.74,53.7,55.15,37885245.0,273534.0,54.6007
CVS,2024-05-03 04:00:00+00:00,55.22,56.43,54.96,55.9,23946075.0,161705.0,55.689402
CVS,2024-05-06 04:00:00+00:00,55.99,56.27,55.32,55.97,16620136.0,116073.0,55.671986
CVS,2024-05-07 04:00:00+00:00,55.66,57.09,55.58,55.74,17488119.0,125507.0,56.170953
CVS,2024-05-08 04:00:00+00:00,55.79,56.06,54.685,54.91,13625329.0,102246.0,55.127843
CVS,2024-05-09 04:00:00+00:00,54.9,55.74,54.72,55.68,10300491.0,81349.0,55.331436
CVS,2024-05-10 04:00:00+00:00,55.72,56.44,55.57,55.82,9288418.0,79714.0,55.950424
CVS,2024-05-13 04:00:00+00:00,55.91,57.55,55.88,56.47,11767627.0,99460.0,56.689443
CVS,2024-05-14 04:00:00+00:00,56.69,57.1024,55.2,56.0,15410680.0,119477.0,55.716082
CVS,2024-05-15 04:00:00+00:00,56.21,56.4928,55.635,56.26,16430970.0,112269.0,55.948554
CVS,2024-05-16 04:00:00+00:00,56.36,57.725,56.29,57.52,13974759.0,105919.0,57.443846
CVS,2024-05-17 04:00:00+00:00,57.65,57.695,57.08,57.68,9607690.0,79176.0,57.384731
CVS,2024-05-20 04:00:00+00:00,57.65,57.87,57.27,57.4,11475943.0,82940.0,57.483644
CVS,2024-05-21 04:00:00+00:00,57.45,57.49,56.7,57.32,16758056.0,95363.0,57.186389
CVS,2024-05-22 04:00:00+00:00,57.42,57.56,57.16,57.44,9543931.0,70001.0,57.405551
CVS,2024-05-23 04:00:00+00:00,57.18,59.73,55.48,55.65,18271083.0,109544.0,56.744939
CVS,2024-05-24 04:00:00+00:00,56.13,56.85,55.53,55.54,11725739.0,87585.0,56.001062
CVS,2024-05-28 04:00:00+00:00,55.38,55.385,53.58,53.63,14387106.0,120173.0,54.187969
CVS,2024-05-29 04:00:00+00:00,53.2,53.72,52.7705,53.67,16543442.0,109877.0,53.403979
CVS,2024-05-30 04:00:00+00:00,53.67,56.22,53.6,56.04,16154336.0,121233.0,55.385918
CVS,2024-05-31 04:00:00+00:00,56.0,59.62,55.82,59.6,22366748.0,155549.0,58.482307
CVS,2024-06-03 04:00:00+00:00,59.13,60.44,59.0025,60.21,17087324.0,117978.0,59.959814
CVS,2024-06-04 04:00:00+00:00,60.19,60.42,59.33,60.26,12873084.0,86134.0,60.010324
CVS,2024-06-05 04:00:00+00:00,60.26,60.71,59.62,60.7,8933039.0,73180.0,60.313676
CVS,2024-06-06 04:00:00+00:00,60.5,61.0095,59.91,60.94,9545860.0,76917.0,60.57011
CVS,2024-06-07 04:00:00+00:00,60.7,61.95,60.56,61.78,12239983.0,90372.0,61.54487
CVS,2024-06-10 04:00:00+00:00,61.53,61.53,59.905,60.28,10633370.0,93757.0,60.500872
CVS,2024-06-11 04:00:00+00:00,60.08,60.21,59.555,60.0,10286321.0,75597.0,59.909541
CVS,2024-06-12 04:00:00+00:00,59.96,60.33,59.32,59.99,10617899.0,83404.0,59.849477
CVS,2024-06-13 04:00:00+00:00,59.87,61.84,59.07,61.03,14136576.0,117766.0,60.535428
CVS,2024-06-14 04:00:00+00:00,60.92,60.93,59.16,60.22,11690758.0,89824.0,59.97847
CVS,2024-06-17 04:00:00+00:00,60.0,61.235,59.84,61.09,7791324.0,66961.0,60.835226
CVS,2024-06-18 04:00:00+00:00,61.3,61.87,60.87,61.01,8908978.0,74566.0,61.154058
CVS,2024-06-20 04:00:00+00:00,60.81,61.33,60.4,61.0,6899505.0,66071.0,60.97168
CVS,2024-06-21 04:00:00+00:00,61.12,61.63,60.48,61.37,20871253.0,78888.0,61.29308
CVS,2024-06-24 04:00:00+00:00,61.5,62.065,61.27,61.73,8704665.0,71247.0,61.674721
CVS,2024-06-25 04:00:00+00:00,61.73,61.98,60.44,60.44,8446888.0,70029.0,60.969876
CVS,2024-06-26 04:00:00+00:00,60.23,60.95,59.77,60.63,8197761.0,66203.0,60.413157
CVS,2024-06-27 04:00:00+00:00,58.37,58.485,57.22,58.36,16224729.0,116126.0,58.059774
CVS,2024-06-28 04:00:00+00:00,59.0,59.985,58.47,59.06,14307569.0,96596.0,59.107149
CVS,2024-07-01 04:00:00+00:00,59.2,60.02,57.81,58.15,8337910.0,79026.0,58.72225
CVS,2024-07-02 04:00:00+00:00,58.04,58.22,57.2292,57.52,7143034.0,67667.0,57.632462
CVS,2024-07-03 04:00:00+00:00,57.56,57.85,56.45,56.7,5371350.0,53660.0,56.86468
CVS,2024-07-05 04:00:00+00:00,56.67,56.74,55.85,56.62,6275293.0,71616.0,56.406285
CVS,2024-07-08 04:00:00+00:00,56.65,57.38,56.615,56.89,5908211.0,62115.0,56.944467
CVS,2024-07-09 04:00:00+00:00,56.27,57.725,55.84,57.62,8833790.0,79450.0,57.132851
CVS,2024-07-10 04:00:00+00:00,57.87,58.05,56.36,57.53,11035018.0,72642.0,57.156943
CVS,2024-07-11 04:00:00+00:00,57.42,58.34,57.42,58.21,7531390.0,77608.0,57.984316
CVS,2024-07-12 04:00:00+00:00,58.3,59.57,57.8507,59.0,8220232.0,70603.0,58.88263
CVS,2024-07-15 04:00:00+00:00,59.64,59.97,58.415,58.67,6186530.0,64917.0,58.894998
CVS,2024-07-16 04:00:00+00:00,59.32,60.23,58.81,60.06,9724216.0,80352.0,59.787875
CVS,2024-07-17 04:00:00+00:00,59.87,62.01,59.76,61.6,12382503.0,98424.0,61.487139
CVS,2024-07-18 04:00:00+00:00,61.0,61.99,59.765,59.91,6968921.0,70046.0,60.630538
CVS,2024-07-19 04:00:00+00:00,60.28,60.46,59.13,59.57,7143914.0,65851.0,59.668342
CVS,2024-07-22 04:00:00+00:00,58.88,59.06,58.08,58.33,7913647.0,75112.0,58.495427
CVS,2024-07-23 04:00:00+00:00,58.17,58.21,57.32,57.97,7460520.0,67502.0,57.796056
CVS,2024-07-24 04:00:00+00:00,58.08,58.63,57.43,58.54,10223211.0,63578.0,58.268645
CVS,2024-07-25 04:00:00+00:00,58.87,60.04,58.27,58.65,8178244.0,72776.0,58.995963
CVS,2024-07-26 04:00:00+00:00,59.02,61.1,58.91,61.0,14553173.0,82425.0,60.607564
CVS,2024-07-29 04:00:00+00:00,60.69,62.04,60.27,61.57,9237813.0,90804.0,61.451575
CVS,2024-07-30 04:00:00+00:00,61.67,63.92,61.67,63.18,10469408.0,97826.0,63.187898
CVS,2024-07-31 04:00:00+00:00,60.84,62.1,60.13,60.33,12826552.0,93170.0,60.969708
CVS,2024-08-01 04:00:00+00:00,60.88,61.55,59.45,60.03,9214930.0,90786.0,59.989117
CVS,2024-08-02 04:00:00+00:00,60.24,60.64,58.19,59.32,8695521.0,92163.0,58.965437
CVS,2024-08-05 04:00:00+00:00,58.0,58.76,57.07,57.81,9479794.0,101572.0,57.717111
CVS,2024-08-06 04:00:00+00:00,57.69,58.96,57.33,58.34,11471861.0,108670.0,58.213405
CVS,2024-08-07 04:00:00+00:00,58.0,58.6098,56.27,56.47,14975963.0,144220.0,57.250548
CVS,2024-08-08 04:00:00+00:00,56.3,58.1,56.21,57.85,11683608.0,104642.0,57.681512
CVS,2024-08-09 04:00:00+00:00,57.8,57.85,56.65,57.11,8345205.0,68855.0,57.203433
CVS,2024-08-12 04:00:00+00:00,57.21,57.22,55.6,55.81,8390242.0,74009.0,56.111164
CVS,2024-08-13 04:00:00+00:00,55.9,56.49,55.745,55.82,7839264.0,71153.0,55.984242
CVS,2024-08-14 04:00:00+00:00,55.88,56.4223,55.75,55.99,5873232.0,55967.0,56.097538
CVS,2024-08-15 04:00:00+00:00,56.39,57.57,56.29,57.56,10041033.0,84660.0,56.971281
CVS,2024-08-16 04:00:00+00:00,57.36,58.54,57.3,58.35,7442666.0,61918.0,58.143914
CVS,2024-08-19 04:00:00+00:00,58.41,59.14,58.38,58.8,7469140.0,55194.0,58.816267
CVS,2024-08-20 04:00:00+00:00,58.7,59.2499,58.5147,58.9,4178664.0,44737.0,58.935537
CVS,2024-08-21 04:00:00+00:00,58.99,59.24,58.08,58.32,4730369.0,44954.0,58.418451
CVS,2024-08-22 04:00:00+00:00,58.46,58.46,57.165,57.74,7883056.0,69234.0,57.641831
CVS,2024-08-23 04:00:00+00:00,58.06,58.85,57.765,58.75,9614381.0,74548.0,58.586839
CVS,2024-08-26 04:00:00+00:00,58.7,59.79,58.57,58.7,6892582.0,56775.0,59.055525
CVS,2024-08-27 04:00:00+00:00,58.62,58.74,57.43,57.46,6180854.0,49679.0,57.801881
CVS,2024-08-28 04:00:00+00:00,57.5,57.93,56.77,57.24,7963588.0,62816.0,57.154306
CVS,2024-08-29 04:00:00+00:00,57.35,57.4838,56.5,56.97,9180970.0,78712.0,57.000065
