symbol,timestamp,open,high,low,close,volume,trade_count,vwap
C,2024-03-13 04:00:00+00:00,57.5,58.37,57.46,57.76,12982774.0,112594.0,57.897435
C,2024-03-14 04:00:00+00:00,58.33,58.665,56.635,57.09,18833597.0,129466.0,57.245458
C,2024-03-15 04:00:00+00:00,56.45,57.75,56.45,57.61,26164256.0,129326.0,57.468268
C,2024-03-18 04:00:00+00:00,57.85,58.655,57.56,58.63,13994637.0,98305.0,58.330602
C,2024-03-19 04:00:00+00:00,58.59,59.32,58.54,58.86,13455324.0,107941.0,58.918644
C,2024-03-20 04:00:00+00:00,58.49,60.34,58.46,60.13,20269922.0,130797.0,59.726089
C,2024-03-21 04:00:00+00:00,60.31,61.545,60.31,61.33,17892063.0,134574.0,61.070151
C,2024-03-22 04:00:00+00:00,61.04,61.67,60.58,60.82,16206751.0,103675.0,60.899123
C,2024-03-25 04:00:00+00:00,60.89,61.52,60.58,60.95,12040348.0,93996.0,60.959769
C,2024-03-26 04:00:00+00:00,61.15,61.95,61.0,61.66,17947413.0,116597.0,61.652079
C,2024-03-27 04:00:00+00:00,62.03,62.76,61.72,62.75,16684396.0,120928.0,62.32811
C,2024-03-28 04:00:00+00:00,62.73,63.365,62.58,63.24,19011955.0,120282.0,63.15963
C,2024-04-01 04:00:00+00:00,63.6,63.9,63.02,63.46,14223891.0,103677.0,63.435218
C,2024-04-02 04:00:00+00:00,62.65,63.59,62.65,62.84,16062020.0,111647.0,63.019304
C,2024-04-03 04:00:00+00:00,62.86,63.39,61.5199,61.69,18079907.0,130049.0,62.137996
C,2024-04-04 04:00:00+00:00,62.15,62.74,60.75,60.91,13401117.0,116834.0,61.67829
C,2024-04-05 04:00:00+00:00,60.82,62.04,60.4237,61.6,12686337.0,105938.0,61.375007
C,2024-04-08 04:00:00+00:00,61.67,62.32,61.66,61.73,10708294.0,80121.0,61.898432
C,2024-04-09 04:00:00+00:00,61.75,62.09,60.905,61.66,10302993.0,89837.0,61.458115
C,2024-04-10 04:00:00+00:00,60.52,61.305,59.97,60.18,18087994.0,130556.0,60.380445
C,2024-04-11 04:00:00+00:00,60.35,60.89,59.5,60.71,18181851.0,133228.0,60.403512
C,2024-04-12 04:00:00+00:00,62.29,62.6,58.75,59.68,28557403.0,235098.0,59.998232
C,2024-04-15 04:00:00+00:00,60.18,60.91,58.19,58.56,19242295.0,141708.0,58.990193
C,2024-04-16 04:00:00+00:00,58.18,58.55,56.74,57.02,23211424.0,176896.0,57.182532
C,2024-04-17 04:00:00+00:00,57.49,58.89,57.36,58.17,15971649.0,128470.0,58.218182
C,2024-04-18 04:00:00+00:00,58.49,58.97,57.93,58.32,12272458.0,96304.0,58.407757
C,2024-04-19 04:00:00+00:00,58.23,59.439,58.23,59.14,13410056.0,107047.0,59.095138
C,2024-04-22 04:00:00+00:00,59.44,61.055,59.2,60.95,14513095.0,123944.0,60.469599
C,2024-04-23 04:00:00+00:00,61.08,62.77,61.02,62.67,17427795.0,142567.0,62.360206
C,2024-04-24 04:00:00+00:00,62.13,62.73,61.84,62.47,10122993.0,97455.0,62.387764
C,2024-04-25 04:00:00+00:00,61.84,62.43,61.1,61.79,13339114.0,95558.0,61.669496
C,2024-04-26 04:00:00+00:00,61.51,63.225,61.51,62.66,16364096.0,119598.0,62.590168
C,2024-04-29 04:00:00+00:00,62.74,63.355,61.955,62.26,11296694.0,90210.0,62.528929
C,2024-04-30 04:00:00+00:00,61.91,62.335,61.29,61.33,11163388.0,79845.0,61.698341
C,2024-05-01 04:00:00+00:00,61.48,62.27,60.8814,61.35,14119056.0,122262.0,61.386288
C,2024-05-02 04:00:00+00:00,62.19,62.19,60.98,61.54,11292522.0,96439.0,61.491185
C,2024-05-03 04:00:00+00:00,61.51,62.15,61.41,61.52,11048877.0,95044.0,61.656991
C,2024-05-06 04:00:00+00:00,62.055,62.94,61.72,62.81,13386734.0,106743.0,62.558426
C,2024-05-07 04:00:00+00:00,62.82,63.16,61.97,62.0,10158245.0,89237.0,62.3572
C,2024-05-08 04:00:00+00:00,61.64,62.95,61.51,62.75,9755184.0,80976.0,62.536405
C,2024-05-09 04:00:00+00:00,62.38,63.4299,62.285,63.32,11563041.0,82540.0,63.125125
C,2024-05-10 04:00:00+00:00,63.58,63.92,63.12,63.53,9548738.0,81177.0,63.529791
C,2024-05-13 04:00:00+00:00,63.62,63.95,63.37,63.4,6617927.0,60309.0,63.566015
C,2024-05-14 04:00:00+00:00,63.51,63.965,63.23,63.59,8322542.0,73397.0,63.668385
C,2024-05-15 04:00:00+00:00,63.63,64.39,63.6015,64.24,9461304.0,99484.0,64.016852
C,2024-05-16 04:00:00+00:00,64.1,64.47,63.425,64.14,11682207.0,90017.0,64.117915
C,2024-05-17 04:00:00+00:00,64.38,64.55,63.9,64.07,8418394.0,68736.0,64.180722
C,2024-05-20 04:00:00+00:00,64.07,64.25,62.92,63.16,11792074.0,88049.0,63.470972
C,2024-05-21 04:00:00+00:00,63.26,64.88,63.2,64.74,11197241.0,95908.0,64.314434
C,2024-05-22 04:00:00+00:00,64.29,64.98,63.64,63.82,8855269.0,83287.0,64.144916
C,2024-05-23 04:00:00+00:00,63.8,64.03,62.5,63.02,11535002.0,110582.0,63.242519
C,2024-05-24 04:00:00+00:00,63.33,63.965,63.27,63.58,9424967.0,70142.0,63.587358
C,2024-05-28 04:00:00+00:00,63.23,63.57,62.35,62.45,8404372.0,77601.0,62.781762
C,2024-05-29 04:00:00+00:00,61.56,62.18,61.2,62.01,7224238.0,71951.0,61.777057
C,2024-05-30 04:00:00+00:00,62.1,62.48,61.61,61.93,10072775.0,86852.0,62.025078
C,2024-05-31 04:00:00+00:00,62.0,62.39,61.44,62.31,17351604.0,91813.0,62.158354
C,2024-06-03 04:00:00+00:00,62.92,63.0,61.32,61.92,11373921.0,95195.0,61.93417
C,2024-06-04 04:00:00+00:00,61.02,62.029,60.76,61.03,10424195.0,93163.0,61.178058
C,2024-06-05 04:00:00+00:00,61.28,61.86,60.93,61.77,8780723.0,77516.0,61.479148
C,2024-06-06 04:00:00+00:00,61.8,62.045,61.25,61.94,8537891.0,76834.0,61.798928
C,2024-06-07 04:00:00+00:00,61.6,62.585,61.58,61.78,8260840.0,71929.0,62.005363
C,2024-06-10 04:00:00+00:00,61.25,61.66,60.74,61.43,9302388.0,81750.0,61.32413
C,2024-06-11 04:00:00+00:00,60.77,60.79,58.9,59.14,16966763.0,139782.0,59.354538
C,2024-06-12 04:00:00+00:00,60.91,61.21,59.9,60.01,15398496.0,137902.0,60.414682
C,2024-06-13 04:00:00+00:00,59.75,60.37,59.15,60.23,9358195.0,86917.0,59.92528
C,2024-06-14 04:00:00+00:00,59.44,59.8299,58.655,59.33,10511048.0,96989.0,59.31765
C,2024-06-17 04:00:00+00:00,59.22,60.53,58.85,60.06,15527476.0,137011.0,59.858236
C,2024-06-18 04:00:00+00:00,60.37,61.63,60.09,60.78,15768053.0,133838.0,60.812748
C,2024-06-20 04:00:00+00:00,60.42,61.02,60.35,60.62,9519180.0,99449.0,60.635525
C,2024-06-21 04:00:00+00:00,60.2,60.255,59.34,59.99,18976896.0,109710.0,59.910372
C,2024-06-24 04:00:00+00:00,60.1,61.78,59.84,61.34,13290453.0,110228.0,61.094326
C,2024-06-25 04:00:00+00:00,61.2,61.83,60.86,61.58,11729086.0,84044.0,61.481515
C,2024-06-26 04:00:00+00:00,61.23,61.41,60.555,61.25,12409271.0,98720.0,61.044521
C,2024-06-27 04:00:00+00:00,61.5,61.93,60.959,61.55,11285112.0,92184.0,61.446491
C,2024-06-28 04:00:00+00:00,62.025,63.58,61.81,63.46,20000638.0,121654.0,63.077996
C,2024-07-01 04:00:00+00:00,63.65,64.3,62.985,63.43,15334400.0,112970.0,63.542944
C,2024-07-02 04:00:00+00:00,63.29,64.71,63.28,64.68,10965595.0,92478.0,64.311429
C,2024-07-03 04:00:00+00:00,64.68,65.22,64.405,64.46,6574081.0,55314.0,64.73598
C,2024-07-05 04:00:00+00:00,64.5,64.56,63.75,64.03,7226209.0,83010.0,64.039107
C,2024-07-08 04:00:00+00:00,64.3,64.87,64.22,64.74,10348972.0,78691.0,64.66416
C,2024-07-09 04:00:00+00:00,64.8,66.76,64.74,66.55,16925031.0,138995.0,66.236241
C,2024-07-10 04:00:00+00:00,66.26,66.99,66.22,66.98,9817096.0,92677.0,66.781054
C,2024-07-11 04:00:00+00:00,66.185,66.5,65.305,65.71,20122304.0,175402.0,65.781151
C,2024-07-12 04:00:00+00:00,66.61,66.69,63.35,64.52,30125385.0,265579.0,64.424649
C,2024-07-15 04:00:00+00:00,64.675,65.55,63.88,65.14,16656553.0,156077.0,64.835117
C,2024-07-16 04:00:00+00:00,65.0,67.52,64.7,67.27,21170239.0,182679.0,66.6739
C,2024-07-17 04:00:00+00:00,66.84,67.81,66.62,67.61,17215269.0,130802.0,67.496619
C,2024-07-18 04:00:00+00:00,67.55,67.7499,64.84,64.89,15796198.0,129971.0,65.784254
C,2024-07-19 04:00:00+00:00,64.93,65.98,64.55,65.14,8583112.0,92329.0,65.301622
C,2024-07-22 04:00:00+00:00,65.14,65.65,64.15,64.5,9925126.0,89256.0,64.62574
C,2024-07-23 04:00:00+00:00,64.51,65.04,64.28,64.66,6961348.0,69192.0,64.707034
C,2024-07-24 04:00:00+00:00,64.4,64.67,63.56,63.66,11591130.0,87922.0,63.923423
