symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DIS,2024-03-13 04:00:00+00:00,112.74,114.13,112.435,112.5,7267902.0,96428.0,112.989506
DIS,2024-03-14 04:00:00+00:00,111.74,112.35,109.51,112.06,10520462.0,124992.0,111.199706
DIS,2024-03-15 04:00:00+00:00,111.6,112.96,111.4,111.95,15364181.0,115094.0,112.076644
DIS,2024-03-18 04:00:00+00:00,112.29,114.43,112.29,113.85,11820763.0,131401.0,113.766701
DIS,2024-03-19 04:00:00+00:00,113.41,115.17,113.2431,114.51,10999744.0,129262.0,114.498323
DIS,2024-03-20 04:00:00+00:00,114.61,116.51,114.36,116.46,11699645.0,122397.0,115.582593
DIS,2024-03-21 04:00:00+00:00,116.99,117.36,115.86,116.7,10353545.0,121258.0,116.748014
DIS,2024-03-22 04:00:00+00:00,116.92,117.66,115.84,115.87,7144785.0,88170.0,116.230029
DIS,2024-03-25 04:00:00+00:00,116.97,119.41,116.87,119.36,12103553.0,151693.0,118.75104
DIS,2024-03-26 04:00:00+00:00,119.63,120.4,118.19,119.93,11870043.0,136471.0,119.558814
DIS,2024-03-27 04:00:00+00:00,120.955,122.0262,120.0201,120.98,10782835.0,122517.0,120.891739
DIS,2024-03-28 04:00:00+00:00,121.25,123.74,121.2,122.36,15367421.0,162936.0,122.514498
DIS,2024-04-01 04:00:00+00:00,122.06,122.3999,120.78,121.53,8419727.0,128732.0,121.472775
DIS,2024-04-02 04:00:00+00:00,120.22,123.53,120.16,122.82,15517067.0,169145.0,121.960731
DIS,2024-04-03 04:00:00+00:00,122.27,123.6902,118.38,118.98,22480435.0,220703.0,120.324861
DIS,2024-04-04 04:00:00+00:00,119.22,120.19,116.96,117.09,13815399.0,148077.0,118.732443
DIS,2024-04-05 04:00:00+00:00,116.6,118.86,116.3,118.38,9653915.0,111608.0,118.225566
DIS,2024-04-08 04:00:00+00:00,118.02,118.52,116.82,117.35,6266011.0,99155.0,117.449774
DIS,2024-04-09 04:00:00+00:00,117.38,118.51,116.89,117.97,7455367.0,88765.0,117.905318
DIS,2024-04-10 04:00:00+00:00,116.6,117.56,116.37,117.19,6746282.0,87749.0,117.103718
DIS,2024-04-11 04:00:00+00:00,117.59,118.28,116.37,117.15,6559411.0,89647.0,117.329569
DIS,2024-04-12 04:00:00+00:00,116.39,116.7,113.73,114.01,12152474.0,138180.0,114.40084
DIS,2024-04-15 04:00:00+00:00,114.875,115.55,112.77,112.95,9637095.0,119099.0,113.605649
DIS,2024-04-16 04:00:00+00:00,112.82,114.5,112.52,113.88,9291419.0,94309.0,113.821475
DIS,2024-04-17 04:00:00+00:00,114.0,114.21,112.89,112.94,7378993.0,89848.0,113.41977
DIS,2024-04-18 04:00:00+00:00,113.18,114.25,112.19,112.43,8235636.0,92577.0,112.908054
DIS,2024-04-19 04:00:00+00:00,111.72,112.715,111.08,112.61,9436023.0,105255.0,112.086966
DIS,2024-04-22 04:00:00+00:00,113.1,113.64,111.75,111.99,6901689.0,87324.0,112.378644
DIS,2024-04-23 04:00:00+00:00,112.83,114.24,112.8,113.71,6839318.0,88847.0,113.568789
DIS,2024-04-24 04:00:00+00:00,113.14,114.18,113.14,113.92,6157230.0,77432.0,113.672607
DIS,2024-04-25 04:00:00+00:00,111.22,112.89,110.39,112.77,8045906.0,112256.0,112.058382
DIS,2024-04-26 04:00:00+00:00,111.85,113.0218,111.32,112.73,6304843.0,77541.0,112.497627
DIS,2024-04-29 04:00:00+00:00,113.04,113.88,110.34,112.08,7169209.0,79872.0,112.35716
DIS,2024-04-30 04:00:00+00:00,112.0,112.04,110.8,111.1,8156575.0,96153.0,111.270437
DIS,2024-05-01 04:00:00+00:00,111.29,111.99,110.21,110.48,6346109.0,89647.0,110.847307
DIS,2024-05-02 04:00:00+00:00,111.43,112.87,110.56,112.62,6799805.0,94101.0,111.9799
DIS,2024-05-03 04:00:00+00:00,113.54,114.11,112.7996,113.66,7411112.0,98454.0,113.566095
DIS,2024-05-06 04:00:00+00:00,114.8,116.94,114.15,116.47,16303234.0,204558.0,116.087219
DIS,2024-05-07 04:00:00+00:00,107.25,107.88,104.21,105.39,55084617.0,555381.0,105.645015
DIS,2024-05-08 04:00:00+00:00,104.9,106.48,104.44,105.44,15238111.0,162480.0,105.60838
DIS,2024-05-09 04:00:00+00:00,104.62,106.13,104.39,105.8,15095970.0,156776.0,105.650828
DIS,2024-05-10 04:00:00+00:00,106.92,107.02,105.42,105.79,15884574.0,150279.0,105.967318
DIS,2024-05-13 04:00:00+00:00,105.59,106.6408,105.59,105.83,9666409.0,115735.0,106.00045
DIS,2024-05-14 04:00:00+00:00,105.3,105.99,104.95,105.35,11278423.0,118332.0,105.37285
DIS,2024-05-15 04:00:00+00:00,105.62,105.88,101.39,102.77,20745621.0,234239.0,102.739886
DIS,2024-05-16 04:00:00+00:00,103.04,104.03,102.84,103.37,9476686.0,118474.0,103.50951
DIS,2024-05-17 04:00:00+00:00,103.63,103.82,103.04,103.25,7355999.0,85846.0,103.36067
DIS,2024-05-20 04:00:00+00:00,103.33,103.67,102.52,102.9,7667435.0,93511.0,102.945362
DIS,2024-05-21 04:00:00+00:00,102.99,103.6999,102.72,103.01,7333306.0,84296.0,103.090159
DIS,2024-05-22 04:00:00+00:00,102.98,103.83,102.745,103.02,7190343.0,90902.0,103.259616
DIS,2024-05-23 04:00:00+00:00,102.98,103.01,100.27,100.66,10503993.0,138566.0,101.099607
DIS,2024-05-24 04:00:00+00:00,100.85,102.09,100.69,101.76,6451579.0,85370.0,101.617873
DIS,2024-05-28 04:00:00+00:00,101.36,102.8599,100.945,102.44,7813094.0,107397.0,102.171762
DIS,2024-05-29 04:00:00+00:00,101.76,102.08,100.77,100.88,7376258.0,107877.0,101.248316
DIS,2024-05-30 04:00:00+00:00,101.135,102.07,100.97,101.7,7303708.0,96853.0,101.648112
DIS,2024-05-31 04:00:00+00:00,101.52,104.08,101.41,103.91,14735791.0,119163.0,103.343586
DIS,2024-06-03 04:00:00+00:00,104.17,104.22,102.48,102.77,6908604.0,103322.0,102.950945
DIS,2024-06-04 04:00:00+00:00,102.105,103.49,101.63,103.33,7269109.0,83668.0,102.824812
DIS,2024-06-05 04:00:00+00:00,103.0,103.08,101.0299,101.5,10796877.0,130920.0,101.565539
DIS,2024-06-06 04:00:00+00:00,101.05,101.93,100.8101,101.21,10294705.0,126796.0,101.277036
DIS,2024-06-07 04:00:00+00:00,100.86,102.27,100.552,101.54,6047828.0,86115.0,101.581701
DIS,2024-06-10 04:00:00+00:00,101.25,102.845,100.635,102.74,7633073.0,103423.0,102.131746
DIS,2024-06-11 04:00:00+00:00,102.64,102.88,100.74,100.87,9134218.0,97828.0,101.402224
DIS,2024-06-12 04:00:00+00:00,101.2,101.69,100.25,100.8,9041768.0,114231.0,100.97393
DIS,2024-06-13 04:00:00+00:00,100.61,101.07,99.605,100.09,10164570.0,113418.0,100.038297
DIS,2024-06-14 04:00:00+00:00,99.81,100.38,99.25,99.97,7087573.0,87388.0,99.742311
DIS,2024-06-17 04:00:00+00:00,100.98,101.92,100.62,101.52,10388986.0,115671.0,101.351415
DIS,2024-06-18 04:00:00+00:00,101.12,101.76,100.61,101.5,7044674.0,88339.0,101.245315
DIS,2024-06-20 04:00:00+00:00,100.57,101.935,100.38,101.84,7886934.0,100676.0,101.422868
DIS,2024-06-21 04:00:00+00:00,101.795,102.54,101.585,102.27,14144918.0,87073.0,102.124533
DIS,2024-06-24 04:00:00+00:00,102.25,103.08,101.91,101.98,7393608.0,93073.0,102.224536
DIS,2024-06-25 04:00:00+00:00,102.66,103.677,101.77,102.2,10343709.0,104332.0,102.230349
DIS,2024-06-26 04:00:00+00:00,101.9,102.37,101.43,102.18,10122311.0,93133.0,102.071627
DIS,2024-06-27 04:00:00+00:00,102.04,102.28,101.81,102.17,8365165.0,97650.0,102.056388
DIS,2024-06-28 04:00:00+00:00,102.02,102.58,98.38,99.29,21399419.0,188471.0,99.730225
DIS,2024-07-01 04:00:00+00:00,99.4,99.74,97.88,98.04,15298971.0,147089.0,98.295805
DIS,2024-07-02 04:00:00+00:00,97.935,97.99,96.95,97.99,13340320.0,131997.0,97.494163
DIS,2024-07-03 04:00:00+00:00,97.84,99.08,97.83,98.61,5029969.0,71003.0,98.507447
DIS,2024-07-05 04:00:00+00:00,98.305,98.305,97.584,97.99,8550759.0,92405.0,97.902539
DIS,2024-07-08 04:00:00+00:00,97.69,98.29,96.89,97.37,8167589.0,103012.0,97.417594
DIS,2024-07-09 04:00:00+00:00,97.47,97.53,96.15,97.05,9048576.0,108168.0,96.869933
DIS,2024-07-10 04:00:00+00:00,96.95,97.2799,96.25,96.97,7761123.0,92869.0,96.718203
DIS,2024-07-11 04:00:00+00:00,97.01,97.58,96.3,96.6,7432590.0,101045.0,96.786119
DIS,2024-07-12 04:00:00+00:00,97.095,97.83,96.98,97.13,6465736.0,87356.0,97.334175
DIS,2024-07-15 04:00:00+00:00,97.33,97.49,96.6,96.87,7417699.0,96422.0,96.93859
DIS,2024-07-16 04:00:00+00:00,97.02,98.72,96.54,98.47,10755508.0,121758.0,97.977629
DIS,2024-07-17 04:00:00+00:00,98.3,98.61,96.53,97.31,9456087.0,118579.0,97.32304
DIS,2024-07-18 04:00:00+00:00,97.36,98.06,96.675,96.79,7529378.0,98765.0,97.141535
DIS,2024-07-19 04:00:00+00:00,96.82,96.82,95.44,95.74,9300963.0,99812.0,95.929987
DIS,2024-07-22 04:00:00+00:00,95.11,95.155,93.49,94.13,13377038.0,159760.0,94.067207
DIS,2024-07-23 04:00:00+00:00,90.7,91.69,89.83,90.94,22534730.0,251510.0,90.996471
DIS,2024-07-24 04:00:00+00:00,90.22,90.75,89.575,89.8,11768547.0,151216.0,89.992662
DIS,2024-07-25 04:00:00+00:00,90.08,90.5,89.21,89.21,10765285.0,121025.0,89.722274
DIS,2024-07-26 04:00:00+00:00,90.0,90.55,89.335,89.93,11301857.0,123326.0,89.940061
DIS,2024-07-29 04:00:00+00:00,90.39,92.55,90.19,92.14,13024847.0,150618.0,91.860705
DIS,2024-07-30 04:00:00+00:00,91.67,94.04,91.67,93.79,9896054.0,114317.0,93.155276
DIS,2024-07-31 04:00:00+00:00,93.785,94.835,93.64,93.69,10241834.0,105926.0,94.209936
DIS,2024-08-01 04:00:00+00:00,93.86,93.95,92.6,93.05,9263596.0,110850.0,93.102304
DIS,2024-08-02 04:00:00+00:00,92.16,92.2,89.0,89.57,15433552.0,172749.0,89.896833
DIS,2024-08-05 04:00:00+00:00,86.89,89.56,86.42,87.78,19103158.0,216269.0,88.318142
DIS,2024-08-06 04:00:00+00:00,88.23,91.91,87.96,89.97,21717509.0,224062.0,90.240553
DIS,2024-08-07 04:00:00+00:00,88.0,89.2447,85.75,85.96,30581926.0,313890.0,87.247326
DIS,2024-08-08 04:00:00+00:00,85.15,86.33,83.91,85.96,21890474.0,223793.0,85.332596
DIS,2024-08-09 04:00:00+00:00,86.13,86.25,84.71,86.21,16008396.0,138678.0,85.455596
DIS,2024-08-12 04:00:00+00:00,85.86,86.38,85.48,85.95,11754596.0,122798.0,85.934941
DIS,2024-08-13 04:00:00+00:00,86.46,86.46,85.31,85.6,14615212.0,159474.0,85.593523
DIS,2024-08-14 04:00:00+00:00,86.01,86.54,85.56,86.3,9475119.0,109549.0,86.10824
DIS,2024-08-15 04:00:00+00:00,87.25,88.925,87.21,88.79,12400986.0,145091.0,88.340043
DIS,2024-08-16 04:00:00+00:00,88.96,89.67,88.34,89.3,10277743.0,109408.0,89.185478
DIS,2024-08-19 04:00:00+00:00,89.41,90.95,89.41,90.82,9723589.0,114670.0,90.60821
DIS,2024-08-20 04:00:00+00:00,90.39,90.67,89.31,89.74,8863436.0,103854.0,89.769552
DIS,2024-08-21 04:00:00+00:00,90.22,90.78,89.43,90.72,7637566.0,93145.0,90.161834
DIS,2024-08-22 04:00:00+00:00,90.99,91.3757,89.695,89.92,7613030.0,99645.0,90.267536
DIS,2024-08-23 04:00:00+00:00,90.15,90.75,89.68,90.56,7369239.0,87780.0,90.249474
DIS,2024-08-26 04:00:00+00:00,90.92,91.8,90.92,91.78,8043757.0,102335.0,91.499175
DIS,2024-08-27 04:00:00+00:00,91.43,91.72,90.75,90.9,7237353.0,89616.0,91.049375
DIS,2024-08-28 04:00:00+00:00,90.33,90.6247,88.76,89.49,8569690.0,112268.0,89.389088
DIS,2024-08-29 04:00:00+00:00,90.45,90.7,89.63,89.81,6181750.0,83661.0,90.127517
DIS,2024-08-30 04:00:00+00:00,89.98,90.45,89.4001,90.38,8403632.0,91952.0,90.051103
DIS,2024-09-03 04:00:00+00:00,89.605,90.4877,88.535,89.13,8465469.0,122845.0,89.510907
DIS,2024-09-04 04:00:00+00:00,88.95,90.0201,88.82,89.25,6317221.0,86463.0,89.364672
DIS,2024-09-05 04:00:00+00:00,89.665,89.665,88.34,88.65,6234114.0,90177.0,88.820394
DIS,2024-09-06 04:00:00+00:00,88.45,89.09,87.72,87.94,7791503.0,92979.0,88.160143
DIS,2024-09-09 04:00:00+00:00,88.22,88.885,87.81,88.34,8750247.0,87839.0,88.300446
DIS,2024-09-10 04:00:00+00:00,88.33,88.89,87.98,88.4,6858313.0,87048.0,88.3789
DIS,2024-09-11 04:00:00+00:00,88.05,88.43,86.59,88.32,10779000.0,108001.0,87.777685
DIS,2024-09-12 04:00:00+00:00,88.22,89.3289,88.18,89.3,7181709.0,83806.0,89.040664
DIS,2024-09-13 04:00:00+00:00,89.45,90.72,89.39,90.55,7084239.0,91558.0,90.399311
DIS,2024-09-16 04:00:00+00:00,91.1,92.37,90.95,91.85,9028572.0,105340.0,91.761079
DIS,2024-09-17 04:00:00+00:00,92.37,93.25,92.17,92.86,8193075.0,107221.0,92.771096
DIS,2024-09-18 04:00:00+00:00,93.52,94.07,92.69,93.58,10289766.0,118018.0,93.397583
DIS,2024-09-19 04:00:00+00:00,94.82,95.29,93.32,93.45,10912446.0,118712.0,94.127957
DIS,2024-09-20 04:00:00+00:00,93.2,94.01,92.82,93.75,19251537.0,101504.0,93.55137
DIS,2024-09-23 04:00:00+00:00,93.695,93.7,92.16,92.97,7338661.0,88567.0,92.868703
DIS,2024-09-24 04:00:00+00:00,93.34,93.79,92.46,93.69,7860272.0,85802.0,93.373842
DIS,2024-09-25 04:00:00+00:00,93.64,94.44,93.352,93.92,8408242.0,95033.0,93.904944
DIS,2024-09-26 04:00:00+00:00,94.46,95.785,94.175,95.2,10061553.0,113549.0,95.119644
DIS,2024-09-27 04:00:00+00:00,95.485,96.9,95.28,96.01,10155420.0,111433.0,96.1797
DIS,2024-09-30 04:00:00+00:00,96.85,97.57,95.44,96.19,7988690.0,99637.0,96.160676
DIS,2024-10-01 04:00:00+00:00,95.19,95.85,93.3201,94.05,10099234.0,125886.0,94.240531
DIS,2024-10-02 04:00:00+00:00,93.59,94.58,93.59,94.15,6144176.0,85504.0,94.134924
DIS,2024-10-03 04:00:00+00:00,93.61,94.09,93.1306,93.63,6180349.0,74201.0,93.60972
DIS,2024-10-04 04:00:00+00:00,94.3,95.34,93.89,95.15,6317333.0,78952.0,94.72318
DIS,2024-10-07 04:00:00+00:00,95.09,95.14,91.76,92.39,11043614.0,136890.0,92.741014
DIS,2024-10-08 04:00:00+00:00,92.515,93.74,91.69,92.51,10209056.0,112541.0,92.822676
DIS,2024-10-09 04:00:00+00:00,91.86,94.01,91.46,93.6,8654470.0,107782.0,93.105093
DIS,2024-10-10 04:00:00+00:00,93.72,93.88,92.69,92.99,6698039.0,85375.0,93.114547
DIS,2024-10-11 04:00:00+00:00,92.85,94.61,92.8,94.13,8089133.0,86781.0,94.144458
DIS,2024-10-14 04:00:00+00:00,94.18,95.19,93.8,94.97,6261964.0,81371.0,94.86871
DIS,2024-10-15 04:00:00+00:00,95.25,95.65,93.68,94.22,6535756.0,94317.0,94.390022
DIS,2024-10-16 04:00:00+00:00,93.73,96.79,93.63,96.75,9936286.0,107760.0,95.902906
DIS,2024-10-17 04:00:00+00:00,96.93,97.33,95.61,96.54,9542501.0,108922.0,96.430525
DIS,2024-10-18 04:00:00+00:00,97.01,97.54,96.05,97.28,8609692.0,87909.0,97.062277
DIS,2024-10-21 04:00:00+00:00,97.2,97.45,95.95,96.62,8189949.0,92298.0,96.512285
DIS,2024-10-22 04:00:00+00:00,96.2,97.255,96.2,96.74,5344307.0,71259.0,96.836806
DIS,2024-10-23 04:00:00+00:00,96.93,97.1378,95.985,96.24,5388501.0,76794.0,96.46983
DIS,2024-10-24 04:00:00+00:00,96.6,96.8,95.2515,95.4,5015263.0,71017.0,95.654715
DIS,2024-10-25 04:00:00+00:00,95.81,96.8536,95.01,95.03,6638148.0,88963.0,95.625137
DIS,2024-10-28 04:00:00+00:00,95.22,96.685,95.21,96.2,8146379.0,86135.0,96.189096
DIS,2024-10-29 04:00:00+00:00,96.26,96.62,95.675,96.13,6834439.0,81622.0,96.285163
DIS,2024-10-30 04:00:00+00:00,95.7,96.71,94.94,95.08,7718201.0,95777.0,95.705733
DIS,2024-10-31 04:00:00+00:00,95.27,96.63,95.0,96.2,8147709.0,101619.0,96.195907
DIS,2024-11-01 04:00:00+00:00,95.7,96.39,94.83,95.81,7944869.0,93145.0,95.847623
DIS,2024-11-04 05:00:00+00:00,95.825,96.0188,95.03,95.79,6088036.0,87341.0,95.578851
DIS,2024-11-05 05:00:00+00:00,95.6,96.67,95.25,96.63,6561725.0,79433.0,96.398486
DIS,2024-11-06 05:00:00+00:00,98.21,99.55,98.21,98.89,11325086.0,135624.0,98.781862
DIS,2024-11-07 05:00:00+00:00,98.78,99.52,98.13,98.93,7805138.0,104459.0,99.016897
DIS,2024-11-08 05:00:00+00:00,98.73,99.26,97.61,99.02,7978679.0,104401.0,98.817341
DIS,2024-11-11 05:00:00+00:00,99.0,100.9,99.0,100.86,9137854.0,111731.0,100.398579
DIS,2024-11-12 05:00:00+00:00,100.55,101.29,99.5,100.99,9366216.0,119513.0,100.530166
DIS,2024-11-13 05:00:00+00:00,100.785,103.2,100.35,102.72,17701277.0,193770.0,102.237441
DIS,2024-11-14 05:00:00+00:00,110.33,114.81,108.4,109.12,47436052.0,496331.0,111.006887
DIS,2024-11-15 05:00:00+00:00,110.25,115.19,110.25,115.08,32011801.0,316729.0,113.665195
DIS,2024-11-18 05:00:00+00:00,113.33,115.435,112.89,113.54,14236555.0,178029.0,113.923989
DIS,2024-11-19 05:00:00+00:00,112.05,112.5,110.82,112.42,12166783.0,138242.0,111.875641
DIS,2024-11-20 05:00:00+00:00,112.26,114.37,111.47,114.26,9316962.0,106998.0,113.240213
DIS,2024-11-21 05:00:00+00:00,114.15,116.25,113.8343,114.72,10260983.0,119073.0,115.026129
DIS,2024-11-22 05:00:00+00:00,113.85,116.34,113.6,115.65,10098038.0,111100.0,115.494786
DIS,2024-11-25 05:00:00+00:00,115.68,116.5798,114.932,116.0,10397808.0,115753.0,115.869041
DIS,2024-11-26 05:00:00+00:00,116.0,116.42,115.44,115.45,6808149.0,81785.0,115.827899
DIS,2024-11-27 05:00:00+00:00,115.445,118.1998,115.445,117.6,8142388.0,100721.0,117.225735
DIS,2024-11-29 05:00:00+00:00,117.255,117.74,116.73,117.47,5095150.0,68733.0,117.292295
DIS,2024-12-02 05:00:00+00:00,117.78,118.63,116.55,117.16,8390465.0,102832.0,117.223659
DIS,2024-12-03 05:00:00+00:00,117.0,117.23,115.45,116.45,9193973.0,95632.0,116.380709
DIS,2024-12-04 05:00:00+00:00,115.97,117.29,115.84,116.99,7996244.0,86050.0,116.595077
DIS,2024-12-05 05:00:00+00:00,116.55,117.27,116.06,116.5,9823556.0,89792.0,116.551531
DIS,2024-12-06 05:00:00+00:00,116.55,117.26,116.22,116.73,6677906.0,79107.0,116.774578
