symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOW,2024-03-13 04:00:00+00:00,57.86,58.74,57.6,57.97,7650618.0,52642.0,58.091358
DOW,2024-03-14 04:00:00+00:00,57.66,57.91,56.925,57.32,6871552.0,52114.0,57.288007
DOW,2024-03-15 04:00:00+00:00,57.35,57.8,56.94,57.04,20629643.0,65421.0,57.083524
DOW,2024-03-18 04:00:00+00:00,57.4,57.41,56.559,56.74,7409071.0,51844.0,56.829931
DOW,2024-03-19 04:00:00+00:00,56.71,57.05,56.415,56.76,6782690.0,46179.0,56.777633
DOW,2024-03-20 04:00:00+00:00,56.57,58.71,56.38,58.17,7789651.0,59740.0,57.930432
DOW,2024-03-21 04:00:00+00:00,58.5,58.62,57.555,57.93,5870747.0,54900.0,57.970175
DOW,2024-03-22 04:00:00+00:00,57.99,58.21,57.58,57.68,3375990.0,33571.0,57.787022
DOW,2024-03-25 04:00:00+00:00,57.77,57.85,57.28,57.39,3422417.0,35955.0,57.438598
DOW,2024-03-26 04:00:00+00:00,57.67,57.69,57.06,57.07,3621593.0,35481.0,57.227823
DOW,2024-03-27 04:00:00+00:00,57.56,58.16,57.43,58.14,5126900.0,51883.0,57.866344
DOW,2024-03-28 04:00:00+00:00,58.2,58.44,57.8,57.93,4064553.0,39410.0,57.977731
DOW,2024-04-01 04:00:00+00:00,57.86,58.34,57.41,58.26,3827288.0,38438.0,58.091392
DOW,2024-04-02 04:00:00+00:00,58.33,59.375,58.0113,59.29,6330211.0,58863.0,58.973385
DOW,2024-04-03 04:00:00+00:00,59.38,60.28,59.38,59.99,4943209.0,55888.0,59.835559
DOW,2024-04-04 04:00:00+00:00,60.41,60.69,59.645,59.86,5382144.0,55003.0,60.062352
DOW,2024-04-05 04:00:00+00:00,59.99,59.99,59.09,59.69,3862415.0,41736.0,59.568394
DOW,2024-04-08 04:00:00+00:00,59.95,60.19,59.15,59.52,3775901.0,37913.0,59.455402
DOW,2024-04-09 04:00:00+00:00,59.95,60.25,59.4825,59.87,3574823.0,39512.0,59.883303
DOW,2024-04-10 04:00:00+00:00,59.21,59.64,58.37,58.85,4251898.0,43281.0,58.912309
DOW,2024-04-11 04:00:00+00:00,58.96,59.0,58.29,58.46,3432099.0,35667.0,58.58251
