symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DUK,2024-03-13 04:00:00+00:00,95.5,96.3,95.405,95.5,3519187.0,48439.0,95.737498
DUK,2024-03-14 04:00:00+00:00,95.4,95.82,94.34,95.05,3541005.0,42053.0,94.874697
DUK,2024-03-15 04:00:00+00:00,94.36,95.6589,94.36,94.71,6196962.0,39524.0,94.636489
DUK,2024-03-18 04:00:00+00:00,94.85,95.235,94.11,94.94,2736736.0,36214.0,94.798621
DUK,2024-03-19 04:00:00+00:00,95.26,95.59,94.55,95.14,2492617.0,34505.0,95.007094
DUK,2024-03-20 04:00:00+00:00,95.0,95.72,94.575,95.41,2682272.0,32959.0,95.390591
DUK,2024-03-21 04:00:00+00:00,95.49,96.05,94.93,94.96,2744971.0,37278.0,95.344138
DUK,2024-03-22 04:00:00+00:00,95.55,95.73,94.56,94.61,2308623.0,29787.0,94.946125
DUK,2024-03-25 04:00:00+00:00,94.88,95.16,94.39,94.84,2015963.0,28941.0,94.75432
DUK,2024-03-26 04:00:00+00:00,94.8,95.07,93.57,93.67,2823082.0,34025.0,93.863293
DUK,2024-03-27 04:00:00+00:00,94.1,96.13,94.03,96.09,3166169.0,42730.0,95.71093
DUK,2024-03-28 04:00:00+00:00,96.14,96.85,95.77,96.71,2637612.0,31163.0,96.596551
DUK,2024-04-01 04:00:00+00:00,96.5,96.59,95.375,96.07,1859657.0,25939.0,95.973551
DUK,2024-04-02 04:00:00+00:00,96.14,97.3601,95.46,96.54,2305630.0,28914.0,96.669205
DUK,2024-04-03 04:00:00+00:00,96.5,96.61,95.84,95.97,2278093.0,32693.0,96.083171
DUK,2024-04-04 04:00:00+00:00,96.74,96.87,95.195,96.12,2694691.0,37567.0,96.006283
DUK,2024-04-05 04:00:00+00:00,95.72,96.2,95.16,95.91,2525332.0,36738.0,95.80206
DUK,2024-04-08 04:00:00+00:00,95.63,96.55,95.54,96.31,2348712.0,33235.0,96.181898
DUK,2024-04-09 04:00:00+00:00,96.7,97.49,96.11,97.32,2460455.0,35627.0,97.010842
DUK,2024-04-10 04:00:00+00:00,95.71,96.08,94.51,95.41,2475509.0,41290.0,95.23608
DUK,2024-04-11 04:00:00+00:00,96.22,96.23,94.51,95.29,2116174.0,33385.0,95.312488
DUK,2024-04-12 04:00:00+00:00,95.64,95.92,94.615,94.9,2279785.0,37130.0,95.101958
DUK,2024-04-15 04:00:00+00:00,95.45,95.63,93.68,94.13,2623151.0,40308.0,94.137002
DUK,2024-04-16 04:00:00+00:00,94.0,94.0,92.745,92.87,2655575.0,39561.0,93.067192
DUK,2024-04-17 04:00:00+00:00,93.57,94.755,93.2,94.5,1768088.0,30659.0,94.190929
DUK,2024-04-18 04:00:00+00:00,94.91,96.03,94.21,95.93,2639328.0,36992.0,95.528489
DUK,2024-04-19 04:00:00+00:00,96.1,98.405,95.98,98.24,4212878.0,51586.0,97.764309
DUK,2024-04-22 04:00:00+00:00,98.13,98.5,97.7,98.12,2933073.0,45707.0,98.136517
DUK,2024-04-23 04:00:00+00:00,98.11,99.05,97.9,98.2,2148843.0,38221.0,98.350001
DUK,2024-04-24 04:00:00+00:00,97.51,99.19,96.68,98.96,2652668.0,38744.0,98.706503
DUK,2024-04-25 04:00:00+00:00,98.84,99.605,98.01,99.03,2540756.0,38727.0,98.976367
DUK,2024-04-26 04:00:00+00:00,99.0,99.22,97.62,97.71,1994792.0,32950.0,97.938283
DUK,2024-04-29 04:00:00+00:00,98.25,99.08,98.21,98.73,2125094.0,30938.0,98.671199
DUK,2024-04-30 04:00:00+00:00,98.29,98.9399,97.65,98.26,2565865.0,36792.0,98.320141
DUK,2024-05-01 04:00:00+00:00,97.95,100.56,97.49,99.78,4862019.0,56113.0,99.709612
DUK,2024-05-02 04:00:00+00:00,100.0,100.0783,98.58,99.31,2808054.0,40236.0,99.268775
DUK,2024-05-03 04:00:00+00:00,99.85,100.34,99.1,100.26,4338461.0,42677.0,100.005051
DUK,2024-05-06 04:00:00+00:00,100.49,100.74,99.85,100.42,3081700.0,39821.0,100.299316
DUK,2024-05-07 04:00:00+00:00,101.0,102.36,100.3,102.26,5230079.0,51145.0,101.787794
DUK,2024-05-08 04:00:00+00:00,102.43,102.64,101.67,102.38,3497934.0,48553.0,102.236171
DUK,2024-05-09 04:00:00+00:00,102.25,103.05,102.0,103.02,2996222.0,41469.0,102.808539
DUK,2024-05-10 04:00:00+00:00,103.49,103.64,102.6,102.67,2778688.0,41375.0,102.971613
DUK,2024-05-13 04:00:00+00:00,102.7,103.83,102.61,102.89,2185261.0,37522.0,103.004612
DUK,2024-05-14 04:00:00+00:00,103.16,103.26,102.2257,102.31,2168178.0,34984.0,102.440668
DUK,2024-05-15 04:00:00+00:00,103.3,103.66,102.8601,103.35,2636053.0,43473.0,103.337745
