symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EMR,2024-03-13 04:00:00+00:00,110.71,111.1325,109.89,110.35,1801876.0,31460.0,110.487
EMR,2024-03-14 04:00:00+00:00,110.64,111.0,109.69,110.41,2883388.0,42816.0,110.485207
EMR,2024-03-15 04:00:00+00:00,109.69,111.065,109.59,110.59,6537768.0,39075.0,110.42183
EMR,2024-03-18 04:00:00+00:00,111.17,112.08,110.96,111.06,3071527.0,39385.0,111.453401
EMR,2024-03-19 04:00:00+00:00,110.67,111.7342,110.19,111.29,2543971.0,34348.0,111.099811
EMR,2024-03-20 04:00:00+00:00,111.16,112.2,110.23,112.02,2195361.0,33398.0,111.593214
EMR,2024-03-21 04:00:00+00:00,112.48,113.345,112.02,112.6,2410915.0,29928.0,112.752456
EMR,2024-03-22 04:00:00+00:00,112.57,112.86,111.98,112.45,1479391.0,22869.0,112.434734
EMR,2024-03-25 04:00:00+00:00,112.33,112.7,111.64,111.73,1435879.0,23450.0,111.89841
EMR,2024-03-26 04:00:00+00:00,111.62,112.0787,111.31,111.95,1812807.0,24262.0,111.802718
EMR,2024-03-27 04:00:00+00:00,112.0,113.46,111.65,113.45,1937349.0,30519.0,112.856868
EMR,2024-03-28 04:00:00+00:00,113.69,113.89,113.04,113.42,2322592.0,28591.0,113.431498
EMR,2024-04-01 04:00:00+00:00,113.27,114.11,113.18,113.54,2057339.0,32546.0,113.705594
EMR,2024-04-02 04:00:00+00:00,113.32,113.57,112.29,113.27,1964421.0,30950.0,113.140717
EMR,2024-04-03 04:00:00+00:00,113.44,114.1899,113.08,113.54,1981851.0,31134.0,113.61597
EMR,2024-04-04 04:00:00+00:00,114.45,114.935,112.64,113.04,1888559.0,33581.0,113.624681
EMR,2024-04-05 04:00:00+00:00,113.61,114.765,113.3,114.54,1693801.0,29361.0,114.370066
EMR,2024-04-08 04:00:00+00:00,114.71,114.97,113.98,114.67,1775778.0,28775.0,114.664363
EMR,2024-04-09 04:00:00+00:00,115.0,115.26,113.1,114.25,1877498.0,35510.0,114.115398
EMR,2024-04-10 04:00:00+00:00,112.65,114.24,112.52,114.08,2012866.0,35678.0,113.787281
EMR,2024-04-11 04:00:00+00:00,114.03,114.21,112.96,113.52,1673055.0,28374.0,113.620322
EMR,2024-04-12 04:00:00+00:00,112.75,113.42,111.82,112.65,1981070.0,34430.0,112.550539
EMR,2024-04-15 04:00:00+00:00,114.26,114.365,111.44,111.76,1708508.0,32930.0,112.228584
EMR,2024-04-16 04:00:00+00:00,111.87,112.02,110.5,111.49,2326203.0,37003.0,111.440496
EMR,2024-04-17 04:00:00+00:00,112.05,112.33,109.6,109.81,2317293.0,41580.0,110.189252
EMR,2024-04-18 04:00:00+00:00,110.83,110.83,108.94,109.31,1677934.0,31566.0,109.575965
