symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EXC,2024-03-13 04:00:00+00:00,37.21,37.42,36.95,36.99,8789112.0,43916.0,37.039775
EXC,2024-03-14 04:00:00+00:00,36.95,37.08,36.37,36.57,9924918.0,50597.0,36.571455
EXC,2024-03-15 04:00:00+00:00,36.55,36.93,36.205,36.48,17634847.0,59710.0,36.498738
EXC,2024-03-18 04:00:00+00:00,36.54,36.98,36.38,36.6,7371138.0,31321.0,36.62926
EXC,2024-03-19 04:00:00+00:00,36.51,37.0,36.5,36.81,6947259.0,30689.0,36.776842
EXC,2024-03-20 04:00:00+00:00,36.63,37.125,36.345,36.56,5654620.0,47805.0,36.642269
EXC,2024-03-21 04:00:00+00:00,36.64,37.18,36.53,37.03,6612841.0,40829.0,36.898923
EXC,2024-03-22 04:00:00+00:00,37.28,37.28,36.68,36.7,5160949.0,40484.0,36.838875
EXC,2024-03-25 04:00:00+00:00,36.75,36.96,36.565,36.85,5381642.0,41393.0,36.84192
EXC,2024-03-26 04:00:00+00:00,36.77,36.955,36.52,36.56,5882968.0,35138.0,36.639134
EXC,2024-03-27 04:00:00+00:00,36.85,37.32,36.77,37.31,7988293.0,50816.0,37.238568
EXC,2024-03-28 04:00:00+00:00,37.23,37.7,37.18,37.57,5855367.0,38872.0,37.519295
EXC,2024-04-01 04:00:00+00:00,37.7,37.7,37.06,37.23,4857012.0,37754.0,37.240175
EXC,2024-04-02 04:00:00+00:00,37.07,37.68,37.05,37.58,7306977.0,41961.0,37.554451
EXC,2024-04-03 04:00:00+00:00,37.62,37.69,37.2,37.21,4792225.0,40832.0,37.331101
EXC,2024-04-04 04:00:00+00:00,37.56,37.65,36.95,37.22,4348795.0,43951.0,37.269996
EXC,2024-04-05 04:00:00+00:00,36.98,37.445,36.51,37.34,3957547.0,41513.0,37.180191
EXC,2024-04-08 04:00:00+00:00,37.35,37.81,37.24,37.78,5059243.0,36802.0,37.659202
EXC,2024-04-09 04:00:00+00:00,37.9,37.99,37.695,37.87,3782777.0,35752.0,37.832852
EXC,2024-04-10 04:00:00+00:00,37.21,37.21,36.625,36.91,5370234.0,53504.0,36.880244
EXC,2024-04-11 04:00:00+00:00,37.11,37.29,36.575,36.8,4696981.0,36495.0,36.876298
EXC,2024-04-12 04:00:00+00:00,36.8,36.96,36.19,36.48,4985001.0,44606.0,36.480442
EXC,2024-04-15 04:00:00+00:00,36.78,36.83,36.065,36.27,3752482.0,35298.0,36.308222
EXC,2024-04-16 04:00:00+00:00,36.3,36.35,35.75,35.75,5114405.0,47216.0,35.889874
EXC,2024-04-17 04:00:00+00:00,35.9,36.515,35.9,36.42,4716914.0,33628.0,36.237876
EXC,2024-04-18 04:00:00+00:00,36.62,36.745,36.285,36.68,4395547.0,37474.0,36.537947
EXC,2024-04-19 04:00:00+00:00,36.77,37.645,36.5,37.55,6126503.0,52229.0,37.314692
EXC,2024-04-22 04:00:00+00:00,37.61,37.945,37.215,37.67,5174426.0,49684.0,37.707282
EXC,2024-04-23 04:00:00+00:00,37.44,37.95,37.32,37.56,5700331.0,48624.0,37.648445
EXC,2024-04-24 04:00:00+00:00,36.85,37.895,36.8,37.77,5061364.0,42535.0,37.605732
EXC,2024-04-25 04:00:00+00:00,37.97,38.04,37.21,37.66,3958519.0,37719.0,37.648745
EXC,2024-04-26 04:00:00+00:00,37.42,37.6,37.26,37.32,5439450.0,40284.0,37.392214
EXC,2024-04-29 04:00:00+00:00,37.56,37.75,37.43,37.72,3301766.0,32758.0,37.667157
EXC,2024-04-30 04:00:00+00:00,37.46,37.795,37.035,37.58,6200162.0,49151.0,37.567917
EXC,2024-05-01 04:00:00+00:00,37.29,38.2,37.26,37.84,7489074.0,53629.0,37.864645
EXC,2024-05-02 04:00:00+00:00,38.45,38.45,37.33,37.89,5575258.0,49754.0,37.744815
EXC,2024-05-03 04:00:00+00:00,38.09,38.15,36.955,37.41,6774456.0,55610.0,37.390175
EXC,2024-05-06 04:00:00+00:00,37.47,37.595,37.08,37.55,5850338.0,49596.0,37.453334
EXC,2024-05-07 04:00:00+00:00,37.68,37.93,37.29,37.91,9499803.0,57992.0,37.686567
EXC,2024-05-08 04:00:00+00:00,37.84,38.01,37.565,37.82,7411669.0,56445.0,37.811628
EXC,2024-05-09 04:00:00+00:00,37.8,38.35,37.7201,38.33,5308566.0,45311.0,38.215952
EXC,2024-05-10 04:00:00+00:00,37.95,38.09,37.54,37.67,8898470.0,63788.0,37.736322
EXC,2024-05-13 04:00:00+00:00,37.88,38.29,37.82,38.13,8883431.0,57760.0,38.039885
EXC,2024-05-14 04:00:00+00:00,38.4,38.51,38.13,38.4,10192106.0,50841.0,38.304593
EXC,2024-05-15 04:00:00+00:00,38.69,38.995,38.555,38.73,5570774.0,50452.0,38.758456
EXC,2024-05-16 04:00:00+00:00,38.73,38.97,38.47,38.62,5369948.0,42039.0,38.707931
EXC,2024-05-17 04:00:00+00:00,38.59,38.73,38.32,38.58,6088705.0,34837.0,38.551866
EXC,2024-05-20 04:00:00+00:00,38.69,38.69,38.345,38.46,4560451.0,31301.0,38.461297
EXC,2024-05-21 04:00:00+00:00,38.42,38.76,38.27,38.52,7711142.0,40805.0,38.453423
EXC,2024-05-22 04:00:00+00:00,38.41,38.57,37.825,37.9,7480187.0,43789.0,38.035881
EXC,2024-05-23 04:00:00+00:00,37.74,37.8,36.99,37.03,4691097.0,41769.0,37.182375
EXC,2024-05-24 04:00:00+00:00,37.0,37.11,36.645,36.69,4187738.0,38672.0,36.792539
EXC,2024-05-28 04:00:00+00:00,36.68,37.17,36.61,36.78,5891544.0,38745.0,36.798202
EXC,2024-05-29 04:00:00+00:00,36.43,36.62,36.13,36.18,5635713.0,40297.0,36.229816
EXC,2024-05-30 04:00:00+00:00,36.3,36.78,36.2,36.73,5189122.0,44115.0,36.615877
EXC,2024-05-31 04:00:00+00:00,36.85,37.6,36.77,37.55,12030142.0,50647.0,37.390773
EXC,2024-06-03 04:00:00+00:00,37.55,37.58,37.105,37.2,3995561.0,38565.0,37.239405
EXC,2024-06-04 04:00:00+00:00,37.0,37.53,36.9,37.36,4529485.0,36110.0,37.311876
EXC,2024-06-05 04:00:00+00:00,37.22,37.255,36.68,36.79,4781895.0,38882.0,36.904352
EXC,2024-06-06 04:00:00+00:00,36.66,37.16,36.36,36.52,4758095.0,41017.0,36.583863
EXC,2024-06-07 04:00:00+00:00,36.15,36.51,36.14,36.17,3199488.0,31962.0,36.242683
EXC,2024-06-10 04:00:00+00:00,36.27,36.54,36.015,36.21,7102773.0,43640.0,36.265705
EXC,2024-06-11 04:00:00+00:00,35.83,36.45,35.72,36.21,9487288.0,65227.0,36.217806
EXC,2024-06-12 04:00:00+00:00,36.39,36.48,34.73,34.75,11084623.0,81348.0,35.194053
EXC,2024-06-13 04:00:00+00:00,34.74,35.54,34.62,35.41,11503176.0,64454.0,35.239184
EXC,2024-06-14 04:00:00+00:00,35.3,35.55,35.07,35.54,8863468.0,49644.0,35.416267
EXC,2024-06-17 04:00:00+00:00,35.32,35.66,35.1,35.17,10260765.0,44813.0,35.293408
EXC,2024-06-18 04:00:00+00:00,35.13,35.36,34.8,34.89,9493206.0,38858.0,34.923919
EXC,2024-06-20 04:00:00+00:00,34.84,35.22,34.82,34.94,13698969.0,59767.0,34.99083
EXC,2024-06-21 04:00:00+00:00,35.05,35.295,34.635,34.78,19441810.0,62793.0,34.880873
EXC,2024-06-24 04:00:00+00:00,34.67,35.43,34.67,35.33,9125813.0,48169.0,35.257909
EXC,2024-06-25 04:00:00+00:00,35.26,35.36,34.77,34.82,9609373.0,38718.0,34.863247
EXC,2024-06-26 04:00:00+00:00,34.77,34.825,34.49,34.8,7809122.0,34995.0,34.746679
EXC,2024-06-27 04:00:00+00:00,34.77,35.0001,34.52,34.7,5575272.0,36503.0,34.73295
EXC,2024-06-28 04:00:00+00:00,34.67,34.835,34.46,34.61,23057960.0,53558.0,34.616722
EXC,2024-07-01 04:00:00+00:00,34.76,34.86,34.255,34.55,6675809.0,44450.0,34.503944
EXC,2024-07-02 04:00:00+00:00,34.73,34.77,34.38,34.53,4633434.0,31289.0,34.550159
EXC,2024-07-03 04:00:00+00:00,34.46,34.87,34.46,34.73,2614724.0,20963.0,34.710997
EXC,2024-07-05 04:00:00+00:00,34.66,34.735,34.24,34.31,5644949.0,35401.0,34.385026
EXC,2024-07-08 04:00:00+00:00,34.34,34.34,34.005,34.24,5002649.0,36222.0,34.180212
EXC,2024-07-09 04:00:00+00:00,34.09,34.64,34.09,34.43,7413489.0,43317.0,34.425306
EXC,2024-07-10 04:00:00+00:00,34.55,34.81,34.34,34.69,4998808.0,33902.0,34.645926
EXC,2024-07-11 04:00:00+00:00,34.86,35.505,34.73,35.32,6387339.0,43494.0,35.296374
EXC,2024-07-12 04:00:00+00:00,35.49,35.66,35.21,35.24,8292834.0,45321.0,35.443741
EXC,2024-07-15 04:00:00+00:00,34.95,35.42,34.82,35.35,8756750.0,48169.0,35.21157
EXC,2024-07-16 04:00:00+00:00,35.57,35.715,35.34,35.52,6030240.0,47972.0,35.507445
EXC,2024-07-17 04:00:00+00:00,35.79,36.595,35.65,36.43,7026372.0,58956.0,36.384567
EXC,2024-07-18 04:00:00+00:00,36.31,36.92,36.2,36.24,5929410.0,45547.0,36.44766
EXC,2024-07-19 04:00:00+00:00,36.26,36.26,35.92,36.13,4532694.0,35413.0,36.129482
EXC,2024-07-22 04:00:00+00:00,36.26,36.29,36.04,36.25,4941159.0,29531.0,36.206256
EXC,2024-07-23 04:00:00+00:00,36.16,36.23,35.84,35.87,3172675.0,26287.0,35.948328
EXC,2024-07-24 04:00:00+00:00,36.17,36.525,36.0,36.47,5649814.0,35986.0,36.410153
EXC,2024-07-25 04:00:00+00:00,36.75,37.28,36.365,36.48,7116889.0,45034.0,36.67836
EXC,2024-07-26 04:00:00+00:00,36.61,36.88,36.53,36.75,4552576.0,29081.0,36.698663
EXC,2024-07-29 04:00:00+00:00,36.75,37.05,36.65,36.89,4989195.0,35825.0,36.867442
EXC,2024-07-30 04:00:00+00:00,36.84,37.33,36.715,37.22,7458319.0,50571.0,37.142707
EXC,2024-07-31 04:00:00+00:00,37.39,37.535,36.91,37.2,6849926.0,50258.0,37.181553
EXC,2024-08-01 04:00:00+00:00,36.96,38.34,36.96,38.26,7254674.0,54999.0,37.935732
EXC,2024-08-02 04:00:00+00:00,38.72,39.02,38.015,38.77,9077691.0,64697.0,38.612111
EXC,2024-08-05 04:00:00+00:00,39.78,39.88,37.44,37.52,6955586.0,67317.0,37.813196
EXC,2024-08-06 04:00:00+00:00,37.6,37.985,37.48,37.59,6324884.0,50547.0,37.691498
EXC,2024-08-07 04:00:00+00:00,37.56,38.329,37.48,37.84,6224704.0,48908.0,37.944668
EXC,2024-08-08 04:00:00+00:00,37.59,38.005,37.44,37.54,7353956.0,45861.0,37.727615
EXC,2024-08-09 04:00:00+00:00,37.66,37.66,36.965,37.48,6680155.0,48691.0,37.390495
EXC,2024-08-12 04:00:00+00:00,37.02,37.115,36.77,36.9,6707812.0,48988.0,36.932559
EXC,2024-08-13 04:00:00+00:00,37.05,37.175,36.785,37.13,6332270.0,44774.0,37.076597
EXC,2024-08-14 04:00:00+00:00,37.01,37.415,36.83,37.03,5450221.0,43320.0,37.125762
EXC,2024-08-15 04:00:00+00:00,36.87,37.53,36.8,37.5,10776891.0,46894.0,37.356938
EXC,2024-08-16 04:00:00+00:00,37.53,37.745,37.2,37.61,5962282.0,43550.0,37.550848
EXC,2024-08-19 04:00:00+00:00,37.69,37.72,37.49,37.61,3423255.0,31859.0,37.614603
EXC,2024-08-20 04:00:00+00:00,37.65,37.78,37.401,37.54,3612329.0,33207.0,37.544417
EXC,2024-08-21 04:00:00+00:00,37.59,38.17,37.57,37.87,5166306.0,39345.0,37.941323
EXC,2024-08-22 04:00:00+00:00,37.75,37.96,37.69,37.88,5727979.0,31334.0,37.846063
EXC,2024-08-23 04:00:00+00:00,38.0,38.09,37.7,37.79,3723710.0,28017.0,37.824969
EXC,2024-08-26 04:00:00+00:00,37.97,38.18,37.9,37.97,2891432.0,27173.0,37.982106
EXC,2024-08-27 04:00:00+00:00,38.0,38.06,37.625,37.68,4543352.0,30346.0,37.728888
EXC,2024-08-28 04:00:00+00:00,37.714,38.275,37.64,37.89,5015213.0,31810.0,37.911014
EXC,2024-08-29 04:00:00+00:00,38.0,38.05,37.54,38.03,3705580.0,30691.0,37.916787
EXC,2024-08-30 04:00:00+00:00,37.99,38.195,37.815,38.09,6379520.0,34465.0,38.055921
EXC,2024-09-03 04:00:00+00:00,38.12,38.685,38.0,38.49,7145129.0,64990.0,38.411184
EXC,2024-09-04 04:00:00+00:00,38.67,39.26,38.645,38.89,6121119.0,50913.0,38.903985
EXC,2024-09-05 04:00:00+00:00,39.11,39.25,38.28,38.42,7460601.0,57696.0,38.502934
EXC,2024-09-06 04:00:00+00:00,38.45,38.66,38.17,38.2,4624717.0,35628.0,38.304196
EXC,2024-09-09 04:00:00+00:00,38.38,38.865,38.2,38.73,6209481.0,44391.0,38.711428
EXC,2024-09-10 04:00:00+00:00,38.85,39.21,38.72,39.05,7849058.0,50286.0,38.987837
EXC,2024-09-11 04:00:00+00:00,38.89,39.375,38.63,39.3,11190962.0,54632.0,39.035913
EXC,2024-09-12 04:00:00+00:00,39.39,39.93,39.12,39.86,19881403.0,59749.0,39.635981
EXC,2024-09-13 04:00:00+00:00,39.93,40.27,39.69,40.23,6605797.0,46338.0,40.095656
EXC,2024-09-16 04:00:00+00:00,40.41,40.63,40.2,40.43,7764096.0,46346.0,40.452363
EXC,2024-09-17 04:00:00+00:00,40.36,40.52,40.11,40.2,6829529.0,38919.0,40.264346
