symbol,timestamp,open,high,low,close,volume,trade_count,vwap
F,2024-03-13 04:00:00+00:00,12.12,12.48,12.11,12.37,50593876.0,102033.0,12.380887
F,2024-03-14 04:00:00+00:00,12.34,12.37,12.01,12.08,52619863.0,109813.0,12.126912
F,2024-03-15 04:00:00+00:00,12.05,12.27,12.02,12.06,88254036.0,114209.0,12.085442
F,2024-03-18 04:00:00+00:00,12.14,12.19,11.98,12.18,36599219.0,95819.0,12.120499
F,2024-03-19 04:00:00+00:00,12.11,12.35,12.11,12.3,32668658.0,86981.0,12.281521
F,2024-03-20 04:00:00+00:00,12.26,12.92,12.255,12.9,67721511.0,143147.0,12.701569
F,2024-03-21 04:00:00+00:00,12.92,13.06,12.79,12.92,55822521.0,128034.0,12.89677
F,2024-03-22 04:00:00+00:00,12.87,12.96,12.85,12.91,33137467.0,81749.0,12.906488
F,2024-03-25 04:00:00+00:00,12.92,13.06,12.74,12.9,39063514.0,105486.0,12.901839
F,2024-03-26 04:00:00+00:00,12.96,12.96,12.43,12.44,67140228.0,153903.0,12.650965
F,2024-03-27 04:00:00+00:00,12.53,13.07,12.52,13.06,53555794.0,118283.0,12.907044
F,2024-03-28 04:00:00+00:00,13.07,13.3,13.05,13.28,61846366.0,132023.0,13.230902
F,2024-04-01 04:00:00+00:00,13.33,13.38,13.14,13.29,35898334.0,90490.0,13.244957
F,2024-04-02 04:00:00+00:00,13.16,13.37,13.09,13.28,42653403.0,102103.0,13.274757
F,2024-04-03 04:00:00+00:00,13.25,13.68,13.23,13.65,57498871.0,141690.0,13.57278
F,2024-04-04 04:00:00+00:00,13.9,13.95,13.17,13.21,67812379.0,157288.0,13.585889
F,2024-04-05 04:00:00+00:00,13.27,13.395,13.09,13.28,46937362.0,118521.0,13.250194
F,2024-04-08 04:00:00+00:00,13.345,13.54,13.345,13.41,29900547.0,81676.0,13.450321
F,2024-04-09 04:00:00+00:00,13.47,13.59,13.34,13.54,35542699.0,81634.0,13.490824
F,2024-04-10 04:00:00+00:00,13.26,13.29,12.95,13.06,51394979.0,128733.0,13.075368
F,2024-04-11 04:00:00+00:00,13.11,13.14,12.91,13.04,38383117.0,97304.0,13.033417
F,2024-04-12 04:00:00+00:00,12.92,12.92,12.5,12.61,52329248.0,129031.0,12.633933
F,2024-04-15 04:00:00+00:00,12.74,12.815,12.18,12.23,59484396.0,137922.0,12.346313
F,2024-04-16 04:00:00+00:00,12.14,12.25,11.9412,12.09,56392158.0,135102.0,12.11715
F,2024-04-17 04:00:00+00:00,12.135,12.249,12.02,12.04,43646582.0,97963.0,12.09477
F,2024-04-18 04:00:00+00:00,12.08,12.17,11.98,12.06,39902098.0,96477.0,12.056969
F,2024-04-19 04:00:00+00:00,12.02,12.23,12.02,12.14,39623838.0,93801.0,12.114303
F,2024-04-22 04:00:00+00:00,12.31,12.9,12.25,12.88,86462687.0,169560.0,12.721958
F,2024-04-23 04:00:00+00:00,13.05,13.05,12.82,12.94,62807064.0,158434.0,12.930915
F,2024-04-24 04:00:00+00:00,12.94,13.0499,12.78,12.95,74510419.0,177828.0,12.914211
F,2024-04-25 04:00:00+00:00,12.85,13.18,12.63,13.04,86944122.0,173292.0,12.844225
F,2024-04-26 04:00:00+00:00,12.76,13.02,12.61,12.79,57257796.0,133966.0,12.857794
F,2024-04-29 04:00:00+00:00,12.81,12.84,12.55,12.75,50385481.0,114436.0,12.693209
F,2024-04-30 04:00:00+00:00,12.6,12.6,12.13,12.15,75890495.0,141257.0,12.26113
F,2024-05-01 04:00:00+00:00,12.16,12.43,12.15,12.2,48784967.0,109517.0,12.267111
F,2024-05-02 04:00:00+00:00,12.4,12.55,12.36,12.49,46868636.0,116086.0,12.439917
