symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GILD,2024-03-13 04:00:00+00:00,75.49,76.175,74.96,75.94,6003025.0,69685.0,75.738603
GILD,2024-03-14 04:00:00+00:00,74.72,75.02,73.82,74.21,8399270.0,83784.0,74.337661
GILD,2024-03-15 04:00:00+00:00,74.25,74.66,73.29,73.69,13963774.0,66735.0,73.764796
GILD,2024-03-18 04:00:00+00:00,73.69,74.17,73.205,73.26,6939612.0,46891.0,73.488769
GILD,2024-03-19 04:00:00+00:00,73.34,73.77,73.19,73.41,8661777.0,52465.0,73.505749
GILD,2024-03-20 04:00:00+00:00,73.27,73.98,72.8,73.98,7311351.0,59999.0,73.520446
GILD,2024-03-21 04:00:00+00:00,73.9,74.28,73.03,73.09,5836856.0,54704.0,73.406113
GILD,2024-03-22 04:00:00+00:00,73.11,73.23,72.56,72.61,7730620.0,58856.0,72.746935
GILD,2024-03-25 04:00:00+00:00,72.5,72.84,72.2,72.58,5543898.0,52578.0,72.603816
GILD,2024-03-26 04:00:00+00:00,72.32,72.66,72.11,72.41,5362890.0,53903.0,72.36643
GILD,2024-03-27 04:00:00+00:00,72.92,73.06,72.55,73.01,7747590.0,63550.0,72.84736
GILD,2024-03-28 04:00:00+00:00,73.25,73.87,73.2,73.25,8369703.0,65212.0,73.428236
GILD,2024-04-01 04:00:00+00:00,73.22,73.22,72.38,72.88,3796058.0,44425.0,72.775801
GILD,2024-04-02 04:00:00+00:00,72.82,72.85,71.9,72.09,6138986.0,53496.0,72.17197
GILD,2024-04-03 04:00:00+00:00,72.0,72.17,70.7,70.89,5145312.0,62768.0,71.253052
GILD,2024-04-04 04:00:00+00:00,71.24,71.39,69.395,69.55,7341192.0,70171.0,70.084766
GILD,2024-04-05 04:00:00+00:00,69.69,70.0098,68.54,69.58,6599542.0,68680.0,69.519051
GILD,2024-04-08 04:00:00+00:00,69.05,69.55,69.05,69.42,4589099.0,46916.0,69.360161
GILD,2024-04-09 04:00:00+00:00,69.16,69.95,69.11,69.94,5928204.0,50922.0,69.675563
GILD,2024-04-10 04:00:00+00:00,69.76,69.76,68.0649,68.12,7983148.0,73957.0,68.390191
GILD,2024-04-11 04:00:00+00:00,68.46,69.025,68.305,68.65,6071511.0,61398.0,68.697564
GILD,2024-04-12 04:00:00+00:00,68.52,68.62,67.62,68.07,5691465.0,61985.0,68.020672
GILD,2024-04-15 04:00:00+00:00,68.27,68.455,67.7,67.75,7717826.0,64509.0,67.959855
GILD,2024-04-16 04:00:00+00:00,67.8,67.89,67.185,67.31,4975048.0,56806.0,67.418781
GILD,2024-04-17 04:00:00+00:00,67.35,67.55,66.89,66.93,5287730.0,53539.0,67.104909
GILD,2024-04-18 04:00:00+00:00,67.01,67.02,65.9,66.16,6442224.0,66615.0,66.249614
GILD,2024-04-19 04:00:00+00:00,66.25,66.83,66.16,66.76,10657002.0,70701.0,66.601639
GILD,2024-04-22 04:00:00+00:00,66.93,67.565,66.74,66.95,5622367.0,57749.0,67.058627
GILD,2024-04-23 04:00:00+00:00,67.09,67.68,66.995,67.03,5240249.0,52790.0,67.203341
GILD,2024-04-24 04:00:00+00:00,66.58,67.185,66.365,67.08,8467060.0,80227.0,66.88718
GILD,2024-04-25 04:00:00+00:00,67.47,67.9,65.09,65.27,15171959.0,119306.0,65.539063
GILD,2024-04-26 04:00:00+00:00,65.5,66.3507,64.63,65.42,12382425.0,107436.0,65.528838
GILD,2024-04-29 04:00:00+00:00,65.3,66.91,65.2,65.94,7838836.0,83047.0,66.171004
GILD,2024-04-30 04:00:00+00:00,65.62,65.635,64.82,65.2,7436603.0,69193.0,65.201515
GILD,2024-05-01 04:00:00+00:00,65.32,65.8892,64.97,65.51,7232520.0,66354.0,65.474248
GILD,2024-05-02 04:00:00+00:00,65.75,65.8,64.89,65.33,5571500.0,64212.0,65.263915
GILD,2024-05-03 04:00:00+00:00,65.51,65.53,64.33,64.78,7822720.0,71192.0,64.7137
GILD,2024-05-06 04:00:00+00:00,64.78,65.56,64.34,65.54,7187265.0,72900.0,65.108881
GILD,2024-05-07 04:00:00+00:00,65.43,66.14,65.16,65.46,7318161.0,66154.0,65.680549
GILD,2024-05-08 04:00:00+00:00,65.57,65.61,64.76,64.92,5152980.0,54841.0,65.004394
