symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GM,2024-03-13 04:00:00+00:00,39.46,40.47,39.34,40.26,19081322.0,105421.0,40.199078
GM,2024-03-14 04:00:00+00:00,40.18,40.34,38.945,39.38,18012944.0,99975.0,39.495267
GM,2024-03-15 04:00:00+00:00,39.27,40.82,39.27,40.69,82751221.0,146261.0,40.576598
GM,2024-03-18 04:00:00+00:00,40.89,40.925,40.33,40.82,16126578.0,88600.0,40.726688
GM,2024-03-19 04:00:00+00:00,40.92,41.68,40.72,41.51,15936425.0,92165.0,41.455816
GM,2024-03-20 04:00:00+00:00,41.42,42.89,41.36,42.85,16909341.0,106287.0,42.424291
GM,2024-03-21 04:00:00+00:00,42.92,43.59,42.84,43.42,15268254.0,95047.0,43.27597
GM,2024-03-22 04:00:00+00:00,43.3,43.655,43.0,43.06,9393825.0,74239.0,43.159834
GM,2024-03-25 04:00:00+00:00,43.06,43.96,43.06,43.55,14644724.0,88235.0,43.665646
GM,2024-03-26 04:00:00+00:00,43.69,44.57,43.425,44.0,15961253.0,100846.0,44.066597
GM,2024-03-27 04:00:00+00:00,44.06,44.81,44.05,44.59,22172122.0,125211.0,44.432403
GM,2024-03-28 04:00:00+00:00,44.63,45.535,44.6,45.35,14766376.0,106682.0,45.301588
GM,2024-04-01 04:00:00+00:00,45.13,45.73,44.98,45.4,11008265.0,75895.0,45.475147
GM,2024-04-02 04:00:00+00:00,44.97,45.26,44.59,44.89,13061879.0,82260.0,44.946984
GM,2024-04-03 04:00:00+00:00,44.67,45.42,44.64,45.17,14377133.0,99598.0,45.10138
GM,2024-04-04 04:00:00+00:00,45.71,46.04,43.62,43.68,16988628.0,125639.0,44.602693
GM,2024-04-05 04:00:00+00:00,43.72,44.305,43.46,44.23,11210456.0,92778.0,44.01669
GM,2024-04-08 04:00:00+00:00,44.43,44.85,44.2803,44.34,8250408.0,60336.0,44.484135
GM,2024-04-09 04:00:00+00:00,44.58,44.865,44.07,44.73,8794803.0,71829.0,44.589728
GM,2024-04-10 04:00:00+00:00,43.9,44.55,43.51,43.94,11636353.0,101334.0,44.110871
GM,2024-04-11 04:00:00+00:00,43.9,43.99,43.19,43.84,19562960.0,87036.0,43.703072
GM,2024-04-12 04:00:00+00:00,43.5,43.58,42.645,43.08,11902966.0,88469.0,42.949861
GM,2024-04-15 04:00:00+00:00,43.73,43.98,42.52,42.69,13499590.0,88160.0,42.881457
GM,2024-04-16 04:00:00+00:00,42.49,42.92,42.13,42.66,12384851.0,88332.0,42.601267
GM,2024-04-17 04:00:00+00:00,42.91,43.16,42.2905,42.46,10663327.0,78391.0,42.567628
GM,2024-04-18 04:00:00+00:00,42.77,42.835,42.01,42.44,14180458.0,82424.0,42.404716
GM,2024-04-19 04:00:00+00:00,42.51,42.96,42.185,42.37,15514953.0,88118.0,42.486619
GM,2024-04-22 04:00:00+00:00,42.68,43.56,42.205,43.21,21315076.0,137516.0,43.117222
GM,2024-04-23 04:00:00+00:00,45.89,45.96,44.37,45.1,28767300.0,196479.0,45.244688
GM,2024-04-24 04:00:00+00:00,45.31,45.31,44.62,45.08,15013881.0,100793.0,44.978938
GM,2024-04-25 04:00:00+00:00,44.67,45.85,44.49,45.62,14912507.0,101776.0,45.377202
GM,2024-04-26 04:00:00+00:00,45.6,46.165,45.41,45.84,12153282.0,93094.0,45.889719
GM,2024-04-29 04:00:00+00:00,46.0,46.15,45.54,46.04,10577406.0,80975.0,45.91127
GM,2024-04-30 04:00:00+00:00,45.21,45.42,44.26,44.53,15951304.0,97135.0,44.699391
