symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HD,2024-03-13 04:00:00+00:00,376.03,382.71,375.78,378.99,3761407.0,64659.0,379.416847
HD,2024-03-14 04:00:00+00:00,378.0,380.2,372.17,375.27,3877542.0,69195.0,375.188472
HD,2024-03-15 04:00:00+00:00,374.12,378.42,372.54,373.23,9234905.0,64021.0,373.558532
HD,2024-03-18 04:00:00+00:00,376.49,377.6,371.14,371.91,3455722.0,64035.0,372.520785
HD,2024-03-19 04:00:00+00:00,374.89,379.46,373.13,379.41,3493781.0,54661.0,378.139808
HD,2024-03-20 04:00:00+00:00,379.42,384.88,376.23,384.41,2750405.0,60066.0,382.3326
HD,2024-03-21 04:00:00+00:00,388.41,396.8729,388.29,395.2,4212248.0,86251.0,394.442347
HD,2024-03-22 04:00:00+00:00,394.69,396.42,390.09,390.28,2911046.0,55269.0,391.529676
HD,2024-03-25 04:00:00+00:00,389.1,389.86,382.89,383.51,2683928.0,56395.0,385.187719
HD,2024-03-26 04:00:00+00:00,382.41,384.26,379.4,379.93,2720409.0,56580.0,381.08065
HD,2024-03-27 04:00:00+00:00,380.85,386.3199,380.74,385.89,2536661.0,55053.0,384.954207
HD,2024-03-28 04:00:00+00:00,387.13,387.607,379.7236,383.6,4108328.0,78177.0,383.362582
HD,2024-04-01 04:00:00+00:00,381.47,383.139,367.84,368.03,4333231.0,95116.0,371.148985
HD,2024-04-02 04:00:00+00:00,364.5,366.86,362.96,363.0,4650544.0,92091.0,364.15391
HD,2024-04-03 04:00:00+00:00,362.0,362.4,359.0,359.9,4723245.0,84436.0,360.666936
HD,2024-04-04 04:00:00+00:00,362.61,365.0,356.91,357.68,4381563.0,73627.0,359.766124
HD,2024-04-05 04:00:00+00:00,357.68,359.33,356.0157,357.87,3243488.0,68586.0,357.904549
HD,2024-04-08 04:00:00+00:00,358.07,362.57,357.26,362.05,4339821.0,73872.0,361.227049
HD,2024-04-09 04:00:00+00:00,363.63,364.45,358.73,361.42,3022807.0,67443.0,361.182295
HD,2024-04-10 04:00:00+00:00,351.87,353.99,348.745,350.56,4805246.0,92884.0,350.981253
HD,2024-04-11 04:00:00+00:00,351.04,351.91,345.79,347.37,4104715.0,70150.0,347.764579
