symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HON,2024-03-13 04:00:00+00:00,199.95,201.13,198.84,199.73,2537637.0,46649.0,199.893362
HON,2024-03-14 04:00:00+00:00,199.25,199.73,194.96,196.35,3838212.0,57284.0,196.673697
HON,2024-03-15 04:00:00+00:00,196.39,198.55,195.9,197.69,6310153.0,52220.0,197.156927
HON,2024-03-18 04:00:00+00:00,199.01,199.01,196.38,196.76,2481716.0,39173.0,197.232755
HON,2024-03-19 04:00:00+00:00,196.76,199.24,196.12,199.04,4524803.0,42114.0,198.719801
HON,2024-03-20 04:00:00+00:00,198.59,201.71,198.33,201.18,2714424.0,45734.0,200.577689
HON,2024-03-21 04:00:00+00:00,202.0,203.0899,201.29,201.38,2811767.0,44854.0,201.947607
HON,2024-03-22 04:00:00+00:00,201.52,201.97,200.09,200.73,2061324.0,35489.0,200.747308
HON,2024-03-25 04:00:00+00:00,200.38,200.71,198.43,198.48,1961385.0,36411.0,199.117843
HON,2024-03-26 04:00:00+00:00,198.05,201.47,197.75,201.0,2697318.0,47652.0,200.664692
HON,2024-03-27 04:00:00+00:00,202.94,205.26,202.21,205.13,2760101.0,46938.0,204.575778
HON,2024-03-28 04:00:00+00:00,205.4,206.82,205.18,205.25,3594210.0,48791.0,205.504692
HON,2024-04-01 04:00:00+00:00,205.39,205.89,201.89,202.01,2221894.0,38244.0,202.490436
HON,2024-04-02 04:00:00+00:00,202.08,202.3,200.02,200.23,2615337.0,43299.0,200.569519
HON,2024-04-03 04:00:00+00:00,199.42,200.94,197.92,197.97,2496129.0,47755.0,198.783077
HON,2024-04-04 04:00:00+00:00,200.68,200.68,195.52,196.05,3414771.0,47272.0,197.774168
HON,2024-04-05 04:00:00+00:00,195.9,198.4,195.1528,197.15,2212855.0,42827.0,197.14112
HON,2024-04-08 04:00:00+00:00,197.59,199.1908,197.33,197.76,2384717.0,40077.0,197.799264
