symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JPM,2024-03-13 04:00:00+00:00,190.36,191.73,189.84,191.38,7795535.0,107982.0,191.18888
JPM,2024-03-14 04:00:00+00:00,191.03,191.63,187.103,187.97,10310948.0,134594.0,188.521957
JPM,2024-03-15 04:00:00+00:00,186.48,190.94,186.48,190.3,17214229.0,137652.0,189.477578
JPM,2024-03-18 04:00:00+00:00,190.63,192.7,189.89,192.66,9013843.0,109669.0,192.031941
JPM,2024-03-19 04:00:00+00:00,192.71,193.93,192.38,193.79,8478717.0,103994.0,193.455861
JPM,2024-03-20 04:00:00+00:00,194.19,196.56,193.61,196.33,9367043.0,129684.0,195.612042
JPM,2024-03-21 04:00:00+00:00,196.52,199.43,196.33,199.06,11203796.0,139164.0,198.683226
JPM,2024-03-22 04:00:00+00:00,199.01,200.48,196.54,196.62,8108840.0,109826.0,197.651148
JPM,2024-03-25 04:00:00+00:00,196.6,196.94,194.36,194.82,8677015.0,117616.0,195.112789
JPM,2024-03-26 04:00:00+00:00,194.59,196.66,194.0554,195.73,5961484.0,93555.0,195.791036
JPM,2024-03-27 04:00:00+00:00,196.5,199.6,196.38,199.52,8725757.0,104834.0,198.36577
JPM,2024-03-28 04:00:00+00:00,199.49,200.72,198.54,200.3,8628313.0,113186.0,200.035957
JPM,2024-04-01 04:00:00+00:00,199.99,200.94,198.565,198.94,7309009.0,110845.0,199.165278
JPM,2024-04-02 04:00:00+00:00,198.39,199.78,198.08,198.86,7014683.0,101851.0,198.888593
JPM,2024-04-03 04:00:00+00:00,199.04,199.56,197.7,198.3,9353426.0,119186.0,198.590943
JPM,2024-04-04 04:00:00+00:00,199.15,199.68,195.55,195.65,9243793.0,124155.0,197.54583
JPM,2024-04-05 04:00:00+00:00,196.16,198.1224,195.11,197.45,6532278.0,111367.0,197.102984
JPM,2024-04-08 04:00:00+00:00,197.62,198.98,197.62,198.48,8000963.0,118390.0,198.372107
JPM,2024-04-09 04:00:00+00:00,198.07,198.88,194.91,197.15,7358631.0,110850.0,196.660299
JPM,2024-04-10 04:00:00+00:00,195.55,197.07,194.18,195.47,7681377.0,129335.0,195.454595
JPM,2024-04-11 04:00:00+00:00,196.0,196.57,193.24,195.43,10137699.0,149509.0,195.241428
JPM,2024-04-12 04:00:00+00:00,188.32,188.93,182.54,182.79,31721070.0,377624.0,184.811879
JPM,2024-04-15 04:00:00+00:00,184.5,187.46,182.195,182.89,14766592.0,203295.0,184.471475
JPM,2024-04-16 04:00:00+00:00,182.9,183.16,179.65,180.8,16451801.0,208819.0,180.765814
JPM,2024-04-17 04:00:00+00:00,181.37,182.4199,179.2,180.08,9017093.0,133263.0,180.452328
JPM,2024-04-18 04:00:00+00:00,181.1,183.36,179.97,181.25,9557720.0,124305.0,181.677071
JPM,2024-04-19 04:00:00+00:00,182.4,185.88,181.41,185.8,13402313.0,148680.0,184.500765
JPM,2024-04-22 04:00:00+00:00,185.99,190.125,185.98,189.41,11529668.0,137885.0,188.615056
JPM,2024-04-23 04:00:00+00:00,191.13,192.225,190.52,192.14,9144372.0,126307.0,191.703313
JPM,2024-04-24 04:00:00+00:00,190.53,193.23,190.17,193.08,6964905.0,113851.0,192.235218
JPM,2024-04-25 04:00:00+00:00,192.25,193.935,191.18,193.37,9802265.0,119052.0,193.014523
JPM,2024-04-26 04:00:00+00:00,193.57,194.87,193.06,193.49,6413655.0,94317.0,193.823857
JPM,2024-04-29 04:00:00+00:00,193.48,194.26,192.43,193.28,5411129.0,93350.0,193.398029
JPM,2024-04-30 04:00:00+00:00,192.81,194.99,191.64,191.74,8153681.0,116343.0,192.77188
JPM,2024-05-01 04:00:00+00:00,192.27,194.46,190.79,191.86,7446703.0,122835.0,192.333779
JPM,2024-05-02 04:00:00+00:00,193.07,193.5,189.52,191.66,6501657.0,103880.0,191.253515
JPM,2024-05-03 04:00:00+00:00,192.0,192.529,188.46,190.51,8922775.0,134446.0,190.338084
JPM,2024-05-06 04:00:00+00:00,191.73,192.2,189.815,192.0,7911134.0,125582.0,191.162786
JPM,2024-05-07 04:00:00+00:00,191.7,192.93,191.65,191.75,7688771.0,115142.0,192.125437
JPM,2024-05-08 04:00:00+00:00,191.0,196.65,191.0,195.65,9227561.0,134463.0,194.300397
JPM,2024-05-09 04:00:00+00:00,195.17,197.59,195.1,197.5,7977291.0,118227.0,196.867707
JPM,2024-05-10 04:00:00+00:00,198.54,199.3399,198.27,198.77,7529790.0,110148.0,198.865445
JPM,2024-05-13 04:00:00+00:00,198.8,199.85,198.04,198.73,7049241.0,98116.0,198.881371
JPM,2024-05-14 04:00:00+00:00,199.0,201.58,198.16,201.51,8596175.0,124714.0,200.47283
