symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KHC,2024-03-13 04:00:00+00:00,34.85,34.94,34.34,34.53,11161939.0,78297.0,34.557451
KHC,2024-03-14 04:00:00+00:00,34.5,34.6,34.085,34.32,9222596.0,63923.0,34.263489
KHC,2024-03-15 04:00:00+00:00,34.26,34.6,34.215,34.37,12259752.0,52135.0,34.347505
KHC,2024-03-18 04:00:00+00:00,34.37,35.035,34.28,34.92,8794132.0,57586.0,34.84152
KHC,2024-03-19 04:00:00+00:00,34.85,35.29,34.82,35.27,7909522.0,56003.0,35.171547
KHC,2024-03-20 04:00:00+00:00,35.31,35.69,35.025,35.35,9952119.0,63017.0,35.331863
KHC,2024-03-21 04:00:00+00:00,35.4,35.65,35.31,35.6,7424446.0,58344.0,35.529651
KHC,2024-03-22 04:00:00+00:00,35.7,35.945,35.565,35.85,8880379.0,57968.0,35.837619
KHC,2024-03-25 04:00:00+00:00,35.88,36.245,35.81,36.18,9047907.0,57901.0,36.116842
KHC,2024-03-26 04:00:00+00:00,36.28,36.65,36.21,36.37,10195579.0,58198.0,36.376576
KHC,2024-03-27 04:00:00+00:00,36.63,36.84,36.375,36.53,5229713.0,44958.0,36.525825
KHC,2024-03-28 04:00:00+00:00,36.65,36.98,36.65,36.9,7159216.0,48017.0,36.884853
KHC,2024-04-01 04:00:00+00:00,36.98,37.29,36.92,37.06,7825749.0,57311.0,37.117169
KHC,2024-04-02 04:00:00+00:00,37.19,37.6189,37.13,37.39,8312606.0,60000.0,37.421252
KHC,2024-04-03 04:00:00+00:00,37.39,37.67,37.19,37.37,7458205.0,66117.0,37.359258
KHC,2024-04-04 04:00:00+00:00,37.63,37.7,37.195,37.25,8500362.0,65828.0,37.395844
KHC,2024-04-05 04:00:00+00:00,37.29,37.3,36.62,37.06,7251287.0,56946.0,37.016732
KHC,2024-04-08 04:00:00+00:00,36.87,37.11,36.7,37.05,4651094.0,44572.0,37.006551
KHC,2024-04-09 04:00:00+00:00,37.11,37.25,36.835,37.16,4089876.0,39406.0,37.084985
KHC,2024-04-10 04:00:00+00:00,37.01,37.12,36.6,36.82,5541038.0,47943.0,36.816253
KHC,2024-04-11 04:00:00+00:00,36.98,37.06,36.34,36.58,5785933.0,48770.0,36.600361
KHC,2024-04-12 04:00:00+00:00,36.5,36.565,35.87,35.94,6393337.0,56293.0,36.068349
KHC,2024-04-15 04:00:00+00:00,36.23,36.435,36.0311,36.31,6992053.0,57218.0,36.2593
KHC,2024-04-16 04:00:00+00:00,36.45,36.7,36.3,36.59,8695782.0,59559.0,36.530804
