symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KO,2024-03-13 04:00:00+00:00,60.88,61.21,60.8001,61.12,13909460.0,130168.0,61.074504
KO,2024-03-14 04:00:00+00:00,60.58,60.8,60.4,60.5,13996609.0,130061.0,60.548688
KO,2024-03-15 04:00:00+00:00,60.02,60.45,59.64,59.88,36849930.0,143093.0,59.941699
KO,2024-03-18 04:00:00+00:00,59.89,60.4,59.801,60.13,15856686.0,138613.0,60.140789
KO,2024-03-19 04:00:00+00:00,60.24,60.35,60.06,60.23,15030627.0,118555.0,60.226701
KO,2024-03-20 04:00:00+00:00,60.18,60.81,60.155,60.75,15258764.0,116189.0,60.589202
KO,2024-03-21 04:00:00+00:00,60.56,60.99,60.32,60.47,13067077.0,127437.0,60.614895
KO,2024-03-22 04:00:00+00:00,60.52,60.79,60.43,60.49,11502843.0,92850.0,60.552932
KO,2024-03-25 04:00:00+00:00,60.48,60.71,60.12,60.4,13144651.0,127498.0,60.382009
KO,2024-03-26 04:00:00+00:00,60.5,60.71,60.38,60.54,13277388.0,103639.0,60.559014
KO,2024-03-27 04:00:00+00:00,60.79,61.43,60.7,61.03,12551216.0,114078.0,61.00434
KO,2024-03-28 04:00:00+00:00,61.14,61.26,60.995,61.18,13683528.0,107897.0,61.152169
KO,2024-04-01 04:00:00+00:00,61.18,61.3,60.63,60.68,11668686.0,135127.0,60.778653
KO,2024-04-02 04:00:00+00:00,60.45,60.73,60.11,60.15,13017260.0,133278.0,60.3279
KO,2024-04-03 04:00:00+00:00,60.05,60.39,59.78,59.83,13672922.0,144834.0,60.000723
KO,2024-04-04 04:00:00+00:00,60.09,60.15,59.17,59.3,14320686.0,131336.0,59.51091
KO,2024-04-05 04:00:00+00:00,59.25,59.68,58.9101,59.51,10157760.0,132227.0,59.418373
KO,2024-04-08 04:00:00+00:00,59.4,59.47,59.07,59.27,10284535.0,126002.0,59.266136
KO,2024-04-09 04:00:00+00:00,59.48,59.74,59.13,59.72,10792141.0,109381.0,59.538675
KO,2024-04-10 04:00:00+00:00,59.32,59.39,58.69,58.92,11861881.0,138954.0,58.917132
KO,2024-04-11 04:00:00+00:00,59.15,59.37,58.785,59.05,11109007.0,110266.0,59.07327
KO,2024-04-12 04:00:00+00:00,58.95,59.01,58.13,58.28,12249160.0,134197.0,58.424462
KO,2024-04-15 04:00:00+00:00,58.61,58.805,58.04,58.14,12425049.0,141531.0,58.340817
KO,2024-04-16 04:00:00+00:00,58.25,58.38,57.93,58.06,11236839.0,128291.0,58.133096
KO,2024-04-17 04:00:00+00:00,58.28,58.555,58.1,58.51,13805068.0,129409.0,58.378984
KO,2024-04-18 04:00:00+00:00,58.62,58.98,58.54,58.91,11125869.0,110681.0,58.816701
KO,2024-04-19 04:00:00+00:00,59.1,60.355,58.995,60.17,21207852.0,153837.0,59.843744
KO,2024-04-22 04:00:00+00:00,60.14,60.63,59.715,60.55,15624546.0,151330.0,60.369045
KO,2024-04-23 04:00:00+00:00,60.53,60.675,60.13,60.64,13689127.0,120139.0,60.464047
KO,2024-04-24 04:00:00+00:00,60.32,61.65,59.84,61.55,19548315.0,156135.0,61.273735
KO,2024-04-25 04:00:00+00:00,61.87,62.59,61.37,61.74,19048535.0,172335.0,61.840584
KO,2024-04-26 04:00:00+00:00,61.55,61.93,61.35,61.74,10994262.0,122963.0,61.776232
KO,2024-04-29 04:00:00+00:00,61.92,62.05,61.53,62.04,13420749.0,152282.0,61.874205
KO,2024-04-30 04:00:00+00:00,62.14,62.83,61.465,61.77,19349153.0,170666.0,61.887792
KO,2024-05-01 04:00:00+00:00,61.8,62.57,61.21,61.93,16730830.0,164830.0,61.97568
KO,2024-05-02 04:00:00+00:00,62.18,62.3991,61.72,61.99,10991304.0,125095.0,62.11284
KO,2024-05-03 04:00:00+00:00,61.99,62.33,61.64,62.17,11628675.0,132361.0,62.067916
KO,2024-05-06 04:00:00+00:00,62.3,62.38,61.895,62.35,9310699.0,132483.0,62.185621
KO,2024-05-07 04:00:00+00:00,62.76,62.82,62.25,62.62,9807029.0,117143.0,62.498037
KO,2024-05-08 04:00:00+00:00,62.85,62.97,62.48,62.85,10484408.0,119734.0,62.800275
KO,2024-05-09 04:00:00+00:00,62.81,63.15,62.75,62.88,9113662.0,107146.0,62.932847
KO,2024-05-10 04:00:00+00:00,62.92,63.36,62.79,63.26,8371691.0,108622.0,63.245914
KO,2024-05-13 04:00:00+00:00,63.24,63.62,63.18,63.58,10137619.0,134189.0,63.520122
KO,2024-05-14 04:00:00+00:00,63.58,63.76,62.8,63.1,10852231.0,131377.0,63.077285
KO,2024-05-15 04:00:00+00:00,63.06,63.3915,63.0,63.13,9838897.0,114471.0,63.159595
KO,2024-05-16 04:00:00+00:00,63.24,63.725,63.07,63.32,10228002.0,119232.0,63.389876
KO,2024-05-17 04:00:00+00:00,63.34,63.37,62.935,63.03,11539022.0,114049.0,63.111362
KO,2024-05-20 04:00:00+00:00,62.93,63.01,62.46,62.57,11000888.0,125912.0,62.673437
KO,2024-05-21 04:00:00+00:00,62.82,62.98,62.44,62.91,9796202.0,106363.0,62.74841
KO,2024-05-22 04:00:00+00:00,62.71,63.02,62.66,63.0,7419406.0,106812.0,62.89
KO,2024-05-23 04:00:00+00:00,62.49,62.88,62.05,62.09,9834292.0,123871.0,62.323669
KO,2024-05-24 04:00:00+00:00,62.22,62.42,61.97,62.0,8203136.0,108029.0,62.090812
KO,2024-05-28 04:00:00+00:00,61.79,62.13,61.4,61.82,12346998.0,155401.0,61.749205
KO,2024-05-29 04:00:00+00:00,61.47,61.88,61.07,61.7,11861815.0,137436.0,61.599963
KO,2024-05-30 04:00:00+00:00,61.85,62.08,61.6,61.97,9436821.0,113333.0,61.915044
KO,2024-05-31 04:00:00+00:00,61.99,63.025,61.69,62.93,19816630.0,144307.0,62.668108
KO,2024-06-03 04:00:00+00:00,62.71,63.09,62.445,62.93,9369046.0,137093.0,62.797001
KO,2024-06-04 04:00:00+00:00,63.2,63.97,62.94,63.94,11895622.0,131932.0,63.719659
KO,2024-06-05 04:00:00+00:00,63.99,64.07,63.35,63.92,9632525.0,121203.0,63.760826
KO,2024-06-06 04:00:00+00:00,63.92,64.36,63.84,64.15,8658456.0,109055.0,64.109545
KO,2024-06-07 04:00:00+00:00,64.09,64.225,63.81,63.91,9523089.0,79488.0,63.990833
KO,2024-06-10 04:00:00+00:00,63.94,63.99,63.365,63.59,15687128.0,148638.0,63.648272
KO,2024-06-11 04:00:00+00:00,63.59,63.645,63.07,63.55,8395960.0,109994.0,63.477622
KO,2024-06-12 04:00:00+00:00,63.69,63.69,62.685,62.88,9569550.0,132961.0,62.958338
KO,2024-06-13 04:00:00+00:00,62.86,63.035,62.45,62.99,9668888.0,115510.0,62.840135
KO,2024-06-14 04:00:00+00:00,62.38,62.69,62.09,62.55,8179239.0,113738.0,62.44172
KO,2024-06-17 04:00:00+00:00,62.37,62.895,62.18,62.62,10532715.0,142972.0,62.577619
KO,2024-06-18 04:00:00+00:00,62.53,62.82,62.44,62.63,10651661.0,113841.0,62.605213
KO,2024-06-20 04:00:00+00:00,62.4,62.74,61.945,62.18,13306273.0,146941.0,62.209564
KO,2024-06-21 04:00:00+00:00,62.18,63.1,62.18,62.77,28282194.0,132707.0,62.693326
KO,2024-06-24 04:00:00+00:00,62.99,64.055,62.91,63.97,13212454.0,151592.0,63.807257
KO,2024-06-25 04:00:00+00:00,63.935,64.07,63.51,63.84,10546793.0,111051.0,63.796249
KO,2024-06-26 04:00:00+00:00,63.4,64.11,63.23,64.05,9402502.0,114063.0,63.896748
KO,2024-06-27 04:00:00+00:00,64.05,64.27,63.62,63.91,8494123.0,112288.0,63.903442
KO,2024-06-28 04:00:00+00:00,63.9,64.06,63.52,63.65,17333075.0,119262.0,63.68887
KO,2024-07-01 04:00:00+00:00,64.03,64.3,63.12,63.28,10033361.0,142544.0,63.51707
KO,2024-07-02 04:00:00+00:00,63.26,63.38,62.855,63.15,8878156.0,124773.0,63.095253
KO,2024-07-03 04:00:00+00:00,63.19,63.665,62.93,63.33,9154198.0,96531.0,63.392826
KO,2024-07-05 04:00:00+00:00,63.33,63.79,62.995,63.76,11735460.0,130622.0,63.499929
KO,2024-07-08 04:00:00+00:00,63.59,63.59,62.84,62.96,11235135.0,150550.0,63.032996
KO,2024-07-09 04:00:00+00:00,63.06,63.23,62.59,62.69,11660197.0,143694.0,62.773957
KO,2024-07-10 04:00:00+00:00,62.72,62.86,62.285,62.83,11930407.0,145069.0,62.631517
KO,2024-07-11 04:00:00+00:00,62.64,63.46,62.395,63.1,11434422.0,138664.0,63.096107
KO,2024-07-12 04:00:00+00:00,63.46,64.115,63.385,63.7,9201516.0,131649.0,63.754897
KO,2024-07-15 04:00:00+00:00,63.79,63.94,63.35,63.41,8207521.0,150427.0,63.590543
KO,2024-07-16 04:00:00+00:00,63.43,64.31,63.39,64.27,9025066.0,124550.0,64.106855
KO,2024-07-17 04:00:00+00:00,64.47,65.39,64.405,65.21,12508215.0,178370.0,65.092789
KO,2024-07-18 04:00:00+00:00,64.8,65.805,64.72,65.19,11128203.0,147408.0,65.370655
KO,2024-07-19 04:00:00+00:00,65.64,65.64,64.82,65.29,13775672.0,168111.0,65.249781
KO,2024-07-22 04:00:00+00:00,65.25,65.29,64.315,64.77,11794212.0,156460.0,64.708181
KO,2024-07-23 04:00:00+00:00,65.43,66.04,64.845,64.96,11810262.0,176896.0,65.272292
KO,2024-07-24 04:00:00+00:00,65.09,65.965,64.835,65.81,13244568.0,156158.0,65.578179
KO,2024-07-25 04:00:00+00:00,66.04,66.89,65.86,66.07,16328583.0,171308.0,66.261198
KO,2024-07-26 04:00:00+00:00,66.07,67.11,66.01,67.05,13530071.0,147235.0,66.835029
KO,2024-07-29 04:00:00+00:00,66.88,67.025,66.39,66.83,12140153.0,154850.0,66.749852
KO,2024-07-30 04:00:00+00:00,66.48,67.83,66.36,67.68,13257960.0,161792.0,67.440627
KO,2024-07-31 04:00:00+00:00,67.5,67.61,66.61,66.74,15576846.0,157021.0,66.918779
KO,2024-08-01 04:00:00+00:00,67.0,68.105,66.7,67.96,16495907.0,165843.0,67.6634
KO,2024-08-02 04:00:00+00:00,68.53,69.67,67.69,69.33,22514775.0,228238.0,68.894617
KO,2024-08-05 04:00:00+00:00,68.99,69.55,67.73,68.1,25484273.0,294456.0,68.398827
KO,2024-08-06 04:00:00+00:00,68.15,68.84,67.77,68.05,12969099.0,164601.0,68.368117
KO,2024-08-07 04:00:00+00:00,68.05,69.18,67.83,68.46,13365270.0,156044.0,68.56104
KO,2024-08-08 04:00:00+00:00,68.0,68.865,67.85,68.73,15240914.0,138844.0,68.644742
KO,2024-08-09 04:00:00+00:00,68.7,68.785,68.245,68.68,12080420.0,127237.0,68.601245
KO,2024-08-12 04:00:00+00:00,68.45,68.54,67.83,68.17,11012318.0,143181.0,68.169881
KO,2024-08-13 04:00:00+00:00,68.08,68.61,68.01,68.46,9877569.0,132943.0,68.37137
KO,2024-08-14 04:00:00+00:00,68.23,68.89,68.13,68.58,14328033.0,137599.0,68.62079
KO,2024-08-15 04:00:00+00:00,68.62,68.92,68.5,68.65,11285120.0,132027.0,68.675061
KO,2024-08-16 04:00:00+00:00,68.84,69.3,68.64,69.18,12651230.0,142564.0,69.045297
KO,2024-08-19 04:00:00+00:00,69.35,69.42,68.845,68.98,9843861.0,142150.0,69.018963
KO,2024-08-20 04:00:00+00:00,68.99,69.39,68.765,69.38,11957372.0,123420.0,69.253162
KO,2024-08-21 04:00:00+00:00,69.48,70.13,69.335,69.57,8792397.0,125291.0,69.615317
KO,2024-08-22 04:00:00+00:00,69.92,69.92,68.79,69.33,12509202.0,136178.0,69.289416
KO,2024-08-23 04:00:00+00:00,69.4,69.85,68.935,69.79,11834745.0,134047.0,69.52838
KO,2024-08-26 04:00:00+00:00,69.83,70.92,69.73,70.84,12912248.0,152520.0,70.695945
KO,2024-08-27 04:00:00+00:00,71.32,71.53,71.05,71.5,16988408.0,157566.0,71.411674
KO,2024-08-28 04:00:00+00:00,71.61,71.81,71.295,71.75,13272584.0,150553.0,71.59415
KO,2024-08-29 04:00:00+00:00,71.9,72.22,71.23,72.05,17201677.0,167783.0,71.781122
KO,2024-08-30 04:00:00+00:00,72.2,72.57,71.78,72.47,18624227.0,168144.0,72.280815
KO,2024-09-03 04:00:00+00:00,72.44,73.285,72.245,73.01,14755752.0,206070.0,72.914699
KO,2024-09-04 04:00:00+00:00,73.3,73.53,71.91,72.56,18140831.0,194611.0,72.646516
KO,2024-09-05 04:00:00+00:00,72.62,72.68,70.98,71.17,23866125.0,213414.0,71.535924
KO,2024-09-06 04:00:00+00:00,70.99,71.67,70.89,71.14,17485707.0,167319.0,71.187692
KO,2024-09-09 04:00:00+00:00,71.23,72.305,70.98,71.85,12939256.0,168098.0,71.878678
KO,2024-09-10 04:00:00+00:00,71.97,72.42,71.52,71.55,10277585.0,136646.0,71.75694
KO,2024-09-11 04:00:00+00:00,71.36,71.37,70.5701,71.08,11418234.0,154127.0,70.930706
KO,2024-09-12 04:00:00+00:00,71.0,71.38,70.655,71.23,12340779.0,142040.0,71.117867
KO,2024-09-13 04:00:00+00:00,70.84,71.465,70.48,71.41,11073849.0,148770.0,71.187968
KO,2024-09-16 04:00:00+00:00,71.77,72.24,71.62,72.1,10786531.0,157145.0,71.977615
KO,2024-09-17 04:00:00+00:00,71.9,72.35,71.725,71.8,12974382.0,136014.0,71.92341
KO,2024-09-18 04:00:00+00:00,71.89,72.38,71.27,71.75,10719713.0,145844.0,71.900097
KO,2024-09-19 04:00:00+00:00,71.56,71.94,70.6,70.62,13635646.0,177971.0,70.903198
KO,2024-09-20 04:00:00+00:00,70.41,71.8,70.38,71.64,48578480.0,184586.0,71.392834
KO,2024-09-23 04:00:00+00:00,71.55,72.2,71.18,71.73,11613022.0,156702.0,71.753017
KO,2024-09-24 04:00:00+00:00,71.22,71.815,70.6,71.33,13330638.0,154054.0,71.3264
KO,2024-09-25 04:00:00+00:00,71.71,71.92,71.305,71.45,12329127.0,128621.0,71.526686
KO,2024-09-26 04:00:00+00:00,70.86,71.61,70.84,71.4,10815219.0,111880.0,71.273704
KO,2024-09-27 04:00:00+00:00,71.54,72.2,71.46,71.79,11175706.0,144951.0,71.855086
KO,2024-09-30 04:00:00+00:00,72.0,72.2,71.69,71.86,18016013.0,150171.0,71.87796
KO,2024-10-01 04:00:00+00:00,72.1,72.745,71.63,71.71,13294498.0,176413.0,71.965742
KO,2024-10-02 04:00:00+00:00,71.39,71.43,70.41,71.01,11155480.0,162023.0,70.884079
KO,2024-10-03 04:00:00+00:00,70.86,70.99,70.2,70.52,9374794.0,134204.0,70.48863
KO,2024-10-04 04:00:00+00:00,69.96,70.28,69.72,70.17,12687289.0,169409.0,70.026088
KO,2024-10-07 04:00:00+00:00,70.05,70.1,68.87,69.01,14511962.0,194119.0,69.201513
KO,2024-10-08 04:00:00+00:00,69.04,69.44,68.86,69.18,13549702.0,120637.0,69.101237
