symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LOW,2024-03-13 04:00:00+00:00,244.24,248.55,244.24,247.41,2238060.0,46111.0,247.317496
LOW,2024-03-14 04:00:00+00:00,246.66,247.8,242.49,244.63,2492732.0,47040.0,244.449433
LOW,2024-03-15 04:00:00+00:00,244.23,247.25,243.61,244.73,5692794.0,45755.0,244.754435
LOW,2024-03-18 04:00:00+00:00,245.7,246.33,243.01,243.48,2480954.0,45553.0,243.961615
LOW,2024-03-19 04:00:00+00:00,244.5,248.2,244.47,248.02,2408500.0,42155.0,247.139375
LOW,2024-03-20 04:00:00+00:00,248.535,252.42,247.42,251.96,1882575.0,38827.0,250.60091
LOW,2024-03-21 04:00:00+00:00,252.96,261.34,252.95,261.0,3418453.0,58172.0,259.787403
LOW,2024-03-22 04:00:00+00:00,261.13,262.49,258.37,258.5,2493244.0,39082.0,259.210685
LOW,2024-03-25 04:00:00+00:00,258.72,259.4617,253.73,254.0,2024658.0,37181.0,255.309457
LOW,2024-03-26 04:00:00+00:00,253.47,255.04,251.28,251.42,3048905.0,45912.0,252.280636
LOW,2024-03-27 04:00:00+00:00,252.37,253.36,251.24,253.33,2351859.0,43033.0,252.687088
LOW,2024-03-28 04:00:00+00:00,252.81,255.29,250.98,254.73,2631256.0,46865.0,254.285421
LOW,2024-04-01 04:00:00+00:00,253.35,255.315,248.52,249.28,2362999.0,49341.0,250.311592
LOW,2024-04-02 04:00:00+00:00,246.28,247.02,243.48,244.45,2819734.0,54595.0,244.699906
LOW,2024-04-03 04:00:00+00:00,241.06,244.14,240.49,240.7,3144468.0,57675.0,241.492855
LOW,2024-04-04 04:00:00+00:00,243.56,245.35,237.81,238.01,2343670.0,47667.0,239.498891
LOW,2024-04-05 04:00:00+00:00,238.0,240.425,237.825,239.32,1680813.0,36241.0,239.387151
LOW,2024-04-08 04:00:00+00:00,238.26,242.72,237.97,242.59,2389245.0,45836.0,241.751782
LOW,2024-04-09 04:00:00+00:00,243.79,244.81,240.88,244.39,2126476.0,39500.0,243.780458
LOW,2024-04-10 04:00:00+00:00,238.14,239.285,235.07,237.16,2955194.0,58311.0,237.504732
LOW,2024-04-11 04:00:00+00:00,239.0,240.29,233.19,235.44,2494647.0,49491.0,235.63453
LOW,2024-04-12 04:00:00+00:00,233.37,233.915,230.74,232.05,2117494.0,46779.0,231.915583
LOW,2024-04-15 04:00:00+00:00,234.76,234.85,229.17,230.01,1933112.0,40240.0,230.969402
LOW,2024-04-16 04:00:00+00:00,228.93,229.845,227.32,228.35,2201031.0,44964.0,228.607718
LOW,2024-04-17 04:00:00+00:00,230.24,230.89,227.24,228.86,1982302.0,36117.0,228.970759
LOW,2024-04-18 04:00:00+00:00,229.87,232.29,227.55,228.79,1993307.0,40385.0,229.32802
LOW,2024-04-19 04:00:00+00:00,229.49,232.11,228.89,230.24,2112314.0,39139.0,230.407855
LOW,2024-04-22 04:00:00+00:00,231.73,233.04,229.56,231.23,1872903.0,36925.0,231.331957
LOW,2024-04-23 04:00:00+00:00,231.23,234.205,230.22,233.56,2189892.0,40572.0,233.230946
LOW,2024-04-24 04:00:00+00:00,232.2,232.37,228.83,230.29,1485099.0,37903.0,230.185445
LOW,2024-04-25 04:00:00+00:00,227.77,230.645,224.68,229.96,1996750.0,38862.0,229.118341
LOW,2024-04-26 04:00:00+00:00,229.97,233.24,229.72,229.87,2001196.0,38675.0,230.776785
LOW,2024-04-29 04:00:00+00:00,230.01,231.85,229.84,230.94,1540518.0,33440.0,230.79701
LOW,2024-04-30 04:00:00+00:00,230.0,231.28,227.69,227.99,2435401.0,37635.0,228.553585
LOW,2024-05-01 04:00:00+00:00,227.37,230.99,225.47,227.52,1713954.0,40383.0,227.726905
LOW,2024-05-02 04:00:00+00:00,230.13,230.23,226.38,229.58,1672867.0,37507.0,228.515941
LOW,2024-05-03 04:00:00+00:00,233.6,238.15,231.98,232.13,1834728.0,40047.0,233.384393
LOW,2024-05-06 04:00:00+00:00,234.83,234.95,231.19,231.7,1714000.0,38558.0,232.258758
LOW,2024-05-07 04:00:00+00:00,232.46,234.83,231.22,231.46,1912475.0,39444.0,232.22655
LOW,2024-05-08 04:00:00+00:00,229.58,233.005,229.0,232.07,1689183.0,36379.0,231.923697
LOW,2024-05-09 04:00:00+00:00,232.08,236.96,232.08,236.13,1652674.0,36702.0,235.922885
LOW,2024-05-10 04:00:00+00:00,235.77,237.34,234.43,235.03,1336848.0,31635.0,235.498741
LOW,2024-05-13 04:00:00+00:00,236.3,236.88,231.69,232.98,1983692.0,44815.0,233.255965
LOW,2024-05-14 04:00:00+00:00,232.86,235.1519,229.86,231.58,2763197.0,53881.0,231.58215
LOW,2024-05-15 04:00:00+00:00,235.08,237.32,234.83,236.08,2103795.0,49661.0,236.257173
LOW,2024-05-16 04:00:00+00:00,234.36,234.98,231.72,232.26,1847420.0,42403.0,232.57345
LOW,2024-05-17 04:00:00+00:00,232.67,233.05,230.15,231.11,1968856.0,38996.0,231.218026
LOW,2024-05-20 04:00:00+00:00,230.21,231.08,228.24,229.17,2684427.0,51813.0,229.51129
LOW,2024-05-21 04:00:00+00:00,231.8,231.8,221.41,224.86,5397725.0,97743.0,223.885701
LOW,2024-05-22 04:00:00+00:00,224.16,225.43,220.21,221.13,2769766.0,57650.0,222.044142
LOW,2024-05-23 04:00:00+00:00,221.76,221.85,216.82,217.48,2636560.0,54385.0,218.113461
