symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MDLZ,2024-03-13 04:00:00+00:00,72.06,72.24,71.41,71.49,6781121.0,63050.0,71.673493
MDLZ,2024-03-14 04:00:00+00:00,71.4,71.51,70.485,70.96,7898506.0,84189.0,70.81882
MDLZ,2024-03-15 04:00:00+00:00,71.0,71.06,70.14,70.75,16858275.0,75664.0,70.760804
MDLZ,2024-03-18 04:00:00+00:00,71.0,71.595,70.82,71.31,8754453.0,58764.0,71.287565
MDLZ,2024-03-19 04:00:00+00:00,71.66,72.435,71.56,72.25,9590891.0,62402.0,72.210975
MDLZ,2024-03-20 04:00:00+00:00,72.3,72.57,71.285,71.87,6714039.0,64402.0,71.851727
MDLZ,2024-03-21 04:00:00+00:00,72.0,72.365,71.51,72.21,5859193.0,54474.0,72.106867
MDLZ,2024-03-22 04:00:00+00:00,72.26,72.7,71.95,72.4,6006016.0,44767.0,72.378599
MDLZ,2024-03-25 04:00:00+00:00,72.64,72.66,70.84,70.85,6786778.0,67254.0,71.209002
MDLZ,2024-03-26 04:00:00+00:00,70.69,70.82,69.69,70.04,11413142.0,115909.0,70.123271
MDLZ,2024-03-27 04:00:00+00:00,70.05,70.35,69.83,70.1,7119577.0,73077.0,70.061137
MDLZ,2024-03-28 04:00:00+00:00,70.47,70.58,69.83,70.0,9931071.0,84516.0,70.041253
MDLZ,2024-04-01 04:00:00+00:00,70.145,70.145,69.11,69.76,8426064.0,79113.0,69.590429
MDLZ,2024-04-02 04:00:00+00:00,69.8,70.0275,69.11,69.26,6886141.0,61954.0,69.311673
MDLZ,2024-04-03 04:00:00+00:00,68.98,69.09,67.89,67.97,8755343.0,73093.0,68.329169
MDLZ,2024-04-04 04:00:00+00:00,68.55,68.67,67.92,68.21,13595034.0,88088.0,68.335466
MDLZ,2024-04-05 04:00:00+00:00,67.96,68.43,67.635,67.99,10258467.0,74017.0,68.032563
MDLZ,2024-04-08 04:00:00+00:00,68.0,68.32,67.53,67.6,8835206.0,65586.0,67.804396
MDLZ,2024-04-09 04:00:00+00:00,67.93,67.97,67.34,67.86,8120018.0,68500.0,67.663674
MDLZ,2024-04-10 04:00:00+00:00,67.31,67.52,66.324,66.68,6858616.0,76078.0,66.717451
MDLZ,2024-04-11 04:00:00+00:00,66.85,67.25,66.205,66.78,11259642.0,85625.0,66.705037
MDLZ,2024-04-12 04:00:00+00:00,66.36,66.73,66.01,66.69,7433519.0,67894.0,66.469398
MDLZ,2024-04-15 04:00:00+00:00,67.27,67.38,65.215,65.87,10783549.0,91420.0,65.856579
MDLZ,2024-04-16 04:00:00+00:00,66.04,66.15,65.5,65.98,8581275.0,75817.0,65.847611
MDLZ,2024-04-17 04:00:00+00:00,66.23,66.66,66.0,66.51,6755530.0,62497.0,66.330149
MDLZ,2024-04-18 04:00:00+00:00,66.66,67.335,66.55,67.17,8695698.0,74972.0,66.988261
MDLZ,2024-04-19 04:00:00+00:00,67.42,68.16,67.09,68.11,11020832.0,75962.0,67.719787
