symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MET,2024-03-13 04:00:00+00:00,71.85,72.895,71.66,72.67,3203142.0,32015.0,72.647637
MET,2024-03-14 04:00:00+00:00,72.11,72.66,71.36,71.9,4015025.0,48131.0,71.855199
MET,2024-03-15 04:00:00+00:00,71.53,72.59,71.53,72.39,5858589.0,34410.0,72.258528
MET,2024-03-18 04:00:00+00:00,72.53,72.67,72.15,72.55,3341001.0,36038.0,72.494046
MET,2024-03-19 04:00:00+00:00,72.7,73.0,72.18,72.4,3286637.0,33160.0,72.438429
MET,2024-03-20 04:00:00+00:00,72.12,73.56,71.7,73.36,2755435.0,31491.0,73.054322
MET,2024-03-21 04:00:00+00:00,73.62,74.01,73.1938,73.27,3002615.0,35043.0,73.449054
MET,2024-03-22 04:00:00+00:00,73.47,73.9,72.6,72.63,2724728.0,29476.0,72.985159
MET,2024-03-25 04:00:00+00:00,72.51,73.47,72.51,73.1,2591055.0,29887.0,73.151978
MET,2024-03-26 04:00:00+00:00,72.8,73.375,72.76,73.06,2713266.0,31519.0,73.126557
MET,2024-03-27 04:00:00+00:00,73.5,73.97,73.28,73.92,2526413.0,32093.0,73.705731
MET,2024-03-28 04:00:00+00:00,74.11,74.395,73.885,74.11,2591678.0,29482.0,74.142574
MET,2024-04-01 04:00:00+00:00,74.06,74.17,73.27,73.69,2219452.0,30476.0,73.731961
MET,2024-04-02 04:00:00+00:00,73.5,74.01,73.18,73.23,2354390.0,29597.0,73.440958
MET,2024-04-03 04:00:00+00:00,73.1,74.03,73.1,73.57,2003100.0,28181.0,73.60244
MET,2024-04-04 04:00:00+00:00,74.19,74.675,72.8,73.13,2894476.0,40782.0,73.565846
MET,2024-04-05 04:00:00+00:00,73.25,73.815,72.84,73.6,1830606.0,28976.0,73.470864
MET,2024-04-08 04:00:00+00:00,73.66,74.005,73.36,73.78,2055108.0,34161.0,73.740217
MET,2024-04-09 04:00:00+00:00,74.06,74.17,72.245,72.88,2373303.0,35366.0,72.823765
MET,2024-04-10 04:00:00+00:00,72.2,72.34,71.315,71.91,2585344.0,41294.0,71.813077
MET,2024-04-11 04:00:00+00:00,71.58,71.62,70.25,70.98,4251768.0,55313.0,71.059971
MET,2024-04-12 04:00:00+00:00,70.57,71.32,69.75,70.14,2744583.0,39981.0,70.196044
MET,2024-04-15 04:00:00+00:00,71.22,71.67,69.25,69.44,2722500.0,40670.0,69.87637
MET,2024-04-16 04:00:00+00:00,69.57,69.64,68.71,68.93,3330324.0,38927.0,69.036011
MET,2024-04-17 04:00:00+00:00,69.31,69.68,68.58,68.92,2650903.0,35194.0,69.06207
MET,2024-04-18 04:00:00+00:00,69.41,70.15,69.33,69.95,2823738.0,35482.0,69.9037
MET,2024-04-19 04:00:00+00:00,70.22,71.31,70.03,71.11,3346091.0,42730.0,71.022422
MET,2024-04-22 04:00:00+00:00,71.6,72.4325,70.97,71.96,2846043.0,38475.0,71.909723
MET,2024-04-23 04:00:00+00:00,72.23,72.6,72.025,72.22,2106196.0,30143.0,72.2234
MET,2024-04-24 04:00:00+00:00,71.88,72.76,71.66,72.72,2073778.0,30064.0,72.487205
MET,2024-04-25 04:00:00+00:00,72.42,72.76,70.99,71.9,2918488.0,40177.0,71.671537
MET,2024-04-26 04:00:00+00:00,71.55,71.66,70.125,70.42,5650572.0,59895.0,70.507744
MET,2024-04-29 04:00:00+00:00,70.62,71.745,70.54,71.7,3966871.0,40116.0,71.490449
MET,2024-04-30 04:00:00+00:00,71.3,71.79,71.07,71.08,2534496.0,34719.0,71.30884
MET,2024-05-01 04:00:00+00:00,71.11,72.71,71.05,71.88,4192747.0,48250.0,71.897682
MET,2024-05-02 04:00:00+00:00,72.4,72.64,68.06,70.24,6294077.0,68633.0,69.522546
MET,2024-05-03 04:00:00+00:00,70.29,70.76,69.19,70.52,3361215.0,42934.0,70.307329
MET,2024-05-06 04:00:00+00:00,70.32,71.22,70.16,71.19,3154131.0,40475.0,70.958015
MET,2024-05-07 04:00:00+00:00,71.55,71.865,71.23,71.26,3146771.0,43907.0,71.441158
MET,2024-05-08 04:00:00+00:00,71.3,71.97,71.13,71.66,2549590.0,33117.0,71.647782
