symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MMM,2024-03-13 04:00:00+00:00,99.72,104.09,99.2,104.07,10815510.0,141742.0,102.76102
MMM,2024-03-14 04:00:00+00:00,103.36,104.54,102.24,103.12,6925204.0,101381.0,103.210985
MMM,2024-03-15 04:00:00+00:00,103.0,105.54,102.78,105.0,26838610.0,125914.0,104.821364
MMM,2024-03-18 04:00:00+00:00,104.53,106.29,104.42,104.8,5537228.0,79520.0,105.04871
MMM,2024-03-19 04:00:00+00:00,105.79,107.0,104.553,105.32,5842707.0,77797.0,105.275982
MMM,2024-03-20 04:00:00+00:00,104.99,109.0999,104.44,108.11,7015254.0,88033.0,107.493375
MMM,2024-03-21 04:00:00+00:00,108.2,109.19,107.79,107.87,6594170.0,75297.0,108.376983
MMM,2024-03-22 04:00:00+00:00,107.6,108.12,106.75,106.78,4449245.0,54259.0,107.268102
MMM,2024-03-25 04:00:00+00:00,105.9,106.81,104.78,104.84,5585278.0,65072.0,105.561486
MMM,2024-03-26 04:00:00+00:00,104.06,104.67,102.4,102.63,6086736.0,81199.0,103.237737
MMM,2024-03-27 04:00:00+00:00,103.0,104.7647,102.99,104.59,3881023.0,57820.0,104.237807
MMM,2024-03-28 04:00:00+00:00,104.61,106.26,104.59,106.07,4386102.0,55739.0,105.733025
MMM,2024-04-01 04:00:00+00:00,91.05,94.34,88.23,94.02,13004810.0,169174.0,92.239455
MMM,2024-04-02 04:00:00+00:00,93.1,94.42,91.9,92.84,8911976.0,101332.0,92.962094
MMM,2024-04-03 04:00:00+00:00,93.34,94.7,92.5,93.19,6060218.0,80846.0,93.42852
MMM,2024-04-04 04:00:00+00:00,94.49,95.6667,90.23,90.54,5864178.0,80429.0,92.128309
MMM,2024-04-05 04:00:00+00:00,90.43,91.42,89.54,91.03,3514007.0,57429.0,90.798391
MMM,2024-04-08 04:00:00+00:00,91.2,92.89,91.2,91.93,3706736.0,55555.0,92.011392
MMM,2024-04-09 04:00:00+00:00,92.1,93.2,92.0,92.61,4237654.0,54039.0,92.6608
MMM,2024-04-10 04:00:00+00:00,91.78,92.71,90.57,92.63,3494855.0,54863.0,91.94048
MMM,2024-04-11 04:00:00+00:00,92.84,93.56,92.48,93.18,2993671.0,51304.0,93.128818
MMM,2024-04-12 04:00:00+00:00,92.76,92.81,91.145,91.31,3590310.0,55709.0,91.633229
MMM,2024-04-15 04:00:00+00:00,91.98,92.775,90.7465,91.3,3675020.0,50829.0,91.582749
MMM,2024-04-16 04:00:00+00:00,90.94,91.33,90.17,91.05,3036971.0,50877.0,90.796441
MMM,2024-04-17 04:00:00+00:00,91.73,92.105,90.3302,90.96,3421571.0,49607.0,91.051768
MMM,2024-04-18 04:00:00+00:00,91.4,92.43,90.87,91.48,3069409.0,47960.0,91.513203
MMM,2024-04-19 04:00:00+00:00,91.24,92.4,91.1,92.27,3588522.0,52107.0,91.985431
MMM,2024-04-22 04:00:00+00:00,92.54,92.7078,91.7,92.62,2992931.0,44266.0,92.411731
MMM,2024-04-23 04:00:00+00:00,92.98,94.04,92.785,93.0,3729824.0,49165.0,93.235598
MMM,2024-04-24 04:00:00+00:00,92.59,93.23,91.4185,92.02,3813358.0,47036.0,92.053905
MMM,2024-04-25 04:00:00+00:00,91.59,92.0,90.65,91.41,2954822.0,45080.0,91.280696
MMM,2024-04-26 04:00:00+00:00,91.5,92.19,91.08,91.83,4520901.0,48262.0,91.833216
MMM,2024-04-29 04:00:00+00:00,91.56,92.62,91.56,92.16,4957288.0,60323.0,92.122589
MMM,2024-04-30 04:00:00+00:00,95.73,97.8399,93.78,96.51,16731854.0,168854.0,96.148267
MMM,2024-05-01 04:00:00+00:00,98.1,99.7,97.28,98.44,11064300.0,132848.0,98.802368
MMM,2024-05-02 04:00:00+00:00,97.96,98.4,96.65,96.81,6317061.0,81028.0,97.167191
MMM,2024-05-03 04:00:00+00:00,97.58,98.19,96.84,97.15,4818713.0,58232.0,97.3078
MMM,2024-05-06 04:00:00+00:00,97.09,97.75,96.54,96.59,4329454.0,51362.0,96.9325
MMM,2024-05-07 04:00:00+00:00,96.59,97.18,95.52,95.54,4408969.0,57234.0,96.051486
MMM,2024-05-08 04:00:00+00:00,95.39,96.44,95.01,96.35,3489861.0,45528.0,95.880454
MMM,2024-05-09 04:00:00+00:00,96.09,97.375,95.9,97.33,2584177.0,36541.0,96.97289
MMM,2024-05-10 04:00:00+00:00,98.55,99.66,98.1701,98.93,4157896.0,58105.0,98.916461
MMM,2024-05-13 04:00:00+00:00,99.0,101.74,99.0,99.63,5578802.0,71985.0,100.215774
MMM,2024-05-14 04:00:00+00:00,99.93,101.2,99.8,100.08,2973067.0,48615.0,100.183937
MMM,2024-05-15 04:00:00+00:00,100.19,101.67,100.15,101.24,4203343.0,66757.0,101.149007
MMM,2024-05-16 04:00:00+00:00,101.72,105.22,101.59,104.86,8384504.0,101038.0,104.473712
MMM,2024-05-17 04:00:00+00:00,105.21,105.72,104.68,105.26,5396497.0,68853.0,105.232327
MMM,2024-05-20 04:00:00+00:00,105.22,106.04,104.63,105.21,3962667.0,56418.0,105.270597
MMM,2024-05-21 04:00:00+00:00,104.89,105.04,102.65,103.14,4602985.0,67139.0,103.633118
MMM,2024-05-22 04:00:00+00:00,102.64,103.11,100.95,101.49,3807843.0,63267.0,101.659209
MMM,2024-05-23 04:00:00+00:00,100.42,100.52,98.91,99.51,3845510.0,57421.0,99.708126
MMM,2024-05-24 04:00:00+00:00,99.81,100.52,99.3388,99.67,2602227.0,43152.0,99.808704
MMM,2024-05-28 04:00:00+00:00,99.56,100.11,97.82,98.68,4361056.0,65028.0,98.795451
MMM,2024-05-29 04:00:00+00:00,97.8,97.9,96.76,97.56,4826562.0,65867.0,97.270473
MMM,2024-05-30 04:00:00+00:00,97.69,98.23,96.89,98.2,4520612.0,60270.0,97.649844
MMM,2024-05-31 04:00:00+00:00,98.06,100.25,97.42,100.14,21754438.0,81644.0,99.92789
MMM,2024-06-03 04:00:00+00:00,100.37,100.79,98.97,99.76,4508226.0,50990.0,99.632697
MMM,2024-06-04 04:00:00+00:00,99.0,99.402,97.68,98.61,4988057.0,55437.0,98.488375
MMM,2024-06-05 04:00:00+00:00,98.82,99.65,97.87,99.06,3115445.0,48909.0,98.868996
MMM,2024-06-06 04:00:00+00:00,98.8,99.55,98.16,98.22,2509997.0,42823.0,98.496378
MMM,2024-06-07 04:00:00+00:00,99.51,101.96,98.4,100.86,5636659.0,72723.0,100.581626
MMM,2024-06-10 04:00:00+00:00,100.43,101.84,100.28,100.66,3507587.0,48374.0,100.751863
MMM,2024-06-11 04:00:00+00:00,100.1,101.47,99.225,101.32,2831634.0,43218.0,100.832605
MMM,2024-06-12 04:00:00+00:00,102.62,103.68,100.76,101.21,3704729.0,54532.0,101.830701
MMM,2024-06-13 04:00:00+00:00,102.02,102.8,100.74,101.54,5034653.0,51462.0,101.548125
MMM,2024-06-14 04:00:00+00:00,100.5,101.42,99.305,100.9,2685142.0,44172.0,100.623434
MMM,2024-06-17 04:00:00+00:00,99.98,101.44,99.92,100.53,3490032.0,51833.0,100.607584
MMM,2024-06-18 04:00:00+00:00,100.07,101.465,100.06,100.77,3446167.0,50699.0,100.842286
MMM,2024-06-20 04:00:00+00:00,100.26,102.34,100.19,101.66,3476766.0,51971.0,101.614947
MMM,2024-06-21 04:00:00+00:00,101.93,102.44,100.945,102.39,7866227.0,49916.0,102.222438
MMM,2024-06-24 04:00:00+00:00,102.18,103.5,101.68,102.99,2947967.0,45028.0,102.9652
