symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MO,2024-03-13 04:00:00+00:00,43.19,43.47,43.17,43.35,7082376.0,52901.0,43.331943
MO,2024-03-14 04:00:00+00:00,43.4,44.365,43.23,44.28,22465823.0,150486.0,43.984325
MO,2024-03-15 04:00:00+00:00,43.91,44.5,43.87,43.87,45230833.0,115758.0,43.954308
MO,2024-03-18 04:00:00+00:00,43.86,44.76,43.76,44.51,31335366.0,105722.0,44.499103
MO,2024-03-19 04:00:00+00:00,44.57,44.98,44.35,44.63,22602450.0,77248.0,44.598827
MO,2024-03-20 04:00:00+00:00,44.71,44.82,44.52,44.79,18195754.0,78404.0,44.712075
MO,2024-03-21 04:00:00+00:00,44.83,45.0,44.59,44.95,21052503.0,80785.0,44.90448
MO,2024-03-22 04:00:00+00:00,43.91,43.93,42.86,42.98,23870305.0,102406.0,43.12515
MO,2024-03-25 04:00:00+00:00,42.93,43.57,42.915,43.26,19734547.0,62013.0,43.246484
MO,2024-03-26 04:00:00+00:00,43.23,43.4,43.06,43.12,10702040.0,65735.0,43.1711
MO,2024-03-27 04:00:00+00:00,43.32,43.67,43.29,43.66,9001661.0,64326.0,43.53314
MO,2024-03-28 04:00:00+00:00,43.78,43.945,43.6,43.62,9807499.0,68992.0,43.699628
MO,2024-04-01 04:00:00+00:00,43.62,43.87,43.18,43.22,12174450.0,63060.0,43.361658
MO,2024-04-02 04:00:00+00:00,43.23,43.485,42.835,42.93,10038536.0,73146.0,43.031918
MO,2024-04-03 04:00:00+00:00,42.96,43.0992,42.095,42.12,20090180.0,100668.0,42.297424
MO,2024-04-04 04:00:00+00:00,42.43,42.58,41.49,41.53,13031418.0,93663.0,41.807379
MO,2024-04-05 04:00:00+00:00,41.48,41.7625,41.37,41.65,8515879.0,68977.0,41.587967
MO,2024-04-08 04:00:00+00:00,41.54,42.09,41.5,41.96,9402189.0,69541.0,41.948266
MO,2024-04-09 04:00:00+00:00,42.0,42.31,41.92,42.11,7686419.0,62706.0,42.097294
MO,2024-04-10 04:00:00+00:00,41.67,42.03,41.54,41.68,9510314.0,79451.0,41.709105
MO,2024-04-11 04:00:00+00:00,41.75,41.83,41.31,41.43,10889074.0,65422.0,41.507173
MO,2024-04-12 04:00:00+00:00,41.33,41.55,41.02,41.05,10668597.0,69942.0,41.150098
MO,2024-04-15 04:00:00+00:00,41.3,41.46,40.65,40.95,10727646.0,68141.0,40.973253
MO,2024-04-16 04:00:00+00:00,40.95,41.09,40.72,40.75,10407370.0,79096.0,40.835693
MO,2024-04-17 04:00:00+00:00,41.01,41.22,40.74,41.1,8787705.0,63861.0,41.025583
MO,2024-04-18 04:00:00+00:00,41.13,41.43,41.105,41.3,17571316.0,71393.0,41.287973
MO,2024-04-19 04:00:00+00:00,41.39,42.27,41.39,42.09,22325582.0,76109.0,42.015085
MO,2024-04-22 04:00:00+00:00,42.31,42.72,42.02,42.57,10775658.0,81788.0,42.461297
MO,2024-04-23 04:00:00+00:00,42.64,43.04,42.52,42.87,18917203.0,74610.0,42.867587
MO,2024-04-24 04:00:00+00:00,42.7,43.055,42.4,42.92,12938207.0,87534.0,42.884763
MO,2024-04-25 04:00:00+00:00,43.25,43.65,42.76,43.54,14924175.0,96241.0,43.328194
MO,2024-04-26 04:00:00+00:00,43.43,43.94,43.19,43.38,13794252.0,112801.0,43.562652
MO,2024-04-29 04:00:00+00:00,43.4,43.84,43.37,43.82,8657511.0,65837.0,43.718077
MO,2024-04-30 04:00:00+00:00,43.99,44.14,43.63,43.81,11816800.0,84941.0,43.888284
MO,2024-05-01 04:00:00+00:00,43.7,44.175,43.69,43.82,7367268.0,66746.0,43.935481
MO,2024-05-02 04:00:00+00:00,44.0,44.21,43.825,43.98,9054913.0,79357.0,44.002402
MO,2024-05-03 04:00:00+00:00,44.0,44.12,43.37,43.59,11228966.0,84380.0,43.59497
MO,2024-05-06 04:00:00+00:00,43.69,43.83,43.44,43.49,9035436.0,86282.0,43.529923
MO,2024-05-07 04:00:00+00:00,43.6,44.0,43.58,43.85,12052098.0,69795.0,43.808642
MO,2024-05-08 04:00:00+00:00,43.9,44.4,43.9,44.29,9946710.0,75749.0,44.240951
MO,2024-05-09 04:00:00+00:00,44.39,44.77,44.27,44.71,8140865.0,62361.0,44.638707
MO,2024-05-10 04:00:00+00:00,44.79,45.035,44.739,44.9,12160008.0,71675.0,44.876771
MO,2024-05-13 04:00:00+00:00,44.9,45.37,44.9,45.04,8229219.0,64669.0,45.052497
MO,2024-05-14 04:00:00+00:00,45.08,45.55,45.04,45.5,9436333.0,67491.0,45.422986
MO,2024-05-15 04:00:00+00:00,45.6,45.95,45.59,45.85,9435122.0,72786.0,45.824442
MO,2024-05-16 04:00:00+00:00,45.95,46.215,45.9,45.95,9131662.0,70441.0,46.006013
MO,2024-05-17 04:00:00+00:00,46.05,46.2492,45.92,46.08,9243539.0,63036.0,46.076986
MO,2024-05-20 04:00:00+00:00,46.09,46.25,45.775,45.9,8076985.0,64800.0,45.982904
MO,2024-05-21 04:00:00+00:00,46.01,46.44,45.94,46.33,8596466.0,57429.0,46.248128
MO,2024-05-22 04:00:00+00:00,46.14,46.6,46.11,46.32,15142752.0,57314.0,46.350195
MO,2024-05-23 04:00:00+00:00,46.1,46.105,45.51,45.64,10349931.0,73970.0,45.687095
MO,2024-05-24 04:00:00+00:00,45.84,46.0,45.34,45.49,4727695.0,49656.0,45.548947
MO,2024-05-28 04:00:00+00:00,45.4,45.635,45.21,45.48,7582616.0,57189.0,45.40276
MO,2024-05-29 04:00:00+00:00,45.3,45.35,45.04,45.15,6472177.0,63559.0,45.192685
MO,2024-05-30 04:00:00+00:00,45.32,45.595,45.245,45.44,6580107.0,57989.0,45.41469
MO,2024-05-31 04:00:00+00:00,45.4,46.33,45.32,46.25,13899903.0,74377.0,46.01355
MO,2024-06-03 04:00:00+00:00,46.04,46.6499,46.02,46.55,8197667.0,66002.0,46.367002
MO,2024-06-04 04:00:00+00:00,46.4,46.85,46.38,46.83,8681743.0,70925.0,46.693271
MO,2024-06-05 04:00:00+00:00,46.78,46.78,46.38,46.67,6859203.0,57325.0,46.584806
MO,2024-06-06 04:00:00+00:00,46.67,47.19,46.58,46.69,9325296.0,84891.0,46.808132
MO,2024-06-07 04:00:00+00:00,46.69,46.99,46.58,46.7,6491317.0,50518.0,46.812693
MO,2024-06-10 04:00:00+00:00,46.6,46.79,46.24,46.49,7951026.0,72692.0,46.54676
MO,2024-06-11 04:00:00+00:00,46.53,46.5899,46.21,46.4,7396923.0,59513.0,46.422795
MO,2024-06-12 04:00:00+00:00,46.54,46.6,45.71,45.87,9925753.0,89002.0,46.010962
MO,2024-06-13 04:00:00+00:00,45.85,46.07,45.534,45.75,8828949.0,69834.0,45.806592
MO,2024-06-14 04:00:00+00:00,44.49,44.55,43.83,44.32,10651618.0,87701.0,44.170454
MO,2024-06-17 04:00:00+00:00,44.22,44.715,43.92,44.7,8284152.0,62278.0,44.484167
MO,2024-06-18 04:00:00+00:00,44.63,44.89,44.4114,44.8,16402593.0,63952.0,44.750929
MO,2024-06-20 04:00:00+00:00,44.65,45.55,44.53,45.43,8957784.0,68236.0,45.261303
MO,2024-06-21 04:00:00+00:00,45.6,45.99,45.445,45.74,28886684.0,87334.0,45.736439
MO,2024-06-24 04:00:00+00:00,45.99,46.585,45.85,46.45,10236352.0,73150.0,46.332005
MO,2024-06-25 04:00:00+00:00,46.49,46.59,46.27,46.42,10519752.0,63934.0,46.437632
MO,2024-06-26 04:00:00+00:00,46.2,46.56,46.18,46.36,7405183.0,52511.0,46.389215
MO,2024-06-27 04:00:00+00:00,46.32,46.4,45.17,45.46,8633296.0,69856.0,45.499929
MO,2024-06-28 04:00:00+00:00,45.5,45.62,45.27,45.55,12218320.0,54076.0,45.520635
MO,2024-07-01 04:00:00+00:00,45.9,46.415,45.75,46.03,7069960.0,62268.0,46.01103
MO,2024-07-02 04:00:00+00:00,46.0,46.1339,45.76,46.05,5463434.0,53088.0,45.991799
MO,2024-07-03 04:00:00+00:00,46.05,46.14,45.73,45.95,3663821.0,33819.0,45.896787
MO,2024-07-05 04:00:00+00:00,45.89,46.1,45.76,46.1,6881462.0,50283.0,45.977572
MO,2024-07-08 04:00:00+00:00,46.1,46.37,45.87,46.02,5318814.0,46277.0,46.04112
MO,2024-07-09 04:00:00+00:00,46.03,46.99,46.02,46.7,9398482.0,69998.0,46.688836
MO,2024-07-10 04:00:00+00:00,46.87,47.21,46.54,46.93,9584616.0,67770.0,46.826865
MO,2024-07-11 04:00:00+00:00,46.8,47.135,46.6,47.08,7441713.0,62255.0,46.941625
MO,2024-07-12 04:00:00+00:00,47.2,47.825,47.11,47.73,7337353.0,58188.0,47.61638
MO,2024-07-15 04:00:00+00:00,47.8,48.06,47.53,47.72,8733954.0,64592.0,47.796678
MO,2024-07-16 04:00:00+00:00,47.85,48.18,47.66,48.03,6205367.0,48821.0,47.995465
MO,2024-07-17 04:00:00+00:00,48.13,49.47,48.13,49.39,10040100.0,83354.0,49.105091
MO,2024-07-18 04:00:00+00:00,49.05,49.92,48.94,49.33,6788472.0,61152.0,49.477559
MO,2024-07-19 04:00:00+00:00,49.61,49.64,49.27,49.45,5776517.0,53508.0,49.501865
MO,2024-07-22 04:00:00+00:00,49.41,49.5566,49.04,49.4,5103222.0,44352.0,49.357252
MO,2024-07-23 04:00:00+00:00,49.485,49.7295,49.0,49.12,6919286.0,52806.0,49.227357
MO,2024-07-24 04:00:00+00:00,49.19,49.54,48.71,49.42,8777194.0,61953.0,49.302468
MO,2024-07-25 04:00:00+00:00,49.73,50.4699,49.6,49.8,10341074.0,68061.0,49.884755
MO,2024-07-26 04:00:00+00:00,49.8,50.47,49.55,50.43,6995663.0,60100.0,50.122497
