symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MRK,2024-03-13 04:00:00+00:00,123.16,123.21,120.8,122.16,9186104.0,108411.0,121.833128
MRK,2024-03-14 04:00:00+00:00,121.32,121.32,119.66,120.51,10132544.0,114537.0,120.363058
MRK,2024-03-15 04:00:00+00:00,119.84,121.94,119.23,121.52,46477417.0,142946.0,121.30741
MRK,2024-03-18 04:00:00+00:00,121.85,122.51,121.125,121.44,8311895.0,83024.0,121.507401
MRK,2024-03-19 04:00:00+00:00,121.44,122.26,120.4275,122.2,11696824.0,77028.0,121.792375
MRK,2024-03-20 04:00:00+00:00,121.28,123.91,120.38,123.85,9793420.0,100132.0,123.146031
MRK,2024-03-21 04:00:00+00:00,123.69,124.19,123.06,123.62,8156305.0,72893.0,123.7005
MRK,2024-03-22 04:00:00+00:00,123.79,124.49,123.22,123.85,7022502.0,71335.0,123.97141
MRK,2024-03-25 04:00:00+00:00,124.08,125.58,123.77,125.31,7605755.0,78572.0,125.105325
MRK,2024-03-26 04:00:00+00:00,125.78,126.08,124.85,125.52,8864402.0,78186.0,125.499719
MRK,2024-03-27 04:00:00+00:00,132.87,133.1,130.11,131.75,16061581.0,166785.0,131.41542
MRK,2024-03-28 04:00:00+00:00,132.0,132.42,131.08,131.95,10189650.0,97026.0,131.854236
MRK,2024-04-01 04:00:00+00:00,131.68,131.93,130.11,130.99,5377645.0,71534.0,130.814236
MRK,2024-04-02 04:00:00+00:00,130.1,130.76,129.28,130.35,6584174.0,73459.0,130.243893
MRK,2024-04-03 04:00:00+00:00,130.35,132.3,129.425,129.9,7741435.0,80511.0,130.369236
MRK,2024-04-04 04:00:00+00:00,130.83,130.94,127.335,127.66,6753178.0,75549.0,128.325495
MRK,2024-04-05 04:00:00+00:00,127.65,128.6,127.0,127.99,5692896.0,74212.0,127.895797
MRK,2024-04-08 04:00:00+00:00,127.64,127.92,125.88,126.56,6282534.0,85258.0,126.540916
MRK,2024-04-09 04:00:00+00:00,126.58,127.0,125.51,126.71,4696726.0,65306.0,126.284215
MRK,2024-04-10 04:00:00+00:00,125.86,127.0,125.05,126.75,5787733.0,75199.0,126.469122
MRK,2024-04-11 04:00:00+00:00,126.55,127.14,125.46,126.15,6187364.0,68774.0,126.250882
MRK,2024-04-12 04:00:00+00:00,127.035,127.11,125.1,125.74,7369784.0,79799.0,125.733291
MRK,2024-04-15 04:00:00+00:00,126.69,127.82,125.87,126.19,6241069.0,87829.0,126.656015
MRK,2024-04-16 04:00:00+00:00,126.56,126.8,125.03,125.06,5587332.0,76527.0,125.524442
MRK,2024-04-17 04:00:00+00:00,125.67,126.19,124.71,125.37,6122908.0,86199.0,125.341657
MRK,2024-04-18 04:00:00+00:00,125.52,125.52,124.5,125.23,5992700.0,64190.0,125.057161
MRK,2024-04-19 04:00:00+00:00,125.65,126.12,124.89,125.78,8404345.0,82485.0,125.663967
MRK,2024-04-22 04:00:00+00:00,126.71,128.08,126.22,126.94,7805992.0,84526.0,127.099393
MRK,2024-04-23 04:00:00+00:00,128.1,128.1,126.74,126.88,7743961.0,80240.0,127.09238
MRK,2024-04-24 04:00:00+00:00,126.815,127.59,125.35,127.0,7128300.0,86147.0,126.876488
MRK,2024-04-25 04:00:00+00:00,129.69,132.8,128.76,130.72,12750052.0,133421.0,130.603361
MRK,2024-04-26 04:00:00+00:00,130.13,131.91,130.13,131.2,7758230.0,93826.0,131.240359
MRK,2024-04-29 04:00:00+00:00,131.72,132.2,129.33,130.12,6829373.0,92977.0,130.40864
MRK,2024-04-30 04:00:00+00:00,130.92,130.92,128.98,129.22,6944968.0,79606.0,129.636928
MRK,2024-05-01 04:00:00+00:00,128.61,129.93,127.8,128.8,5895807.0,77587.0,128.958021
MRK,2024-05-02 04:00:00+00:00,129.06,129.69,127.985,128.26,7422542.0,79821.0,128.625253
MRK,2024-05-03 04:00:00+00:00,128.01,128.48,127.18,127.51,6221928.0,78064.0,127.636673
MRK,2024-05-06 04:00:00+00:00,127.18,127.73,126.76,127.57,6551962.0,80203.0,127.413451
MRK,2024-05-07 04:00:00+00:00,127.1,130.425,127.07,130.38,6682316.0,87109.0,129.384785
MRK,2024-05-08 04:00:00+00:00,130.58,131.51,129.33,129.55,6659121.0,74062.0,129.782014
MRK,2024-05-09 04:00:00+00:00,128.94,130.5,128.94,130.23,9216740.0,70980.0,129.940067
MRK,2024-05-10 04:00:00+00:00,130.82,130.88,129.95,130.06,5722627.0,73202.0,130.301413
MRK,2024-05-13 04:00:00+00:00,129.51,129.71,128.02,129.29,7109912.0,85475.0,128.920831
MRK,2024-05-14 04:00:00+00:00,129.2,129.2,128.0269,128.66,6154340.0,76262.0,128.558167
MRK,2024-05-15 04:00:00+00:00,128.88,131.965,128.72,131.73,7237125.0,86881.0,130.980403
MRK,2024-05-16 04:00:00+00:00,131.37,131.78,130.79,130.88,5518302.0,73191.0,131.031467
MRK,2024-05-17 04:00:00+00:00,130.69,131.32,129.81,131.19,8281595.0,59859.0,130.976512
MRK,2024-05-20 04:00:00+00:00,130.81,131.74,130.65,130.99,4860410.0,58843.0,131.199847
