symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MS,2024-03-13 04:00:00+00:00,87.45,90.24,87.25,89.35,10345766.0,113737.0,89.280467
MS,2024-03-14 04:00:00+00:00,89.0,89.4,88.26,89.1,9235361.0,116000.0,88.870817
MS,2024-03-15 04:00:00+00:00,88.48,89.3461,88.17,88.38,20363042.0,115054.0,88.498983
MS,2024-03-18 04:00:00+00:00,88.36,88.7,87.7,87.96,5959969.0,65388.0,88.018105
MS,2024-03-19 04:00:00+00:00,88.0,89.09,87.86,88.42,8546529.0,76256.0,88.466292
MS,2024-03-20 04:00:00+00:00,88.05,91.482,87.9107,91.35,10811723.0,101405.0,90.279576
MS,2024-03-21 04:00:00+00:00,91.96,94.36,91.955,93.4,13659937.0,135413.0,93.318623
MS,2024-03-22 04:00:00+00:00,93.52,93.86,91.74,91.95,5909255.0,64216.0,92.116405
MS,2024-03-25 04:00:00+00:00,91.77,92.5499,90.985,91.14,3670642.0,45419.0,91.362414
MS,2024-03-26 04:00:00+00:00,91.42,91.91,90.935,91.28,4212047.0,50966.0,91.401653
MS,2024-03-27 04:00:00+00:00,92.03,93.54,91.91,93.5,6394493.0,72640.0,93.0912
MS,2024-03-28 04:00:00+00:00,93.75,94.73,93.45,94.16,6707703.0,65950.0,94.099429
MS,2024-04-01 04:00:00+00:00,94.16,94.44,93.17,93.53,3416048.0,51647.0,93.590909
MS,2024-04-02 04:00:00+00:00,92.9,93.77,92.5401,92.71,5245570.0,61357.0,92.979192
MS,2024-04-03 04:00:00+00:00,92.95,94.3,92.75,93.0,4821141.0,58166.0,93.327658
MS,2024-04-04 04:00:00+00:00,94.2,94.735,91.86,92.28,5466099.0,74535.0,92.782174
MS,2024-04-05 04:00:00+00:00,92.25,93.29,91.61,92.47,4654937.0,68421.0,92.52271
MS,2024-04-08 04:00:00+00:00,93.0,93.4,92.2,93.21,4601943.0,60681.0,93.084111
MS,2024-04-09 04:00:00+00:00,93.61,94.14,92.83,94.08,4952411.0,67967.0,93.746849
MS,2024-04-10 04:00:00+00:00,92.27,92.89,91.18,91.65,5994209.0,82819.0,91.748115
MS,2024-04-11 04:00:00+00:00,91.72,91.8,85.01,86.84,24631768.0,276469.0,87.519048
MS,2024-04-12 04:00:00+00:00,85.8,86.81,85.12,86.19,12789664.0,155341.0,85.95978
MS,2024-04-15 04:00:00+00:00,87.8,89.13,85.49,86.99,9553914.0,123937.0,87.282614
MS,2024-04-16 04:00:00+00:00,90.71,91.1,88.0,89.14,18284001.0,218009.0,89.52879
MS,2024-04-17 04:00:00+00:00,90.13,91.44,89.67,90.08,9544640.0,114312.0,90.39739
MS,2024-04-18 04:00:00+00:00,90.66,91.11,89.74,90.26,6751978.0,83874.0,90.425456
MS,2024-04-19 04:00:00+00:00,90.36,91.62,90.36,90.66,8143003.0,90402.0,90.948014
MS,2024-04-22 04:00:00+00:00,91.11,92.66,90.705,92.09,7294357.0,78024.0,91.943804
MS,2024-04-23 04:00:00+00:00,92.16,94.05,92.16,93.76,6393943.0,81534.0,93.529754
MS,2024-04-24 04:00:00+00:00,93.11,94.07,93.03,93.85,5100898.0,60414.0,93.687764
MS,2024-04-25 04:00:00+00:00,93.0,93.65,91.65,92.56,6770646.0,67200.0,92.451536
MS,2024-04-26 04:00:00+00:00,92.5,93.31,92.4,92.83,4606109.0,57527.0,92.93398
MS,2024-04-29 04:00:00+00:00,91.33,92.81,91.33,92.11,4420459.0,56979.0,92.292959
MS,2024-04-30 04:00:00+00:00,91.6,91.83,90.55,90.84,5859963.0,73479.0,90.929275
MS,2024-05-01 04:00:00+00:00,91.28,92.48,90.73,91.54,4714871.0,62203.0,91.453738
MS,2024-05-02 04:00:00+00:00,92.54,92.92,91.6,92.65,4449194.0,61556.0,92.413715
MS,2024-05-03 04:00:00+00:00,93.34,94.42,93.28,93.64,5043459.0,74040.0,93.689834
MS,2024-05-06 04:00:00+00:00,94.56,94.91,93.7,94.79,5105096.0,70742.0,94.453192
MS,2024-05-07 04:00:00+00:00,94.915,95.93,94.71,95.79,7417962.0,86622.0,95.595484
MS,2024-05-08 04:00:00+00:00,95.43,96.05,95.1,95.64,4662709.0,62607.0,95.669562
MS,2024-05-09 04:00:00+00:00,95.59,98.26,95.59,98.11,6766675.0,84839.0,97.539658
MS,2024-05-10 04:00:00+00:00,98.74,98.99,97.625,98.28,6118425.0,68063.0,98.222338
MS,2024-05-13 04:00:00+00:00,98.75,98.97,98.42,98.56,5379209.0,70935.0,98.710603
MS,2024-05-14 04:00:00+00:00,99.0,100.1799,98.77,99.38,6216566.0,76293.0,99.619695
MS,2024-05-15 04:00:00+00:00,100.04,100.98,99.99,100.52,6938530.0,93139.0,100.484042
MS,2024-05-16 04:00:00+00:00,100.15,100.41,99.4507,99.58,4339280.0,61947.0,99.822056
MS,2024-05-17 04:00:00+00:00,99.9,100.3,99.3,100.22,4690752.0,54123.0,100.051196
MS,2024-05-20 04:00:00+00:00,100.05,100.89,99.38,100.33,5690176.0,63157.0,100.370579
MS,2024-05-21 04:00:00+00:00,100.31,103.25,100.15,101.53,8337061.0,87724.0,101.565441
MS,2024-05-22 04:00:00+00:00,101.28,102.52,100.17,100.74,5194285.0,62694.0,100.851675
MS,2024-05-23 04:00:00+00:00,100.38,100.56,98.48,98.92,5594499.0,70455.0,99.117875
MS,2024-05-24 04:00:00+00:00,99.45,99.91,98.81,98.97,3550530.0,51305.0,99.23195
MS,2024-05-28 04:00:00+00:00,98.43,99.46,98.4,98.67,5542020.0,58533.0,98.806865
MS,2024-05-29 04:00:00+00:00,97.37,97.7,96.47,97.27,4679722.0,61680.0,97.324394
MS,2024-05-30 04:00:00+00:00,97.69,97.81,96.59,97.23,4548842.0,56116.0,97.040102
MS,2024-05-31 04:00:00+00:00,97.33,97.96,96.4,97.84,7155514.0,68249.0,97.450064
MS,2024-06-03 04:00:00+00:00,98.16,98.16,96.53,97.41,5671162.0,56279.0,97.330807
MS,2024-06-04 04:00:00+00:00,96.25,97.55,95.67,96.58,5409640.0,61212.0,96.602465
MS,2024-06-05 04:00:00+00:00,96.84,97.605,96.5,96.66,4499655.0,56714.0,96.871752
MS,2024-06-06 04:00:00+00:00,96.48,97.45,96.255,96.85,4741248.0,53216.0,96.852475
MS,2024-06-07 04:00:00+00:00,96.12,97.68,95.93,97.14,4018360.0,49109.0,97.168697
MS,2024-06-10 04:00:00+00:00,96.62,96.83,95.41,96.39,4566071.0,53746.0,96.384302
MS,2024-06-11 04:00:00+00:00,96.46,96.46,94.725,95.43,5329972.0,59702.0,95.454651
MS,2024-06-12 04:00:00+00:00,97.32,97.89,95.6,95.65,5435711.0,63458.0,96.268559
MS,2024-06-13 04:00:00+00:00,95.5,95.55,94.61,95.21,3955894.0,52448.0,95.138967
MS,2024-06-14 04:00:00+00:00,94.39,95.52,93.99,95.5,3406646.0,46803.0,95.107093
MS,2024-06-17 04:00:00+00:00,95.01,97.19,94.68,97.04,4874345.0,55586.0,96.659474
MS,2024-06-18 04:00:00+00:00,97.02,97.6899,96.81,97.57,4558350.0,47170.0,97.463116
MS,2024-06-20 04:00:00+00:00,97.64,98.03,97.11,97.44,3956843.0,51616.0,97.48734
MS,2024-06-21 04:00:00+00:00,97.32,97.36,95.89,96.16,10983279.0,65493.0,96.509396
MS,2024-06-24 04:00:00+00:00,96.73,97.66,96.1816,97.1,8418206.0,80096.0,97.141895
MS,2024-06-25 04:00:00+00:00,96.79,98.34,96.68,97.8,7468726.0,72677.0,97.767838
MS,2024-06-26 04:00:00+00:00,97.38,97.68,96.08,96.89,6514227.0,55676.0,96.788942
MS,2024-06-27 04:00:00+00:00,96.08,96.34,95.17,95.77,5437808.0,63787.0,95.730452
MS,2024-06-28 04:00:00+00:00,96.74,97.32,96.16,97.19,9047509.0,80263.0,96.92836
MS,2024-07-01 04:00:00+00:00,97.52,99.38,97.44,99.16,7420618.0,70107.0,98.791511
MS,2024-07-02 04:00:00+00:00,98.97,99.795,98.62,99.65,5571071.0,56275.0,99.428482
MS,2024-07-03 04:00:00+00:00,99.925,100.6,99.5,100.2,3111960.0,39275.0,100.135255
MS,2024-07-05 04:00:00+00:00,100.1,100.106,98.91,99.59,3633345.0,48506.0,99.452214
MS,2024-07-08 04:00:00+00:00,99.83,101.27,99.83,100.59,3884437.0,49070.0,100.6531
MS,2024-07-09 04:00:00+00:00,100.6,102.895,99.98,102.61,7114091.0,82908.0,102.123039
MS,2024-07-10 04:00:00+00:00,102.51,103.51,102.06,103.46,5618976.0,61139.0,103.14916
MS,2024-07-11 04:00:00+00:00,104.25,105.29,103.94,104.64,7766147.0,92100.0,104.754788
MS,2024-07-12 04:00:00+00:00,105.0,105.82,103.97,104.09,7060573.0,85660.0,104.730334
MS,2024-07-15 04:00:00+00:00,103.94,106.53,103.24,105.26,10093880.0,107330.0,105.190048
MS,2024-07-16 04:00:00+00:00,104.13,109.11,102.81,106.22,16716422.0,203994.0,106.3541
MS,2024-07-17 04:00:00+00:00,105.09,107.71,104.53,106.96,11411981.0,129981.0,106.362604
MS,2024-07-18 04:00:00+00:00,106.53,107.63,104.33,104.81,9130735.0,107815.0,105.358166
MS,2024-07-19 04:00:00+00:00,104.71,104.715,101.73,102.09,12555898.0,114460.0,102.770806
MS,2024-07-22 04:00:00+00:00,102.47,103.225,101.95,102.44,8931224.0,78174.0,102.537897
MS,2024-07-23 04:00:00+00:00,102.45,104.1699,102.18,103.5,7400632.0,76394.0,103.423428
MS,2024-07-24 04:00:00+00:00,102.86,104.0,101.745,101.97,7967609.0,70395.0,102.368426
MS,2024-07-25 04:00:00+00:00,102.08,104.185,101.85,103.56,5582494.0,67735.0,103.474619
MS,2024-07-26 04:00:00+00:00,104.86,105.89,104.035,104.19,6599639.0,72150.0,104.813748
MS,2024-07-29 04:00:00+00:00,104.47,104.57,102.33,102.48,5183399.0,63130.0,102.717978
MS,2024-07-30 04:00:00+00:00,103.56,104.12,102.78,103.76,6225723.0,66408.0,103.544756
MS,2024-07-31 04:00:00+00:00,103.08,104.32,102.25,103.21,5444595.0,67039.0,103.382521
MS,2024-08-01 04:00:00+00:00,103.745,103.9899,101.19,101.76,5678126.0,69699.0,101.87459
