symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NEE,2024-03-13 04:00:00+00:00,59.0,60.37,58.95,59.54,17495264.0,140725.0,59.608754
NEE,2024-03-14 04:00:00+00:00,59.2,60.24,59.11,59.54,16996067.0,135741.0,59.590744
NEE,2024-03-15 04:00:00+00:00,59.2,60.13,58.875,60.08,32424620.0,144276.0,59.715347
NEE,2024-03-18 04:00:00+00:00,60.08,61.135,59.44,60.17,17073650.0,121187.0,60.355544
NEE,2024-03-19 04:00:00+00:00,60.385,61.385,60.2608,61.27,11433881.0,91038.0,61.042531
NEE,2024-03-20 04:00:00+00:00,61.45,62.41,61.36,62.2,14564496.0,112524.0,61.97222
NEE,2024-03-21 04:00:00+00:00,62.2,63.385,61.29,61.36,18090251.0,112402.0,62.173793
NEE,2024-03-22 04:00:00+00:00,62.22,62.49,61.72,61.78,10046337.0,86387.0,61.918761
NEE,2024-03-25 04:00:00+00:00,62.0,62.64,61.405,62.61,11423473.0,83979.0,62.216384
NEE,2024-03-26 04:00:00+00:00,62.62,62.91,61.3,61.43,13829574.0,105629.0,61.844542
NEE,2024-03-27 04:00:00+00:00,62.16,63.855,62.02,63.79,13409037.0,105204.0,63.243335
NEE,2024-03-28 04:00:00+00:00,63.67,64.26,63.39,63.91,12830842.0,102420.0,63.847951
NEE,2024-04-01 04:00:00+00:00,63.91,64.045,62.76,63.38,13175188.0,126881.0,63.25133
NEE,2024-04-02 04:00:00+00:00,63.27,63.34,62.3557,62.88,9905331.0,93335.0,62.821019
NEE,2024-04-03 04:00:00+00:00,62.69,62.99,61.855,62.55,10551443.0,87553.0,62.578835
NEE,2024-04-04 04:00:00+00:00,63.35,63.975,62.97,63.73,10690083.0,101585.0,63.640312
NEE,2024-04-05 04:00:00+00:00,63.05,64.355,62.9,64.18,10278085.0,104342.0,63.921071
NEE,2024-04-08 04:00:00+00:00,64.15,64.92,63.93,64.86,8054868.0,79420.0,64.680821
NEE,2024-04-09 04:00:00+00:00,65.15,65.8562,64.79,65.38,9188529.0,95188.0,65.281029
NEE,2024-04-10 04:00:00+00:00,63.5,64.24,63.0,64.01,10783388.0,105322.0,63.832418
NEE,2024-04-11 04:00:00+00:00,64.63,64.79,63.315,63.94,12145604.0,86556.0,63.939837
NEE,2024-04-12 04:00:00+00:00,64.12,64.31,62.95,63.08,9039184.0,75579.0,63.506806
NEE,2024-04-15 04:00:00+00:00,63.53,64.33,62.3,62.75,11147113.0,106110.0,62.932362
NEE,2024-04-16 04:00:00+00:00,62.49,62.58,61.31,61.7,11594124.0,97891.0,61.711587
NEE,2024-04-17 04:00:00+00:00,62.24,63.92,61.92,63.79,15653741.0,115043.0,63.154131
NEE,2024-04-18 04:00:00+00:00,63.85,64.39,63.13,64.01,10134983.0,90859.0,63.98197
NEE,2024-04-19 04:00:00+00:00,64.22,64.9,63.645,64.3,13419416.0,115176.0,64.400183
NEE,2024-04-22 04:00:00+00:00,64.59,65.485,63.92,65.31,14747195.0,126142.0,64.963839
