symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NFLX,2024-03-13 04:00:00+00:00,613.37,614.8499,607.21,609.45,2192094.0,71175.0,610.418461
NFLX,2024-03-14 04:00:00+00:00,615.0,620.8,607.35,613.01,3120452.0,95619.0,612.510754
NFLX,2024-03-15 04:00:00+00:00,622.92,622.92,603.82,605.88,6671629.0,111412.0,610.836457
NFLX,2024-03-18 04:00:00+00:00,613.56,627.41,610.4481,618.39,3344244.0,104272.0,619.667533
NFLX,2024-03-19 04:00:00+00:00,615.62,621.28,608.0,620.74,2142613.0,74007.0,617.178406
NFLX,2024-03-20 04:00:00+00:00,619.95,629.505,618.34,627.69,2639509.0,81403.0,624.743645
NFLX,2024-03-21 04:00:00+00:00,630.65,634.3617,622.33,622.71,2507671.0,88120.0,626.153511
NFLX,2024-03-22 04:00:00+00:00,624.16,629.05,621.0,628.01,2135688.0,70864.0,626.604032
NFLX,2024-03-25 04:00:00+00:00,627.9,630.46,623.16,627.46,1803264.0,71055.0,627.836885
NFLX,2024-03-26 04:00:00+00:00,625.2,634.3899,619.1836,629.24,2804453.0,82664.0,628.657532
NFLX,2024-03-27 04:00:00+00:00,629.01,631.35,610.73,613.53,2628267.0,95120.0,616.435882
NFLX,2024-03-28 04:00:00+00:00,614.99,615.0,601.59,607.33,3708803.0,110235.0,606.294285
NFLX,2024-04-01 04:00:00+00:00,608.0,615.11,605.571,614.31,2115925.0,82606.0,611.294409
NFLX,2024-04-02 04:00:00+00:00,611.0,615.03,605.5101,614.21,2029217.0,72422.0,611.39436
NFLX,2024-04-03 04:00:00+00:00,612.745,630.41,611.5,630.08,2931231.0,96201.0,626.03538
NFLX,2024-04-04 04:00:00+00:00,633.21,638.0,616.58,617.14,3064349.0,95570.0,626.190656
NFLX,2024-04-05 04:00:00+00:00,624.92,637.91,622.71,636.18,3378842.0,107086.0,633.86105
NFLX,2024-04-08 04:00:00+00:00,636.39,639.0,628.11,628.41,2145731.0,84220.0,631.187611
NFLX,2024-04-09 04:00:00+00:00,631.99,631.99,615.6347,618.2,2146635.0,85331.0,619.857387
NFLX,2024-04-10 04:00:00+00:00,610.97,620.14,609.34,618.58,2806248.0,81218.0,616.655014
NFLX,2024-04-11 04:00:00+00:00,624.42,631.66,617.24,628.78,2662662.0,80594.0,626.079069
NFLX,2024-04-12 04:00:00+00:00,628.23,633.1199,618.915,622.83,2957622.0,91946.0,624.152043
NFLX,2024-04-15 04:00:00+00:00,630.17,630.17,603.871,607.15,3085394.0,103859.0,613.268412
NFLX,2024-04-16 04:00:00+00:00,607.5,622.45,607.5,617.52,3519122.0,110586.0,618.252353
NFLX,2024-04-17 04:00:00+00:00,620.97,620.97,607.71,613.69,3312222.0,98980.0,613.64526
NFLX,2024-04-18 04:00:00+00:00,612.1,621.33,605.435,610.56,8468407.0,231221.0,612.160513
NFLX,2024-04-19 04:00:00+00:00,567.88,579.0,552.16,555.04,16449699.0,365086.0,562.660529
NFLX,2024-04-22 04:00:00+00:00,550.66,558.61,542.01,554.6,8597651.0,185027.0,551.187136
NFLX,2024-04-23 04:00:00+00:00,556.49,579.21,555.28,577.75,4975520.0,147078.0,572.244215
NFLX,2024-04-24 04:00:00+00:00,574.31,576.907,551.3,555.12,5355312.0,156095.0,558.089348
NFLX,2024-04-25 04:00:00+00:00,549.46,566.54,545.705,564.8,3807101.0,118458.0,560.059695
NFLX,2024-04-26 04:00:00+00:00,558.21,562.92,553.19,561.23,4332593.0,123094.0,558.216227
NFLX,2024-04-29 04:00:00+00:00,559.18,559.64,554.24,559.49,2508882.0,92794.0,557.646954
NFLX,2024-04-30 04:00:00+00:00,560.0,560.0,549.375,550.64,3361492.0,87492.0,552.585927
NFLX,2024-05-01 04:00:00+00:00,547.84,560.39,544.25,551.71,3473233.0,99443.0,550.765327
NFLX,2024-05-02 04:00:00+00:00,556.02,565.46,555.59,565.15,3068228.0,85999.0,562.576846
NFLX,2024-05-03 04:00:00+00:00,566.0,580.26,565.16,579.34,3307524.0,98863.0,576.692255
NFLX,2024-05-06 04:00:00+00:00,581.82,597.34,580.25,596.97,3686337.0,109535.0,592.181363
NFLX,2024-05-07 04:00:00+00:00,596.28,606.05,591.32,606.0,3614092.0,101280.0,602.143944
NFLX,2024-05-08 04:00:00+00:00,601.63,618.22,601.63,609.47,3093904.0,97586.0,612.188723
NFLX,2024-05-09 04:00:00+00:00,614.4,615.72,605.75,612.09,2065375.0,77641.0,611.980893
NFLX,2024-05-10 04:00:00+00:00,619.0,623.98,605.06,610.87,2653586.0,91599.0,612.586982
NFLX,2024-05-13 04:00:00+00:00,614.3,618.219,606.83,616.59,2086197.0,80445.0,614.273474
NFLX,2024-05-14 04:00:00+00:00,615.17,621.48,608.4,613.66,2792358.0,89980.0,613.71247
NFLX,2024-05-15 04:00:00+00:00,618.57,624.1,609.1,613.52,5670607.0,143615.0,615.604201
NFLX,2024-05-16 04:00:00+00:00,615.75,618.34,609.09,610.52,3056350.0,86636.0,612.49029
NFLX,2024-05-17 04:00:00+00:00,617.0,625.79,614.7141,621.1,3782708.0,93989.0,620.482624
NFLX,2024-05-20 04:00:00+00:00,620.4,644.37,619.52,640.82,3857853.0,122592.0,634.610458
NFLX,2024-05-21 04:00:00+00:00,636.76,650.88,634.22,650.61,2920155.0,101690.0,646.119153
NFLX,2024-05-22 04:00:00+00:00,647.14,649.25,638.12,640.47,2176174.0,81863.0,642.078735
NFLX,2024-05-23 04:00:00+00:00,642.34,642.71,630.0,635.67,2325039.0,84634.0,636.096507
NFLX,2024-05-24 04:00:00+00:00,639.4,652.0,637.6,646.75,2615260.0,86748.0,647.628507
NFLX,2024-05-28 04:00:00+00:00,647.05,649.75,643.03,649.0,2608451.0,87414.0,647.202997
NFLX,2024-05-29 04:00:00+00:00,644.13,664.25,643.89,654.62,3695935.0,113685.0,658.34597
NFLX,2024-05-30 04:00:00+00:00,653.52,656.4899,644.73,647.66,2393354.0,90208.0,649.809585
NFLX,2024-05-31 04:00:00+00:00,644.01,648.58,628.3,641.62,4071023.0,110740.0,638.408973
NFLX,2024-06-03 04:00:00+00:00,645.215,646.78,627.27,633.79,2323506.0,99860.0,633.928134
NFLX,2024-06-04 04:00:00+00:00,633.78,635.2299,626.44,631.62,3008151.0,85034.0,631.530804
NFLX,2024-06-05 04:00:00+00:00,634.02,651.25,628.25,650.27,2682614.0,90975.0,645.437676
NFLX,2024-06-06 04:00:00+00:00,644.89,657.99,644.2368,648.52,2466664.0,83008.0,650.865909
NFLX,2024-06-07 04:00:00+00:00,649.38,650.4,640.2401,641.47,1876631.0,60755.0,644.199452
NFLX,2024-06-10 04:00:00+00:00,641.01,644.79,635.59,644.5,2066759.0,78392.0,641.837046
NFLX,2024-06-11 04:00:00+00:00,640.72,650.19,640.52,648.55,2167417.0,80001.0,645.805018
NFLX,2024-06-12 04:00:00+00:00,652.21,655.78,643.11,650.06,2094381.0,89708.0,650.091263
NFLX,2024-06-13 04:00:00+00:00,644.0,655.25,642.35,653.26,1863587.0,82673.0,651.187352
NFLX,2024-06-14 04:00:00+00:00,655.05,675.58,652.64,669.38,4447116.0,139610.0,668.831426
NFLX,2024-06-17 04:00:00+00:00,669.11,682.7099,665.1101,675.83,3631184.0,124065.0,675.299353
NFLX,2024-06-18 04:00:00+00:00,675.63,687.06,674.64,685.67,2943775.0,99103.0,682.673595
NFLX,2024-06-20 04:00:00+00:00,681.8,689.88,673.7203,679.03,2585089.0,103127.0,680.118318
NFLX,2024-06-21 04:00:00+00:00,683.26,686.9,678.1,686.12,4557086.0,90500.0,684.423269
NFLX,2024-06-24 04:00:00+00:00,685.0,685.5,664.5,669.02,3916335.0,119031.0,671.303655
NFLX,2024-06-25 04:00:00+00:00,673.44,673.665,662.3,672.41,2278768.0,78186.0,669.726046
NFLX,2024-06-26 04:00:00+00:00,672.41,682.96,670.02,677.69,3545815.0,79153.0,678.169793
NFLX,2024-06-27 04:00:00+00:00,679.35,688.57,678.14,684.34,2404849.0,82975.0,684.698141
NFLX,2024-06-28 04:00:00+00:00,679.0,687.0,673.08,674.88,3410000.0,95501.0,677.045133
NFLX,2024-07-01 04:00:00+00:00,674.89,675.02,663.78,673.61,2212826.0,84244.0,671.419839
NFLX,2024-07-02 04:00:00+00:00,673.54,681.74,670.07,679.58,2411426.0,78773.0,678.198504
NFLX,2024-07-03 04:00:00+00:00,677.48,683.7499,675.5,682.51,1403545.0,54810.0,681.385957
NFLX,2024-07-05 04:00:00+00:00,682.51,697.49,677.23,690.65,2659065.0,100875.0,690.797475
NFLX,2024-07-08 04:00:00+00:00,687.0,688.86,681.485,685.74,1930786.0,85631.0,685.539805
