symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NKE,2024-03-13 04:00:00+00:00,100.61,102.0,100.3301,101.36,7326384.0,86358.0,101.276235
NKE,2024-03-14 04:00:00+00:00,102.2,102.49,100.091,100.26,8350939.0,93706.0,100.59119
NKE,2024-03-15 04:00:00+00:00,100.3,101.16,99.34,99.64,15208539.0,99698.0,99.724025
NKE,2024-03-18 04:00:00+00:00,98.98,99.655,98.5203,98.74,7206957.0,94775.0,99.078713
NKE,2024-03-19 04:00:00+00:00,98.5,100.04,98.44,99.96,6168856.0,80486.0,99.549982
NKE,2024-03-20 04:00:00+00:00,99.45,100.44,99.03,100.27,7771693.0,85335.0,99.810013
NKE,2024-03-21 04:00:00+00:00,100.44,101.92,99.76,100.82,17179858.0,187068.0,101.12092
NKE,2024-03-22 04:00:00+00:00,93.845,95.17,91.72,93.86,41837410.0,398624.0,93.384985
NKE,2024-03-25 04:00:00+00:00,94.07,95.52,92.77,93.75,14548768.0,150075.0,93.629578
NKE,2024-03-26 04:00:00+00:00,93.74,93.86,92.41,92.58,10816947.0,130800.0,92.932223
NKE,2024-03-27 04:00:00+00:00,93.27,94.15,92.32,94.13,11095675.0,124613.0,93.345048
NKE,2024-03-28 04:00:00+00:00,94.37,94.8142,93.43,93.98,11331676.0,104457.0,93.961697
NKE,2024-04-01 04:00:00+00:00,93.81,93.92,91.691,92.56,10360012.0,132175.0,92.340622
NKE,2024-04-02 04:00:00+00:00,91.76,91.9,90.635,90.95,11107332.0,125180.0,91.132258
NKE,2024-04-03 04:00:00+00:00,91.01,91.44,90.28,90.33,8876598.0,107694.0,90.676084
NKE,2024-04-04 04:00:00+00:00,90.95,91.05,88.89,89.07,12110259.0,145844.0,89.76076
NKE,2024-04-05 04:00:00+00:00,89.15,90.25,88.8,88.84,9716682.0,109063.0,89.267222
NKE,2024-04-08 04:00:00+00:00,89.11,90.26,88.8,90.0,8452543.0,100700.0,89.868677
NKE,2024-04-09 04:00:00+00:00,90.0,91.16,89.87,91.0,7194564.0,94186.0,90.685979
NKE,2024-04-10 04:00:00+00:00,89.9,90.1,88.77,89.0,7932933.0,107744.0,89.266163
NKE,2024-04-11 04:00:00+00:00,91.23,92.41,90.83,92.0,15330202.0,158097.0,91.714275
NKE,2024-04-12 04:00:00+00:00,92.01,92.87,91.12,92.0,10905373.0,112960.0,92.052852
NKE,2024-04-15 04:00:00+00:00,93.59,93.92,92.54,93.1,11597330.0,134177.0,93.20972
NKE,2024-04-16 04:00:00+00:00,93.04,94.19,91.65,93.39,10388153.0,117293.0,93.265269
NKE,2024-04-17 04:00:00+00:00,94.61,95.07,93.66,94.84,10181175.0,110208.0,94.521055
NKE,2024-04-18 04:00:00+00:00,95.16,95.88,94.53,95.74,10062904.0,105467.0,95.364616
NKE,2024-04-19 04:00:00+00:00,95.42,96.22,94.49,94.53,11241901.0,97441.0,95.212515
NKE,2024-04-22 04:00:00+00:00,94.63,95.06,93.85,94.19,8641953.0,94829.0,94.381845
NKE,2024-04-23 04:00:00+00:00,94.37,94.72,93.91,94.02,6582696.0,75816.0,94.291217
NKE,2024-04-24 04:00:00+00:00,94.1,95.1909,94.1,94.64,6493208.0,75779.0,94.701676
NKE,2024-04-25 04:00:00+00:00,94.0,94.7891,92.44,93.94,5317852.0,77249.0,93.6272
NKE,2024-04-26 04:00:00+00:00,94.59,95.4174,93.91,94.12,6115744.0,77170.0,94.455408
NKE,2024-04-29 04:00:00+00:00,94.44,94.89,93.7,94.06,5034546.0,65860.0,94.122461
NKE,2024-04-30 04:00:00+00:00,92.91,93.51,92.25,92.26,6493259.0,80656.0,92.665029
NKE,2024-05-01 04:00:00+00:00,91.81,91.87,90.09,90.34,9784643.0,119054.0,90.672895
NKE,2024-05-02 04:00:00+00:00,91.33,92.45,90.91,92.41,7333343.0,93099.0,91.973697
NKE,2024-05-03 04:00:00+00:00,93.09,93.65,91.87,92.15,5736711.0,78903.0,92.379345
NKE,2024-05-06 04:00:00+00:00,92.81,93.37,92.48,93.36,6696303.0,91871.0,93.005328
NKE,2024-05-07 04:00:00+00:00,94.08,94.315,93.21,93.78,7113455.0,88340.0,93.735466
NKE,2024-05-08 04:00:00+00:00,93.12,93.64,92.73,93.59,5372900.0,60981.0,93.31305
NKE,2024-05-09 04:00:00+00:00,93.64,93.98,93.01,93.39,6429824.0,71780.0,93.494119
NKE,2024-05-10 04:00:00+00:00,93.07,93.135,90.88,90.94,10548409.0,134263.0,91.536623
NKE,2024-05-13 04:00:00+00:00,91.27,92.77,91.15,92.72,8792060.0,104193.0,92.170678
NKE,2024-05-14 04:00:00+00:00,92.99,94.34,92.6,92.79,7810983.0,94397.0,93.095727
NKE,2024-05-15 04:00:00+00:00,92.29,92.62,90.85,91.67,15614447.0,145385.0,91.738475
NKE,2024-05-16 04:00:00+00:00,91.69,92.84,91.53,91.77,12711681.0,117542.0,92.126315
NKE,2024-05-17 04:00:00+00:00,92.01,92.29,91.34,92.18,12019568.0,91976.0,91.942089
NKE,2024-05-20 04:00:00+00:00,92.25,92.7,90.83,91.77,9701510.0,114498.0,91.633414
NKE,2024-05-21 04:00:00+00:00,91.57,92.85,91.45,92.82,7809654.0,89389.0,92.313028
NKE,2024-05-22 04:00:00+00:00,91.95,92.76,91.65,92.5,7611906.0,85170.0,92.396995
NKE,2024-05-23 04:00:00+00:00,92.45,92.58,91.15,91.4,7729024.0,91884.0,91.642846
NKE,2024-05-24 04:00:00+00:00,91.77,92.2001,91.49,91.75,6937118.0,78430.0,91.821371
NKE,2024-05-28 04:00:00+00:00,91.74,92.515,91.35,92.0,10834955.0,98882.0,91.98553
NKE,2024-05-29 04:00:00+00:00,91.68,92.72,91.38,91.67,7237340.0,92331.0,92.012393
NKE,2024-05-30 04:00:00+00:00,92.23,93.875,91.96,93.45,9310016.0,100172.0,93.275381
NKE,2024-05-31 04:00:00+00:00,93.5,95.07,92.97,95.05,12565604.0,97012.0,94.490885
NKE,2024-06-03 04:00:00+00:00,94.52,95.25,94.05,94.4,9668106.0,91657.0,94.45903
NKE,2024-06-04 04:00:00+00:00,94.29,95.11,93.41,94.74,7838435.0,88616.0,94.474708
NKE,2024-06-05 04:00:00+00:00,95.315,95.32,93.7,94.32,7463299.0,78466.0,94.206858
NKE,2024-06-06 04:00:00+00:00,94.86,96.795,93.99,95.72,9760077.0,110263.0,95.580775
NKE,2024-06-07 04:00:00+00:00,95.39,97.94,95.3,96.55,9397364.0,99931.0,96.955257
NKE,2024-06-10 04:00:00+00:00,95.73,96.99,95.5953,96.0,7035626.0,87361.0,96.080159
NKE,2024-06-11 04:00:00+00:00,95.52,95.995,94.52,95.87,7301545.0,83469.0,95.382324
NKE,2024-06-12 04:00:00+00:00,96.35,96.5,93.5,93.68,9861264.0,112957.0,94.173192
NKE,2024-06-13 04:00:00+00:00,94.04,94.53,93.72,94.18,8348214.0,87315.0,94.088838
NKE,2024-06-14 04:00:00+00:00,93.8,94.78,93.3002,93.39,7426757.0,74197.0,93.669119
NKE,2024-06-17 04:00:00+00:00,92.01,95.12,92.01,95.0,6365370.0,83924.0,94.351015
NKE,2024-06-18 04:00:00+00:00,94.67,95.26,94.21,94.78,6712037.0,78914.0,94.757265
NKE,2024-06-20 04:00:00+00:00,93.88,96.09,93.5216,95.57,9393767.0,107977.0,95.418499
NKE,2024-06-21 04:00:00+00:00,95.96,97.209,95.42,97.18,15569882.0,113119.0,96.666038
NKE,2024-06-24 04:00:00+00:00,97.3,98.04,96.68,97.17,9466888.0,102173.0,97.443279
NKE,2024-06-25 04:00:00+00:00,97.31,97.64,94.5,94.75,9036181.0,95005.0,95.384422
NKE,2024-06-26 04:00:00+00:00,94.09,94.48,93.15,94.06,10160426.0,108095.0,93.949872
NKE,2024-06-27 04:00:00+00:00,93.77,94.74,93.39,94.19,25772734.0,261603.0,94.210448
NKE,2024-06-28 04:00:00+00:00,77.13,79.05,74.55,75.37,129832687.0,1026263.0,76.046236
NKE,2024-07-01 04:00:00+00:00,75.5,77.06,74.29,76.83,44369006.0,381103.0,75.80941
NKE,2024-07-02 04:00:00+00:00,76.82,76.94,75.39,76.04,26183350.0,220125.0,75.936716
NKE,2024-07-03 04:00:00+00:00,75.5,75.92,75.0199,75.24,15952008.0,151520.0,75.280224
NKE,2024-07-05 04:00:00+00:00,75.36,76.09,74.78,75.43,19603685.0,202453.0,75.420716
NKE,2024-07-08 04:00:00+00:00,75.41,75.49,73.0,73.05,29905043.0,300625.0,73.653611
NKE,2024-07-09 04:00:00+00:00,73.3,74.14,72.38,72.46,23502451.0,231558.0,73.114505
NKE,2024-07-10 04:00:00+00:00,72.26,72.64,71.67,72.54,21378214.0,221961.0,72.062428
NKE,2024-07-11 04:00:00+00:00,72.7,73.75,72.29,73.39,15876666.0,180289.0,73.283701
NKE,2024-07-12 04:00:00+00:00,73.57,74.05,73.172,73.42,14527522.0,141468.0,73.550538
NKE,2024-07-15 04:00:00+00:00,73.0,73.006,71.24,71.31,20775809.0,224679.0,72.030934
NKE,2024-07-16 04:00:00+00:00,71.51,72.96,71.51,72.81,20980667.0,179570.0,72.387051
NKE,2024-07-17 04:00:00+00:00,72.53,73.34,72.5,73.07,11161563.0,128400.0,72.933893
NKE,2024-07-18 04:00:00+00:00,72.97,73.93,72.35,72.38,14440125.0,136348.0,72.983449
NKE,2024-07-19 04:00:00+00:00,72.3,72.82,71.8516,72.7,11913319.0,120275.0,72.384233
