symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PFE,2024-03-13 04:00:00+00:00,28.29,28.69,28.19,28.22,39272983.0,177353.0,28.397566
PFE,2024-03-14 04:00:00+00:00,28.25,28.28,27.77,28.13,36427957.0,176527.0,28.027555
PFE,2024-03-15 04:00:00+00:00,27.96,28.28,27.86,27.94,75727854.0,134876.0,27.95336
PFE,2024-03-18 04:00:00+00:00,28.01,28.025,27.61,27.72,36226501.0,157414.0,27.751071
PFE,2024-03-19 04:00:00+00:00,27.67,27.78,27.32,27.63,29026578.0,124296.0,27.611033
PFE,2024-03-20 04:00:00+00:00,27.48,27.7366,27.21,27.7,34467959.0,136912.0,27.605011
PFE,2024-03-21 04:00:00+00:00,27.75,28.035,27.63,27.66,29633710.0,132682.0,27.782413
PFE,2024-03-22 04:00:00+00:00,27.47,27.84,27.34,27.36,28830115.0,126664.0,27.459824
PFE,2024-03-25 04:00:00+00:00,27.24,27.48,27.1,27.43,31110645.0,137563.0,27.342725
PFE,2024-03-26 04:00:00+00:00,27.45,27.63,27.31,27.59,38220263.0,138720.0,27.533057
PFE,2024-03-27 04:00:00+00:00,27.71,27.935,27.54,27.78,34247616.0,150742.0,27.773139
PFE,2024-03-28 04:00:00+00:00,27.82,28.12,27.72,27.75,40466657.0,140256.0,27.87184
PFE,2024-04-01 04:00:00+00:00,27.76,27.87,27.575,27.72,26596621.0,139619.0,27.697722
PFE,2024-04-02 04:00:00+00:00,27.57,27.75,27.41,27.55,32451485.0,135392.0,27.585987
PFE,2024-04-03 04:00:00+00:00,27.51,27.75,27.2,27.22,36828630.0,157123.0,27.335381
PFE,2024-04-04 04:00:00+00:00,27.31,27.4,26.64,26.65,41922711.0,170038.0,26.949729
PFE,2024-04-05 04:00:00+00:00,26.56,26.7,26.35,26.66,39880542.0,161304.0,26.531092
PFE,2024-04-08 04:00:00+00:00,26.6,26.82,26.52,26.58,24431352.0,118949.0,26.668665
PFE,2024-04-09 04:00:00+00:00,26.77,27.42,26.65,26.78,45193644.0,184897.0,26.911315
PFE,2024-04-10 04:00:00+00:00,26.52,26.59,26.16,26.32,44541594.0,175203.0,26.286412
PFE,2024-04-11 04:00:00+00:00,26.35,26.4499,26.13,26.34,32833971.0,130137.0,26.284045
PFE,2024-04-12 04:00:00+00:00,26.25,26.32,25.83,25.86,43003518.0,167690.0,25.988158
PFE,2024-04-15 04:00:00+00:00,25.91,26.17,25.75,25.91,35660191.0,156244.0,25.960619
PFE,2024-04-16 04:00:00+00:00,25.82,25.985,25.68,25.69,28885313.0,131975.0,25.802527
PFE,2024-04-17 04:00:00+00:00,25.69,25.69,25.26,25.42,43828892.0,194176.0,25.447394
PFE,2024-04-18 04:00:00+00:00,25.35,25.46,25.23,25.39,35788351.0,138850.0,25.342973
PFE,2024-04-19 04:00:00+00:00,25.39,26.0,25.35,26.0,38372801.0,148186.0,25.779453
PFE,2024-04-22 04:00:00+00:00,26.0,26.5,25.925,26.26,35678657.0,144587.0,26.292468
PFE,2024-04-23 04:00:00+00:00,26.33,26.47,26.19,26.32,24297821.0,108498.0,26.317148
PFE,2024-04-24 04:00:00+00:00,26.25,26.34,26.04,26.27,24547780.0,109422.0,26.220213
PFE,2024-04-25 04:00:00+00:00,26.27,26.43,25.25,25.26,47661411.0,210058.0,25.500501
PFE,2024-04-26 04:00:00+00:00,25.33,25.54,25.2,25.4,46526457.0,160970.0,25.420227
PFE,2024-04-29 04:00:00+00:00,25.58,25.85,25.54,25.64,41674405.0,135571.0,25.669503
PFE,2024-04-30 04:00:00+00:00,25.65,25.83,25.585,25.62,38017739.0,162866.0,25.664154
PFE,2024-05-01 04:00:00+00:00,26.3295,27.45,26.02,27.18,97521564.0,331194.0,26.855205
PFE,2024-05-02 04:00:00+00:00,27.21,27.94,27.12,27.7,69649012.0,251124.0,27.654453
PFE,2024-05-03 04:00:00+00:00,27.86,27.905,27.52,27.81,60568852.0,144451.0,27.707501
PFE,2024-05-06 04:00:00+00:00,27.98,28.325,27.96,28.16,59899707.0,184069.0,28.160073
PFE,2024-05-07 04:00:00+00:00,28.29,28.49,27.4,27.77,65606379.0,227271.0,27.96418
PFE,2024-05-08 04:00:00+00:00,27.7,28.34,27.52,28.27,39087790.0,169539.0,28.147261
PFE,2024-05-09 04:00:00+00:00,27.76,28.25,27.32,28.18,47831087.0,158051.0,27.932937
PFE,2024-05-10 04:00:00+00:00,28.24,28.28,27.92,28.01,25849775.0,126159.0,28.028466
PFE,2024-05-13 04:00:00+00:00,28.19,28.65,28.17,28.44,39609758.0,148729.0,28.428831
PFE,2024-05-14 04:00:00+00:00,28.55,28.68,28.19,28.38,23530856.0,111573.0,28.352141
PFE,2024-05-15 04:00:00+00:00,28.49,28.985,28.48,28.82,38376257.0,147014.0,28.78613
PFE,2024-05-16 04:00:00+00:00,28.87,29.03,28.67,28.92,40077782.0,131391.0,28.875813
PFE,2024-05-17 04:00:00+00:00,28.895,28.91,28.51,28.64,26106406.0,112200.0,28.628364
PFE,2024-05-20 04:00:00+00:00,28.66,28.71,28.46,28.53,22423283.0,100088.0,28.59755
PFE,2024-05-21 04:00:00+00:00,28.47,28.67,28.32,28.56,28119948.0,96601.0,28.50591
PFE,2024-05-22 04:00:00+00:00,28.47,29.63,28.415,29.6,46987481.0,194772.0,29.287434
PFE,2024-05-23 04:00:00+00:00,29.43,29.43,28.67,28.69,42031325.0,209588.0,28.853705
PFE,2024-05-24 04:00:00+00:00,28.665,28.99,28.55,28.88,22589127.0,113822.0,28.774274
PFE,2024-05-28 04:00:00+00:00,28.8,28.88,28.13,28.3,32371217.0,174703.0,28.299227
