symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PM,2024-03-13 04:00:00+00:00,95.0,95.87,94.9201,95.32,5269812.0,50434.0,95.480716
PM,2024-03-14 04:00:00+00:00,94.86,95.0,93.055,93.95,6604160.0,64937.0,93.88114
PM,2024-03-15 04:00:00+00:00,92.77,94.87,92.55,94.27,16373155.0,79326.0,94.050296
PM,2024-03-18 04:00:00+00:00,94.1,95.65,93.68,95.33,6144715.0,62752.0,95.050636
PM,2024-03-19 04:00:00+00:00,95.63,95.92,94.92,94.98,6067248.0,52105.0,95.289892
PM,2024-03-20 04:00:00+00:00,93.44,93.945,93.02,93.64,6341977.0,58607.0,93.557002
PM,2024-03-21 04:00:00+00:00,93.7,94.4156,92.16,92.2,8398325.0,92456.0,92.686525
PM,2024-03-22 04:00:00+00:00,92.46,92.52,90.8321,90.88,6126807.0,60140.0,91.267795
PM,2024-03-25 04:00:00+00:00,90.84,91.51,90.8,91.15,8673302.0,47872.0,91.246234
PM,2024-03-26 04:00:00+00:00,91.35,91.46,90.3,90.38,7869975.0,64007.0,90.730848
PM,2024-03-27 04:00:00+00:00,90.79,92.28,90.69,92.23,8796792.0,70004.0,91.66526
PM,2024-03-28 04:00:00+00:00,92.53,92.7,91.55,91.62,5311911.0,47038.0,91.849077
PM,2024-04-01 04:00:00+00:00,91.4,92.45,91.23,91.44,6476723.0,45663.0,91.843948
PM,2024-04-02 04:00:00+00:00,91.43,92.29,91.4,91.82,4861641.0,51059.0,91.761677
PM,2024-04-03 04:00:00+00:00,91.84,92.05,90.94,91.0,4823865.0,50505.0,91.217023
PM,2024-04-04 04:00:00+00:00,91.59,91.59,90.005,90.1,5469111.0,50068.0,90.584674
PM,2024-04-05 04:00:00+00:00,90.04,90.21,88.96,89.48,5119703.0,53344.0,89.535678
PM,2024-04-08 04:00:00+00:00,89.83,90.42,89.5778,90.32,5302183.0,47503.0,90.180191
PM,2024-04-09 04:00:00+00:00,90.5,91.215,90.41,91.07,5068339.0,48234.0,90.778006
PM,2024-04-10 04:00:00+00:00,89.73,90.03,88.66,89.72,9601805.0,103839.0,89.399459
PM,2024-04-11 04:00:00+00:00,89.9,89.91,88.865,89.43,5931980.0,61459.0,89.386847
PM,2024-04-12 04:00:00+00:00,89.12,89.54,88.66,88.85,5516131.0,58445.0,88.906734
PM,2024-04-15 04:00:00+00:00,89.27,89.6,87.82,88.6,7773987.0,59996.0,88.642196
PM,2024-04-16 04:00:00+00:00,88.6,89.65,88.429,89.5,4617555.0,52421.0,89.27075
PM,2024-04-17 04:00:00+00:00,89.89,90.63,89.3,90.58,4767021.0,56098.0,90.232001
PM,2024-04-18 04:00:00+00:00,90.79,91.23,90.65,91.2,4041675.0,42345.0,90.995501
PM,2024-04-19 04:00:00+00:00,91.54,94.025,91.38,93.77,8710167.0,64280.0,93.070354
PM,2024-04-22 04:00:00+00:00,93.51,94.28,92.94,94.06,8656338.0,74493.0,93.87097
PM,2024-04-23 04:00:00+00:00,94.39,97.71,93.84,97.66,13105528.0,106980.0,96.809387
PM,2024-04-24 04:00:00+00:00,96.8,99.1,95.64,99.02,13572414.0,97608.0,98.184181
PM,2024-04-25 04:00:00+00:00,99.5,99.9,95.945,96.09,7417723.0,83081.0,96.690573
PM,2024-04-26 04:00:00+00:00,95.8,96.62,94.941,95.02,5391012.0,61228.0,95.371187
PM,2024-04-29 04:00:00+00:00,95.05,95.74,95.03,95.6,3510851.0,47483.0,95.379496
PM,2024-04-30 04:00:00+00:00,95.62,95.86,94.42,94.94,6589225.0,63856.0,95.040941
PM,2024-05-01 04:00:00+00:00,94.64,97.23,94.6304,96.05,6462570.0,80442.0,96.220374
PM,2024-05-02 04:00:00+00:00,96.38,97.99,95.88,97.31,5607868.0,64177.0,97.345386
PM,2024-05-03 04:00:00+00:00,97.47,98.03,96.33,97.4,5611928.0,62774.0,97.469459
PM,2024-05-06 04:00:00+00:00,97.76,97.9,96.65,97.45,4517746.0,46128.0,97.195498
PM,2024-05-07 04:00:00+00:00,98.0,98.41,97.36,97.53,3960351.0,41245.0,97.609993
PM,2024-05-08 04:00:00+00:00,97.55,98.51,97.18,98.25,5784348.0,42210.0,97.9886
PM,2024-05-09 04:00:00+00:00,98.43,99.48,98.19,99.46,3840359.0,43044.0,99.090475
PM,2024-05-10 04:00:00+00:00,99.6,99.99,99.34,99.66,4149342.0,43956.0,99.64226
PM,2024-05-13 04:00:00+00:00,99.98,100.23,99.025,99.29,3853790.0,45122.0,99.459761
PM,2024-05-14 04:00:00+00:00,99.5,100.1399,99.41,99.84,3292760.0,34724.0,99.798349
PM,2024-05-15 04:00:00+00:00,100.0,100.64,99.84,100.57,3230563.0,40477.0,100.343489
PM,2024-05-16 04:00:00+00:00,100.71,101.46,100.52,100.66,4417444.0,51233.0,100.896338
PM,2024-05-17 04:00:00+00:00,100.94,100.94,99.8,99.83,5307800.0,48289.0,100.109856
PM,2024-05-20 04:00:00+00:00,99.87,100.47,99.422,99.59,5340322.0,45168.0,99.881581
PM,2024-05-21 04:00:00+00:00,99.9,100.81,99.34,100.23,6199576.0,56716.0,100.227035
PM,2024-05-22 04:00:00+00:00,99.53,101.18,99.21,101.07,4407813.0,46511.0,100.851587
PM,2024-05-23 04:00:00+00:00,100.61,100.61,99.205,99.65,4573188.0,54304.0,99.732261
PM,2024-05-24 04:00:00+00:00,100.24,100.79,99.59,99.93,4053913.0,47395.0,99.990744
PM,2024-05-28 04:00:00+00:00,99.34,100.13,99.0475,100.05,3560149.0,46223.0,99.840998
PM,2024-05-29 04:00:00+00:00,99.85,99.99,99.21,99.6,4465027.0,51236.0,99.590516
PM,2024-05-30 04:00:00+00:00,99.69,99.8,98.96,99.41,3875991.0,45490.0,99.3307
PM,2024-05-31 04:00:00+00:00,99.28,101.52,99.28,101.38,7528798.0,58608.0,101.029746
PM,2024-06-03 04:00:00+00:00,101.24,103.18,100.62,102.96,6332707.0,69629.0,102.477487
PM,2024-06-04 04:00:00+00:00,102.91,104.11,102.56,103.79,5080937.0,57879.0,103.663413
PM,2024-06-05 04:00:00+00:00,103.95,104.235,102.98,104.07,5266737.0,46591.0,103.945657
PM,2024-06-06 04:00:00+00:00,104.0,104.9,103.53,104.24,4847607.0,44960.0,104.328942
PM,2024-06-07 04:00:00+00:00,103.92,104.35,103.56,103.61,2506958.0,28166.0,103.812327
PM,2024-06-10 04:00:00+00:00,103.55,103.88,102.6,103.68,3821639.0,52885.0,103.553054
PM,2024-06-11 04:00:00+00:00,103.48,103.96,102.58,103.82,3751330.0,44038.0,103.655289
PM,2024-06-12 04:00:00+00:00,104.25,104.31,102.24,102.65,4083643.0,54846.0,102.883156
PM,2024-06-13 04:00:00+00:00,102.67,102.67,101.58,101.98,4264375.0,47174.0,102.013411
PM,2024-06-14 04:00:00+00:00,101.95,102.325,101.51,102.2,5643631.0,49794.0,102.066729
PM,2024-06-17 04:00:00+00:00,101.68,102.2,101.23,102.05,4838144.0,52474.0,101.821719
PM,2024-06-18 04:00:00+00:00,99.33,101.87,99.3067,101.24,5990946.0,63526.0,101.051989
PM,2024-06-20 04:00:00+00:00,101.46,101.735,100.6,101.2,4646060.0,53778.0,101.258308
PM,2024-06-21 04:00:00+00:00,99.89,100.5,98.93,99.92,10033099.0,64351.0,99.886787
PM,2024-06-24 04:00:00+00:00,100.19,102.055,99.86,101.87,6487138.0,51057.0,101.399001
PM,2024-06-25 04:00:00+00:00,102.0,102.16,101.35,102.04,7268321.0,45880.0,101.878527
PM,2024-06-26 04:00:00+00:00,101.47,102.26,101.45,101.96,4321716.0,44483.0,101.890455
PM,2024-06-27 04:00:00+00:00,102.2,102.29,101.09,101.57,4145656.0,38692.0,101.599203
