symbol,timestamp,open,high,low,close,volume,trade_count,vwap
RTX,2024-03-13 04:00:00+00:00,90.07,90.715,89.82,90.56,8664639.0,66268.0,90.403162
RTX,2024-03-14 04:00:00+00:00,92.06,93.0,91.48,91.76,12161421.0,105527.0,91.947076
RTX,2024-03-15 04:00:00+00:00,91.05,93.07,91.05,92.93,35743611.0,99238.0,92.776498
RTX,2024-03-18 04:00:00+00:00,92.84,93.9199,92.35,93.46,7075354.0,72486.0,93.420466
RTX,2024-03-19 04:00:00+00:00,94.45,95.39,94.0275,94.86,7998758.0,78563.0,94.704098
RTX,2024-03-20 04:00:00+00:00,95.0,95.515,94.34,94.85,7854202.0,74540.0,94.98573
RTX,2024-03-21 04:00:00+00:00,95.0,95.492,94.08,94.26,6477495.0,74061.0,94.51215
RTX,2024-03-22 04:00:00+00:00,94.19,95.825,94.19,95.54,6801997.0,72756.0,95.370631
RTX,2024-03-25 04:00:00+00:00,95.71,96.24,95.265,95.63,5229440.0,57252.0,95.706373
RTX,2024-03-26 04:00:00+00:00,95.63,96.545,95.5786,96.06,5474493.0,55618.0,96.193246
RTX,2024-03-27 04:00:00+00:00,96.43,97.5,96.3322,97.45,7267849.0,76287.0,97.171912
RTX,2024-03-28 04:00:00+00:00,97.69,98.08,97.47,97.53,10700981.0,64585.0,97.693544
RTX,2024-04-01 04:00:00+00:00,97.46,98.165,97.14,97.76,9504452.0,60909.0,97.713073
RTX,2024-04-02 04:00:00+00:00,97.76,98.7,97.5776,98.55,6759573.0,73301.0,98.416294
RTX,2024-04-03 04:00:00+00:00,97.27,98.06,97.03,97.55,14050302.0,79570.0,97.561839
RTX,2024-04-04 04:00:00+00:00,98.28,99.335,97.9,99.31,13373158.0,83309.0,98.851567
RTX,2024-04-05 04:00:00+00:00,99.45,101.75,99.45,101.69,10216540.0,96804.0,101.030094
RTX,2024-04-08 04:00:00+00:00,101.69,102.26,101.27,101.88,9901335.0,88043.0,101.808896
RTX,2024-04-09 04:00:00+00:00,101.07,101.64,100.29,101.6,12904034.0,71901.0,101.036965
RTX,2024-04-10 04:00:00+00:00,100.92,101.76,100.23,101.36,5532873.0,69729.0,101.151114
RTX,2024-04-11 04:00:00+00:00,101.35,101.57,99.79,100.78,6786050.0,65898.0,100.720802
RTX,2024-04-12 04:00:00+00:00,101.715,102.35,99.47,100.1,7326469.0,78716.0,100.386154
RTX,2024-04-15 04:00:00+00:00,101.56,101.82,99.9,100.02,9636631.0,85790.0,100.519382
RTX,2024-04-16 04:00:00+00:00,100.25,101.32,100.23,100.84,7088598.0,80723.0,100.912218
RTX,2024-04-17 04:00:00+00:00,101.26,101.79,100.15,100.75,5377573.0,63343.0,100.833988
RTX,2024-04-18 04:00:00+00:00,100.52,101.9,100.51,100.71,4238563.0,62232.0,101.106592
RTX,2024-04-19 04:00:00+00:00,101.53,102.26,101.03,101.56,10328788.0,72659.0,101.772924
RTX,2024-04-22 04:00:00+00:00,102.0,102.25,101.365,101.56,7594052.0,82851.0,101.736491
RTX,2024-04-23 04:00:00+00:00,101.0,103.89,99.88,101.38,8568154.0,102999.0,101.750826
RTX,2024-04-24 04:00:00+00:00,101.72,101.89,100.01,101.02,7722056.0,77870.0,100.692191
RTX,2024-04-25 04:00:00+00:00,100.9,101.88,100.59,101.71,6186056.0,66253.0,101.515834
RTX,2024-04-26 04:00:00+00:00,101.54,101.8,100.29,101.41,4428318.0,54768.0,101.20511
RTX,2024-04-29 04:00:00+00:00,101.85,102.61,101.65,102.44,4470389.0,57916.0,102.331379
RTX,2024-04-30 04:00:00+00:00,102.34,102.82,101.47,101.52,5421771.0,60604.0,101.8775
RTX,2024-05-01 04:00:00+00:00,101.32,102.03,101.14,101.22,9982561.0,53805.0,101.407531
RTX,2024-05-02 04:00:00+00:00,101.2,101.91,101.02,101.89,6084415.0,56105.0,101.631683
RTX,2024-05-03 04:00:00+00:00,102.0,102.17,100.67,101.4,13324869.0,60813.0,101.281353
RTX,2024-05-06 04:00:00+00:00,101.79,102.05,101.615,101.91,3408663.0,53481.0,101.88796
RTX,2024-05-07 04:00:00+00:00,102.27,103.26,102.12,103.23,6933236.0,59124.0,103.02403
RTX,2024-05-08 04:00:00+00:00,103.24,104.0899,102.81,103.94,5177766.0,48206.0,103.754707
RTX,2024-05-09 04:00:00+00:00,104.11,105.76,104.08,105.74,7211300.0,69180.0,105.334707
RTX,2024-05-10 04:00:00+00:00,106.0,106.53,105.54,106.32,5626052.0,65552.0,106.144129
RTX,2024-05-13 04:00:00+00:00,106.44,107.815,105.68,105.8,6045495.0,73968.0,106.641994
RTX,2024-05-14 04:00:00+00:00,105.8,106.29,105.65,105.7,3726206.0,50919.0,105.818321
RTX,2024-05-15 04:00:00+00:00,105.49,105.98,105.14,105.35,5688303.0,63531.0,105.380159
RTX,2024-05-16 04:00:00+00:00,104.5,105.36,104.15,104.24,8723795.0,59476.0,104.614226
RTX,2024-05-17 04:00:00+00:00,104.69,104.775,103.71,104.18,8501013.0,67050.0,104.260251
RTX,2024-05-20 04:00:00+00:00,104.41,105.42,104.35,105.02,4412797.0,60662.0,105.043036
RTX,2024-05-21 04:00:00+00:00,105.2,105.93,105.1,105.43,4754825.0,53673.0,105.57352
RTX,2024-05-22 04:00:00+00:00,105.63,106.45,105.41,106.31,3626254.0,52508.0,106.097499
RTX,2024-05-23 04:00:00+00:00,106.44,107.32,105.34,105.41,5787127.0,64340.0,105.956908
RTX,2024-05-24 04:00:00+00:00,105.83,106.57,105.83,106.27,3431308.0,47695.0,106.197573
RTX,2024-05-28 04:00:00+00:00,106.03,106.35,105.28,105.52,5137171.0,63134.0,105.629541
RTX,2024-05-29 04:00:00+00:00,105.02,105.22,104.5,104.57,4796924.0,60425.0,104.816651
RTX,2024-05-30 04:00:00+00:00,104.9,105.85,104.58,105.72,4398900.0,50983.0,105.560117
RTX,2024-05-31 04:00:00+00:00,105.82,107.88,105.46,107.81,10411930.0,71687.0,107.418125
RTX,2024-06-03 04:00:00+00:00,107.24,108.65,106.82,107.37,5908797.0,62719.0,107.410535
RTX,2024-06-04 04:00:00+00:00,107.41,108.385,106.92,107.9,7998037.0,57570.0,107.841251
RTX,2024-06-05 04:00:00+00:00,108.01,108.515,107.481,108.44,3141222.0,54680.0,108.2663
RTX,2024-06-06 04:00:00+00:00,108.38,108.47,107.75,108.18,3875136.0,50552.0,108.20226
RTX,2024-06-07 04:00:00+00:00,108.1,108.56,107.875,108.11,3526533.0,47151.0,108.277932
RTX,2024-06-10 04:00:00+00:00,108.0,108.1,106.6701,107.09,5918493.0,57465.0,107.181905
RTX,2024-06-11 04:00:00+00:00,106.39,107.145,106.14,106.92,5769457.0,53878.0,106.842371
RTX,2024-06-12 04:00:00+00:00,107.01,107.72,106.58,106.77,3429992.0,50972.0,107.022648
RTX,2024-06-13 04:00:00+00:00,106.57,106.855,103.84,105.03,7112945.0,65783.0,105.19425
RTX,2024-06-14 04:00:00+00:00,104.59,104.9889,103.44,104.23,4917244.0,55853.0,104.153966
RTX,2024-06-17 04:00:00+00:00,104.0,104.49,103.47,104.47,3943685.0,46762.0,104.16643
RTX,2024-06-18 04:00:00+00:00,104.57,105.31,104.375,104.77,3991507.0,53963.0,104.791107
RTX,2024-06-20 04:00:00+00:00,104.63,105.73,104.55,105.07,6996421.0,67800.0,105.19896
RTX,2024-06-21 04:00:00+00:00,105.19,106.19,104.68,105.61,13311891.0,60375.0,105.608932
RTX,2024-06-24 04:00:00+00:00,105.74,107.475,100.94,101.96,13704767.0,130723.0,103.234132
RTX,2024-06-25 04:00:00+00:00,101.39,102.7,100.03,101.57,10306697.0,86527.0,101.570338
RTX,2024-06-26 04:00:00+00:00,100.93,101.39,100.1529,101.26,6953826.0,76865.0,101.067116
RTX,2024-06-27 04:00:00+00:00,101.47,101.78,100.425,100.62,6955459.0,79828.0,100.750234
RTX,2024-06-28 04:00:00+00:00,100.9,100.9,100.06,100.39,13811859.0,84784.0,100.419591
RTX,2024-07-01 04:00:00+00:00,100.88,101.68,99.31,99.55,4475275.0,56797.0,99.856657
RTX,2024-07-02 04:00:00+00:00,99.29,100.63,99.071,100.41,8299941.0,65685.0,100.268993
