symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SCHW,2024-03-13 04:00:00+00:00,66.71,67.61,66.67,67.13,8202506.0,70080.0,67.097055
SCHW,2024-03-14 04:00:00+00:00,66.72,67.325,66.03,66.6,11673760.0,101283.0,66.608399
SCHW,2024-03-15 04:00:00+00:00,66.13,67.81,66.13,67.04,11825852.0,78867.0,67.09076
SCHW,2024-03-18 04:00:00+00:00,66.72,67.57,66.67,67.4,6567372.0,63064.0,67.314991
SCHW,2024-03-19 04:00:00+00:00,67.6,68.455,67.36,68.35,7979213.0,77499.0,68.151712
SCHW,2024-03-20 04:00:00+00:00,68.37,69.78,68.06,69.67,6836101.0,73983.0,69.161896
SCHW,2024-03-21 04:00:00+00:00,69.99,72.0,69.94,71.85,10466854.0,84070.0,71.468101
SCHW,2024-03-22 04:00:00+00:00,72.64,72.945,71.56,71.6,7231327.0,72092.0,71.862296
SCHW,2024-03-25 04:00:00+00:00,71.46,72.32,70.99,71.33,6578712.0,58584.0,71.357949
SCHW,2024-03-26 04:00:00+00:00,71.39,71.53,70.9139,71.0,5659141.0,47657.0,71.125854
SCHW,2024-03-27 04:00:00+00:00,71.4,72.45,71.3,72.38,7358004.0,61825.0,71.899586
SCHW,2024-03-28 04:00:00+00:00,72.4,72.6,71.7,72.34,6865003.0,57902.0,72.222884
SCHW,2024-04-01 04:00:00+00:00,72.29,72.63,71.85,72.37,4070802.0,48705.0,72.25683
SCHW,2024-04-02 04:00:00+00:00,72.0,72.16,70.97,71.46,5373777.0,56451.0,71.390872
SCHW,2024-04-03 04:00:00+00:00,71.43,72.24,71.28,71.42,5296040.0,52465.0,71.5892
SCHW,2024-04-04 04:00:00+00:00,72.23,72.97,71.08,71.35,7855327.0,73611.0,71.985803
SCHW,2024-04-05 04:00:00+00:00,71.48,72.125,71.21,71.89,4255194.0,50930.0,71.766425
SCHW,2024-04-08 04:00:00+00:00,72.27,72.775,71.82,72.37,5846226.0,58321.0,72.396337
SCHW,2024-04-09 04:00:00+00:00,72.54,72.8,71.49,72.28,5024227.0,54149.0,72.094227
SCHW,2024-04-10 04:00:00+00:00,71.55,72.07,70.12,71.1,7750362.0,76292.0,71.160085
SCHW,2024-04-11 04:00:00+00:00,70.86,71.28,69.82,70.62,5891810.0,66700.0,70.712832
SCHW,2024-04-12 04:00:00+00:00,69.71,70.87,69.47,70.03,8614631.0,86081.0,70.044438
SCHW,2024-04-15 04:00:00+00:00,70.5,73.65,70.47,71.23,14417612.0,132075.0,72.130518
SCHW,2024-04-16 04:00:00+00:00,71.5,73.26,70.37,73.07,12021566.0,117199.0,72.198903
