symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SO,2024-03-13 04:00:00+00:00,69.84,70.4299,69.7995,69.94,5086286.0,53643.0,70.070847
SO,2024-03-14 04:00:00+00:00,69.65,69.9338,68.8,69.38,4212522.0,42596.0,69.24584
SO,2024-03-15 04:00:00+00:00,68.96,69.77,68.7,69.09,8653726.0,39692.0,69.021872
SO,2024-03-18 04:00:00+00:00,69.18,69.62,68.99,69.42,2688945.0,31929.0,69.340624
SO,2024-03-19 04:00:00+00:00,69.63,70.33,69.02,70.21,3848621.0,42990.0,70.048604
SO,2024-03-20 04:00:00+00:00,70.12,70.66,69.89,70.23,4251099.0,39138.0,70.332207
SO,2024-03-21 04:00:00+00:00,70.44,70.8,69.87,69.9,2864913.0,31724.0,70.136745
SO,2024-03-22 04:00:00+00:00,70.29,70.52,69.79,69.8,3137925.0,35160.0,70.036732
SO,2024-03-25 04:00:00+00:00,69.9,70.1,69.52,69.76,2065233.0,24448.0,69.76407
SO,2024-03-26 04:00:00+00:00,69.55,69.72,69.15,69.27,4360519.0,38764.0,69.362659
SO,2024-03-27 04:00:00+00:00,69.64,71.07,69.6,71.05,4328426.0,42830.0,70.707599
SO,2024-03-28 04:00:00+00:00,71.02,71.905,70.8,71.74,4731193.0,45651.0,71.577978
SO,2024-04-01 04:00:00+00:00,71.49,71.7,70.56,71.1,3147543.0,39711.0,71.006704
SO,2024-04-02 04:00:00+00:00,71.24,72.08,71.09,71.34,3829581.0,37308.0,71.506005
SO,2024-04-03 04:00:00+00:00,71.44,71.71,70.8,70.98,3798424.0,35486.0,71.086902
SO,2024-04-04 04:00:00+00:00,70.98,71.37,69.66,70.05,6240921.0,58399.0,70.226796
SO,2024-04-05 04:00:00+00:00,69.55,70.16,69.1583,69.91,5302559.0,44820.0,69.78853
SO,2024-04-08 04:00:00+00:00,69.76,70.32,69.63,70.06,3400339.0,38024.0,69.993283
SO,2024-04-09 04:00:00+00:00,70.36,70.6,69.86,70.59,4811688.0,37761.0,70.32007
SO,2024-04-10 04:00:00+00:00,69.37,69.9098,68.97,69.77,8425060.0,53566.0,69.646566
SO,2024-04-11 04:00:00+00:00,70.11,70.11,68.96,69.58,3297590.0,34038.0,69.528967
SO,2024-04-12 04:00:00+00:00,69.84,69.93,68.32,68.73,4818434.0,48272.0,68.869499
SO,2024-04-15 04:00:00+00:00,68.99,69.48,67.95,68.39,3974105.0,41745.0,68.383228
SO,2024-04-16 04:00:00+00:00,68.24,68.24,67.53,67.77,4426792.0,44511.0,67.827415
