symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TGT,2024-03-13 04:00:00+00:00,167.24,167.54,164.19,166.67,5546260.0,69593.0,165.929275
TGT,2024-03-14 04:00:00+00:00,166.76,167.17,163.045,164.31,3365891.0,56935.0,164.263553
TGT,2024-03-15 04:00:00+00:00,162.87,165.25,162.71,164.22,5074986.0,51765.0,164.13002
TGT,2024-03-18 04:00:00+00:00,163.98,168.188,163.435,167.59,3189594.0,51188.0,166.943511
TGT,2024-03-19 04:00:00+00:00,167.07,168.61,166.3,168.21,2290482.0,36213.0,167.899242
TGT,2024-03-20 04:00:00+00:00,167.92,170.57,167.38,170.46,2969720.0,42019.0,169.38602
TGT,2024-03-21 04:00:00+00:00,170.67,170.88,168.97,170.17,2624530.0,41140.0,170.044385
TGT,2024-03-22 04:00:00+00:00,170.0,170.17,168.49,168.63,2443809.0,35527.0,168.897942
TGT,2024-03-25 04:00:00+00:00,170.0,173.58,169.73,172.66,4262579.0,59716.0,172.355117
TGT,2024-03-26 04:00:00+00:00,172.63,174.2,172.16,172.64,3513108.0,49283.0,172.729431
TGT,2024-03-27 04:00:00+00:00,174.1,175.48,173.54,174.67,4747265.0,71334.0,174.606839
TGT,2024-03-28 04:00:00+00:00,175.0,177.395,174.685,177.21,3716230.0,54404.0,176.462674
TGT,2024-04-01 04:00:00+00:00,178.77,181.86,177.66,177.82,3917377.0,73287.0,179.13234
TGT,2024-04-02 04:00:00+00:00,177.65,177.89,175.09,176.24,3022070.0,48398.0,176.029114
TGT,2024-04-03 04:00:00+00:00,176.53,177.19,175.1,175.49,3033852.0,53409.0,175.787408
TGT,2024-04-04 04:00:00+00:00,176.84,177.23,171.975,172.22,3614382.0,57660.0,173.422705
TGT,2024-04-05 04:00:00+00:00,171.62,172.54,170.03,171.77,2333972.0,45370.0,171.684556
TGT,2024-04-08 04:00:00+00:00,170.9,172.13,169.62,169.7,2123077.0,39855.0,170.446147
TGT,2024-04-09 04:00:00+00:00,170.0,171.74,169.26,171.63,1847129.0,37522.0,170.903989
TGT,2024-04-10 04:00:00+00:00,169.9,171.855,168.75,171.62,2148746.0,42497.0,171.049543
TGT,2024-04-11 04:00:00+00:00,172.79,173.045,170.385,171.33,2248121.0,39559.0,171.479336
TGT,2024-04-12 04:00:00+00:00,170.82,171.06,165.7814,166.12,3551592.0,57754.0,167.278298
TGT,2024-04-15 04:00:00+00:00,169.18,169.8,164.96,165.01,5075360.0,55325.0,165.857566
TGT,2024-04-16 04:00:00+00:00,165.06,166.0,162.2101,163.32,3450687.0,56913.0,163.1726
TGT,2024-04-17 04:00:00+00:00,166.76,167.94,163.87,164.47,3700382.0,55752.0,165.12118
TGT,2024-04-18 04:00:00+00:00,165.72,167.53,165.09,166.58,3169461.0,50559.0,166.617448
TGT,2024-04-19 04:00:00+00:00,167.33,168.47,166.77,168.3,3377054.0,51062.0,167.772743
TGT,2024-04-22 04:00:00+00:00,168.76,169.09,166.0342,167.11,2155534.0,41052.0,167.358343
TGT,2024-04-23 04:00:00+00:00,167.64,168.01,166.1,166.51,1890252.0,34499.0,166.600911
TGT,2024-04-24 04:00:00+00:00,165.03,166.54,164.79,165.34,2631351.0,41829.0,165.675851
TGT,2024-04-25 04:00:00+00:00,163.89,165.15,163.1777,164.44,3141691.0,48988.0,164.349514
TGT,2024-04-26 04:00:00+00:00,165.15,166.275,164.14,164.74,2085518.0,36536.0,165.122004
TGT,2024-04-29 04:00:00+00:00,164.7,165.72,162.06,163.73,2737235.0,52764.0,163.305602
TGT,2024-04-30 04:00:00+00:00,162.45,162.63,160.42,160.98,3534392.0,46044.0,161.035464
TGT,2024-05-01 04:00:00+00:00,160.83,161.63,156.33,156.43,4380435.0,77084.0,157.588122
TGT,2024-05-02 04:00:00+00:00,157.29,158.64,155.8,158.12,3880034.0,55670.0,157.54676
TGT,2024-05-03 04:00:00+00:00,159.0,160.31,157.81,158.04,3802181.0,41506.0,158.497814
TGT,2024-05-06 04:00:00+00:00,158.04,158.4,156.5,158.35,3314545.0,43899.0,157.696037
TGT,2024-05-07 04:00:00+00:00,161.07,162.36,159.84,160.41,3492502.0,48764.0,160.646815
TGT,2024-05-08 04:00:00+00:00,159.0,161.25,158.99,159.59,2758278.0,41907.0,160.073077
TGT,2024-05-09 04:00:00+00:00,159.44,164.4,159.04,164.32,2527985.0,48697.0,163.272075
TGT,2024-05-10 04:00:00+00:00,164.61,165.65,161.7,163.13,2414113.0,40358.0,162.933338
TGT,2024-05-13 04:00:00+00:00,164.21,164.4,160.59,160.9,2629007.0,51304.0,161.500008
TGT,2024-05-14 04:00:00+00:00,160.3,161.6,158.58,158.96,2707913.0,49481.0,159.523662
TGT,2024-05-15 04:00:00+00:00,160.61,161.08,157.04,157.51,2563650.0,52993.0,158.11151
TGT,2024-05-16 04:00:00+00:00,160.25,163.65,159.72,160.65,5232861.0,73010.0,161.999173
TGT,2024-05-17 04:00:00+00:00,160.18,160.465,159.1,160.13,4005467.0,57672.0,159.921459
TGT,2024-05-20 04:00:00+00:00,159.9,160.8,155.96,156.71,4429218.0,72360.0,157.211373
TGT,2024-05-21 04:00:00+00:00,156.71,156.84,154.65,155.78,6291009.0,88221.0,155.538265
TGT,2024-05-22 04:00:00+00:00,140.54,145.67,139.98,143.27,18724017.0,236885.0,143.46725
TGT,2024-05-23 04:00:00+00:00,142.5,145.58,141.76,144.41,6661102.0,95546.0,144.029931
TGT,2024-05-24 04:00:00+00:00,144.9,145.73,143.56,145.23,3550295.0,57439.0,145.04925
TGT,2024-05-28 04:00:00+00:00,145.0,147.4401,144.53,147.1,4344281.0,68752.0,146.551869
TGT,2024-05-29 04:00:00+00:00,146.05,148.13,145.5,147.74,3038460.0,55497.0,147.109844
TGT,2024-05-30 04:00:00+00:00,148.52,150.36,147.92,149.87,4239436.0,68550.0,149.393771
TGT,2024-05-31 04:00:00+00:00,148.88,156.93,148.76,156.16,7500984.0,78211.0,154.605965
TGT,2024-06-03 04:00:00+00:00,152.09,154.49,151.38,153.03,4162466.0,68376.0,152.974558
TGT,2024-06-04 04:00:00+00:00,152.37,154.19,150.11,150.55,4683706.0,72273.0,151.242632
TGT,2024-06-05 04:00:00+00:00,150.5,150.98,146.75,147.35,5746077.0,86924.0,147.707494
TGT,2024-06-06 04:00:00+00:00,146.7,147.19,145.05,145.13,4682855.0,78458.0,145.79275
TGT,2024-06-07 04:00:00+00:00,144.63,146.6,144.15,146.0,3110844.0,51659.0,145.91991
TGT,2024-06-10 04:00:00+00:00,146.05,148.91,145.57,148.52,3052921.0,56049.0,147.99512
TGT,2024-06-11 04:00:00+00:00,148.25,148.37,145.92,146.19,3592381.0,56599.0,146.313121
TGT,2024-06-12 04:00:00+00:00,146.34,148.03,145.1,146.78,3064275.0,53800.0,146.790358
TGT,2024-06-13 04:00:00+00:00,147.09,147.09,144.55,144.68,3470565.0,46543.0,145.039242
TGT,2024-06-14 04:00:00+00:00,143.77,143.8,139.38,141.16,5019720.0,75457.0,140.541987
TGT,2024-06-17 04:00:00+00:00,141.35,145.06,140.8,144.97,5006330.0,68208.0,143.694163
TGT,2024-06-18 04:00:00+00:00,144.355,144.8509,142.42,142.54,2969474.0,56711.0,142.932671
TGT,2024-06-20 04:00:00+00:00,142.15,143.77,141.73,143.38,2628654.0,47416.0,143.164024
TGT,2024-06-21 04:00:00+00:00,143.99,146.27,143.99,146.13,5652005.0,63047.0,145.833703
TGT,2024-06-24 04:00:00+00:00,147.0,150.79,146.72,149.69,3933203.0,63329.0,149.882467
TGT,2024-06-25 04:00:00+00:00,148.48,149.12,146.34,146.77,3367570.0,50309.0,147.055294
TGT,2024-06-26 04:00:00+00:00,146.01,147.31,144.92,147.17,2447102.0,43732.0,146.499784
TGT,2024-06-27 04:00:00+00:00,145.75,147.0,145.3,146.72,2273610.0,45213.0,146.335785
TGT,2024-06-28 04:00:00+00:00,147.54,148.7089,146.12,148.04,12757345.0,65866.0,147.753147
TGT,2024-07-01 04:00:00+00:00,148.34,148.94,145.07,145.74,2638855.0,51753.0,146.058732
TGT,2024-07-02 04:00:00+00:00,145.5,146.99,144.46,145.39,3296556.0,51680.0,145.313409
TGT,2024-07-03 04:00:00+00:00,145.32,146.23,144.37,144.8,1633259.0,28475.0,145.027082
TGT,2024-07-05 04:00:00+00:00,144.54,146.43,144.5,145.65,3562244.0,46151.0,145.558872
TGT,2024-07-08 04:00:00+00:00,151.86,151.97,147.785,148.72,5183791.0,72688.0,148.938825
TGT,2024-07-09 04:00:00+00:00,148.0,149.621,147.23,147.6,2848969.0,43128.0,148.134373
TGT,2024-07-10 04:00:00+00:00,147.45,147.45,143.405,146.11,4105702.0,62502.0,145.219149
TGT,2024-07-11 04:00:00+00:00,147.0,151.89,146.5,151.4,4728715.0,69910.0,150.350675
