symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TMO,2024-03-13 04:00:00+00:00,599.03,599.03,591.045,593.32,1035189.0,35117.0,594.220013
TMO,2024-03-14 04:00:00+00:00,590.98,595.1,581.25,584.91,1757994.0,44868.0,584.506553
TMO,2024-03-15 04:00:00+00:00,575.17,584.65,573.73,584.15,1920147.0,34306.0,582.082557
TMO,2024-03-18 04:00:00+00:00,585.86,586.845,578.3,580.05,1554424.0,34761.0,581.002346
TMO,2024-03-19 04:00:00+00:00,581.28,584.25,577.2,582.72,1053626.0,26249.0,582.090841
TMO,2024-03-20 04:00:00+00:00,581.05,581.63,576.29,580.05,728710.0,26065.0,579.349814
TMO,2024-03-21 04:00:00+00:00,580.0,587.08,577.6,584.13,1230529.0,33120.0,584.544112
TMO,2024-03-22 04:00:00+00:00,586.82,588.99,579.74,583.09,1061222.0,27132.0,583.516609
TMO,2024-03-25 04:00:00+00:00,583.21,585.03,571.09,573.56,1226909.0,33098.0,574.375324
TMO,2024-03-26 04:00:00+00:00,574.01,574.985,567.84,568.82,1784927.0,39679.0,570.218508
TMO,2024-03-27 04:00:00+00:00,572.52,579.77,571.08,579.37,1525832.0,38343.0,576.311972
TMO,2024-03-28 04:00:00+00:00,579.3,582.295,576.19,581.21,1081545.0,27474.0,580.794779
TMO,2024-04-01 04:00:00+00:00,581.05,581.53,572.84,577.45,837591.0,27860.0,576.905929
TMO,2024-04-02 04:00:00+00:00,570.75,572.39,565.78,571.56,1381269.0,35523.0,570.105899
TMO,2024-04-03 04:00:00+00:00,571.23,578.25,569.19,576.0,1151569.0,31962.0,575.615426
TMO,2024-04-04 04:00:00+00:00,580.41,582.0,568.57,570.61,1231899.0,29130.0,573.95117
TMO,2024-04-05 04:00:00+00:00,570.22,583.84,569.06,579.46,1181253.0,33242.0,579.79388
TMO,2024-04-08 04:00:00+00:00,579.35,582.41,575.71,578.8,998949.0,27090.0,578.371559
TMO,2024-04-09 04:00:00+00:00,583.78,589.93,583.23,589.2,1026320.0,28503.0,587.55497
TMO,2024-04-10 04:00:00+00:00,577.29,579.675,571.89,573.71,1282843.0,39436.0,574.890915
TMO,2024-04-11 04:00:00+00:00,579.56,580.355,571.36,574.57,1295511.0,32007.0,575.972016
TMO,2024-04-12 04:00:00+00:00,570.91,573.385,561.64,565.23,1201552.0,33021.0,566.092066
TMO,2024-04-15 04:00:00+00:00,570.72,570.72,554.51,557.87,1031658.0,31986.0,560.164264
TMO,2024-04-16 04:00:00+00:00,559.04,559.04,552.685,554.55,1010299.0,31349.0,554.858352
TMO,2024-04-17 04:00:00+00:00,555.86,556.0,546.45,547.25,1610057.0,37705.0,548.959625
TMO,2024-04-18 04:00:00+00:00,534.8,544.87,529.64,541.52,2075785.0,49750.0,539.704272
TMO,2024-04-19 04:00:00+00:00,542.95,546.14,539.17,544.78,1738509.0,38044.0,544.154543
TMO,2024-04-22 04:00:00+00:00,549.15,552.86,543.15,548.38,1522884.0,40246.0,548.628971
TMO,2024-04-23 04:00:00+00:00,567.51,576.89,560.0,574.59,2543991.0,63751.0,571.289639
TMO,2024-04-24 04:00:00+00:00,578.0,586.4623,565.23,577.39,2035044.0,49355.0,576.237452
TMO,2024-04-25 04:00:00+00:00,577.4,577.99,569.98,571.73,1184004.0,33911.0,572.933816
TMO,2024-04-26 04:00:00+00:00,567.94,575.0,566.95,573.6,1438184.0,38175.0,572.982046
TMO,2024-04-29 04:00:00+00:00,575.09,579.49,571.3,576.89,962351.0,25765.0,575.998915
TMO,2024-04-30 04:00:00+00:00,574.7,576.46,567.97,568.72,1515137.0,31385.0,570.524673
TMO,2024-05-01 04:00:00+00:00,569.86,581.9,568.4,574.99,1171977.0,32591.0,574.331857
TMO,2024-05-02 04:00:00+00:00,579.48,579.795,565.49,571.25,1357370.0,30782.0,571.36052
TMO,2024-05-03 04:00:00+00:00,579.84,579.84,571.63,572.38,1749670.0,37304.0,574.829531
TMO,2024-05-06 04:00:00+00:00,575.41,576.385,570.345,573.55,1140684.0,29310.0,574.164638
TMO,2024-05-07 04:00:00+00:00,571.5,576.59,565.34,572.87,1890726.0,39716.0,572.819263
TMO,2024-05-08 04:00:00+00:00,572.71,575.345,567.71,573.64,1598138.0,38110.0,573.802282
TMO,2024-05-09 04:00:00+00:00,574.23,579.065,572.5,577.93,1513316.0,39379.0,576.660822
TMO,2024-05-10 04:00:00+00:00,580.17,594.025,578.81,593.03,1328832.0,40576.0,591.457894
TMO,2024-05-13 04:00:00+00:00,591.27,594.525,588.95,590.7,944626.0,30131.0,590.826222
TMO,2024-05-14 04:00:00+00:00,591.16,597.18,586.65,594.8,1040938.0,32693.0,593.088883
TMO,2024-05-15 04:00:00+00:00,600.0,602.0,595.03,599.02,1188732.0,34750.0,599.051
TMO,2024-05-16 04:00:00+00:00,598.25,600.09,593.28,597.15,1409375.0,34710.0,597.770199
TMO,2024-05-17 04:00:00+00:00,596.95,597.1,589.36,595.3,1398449.0,41211.0,594.268033
TMO,2024-05-20 04:00:00+00:00,593.63,597.235,592.75,594.01,805710.0,26923.0,594.132336
TMO,2024-05-21 04:00:00+00:00,594.0,594.0,585.32,590.12,1133164.0,32259.0,589.340807
TMO,2024-05-22 04:00:00+00:00,589.67,596.63,587.62,590.8,872991.0,29772.0,591.880192
TMO,2024-05-23 04:00:00+00:00,590.0,592.0,584.16,585.03,1184975.0,32958.0,586.646233
TMO,2024-05-24 04:00:00+00:00,586.0,587.955,581.345,584.05,883271.0,28262.0,583.54346
TMO,2024-05-28 04:00:00+00:00,581.67,581.97,569.17,572.57,1435576.0,43419.0,572.233678
TMO,2024-05-29 04:00:00+00:00,570.11,570.11,563.67,567.3,1324775.0,39904.0,567.159595
TMO,2024-05-30 04:00:00+00:00,551.53,563.97,550.33,562.76,2431317.0,53674.0,557.784659
TMO,2024-05-31 04:00:00+00:00,564.59,568.58,560.4,567.98,2106711.0,42360.0,566.545571
TMO,2024-06-03 04:00:00+00:00,569.39,573.63,563.005,569.58,943688.0,31746.0,568.4908
TMO,2024-06-04 04:00:00+00:00,570.79,573.7529,565.24,569.67,994975.0,30492.0,570.165889
TMO,2024-06-05 04:00:00+00:00,569.85,575.58,566.72,575.28,896124.0,27772.0,573.593906
TMO,2024-06-06 04:00:00+00:00,575.29,581.665,571.94,579.84,1153843.0,34180.0,578.995554
TMO,2024-06-07 04:00:00+00:00,579.51,585.95,577.085,581.09,1231957.0,35314.0,582.342281
TMO,2024-06-10 04:00:00+00:00,580.0,582.28,575.86,581.48,1540561.0,34267.0,580.330729
TMO,2024-06-11 04:00:00+00:00,578.95,580.0,573.91,575.89,1407737.0,34898.0,576.106046
TMO,2024-06-12 04:00:00+00:00,579.26,581.97,574.6,575.69,1397925.0,38278.0,576.898771
TMO,2024-06-13 04:00:00+00:00,573.36,574.63,565.001,572.63,1304701.0,31916.0,570.705076
TMO,2024-06-14 04:00:00+00:00,572.86,573.1,566.74,572.05,1413701.0,34374.0,570.814823
TMO,2024-06-17 04:00:00+00:00,566.45,569.305,563.745,568.0,1318499.0,34426.0,567.328502
TMO,2024-06-18 04:00:00+00:00,569.56,572.04,564.62,569.17,1398080.0,37486.0,568.481621
TMO,2024-06-20 04:00:00+00:00,560.85,560.85,551.71,557.21,3071545.0,55295.0,556.664899
TMO,2024-06-21 04:00:00+00:00,558.71,568.59,558.105,564.6,3198558.0,49225.0,564.070383
TMO,2024-06-24 04:00:00+00:00,565.61,571.51,562.32,565.95,1557605.0,32160.0,566.459332
TMO,2024-06-25 04:00:00+00:00,564.84,568.34,556.19,556.52,1943699.0,33763.0,557.510535
TMO,2024-06-26 04:00:00+00:00,556.8,561.38,554.84,558.17,1091353.0,28905.0,558.455312
TMO,2024-06-27 04:00:00+00:00,556.72,558.26,549.23,550.78,1506859.0,40590.0,552.388351
TMO,2024-06-28 04:00:00+00:00,552.93,558.27,545.63,553.0,6144466.0,40467.0,552.659285
TMO,2024-07-01 04:00:00+00:00,553.45,557.5655,539.4,541.72,1459439.0,41941.0,543.791895
TMO,2024-07-02 04:00:00+00:00,539.31,541.59,533.46,533.93,1316367.0,37316.0,535.373175
TMO,2024-07-03 04:00:00+00:00,533.0,539.81,532.435,535.61,908266.0,26148.0,535.158944
TMO,2024-07-05 04:00:00+00:00,538.65,540.165,533.85,540.1,1233257.0,31873.0,538.688873
TMO,2024-07-08 04:00:00+00:00,541.45,543.02,535.43,536.29,1140129.0,31788.0,537.066968
TMO,2024-07-09 04:00:00+00:00,538.09,538.33,528.37,531.86,1567536.0,42074.0,531.149821
TMO,2024-07-10 04:00:00+00:00,533.25,537.0,528.82,536.87,1976237.0,34690.0,534.069114
TMO,2024-07-11 04:00:00+00:00,539.76,548.63,537.87,542.69,1403938.0,36107.0,544.291464
TMO,2024-07-12 04:00:00+00:00,542.69,551.66,540.855,548.09,945210.0,28597.0,548.055483
TMO,2024-07-15 04:00:00+00:00,546.59,549.68,542.99,544.68,1326049.0,26657.0,545.450233
TMO,2024-07-16 04:00:00+00:00,549.24,555.775,547.72,555.42,1122114.0,29667.0,553.325969
TMO,2024-07-17 04:00:00+00:00,553.0,559.96,550.85,555.06,1131158.0,29783.0,555.324093
TMO,2024-07-18 04:00:00+00:00,551.69,557.16,537.77,540.62,1744967.0,40550.0,543.849184
TMO,2024-07-19 04:00:00+00:00,541.15,542.23,531.475,534.35,1667269.0,37729.0,534.88102
TMO,2024-07-22 04:00:00+00:00,540.67,547.12,535.98,546.42,1163691.0,29640.0,543.19925
TMO,2024-07-23 04:00:00+00:00,570.97,572.24,550.67,552.24,2005647.0,47587.0,555.958055
TMO,2024-07-24 04:00:00+00:00,552.92,575.25,552.65,574.73,2857263.0,54321.0,568.043964
TMO,2024-07-25 04:00:00+00:00,576.14,603.82,572.13,594.5,3625187.0,71498.0,594.104469
TMO,2024-07-26 04:00:00+00:00,600.85,614.65,599.3,607.14,2715365.0,55162.0,608.211136
TMO,2024-07-29 04:00:00+00:00,604.25,607.81,595.2,604.12,1621893.0,35503.0,602.008969
TMO,2024-07-30 04:00:00+00:00,609.81,615.737,602.85,615.06,1627170.0,31966.0,610.436355
TMO,2024-07-31 04:00:00+00:00,614.23,620.63,609.295,613.34,1702277.0,33719.0,616.055755
TMO,2024-08-01 04:00:00+00:00,616.4,622.3,612.87,621.77,1458185.0,32632.0,619.526936
TMO,2024-08-02 04:00:00+00:00,621.95,622.0,605.47,615.69,1564731.0,34452.0,614.24822
TMO,2024-08-05 04:00:00+00:00,607.54,611.37,592.81,598.03,2117077.0,49774.0,600.178283
TMO,2024-08-06 04:00:00+00:00,600.26,612.88,596.6074,602.02,1316881.0,35126.0,606.335248
TMO,2024-08-07 04:00:00+00:00,600.97,601.78,585.68,587.37,1692238.0,38305.0,593.012592
TMO,2024-08-08 04:00:00+00:00,589.74,601.14,587.5,600.04,1116715.0,29579.0,598.282592
TMO,2024-08-09 04:00:00+00:00,600.0,601.35,593.875,596.18,963806.0,26685.0,596.277894
TMO,2024-08-12 04:00:00+00:00,596.26,599.53,591.59,599.07,1164022.0,26324.0,596.904186
TMO,2024-08-13 04:00:00+00:00,599.98,605.57,599.458,604.21,1042544.0,23137.0,602.849155
TMO,2024-08-14 04:00:00+00:00,602.09,603.47,595.8,602.1,1128139.0,23446.0,601.19891
TMO,2024-08-15 04:00:00+00:00,605.52,608.62,599.98,603.69,1241073.0,27471.0,603.02389
TMO,2024-08-16 04:00:00+00:00,601.79,606.58,599.59,603.98,1076197.0,24602.0,603.38288
TMO,2024-08-19 04:00:00+00:00,604.19,610.88,603.95,607.6,959411.0,24375.0,607.81349
TMO,2024-08-20 04:00:00+00:00,609.92,614.8,608.33,614.54,1075495.0,26798.0,612.706692
TMO,2024-08-21 04:00:00+00:00,615.0,618.12,609.0,610.17,965573.0,28480.0,612.250839
TMO,2024-08-22 04:00:00+00:00,613.17,613.7,602.0,603.86,1138403.0,24672.0,604.866788
TMO,2024-08-23 04:00:00+00:00,606.77,607.7,600.56,606.12,777265.0,22696.0,605.133873
TMO,2024-08-26 04:00:00+00:00,606.0,606.9099,602.25,605.59,519485.0,17961.0,605.202197
TMO,2024-08-27 04:00:00+00:00,605.6,610.98,602.0,610.4,737395.0,22639.0,608.439123
TMO,2024-08-28 04:00:00+00:00,610.25,618.0,609.21,613.14,790456.0,25483.0,613.15509
TMO,2024-08-29 04:00:00+00:00,614.43,616.55,609.66,611.68,722498.0,23765.0,612.726038
TMO,2024-08-30 04:00:00+00:00,616.11,618.0,605.0,615.07,1058979.0,27011.0,613.539804
TMO,2024-09-03 04:00:00+00:00,611.47,615.03,603.645,606.43,1282258.0,31615.0,607.345149
TMO,2024-09-04 04:00:00+00:00,605.66,612.67,604.23,611.9,1005979.0,26017.0,609.865817
TMO,2024-09-05 04:00:00+00:00,611.04,614.17,601.26,606.88,1467659.0,28758.0,606.495363
TMO,2024-09-06 04:00:00+00:00,607.49,619.7,607.49,611.33,1868789.0,31894.0,612.513413
TMO,2024-09-09 04:00:00+00:00,614.51,622.26,614.1,620.42,1443321.0,31028.0,619.730168
TMO,2024-09-10 04:00:00+00:00,620.62,627.88,618.25,624.21,1302892.0,31390.0,623.231371
TMO,2024-09-11 04:00:00+00:00,622.08,623.0,608.855,618.46,1324098.0,35687.0,615.351949
TMO,2024-09-12 04:00:00+00:00,615.71,619.31,604.18,614.16,1397629.0,32060.0,611.626614
TMO,2024-09-13 04:00:00+00:00,614.84,617.04,607.8107,611.17,1125097.0,28305.0,611.072744
TMO,2024-09-16 04:00:00+00:00,615.59,616.48,607.26,614.15,1198221.0,32480.0,613.329999
TMO,2024-09-17 04:00:00+00:00,613.18,616.58,607.0,610.49,1333012.0,30241.0,610.873124
TMO,2024-09-18 04:00:00+00:00,609.14,614.92,601.86,610.12,1092625.0,27879.0,609.713629
TMO,2024-09-19 04:00:00+00:00,617.61,623.75,611.81,620.25,1474247.0,32646.0,619.551447
TMO,2024-09-20 04:00:00+00:00,619.04,619.04,608.2,613.69,1983068.0,33193.0,614.502711
TMO,2024-09-23 04:00:00+00:00,615.64,616.41,607.8,610.35,883226.0,23285.0,610.435068
TMO,2024-09-24 04:00:00+00:00,611.21,613.96,607.815,611.88,1361146.0,26589.0,611.521911
TMO,2024-09-25 04:00:00+00:00,613.87,613.905,596.0,599.78,1282532.0,35883.0,600.295518
TMO,2024-09-26 04:00:00+00:00,604.56,620.54,604.56,619.33,1312919.0,38679.0,616.047234
TMO,2024-09-27 04:00:00+00:00,619.39,623.765,614.04,614.42,871044.0,26494.0,616.36382
TMO,2024-09-30 04:00:00+00:00,612.49,619.02,609.0301,618.57,1041296.0,24364.0,615.599102
TMO,2024-10-01 04:00:00+00:00,620.0,620.0,610.5701,612.94,1169248.0,24312.0,614.209482
TMO,2024-10-02 04:00:00+00:00,610.0,616.57,605.33,612.72,665365.0,21637.0,612.563114
TMO,2024-10-03 04:00:00+00:00,609.86,611.49,599.35,600.92,1258287.0,26890.0,602.264197
TMO,2024-10-04 04:00:00+00:00,602.63,603.99,596.53,598.61,871514.0,23833.0,598.894545
TMO,2024-10-07 04:00:00+00:00,592.32,599.295,592.32,598.85,1165872.0,22989.0,597.938904
TMO,2024-10-08 04:00:00+00:00,599.05,602.3,594.705,595.45,883538.0,23992.0,596.59423
TMO,2024-10-09 04:00:00+00:00,594.11,600.065,593.11,599.25,890916.0,21285.0,597.90765
TMO,2024-10-10 04:00:00+00:00,597.17,597.17,589.87,593.79,1221166.0,28028.0,593.435502
TMO,2024-10-11 04:00:00+00:00,595.64,602.41,594.31,596.92,2138162.0,31389.0,597.63461
TMO,2024-10-14 04:00:00+00:00,600.79,604.54,595.2327,603.79,1006424.0,27011.0,602.19753
TMO,2024-10-15 04:00:00+00:00,605.0,610.56,599.375,600.52,1290564.0,31583.0,602.842357
TMO,2024-10-16 04:00:00+00:00,590.27,596.8,587.27,591.55,1369297.0,37456.0,590.985255
TMO,2024-10-17 04:00:00+00:00,604.34,608.39,596.87,599.25,1946149.0,37510.0,602.010369
TMO,2024-10-18 04:00:00+00:00,600.03,604.39,595.56,601.71,1081607.0,24798.0,601.11182
TMO,2024-10-21 04:00:00+00:00,597.89,600.58,591.8205,595.37,914622.0,25018.0,595.167606
TMO,2024-10-22 04:00:00+00:00,587.49,591.2,584.16,586.38,1619551.0,34234.0,587.016726
TMO,2024-10-23 04:00:00+00:00,574.58,578.69,566.08,576.49,2058331.0,50412.0,572.621197
TMO,2024-10-24 04:00:00+00:00,572.36,574.83,557.26,557.38,1757565.0,42266.0,562.736376
TMO,2024-10-25 04:00:00+00:00,560.16,562.22,553.3058,554.38,1090373.0,31510.0,555.768504
TMO,2024-10-28 04:00:00+00:00,559.25,559.37,550.45,552.54,1116741.0,28934.0,553.983749
TMO,2024-10-29 04:00:00+00:00,550.96,553.61,547.25,547.77,1638339.0,31392.0,549.771813
TMO,2024-10-30 04:00:00+00:00,547.5,554.7419,546.75,550.62,1452184.0,30432.0,551.53356
TMO,2024-10-31 04:00:00+00:00,548.56,552.085,544.49,546.32,1472599.0,34786.0,548.027355
TMO,2024-11-01 04:00:00+00:00,550.0,564.87,547.29,557.92,1459815.0,39305.0,558.062927
TMO,2024-11-04 05:00:00+00:00,556.68,559.5585,550.15,555.47,815123.0,29782.0,554.799949
TMO,2024-11-05 05:00:00+00:00,550.41,561.78,550.24,560.79,998699.0,30557.0,559.341898
TMO,2024-11-06 05:00:00+00:00,570.2,570.2,549.2,559.68,1423148.0,41660.0,558.10389
TMO,2024-11-07 05:00:00+00:00,565.0,565.88,554.1973,555.89,1304090.0,34966.0,557.251451
TMO,2024-11-08 05:00:00+00:00,557.23,558.55,549.0,551.74,1620731.0,44125.0,552.558332
TMO,2024-11-11 05:00:00+00:00,549.08,553.93,545.07,546.92,1565850.0,37635.0,547.30315
TMO,2024-11-12 05:00:00+00:00,549.16,550.16,540.05,540.75,1724079.0,37430.0,543.303795
TMO,2024-11-13 05:00:00+00:00,540.0,544.8,538.0,541.9,1212172.0,29766.0,542.102936
TMO,2024-11-14 05:00:00+00:00,539.9,542.38,531.69,533.02,1765190.0,47200.0,535.270199
TMO,2024-11-15 05:00:00+00:00,529.4,529.4,511.7,513.08,3953053.0,81473.0,516.090408
TMO,2024-11-18 05:00:00+00:00,511.0,512.77,498.61,501.29,3164274.0,75035.0,502.498932
TMO,2024-11-19 05:00:00+00:00,496.19,511.3,493.3,509.12,3658663.0,69300.0,505.281149
TMO,2024-11-20 05:00:00+00:00,507.08,513.85,502.73,512.84,1533934.0,41818.0,511.114734
TMO,2024-11-21 05:00:00+00:00,514.12,516.22,507.46,516.1,1956777.0,47640.0,513.511033
TMO,2024-11-22 05:00:00+00:00,514.62,517.0,507.17,513.26,1833539.0,48373.0,513.780595
TMO,2024-11-25 05:00:00+00:00,512.3,516.34,509.36,514.2,3063549.0,64966.0,514.034933
TMO,2024-11-26 05:00:00+00:00,514.2,514.2,507.27,512.98,1748538.0,46841.0,511.181535
TMO,2024-11-27 05:00:00+00:00,515.41,528.86,514.975,521.66,2914199.0,56288.0,523.9437
TMO,2024-11-29 05:00:00+00:00,523.13,533.165,523.0,529.63,2108339.0,41984.0,530.059867
TMO,2024-12-02 05:00:00+00:00,528.7,534.84,526.6,529.95,2558569.0,52135.0,530.207604
TMO,2024-12-03 05:00:00+00:00,530.25,535.98,527.94,534.42,2665203.0,52333.0,532.59878
TMO,2024-12-04 05:00:00+00:00,532.55,536.53,524.84,528.87,2579756.0,41680.0,530.324373
TMO,2024-12-05 05:00:00+00:00,527.21,527.41,517.6778,520.86,2665270.0,46433.0,520.624268
TMO,2024-12-06 05:00:00+00:00,523.0,531.32,522.0,529.36,1869732.0,35196.0,529.304513
