symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TXN,2024-03-13 04:00:00+00:00,173.89,174.29,171.205,172.68,5199464.0,81232.0,172.597082
TXN,2024-03-14 04:00:00+00:00,173.31,173.63,169.8,171.14,5028425.0,78600.0,171.249092
TXN,2024-03-15 04:00:00+00:00,169.6,173.025,168.69,172.52,19078800.0,114373.0,171.721437
TXN,2024-03-18 04:00:00+00:00,174.54,174.79,169.06,169.21,5213780.0,74623.0,170.336673
TXN,2024-03-19 04:00:00+00:00,167.68,168.31,165.98,166.76,5640195.0,84005.0,166.894743
TXN,2024-03-20 04:00:00+00:00,167.08,170.139,166.27,169.98,4404623.0,65437.0,168.574068
TXN,2024-03-21 04:00:00+00:00,172.83,174.79,171.72,172.59,4371638.0,77900.0,173.070834
TXN,2024-03-22 04:00:00+00:00,171.73,173.73,171.26,172.48,4177222.0,49777.0,172.528109
TXN,2024-03-25 04:00:00+00:00,170.83,172.33,170.61,170.85,3298599.0,50883.0,171.18237
TXN,2024-03-26 04:00:00+00:00,171.44,171.86,167.51,167.91,5898325.0,73155.0,168.500522
TXN,2024-03-27 04:00:00+00:00,169.0,172.92,168.83,172.87,4272356.0,64101.0,171.537392
TXN,2024-03-28 04:00:00+00:00,173.475,175.85,173.33,174.21,4417751.0,62206.0,174.285526
TXN,2024-04-01 04:00:00+00:00,174.12,175.91,172.855,173.17,2303229.0,51633.0,173.557353
TXN,2024-04-02 04:00:00+00:00,172.35,172.35,169.601,170.36,3304454.0,61408.0,170.53307
TXN,2024-04-03 04:00:00+00:00,169.58,170.89,167.89,170.34,3295848.0,60251.0,170.083413
TXN,2024-04-04 04:00:00+00:00,171.77,173.0,168.1,168.53,7491331.0,84260.0,170.222654
TXN,2024-04-05 04:00:00+00:00,168.57,169.25,167.14,167.5,5012314.0,83945.0,167.82287
TXN,2024-04-08 04:00:00+00:00,167.61,170.29,167.26,169.46,3154031.0,55072.0,169.35416
TXN,2024-04-09 04:00:00+00:00,171.0,173.52,170.13,173.46,4830902.0,63839.0,172.482817
TXN,2024-04-10 04:00:00+00:00,169.87,170.405,167.9,168.92,5662835.0,84592.0,169.006175
TXN,2024-04-11 04:00:00+00:00,169.9,171.85,168.125,171.2,4352053.0,69351.0,170.590003
TXN,2024-04-12 04:00:00+00:00,168.42,169.43,165.77,166.33,5473385.0,83061.0,166.758765
TXN,2024-04-15 04:00:00+00:00,168.29,169.34,165.32,166.35,4739475.0,76315.0,167.006473
TXN,2024-04-16 04:00:00+00:00,167.48,168.52,166.82,167.59,3389021.0,66657.0,167.670358
TXN,2024-04-17 04:00:00+00:00,168.38,168.98,165.5,165.7,4565125.0,80919.0,166.246494
TXN,2024-04-18 04:00:00+00:00,163.68,164.68,161.55,163.67,5605636.0,93562.0,163.727009
TXN,2024-04-19 04:00:00+00:00,163.08,164.42,159.11,159.68,10497553.0,109350.0,160.635817
