symbol,timestamp,open,high,low,close,volume,trade_count,vwap
T,2024-03-13 04:00:00+00:00,17.27,17.435,17.13,17.19,32339759.0,104997.0,17.239369
T,2024-03-14 04:00:00+00:00,17.15,17.17,16.83,17.01,37237659.0,114923.0,16.951894
T,2024-03-15 04:00:00+00:00,16.89,17.14,16.885,17.05,93104732.0,118569.0,17.039281
T,2024-03-18 04:00:00+00:00,17.1,17.32,16.93,17.3,35176970.0,105446.0,17.189929
T,2024-03-19 04:00:00+00:00,17.3,17.315,17.155,17.17,26144590.0,79360.0,17.221266
T,2024-03-20 04:00:00+00:00,17.12,17.31,17.08,17.21,28961656.0,84938.0,17.197183
T,2024-03-21 04:00:00+00:00,17.19,17.2699,17.06,17.16,34446667.0,99825.0,17.172758
T,2024-03-22 04:00:00+00:00,17.19,17.2,16.98,16.98,26169942.0,89981.0,17.038286
T,2024-03-25 04:00:00+00:00,17.035,17.13,16.965,17.12,30944596.0,90715.0,17.059706
T,2024-03-26 04:00:00+00:00,17.13,17.28,17.045,17.18,33048622.0,89958.0,17.199571
T,2024-03-27 04:00:00+00:00,17.29,17.59,17.29,17.55,37488391.0,112171.0,17.491225
T,2024-03-28 04:00:00+00:00,17.55,17.7,17.52,17.6,33461501.0,96975.0,17.608766
T,2024-04-01 04:00:00+00:00,17.19,17.535,17.15,17.5,31980058.0,122851.0,17.378334
T,2024-04-02 04:00:00+00:00,17.48,17.695,17.48,17.52,40169511.0,102009.0,17.557293
T,2024-04-03 04:00:00+00:00,17.59,17.71,17.49,17.61,38155914.0,107304.0,17.566746
T,2024-04-04 04:00:00+00:00,17.62,17.88,17.56,17.57,31850269.0,103323.0,17.692266
T,2024-04-05 04:00:00+00:00,17.52,17.54,17.28,17.42,37768986.0,102182.0,17.44123
T,2024-04-08 04:00:00+00:00,17.4,17.46,17.215,17.25,27372186.0,92806.0,17.340472
T,2024-04-09 04:00:00+00:00,17.0,17.08,16.81,16.9,32802499.0,104996.0,16.904116
T,2024-04-10 04:00:00+00:00,16.77,16.79,16.51,16.73,39046811.0,131500.0,16.656878
T,2024-04-11 04:00:00+00:00,16.67,16.695,16.42,16.42,40831195.0,124822.0,16.483895
T,2024-04-12 04:00:00+00:00,16.41,16.46,16.2525,16.31,41768145.0,112234.0,16.349092
T,2024-04-15 04:00:00+00:00,16.46,16.54,16.13,16.24,40249909.0,124643.0,16.282119
T,2024-04-16 04:00:00+00:00,16.22,16.23,15.9401,16.09,56368796.0,126329.0,16.055681
T,2024-04-17 04:00:00+00:00,16.11,16.25,16.06,16.12,27177523.0,108441.0,16.128652
T,2024-04-18 04:00:00+00:00,16.11,16.345,16.09,16.33,29566457.0,98346.0,16.220395
T,2024-04-19 04:00:00+00:00,16.33,16.525,16.26,16.51,45820353.0,122718.0,16.403006
T,2024-04-22 04:00:00+00:00,16.69,16.73,16.17,16.31,54178101.0,157269.0,16.321633
T,2024-04-23 04:00:00+00:00,16.38,16.53,16.29,16.5,47804980.0,125453.0,16.46028
T,2024-04-24 04:00:00+00:00,16.9,17.03,16.38,16.81,74197830.0,219555.0,16.714031
T,2024-04-25 04:00:00+00:00,16.7,17.0,16.5,16.58,46680422.0,131627.0,16.61317
T,2024-04-26 04:00:00+00:00,16.47,16.88,16.39,16.75,37852681.0,99256.0,16.754207
