symbol,timestamp,open,high,low,close,volume,trade_count,vwap
USB,2024-03-13 04:00:00+00:00,43.225,44.07,43.225,43.47,5756787.0,55395.0,43.567029
USB,2024-03-14 04:00:00+00:00,43.09,43.55,42.09,42.35,7461148.0,64818.0,42.473441
USB,2024-03-15 04:00:00+00:00,41.93,42.78,41.93,42.08,32597116.0,72103.0,42.139399
USB,2024-03-18 04:00:00+00:00,42.47,42.49,41.69,42.47,8168227.0,59608.0,42.247811
USB,2024-03-19 04:00:00+00:00,42.4,42.6539,42.09,42.22,6080345.0,49904.0,42.309448
USB,2024-03-20 04:00:00+00:00,41.92,43.675,41.89,43.46,7998433.0,63000.0,43.035431
USB,2024-03-21 04:00:00+00:00,43.75,44.74,43.7,44.45,8572337.0,69515.0,44.385697
USB,2024-03-22 04:00:00+00:00,44.93,45.04,43.58,43.59,6700250.0,59048.0,43.869204
USB,2024-03-25 04:00:00+00:00,43.75,44.3,43.46,43.55,6424563.0,46650.0,43.688958
USB,2024-03-26 04:00:00+00:00,44.0,44.0,43.47,43.53,5267546.0,45304.0,43.629277
USB,2024-03-27 04:00:00+00:00,43.3,44.02,43.26,44.0,6167325.0,56018.0,43.68363
USB,2024-03-28 04:00:00+00:00,44.42,44.91,44.3,44.7,7595162.0,60299.0,44.668775
USB,2024-04-01 04:00:00+00:00,44.58,44.75,43.885,43.95,4824901.0,48055.0,44.047311
USB,2024-04-02 04:00:00+00:00,43.69,43.95,43.12,43.23,6462179.0,59170.0,43.38327
USB,2024-04-03 04:00:00+00:00,43.23,43.77,43.01,43.11,5866409.0,54181.0,43.299624
USB,2024-04-04 04:00:00+00:00,43.57,44.03,42.725,42.92,6491396.0,64863.0,43.341409
USB,2024-04-05 04:00:00+00:00,42.75,43.295,42.66,43.03,4580870.0,52137.0,43.020689
USB,2024-04-08 04:00:00+00:00,43.29,44.005,43.06,43.72,6159473.0,53449.0,43.714843
USB,2024-04-09 04:00:00+00:00,43.82,44.02,43.41,43.94,5701781.0,55933.0,43.807271
USB,2024-04-10 04:00:00+00:00,43.01,43.04,41.865,42.03,7584437.0,82736.0,42.223407
USB,2024-04-11 04:00:00+00:00,42.2,42.2,41.205,41.92,6829702.0,67354.0,41.798331
USB,2024-04-12 04:00:00+00:00,41.21,41.725,41.18,41.58,6741942.0,71636.0,41.487567
USB,2024-04-15 04:00:00+00:00,42.06,42.835,41.095,41.44,10232875.0,93379.0,41.571537
USB,2024-04-16 04:00:00+00:00,41.25,41.27,40.39,41.0,9549837.0,104824.0,40.888972
USB,2024-04-17 04:00:00+00:00,39.5,39.97,38.79,39.52,14178495.0,134537.0,39.386381
USB,2024-04-18 04:00:00+00:00,39.41,40.15,39.19,39.44,9878744.0,81888.0,39.56157
USB,2024-04-19 04:00:00+00:00,39.46,40.46,39.41,40.45,12061759.0,98564.0,40.07356
USB,2024-04-22 04:00:00+00:00,40.68,41.37,40.24,41.05,8630700.0,77346.0,40.948182
USB,2024-04-23 04:00:00+00:00,41.13,41.26,40.81,40.97,7079873.0,72068.0,41.056692
USB,2024-04-24 04:00:00+00:00,40.53,41.725,40.43,41.61,6550280.0,63787.0,41.428786
USB,2024-04-25 04:00:00+00:00,41.34,41.74,40.38,40.99,6602398.0,55143.0,40.935998
USB,2024-04-26 04:00:00+00:00,41.0,41.55,40.86,41.12,4512229.0,45174.0,41.253159
USB,2024-04-29 04:00:00+00:00,41.22,41.505,41.08,41.29,4649576.0,40691.0,41.297914
USB,2024-04-30 04:00:00+00:00,41.05,41.26,40.58,40.63,8861762.0,60069.0,40.75748
USB,2024-05-01 04:00:00+00:00,40.59,41.81,40.525,41.05,6359441.0,66749.0,41.035095
USB,2024-05-02 04:00:00+00:00,41.61,41.68,40.6,40.97,6760682.0,59512.0,40.898955
USB,2024-05-03 04:00:00+00:00,41.55,41.83,41.24,41.41,5091249.0,52885.0,41.438648
USB,2024-05-06 04:00:00+00:00,41.76,41.935,41.42,41.82,6430201.0,51704.0,41.779005
USB,2024-05-07 04:00:00+00:00,42.0,42.075,41.405,41.58,8732220.0,61477.0,41.651252
USB,2024-05-08 04:00:00+00:00,41.23,41.79,41.06,41.69,8906049.0,58998.0,41.493907
USB,2024-05-09 04:00:00+00:00,41.51,41.87,41.26,41.54,6414433.0,52183.0,41.591408
USB,2024-05-10 04:00:00+00:00,41.7,41.91,41.61,41.85,4867542.0,46551.0,41.797483
USB,2024-05-13 04:00:00+00:00,42.0,42.23,41.49,41.49,4846470.0,47176.0,41.738725
USB,2024-05-14 04:00:00+00:00,41.65,42.29,41.63,41.95,5627923.0,50417.0,41.994309
USB,2024-05-15 04:00:00+00:00,42.46,42.61,41.95,42.22,7752812.0,56761.0,42.160939
USB,2024-05-16 04:00:00+00:00,42.07,42.26,41.585,41.65,9488666.0,60221.0,41.793164
USB,2024-05-17 04:00:00+00:00,41.96,41.96,41.305,41.43,11360579.0,78563.0,41.505187
USB,2024-05-20 04:00:00+00:00,41.43,41.64,40.85,40.89,9935503.0,65899.0,41.237046
USB,2024-05-21 04:00:00+00:00,40.88,41.22,40.83,41.18,6315239.0,51484.0,41.083682
USB,2024-05-22 04:00:00+00:00,40.82,41.23,40.6,40.77,5801976.0,51757.0,40.858218
USB,2024-05-23 04:00:00+00:00,40.8,40.85,39.755,40.02,7452459.0,66666.0,40.125096
USB,2024-05-24 04:00:00+00:00,40.15,40.54,40.04,40.53,6156240.0,39127.0,40.4056
USB,2024-05-28 04:00:00+00:00,40.61,40.71,39.645,39.77,7657183.0,58544.0,39.984779
USB,2024-05-29 04:00:00+00:00,39.16,39.16,38.64,39.04,6229616.0,64570.0,38.959626
USB,2024-05-30 04:00:00+00:00,39.4,39.55,38.76,39.38,6229241.0,58711.0,39.271613
USB,2024-05-31 04:00:00+00:00,39.65,40.6,39.53,40.55,9153504.0,61897.0,40.210251
USB,2024-06-03 04:00:00+00:00,40.76,40.8,39.3101,39.73,6361835.0,68247.0,39.824716
USB,2024-06-04 04:00:00+00:00,39.35,39.87,38.9,38.96,9953444.0,65123.0,39.112095
USB,2024-06-05 04:00:00+00:00,39.07,39.105,38.32,39.08,12487854.0,90467.0,38.748844
USB,2024-06-06 04:00:00+00:00,39.08,39.36,38.75,39.02,6331972.0,57489.0,39.013816
USB,2024-06-07 04:00:00+00:00,38.71,39.365,38.7,39.02,8218147.0,53724.0,39.096332
USB,2024-06-10 04:00:00+00:00,38.65,39.075,38.295,38.75,10632713.0,63218.0,38.781921
USB,2024-06-11 04:00:00+00:00,38.69,38.82,37.81,38.45,12501128.0,76045.0,38.242853
USB,2024-06-12 04:00:00+00:00,39.61,40.11,39.13,39.28,10299912.0,77870.0,39.629356
USB,2024-06-13 04:00:00+00:00,39.18,39.5,38.74,39.26,5935945.0,49071.0,39.240348
USB,2024-06-14 04:00:00+00:00,38.76,39.09,38.47,38.83,5121887.0,46393.0,38.781952
USB,2024-06-17 04:00:00+00:00,38.7,39.14,38.48,39.09,5697648.0,52605.0,38.880269
USB,2024-06-18 04:00:00+00:00,39.0,39.41,38.86,39.29,6308932.0,52305.0,39.22115
USB,2024-06-20 04:00:00+00:00,39.11,39.34,38.8695,39.28,6710904.0,52577.0,39.196707
USB,2024-06-21 04:00:00+00:00,39.05,39.855,38.715,39.7,16343812.0,76486.0,39.474945
USB,2024-06-24 04:00:00+00:00,39.89,40.82,39.71,40.55,9549170.0,63489.0,40.454751
USB,2024-06-25 04:00:00+00:00,40.38,40.59,39.675,40.02,6901040.0,54236.0,40.010749
USB,2024-06-26 04:00:00+00:00,39.71,40.01,39.355,39.71,7854730.0,57853.0,39.633748
USB,2024-06-27 04:00:00+00:00,39.22,39.705,38.87,39.68,6874531.0,54733.0,39.538791
USB,2024-06-28 04:00:00+00:00,39.54,40.08,39.3203,39.7,12114286.0,74801.0,39.663811
USB,2024-07-01 04:00:00+00:00,39.81,39.95,39.065,39.24,8068949.0,63306.0,39.331275
USB,2024-07-02 04:00:00+00:00,39.13,40.055,39.05,39.97,9381412.0,60922.0,39.709947
USB,2024-07-03 04:00:00+00:00,39.98,40.28,39.51,39.51,3715540.0,31735.0,39.752234
USB,2024-07-05 04:00:00+00:00,39.52,39.555,38.89,39.04,5656021.0,47091.0,39.069301
USB,2024-07-08 04:00:00+00:00,39.15,39.52,39.05,39.46,5295023.0,39341.0,39.331668
USB,2024-07-09 04:00:00+00:00,39.18,40.06,39.07,39.87,8003050.0,48540.0,39.759087
USB,2024-07-10 04:00:00+00:00,40.0,40.83,39.81,40.8,9598555.0,53954.0,40.365942
USB,2024-07-11 04:00:00+00:00,41.23,42.11,41.1685,41.93,9239953.0,80293.0,41.848282
USB,2024-07-12 04:00:00+00:00,41.98,42.45,41.66,42.1,8322179.0,69153.0,42.121566
USB,2024-07-15 04:00:00+00:00,42.6,42.93,42.315,42.35,10435604.0,73294.0,42.538024
USB,2024-07-16 04:00:00+00:00,42.58,43.435,42.35,43.29,12869845.0,98772.0,43.173216
USB,2024-07-17 04:00:00+00:00,43.98,45.66,43.8,45.26,21306511.0,156838.0,45.160126
USB,2024-07-18 04:00:00+00:00,44.79,45.63,44.37,44.41,17219339.0,102735.0,44.829835
USB,2024-07-19 04:00:00+00:00,44.74,44.965,44.26,44.76,11842312.0,86657.0,44.676758
USB,2024-07-22 04:00:00+00:00,44.63,45.22,43.955,45.04,12327711.0,76592.0,44.870326
USB,2024-07-23 04:00:00+00:00,44.84,45.68,44.68,45.55,8131502.0,66514.0,45.414534
USB,2024-07-24 04:00:00+00:00,45.59,45.84,44.705,44.77,8059350.0,75227.0,45.192619
USB,2024-07-25 04:00:00+00:00,44.77,45.72,44.6,45.09,9489867.0,77616.0,45.264335
USB,2024-07-26 04:00:00+00:00,45.19,45.66,45.06,45.46,5681656.0,53135.0,45.406175
USB,2024-07-29 04:00:00+00:00,45.6,45.6886,45.13,45.37,5011194.0,52953.0,45.39092
USB,2024-07-30 04:00:00+00:00,45.58,45.88,45.22,45.47,8211067.0,62164.0,45.49975
USB,2024-07-31 04:00:00+00:00,45.51,45.55,44.755,44.88,8859261.0,70859.0,45.102659
USB,2024-08-01 04:00:00+00:00,44.92,44.92,43.315,43.48,11219506.0,83898.0,43.692471
USB,2024-08-02 04:00:00+00:00,42.66,42.745,41.96,42.35,8485453.0,78683.0,42.310247
USB,2024-08-05 04:00:00+00:00,41.13,41.395,40.41,40.8,10994166.0,104389.0,40.878918
USB,2024-08-06 04:00:00+00:00,40.74,42.06,40.52,41.67,9184784.0,77011.0,41.611079
USB,2024-08-07 04:00:00+00:00,42.39,42.74,41.33,41.39,6840966.0,62036.0,41.753645
USB,2024-08-08 04:00:00+00:00,41.79,42.2,41.54,41.76,6364461.0,57702.0,41.764441
USB,2024-08-09 04:00:00+00:00,41.61,42.14,41.61,42.07,6486583.0,52765.0,41.952637
USB,2024-08-12 04:00:00+00:00,42.24,42.65,41.32,41.47,7620138.0,52815.0,41.652394
USB,2024-08-13 04:00:00+00:00,41.82,42.42,41.43,42.4,7457301.0,53559.0,42.151126
USB,2024-08-14 04:00:00+00:00,42.44,42.49,42.05,42.34,8036182.0,48473.0,42.288833
USB,2024-08-15 04:00:00+00:00,43.05,43.305,42.72,42.81,6512747.0,50568.0,42.978101
USB,2024-08-16 04:00:00+00:00,42.81,43.33,42.81,43.19,5369520.0,40994.0,43.119366
USB,2024-08-19 04:00:00+00:00,43.25,43.67,43.25,43.66,4575384.0,40629.0,43.550278
USB,2024-08-20 04:00:00+00:00,43.48,43.95,43.39,43.74,6587396.0,46649.0,43.749145
USB,2024-08-21 04:00:00+00:00,43.85,43.99,43.28,43.7,4262070.0,37499.0,43.571025
USB,2024-08-22 04:00:00+00:00,43.69,44.23,43.69,44.19,4836952.0,45759.0,44.059421
USB,2024-08-23 04:00:00+00:00,44.51,45.6,44.34,45.39,5094524.0,44892.0,45.207338
USB,2024-08-26 04:00:00+00:00,45.75,45.83,45.42,45.62,5849856.0,51329.0,45.624541
USB,2024-08-27 04:00:00+00:00,45.595,45.78,45.4539,45.73,5458069.0,44337.0,45.660729
USB,2024-08-28 04:00:00+00:00,45.57,46.385,45.57,46.13,6213881.0,50136.0,46.086731
USB,2024-08-29 04:00:00+00:00,46.37,46.77,45.51,46.53,7064745.0,67690.0,46.445511
USB,2024-08-30 04:00:00+00:00,46.67,47.31,46.6,47.23,14262639.0,68306.0,47.057705
USB,2024-09-03 04:00:00+00:00,47.275,47.31,46.205,46.39,7980339.0,63442.0,46.631025
USB,2024-09-04 04:00:00+00:00,46.35,46.805,45.89,46.06,5999587.0,52419.0,46.239806
USB,2024-09-05 04:00:00+00:00,46.54,46.54,45.4247,45.54,5971435.0,55233.0,45.676596
USB,2024-09-06 04:00:00+00:00,45.61,45.9399,44.33,44.49,7635419.0,63605.0,44.742418
USB,2024-09-09 04:00:00+00:00,44.93,45.44,44.77,45.26,7146205.0,56275.0,45.249134
USB,2024-09-10 04:00:00+00:00,45.4,45.4,44.02,45.03,7000614.0,65528.0,44.65056
USB,2024-09-11 04:00:00+00:00,44.64,44.8,43.58,44.75,8448605.0,76917.0,44.320142
USB,2024-09-12 04:00:00+00:00,45.38,45.97,43.49,43.85,14746806.0,130260.0,44.244363
USB,2024-09-13 04:00:00+00:00,44.16,44.74,44.11,44.62,8757263.0,72368.0,44.498695
USB,2024-09-16 04:00:00+00:00,44.85,45.13,44.32,44.69,9524595.0,64491.0,44.655145
USB,2024-09-17 04:00:00+00:00,44.975,45.28,44.53,44.68,6286775.0,60599.0,44.836679
USB,2024-09-18 04:00:00+00:00,44.74,45.805,44.61,45.18,11035302.0,88591.0,45.207754
USB,2024-09-19 04:00:00+00:00,46.28,46.62,45.6,46.47,9002051.0,77699.0,46.325262
USB,2024-09-20 04:00:00+00:00,46.29,46.37,45.84,46.01,11026226.0,51808.0,46.04954
USB,2024-09-23 04:00:00+00:00,46.14,46.3,45.76,45.86,5205595.0,39658.0,45.90873
USB,2024-09-24 04:00:00+00:00,45.86,45.98,45.28,45.64,6197586.0,46336.0,45.605174
USB,2024-09-25 04:00:00+00:00,45.68,45.68,44.7,44.75,6848363.0,44573.0,44.883342
USB,2024-09-26 04:00:00+00:00,45.03,45.43,44.24,45.3,9679445.0,73408.0,45.145208
USB,2024-09-27 04:00:00+00:00,45.52,45.95,45.22,45.48,6884719.0,52757.0,45.563636
USB,2024-09-30 04:00:00+00:00,45.27,45.78,44.865,45.73,7028335.0,62493.0,45.53863
USB,2024-10-01 04:00:00+00:00,45.38,45.4212,44.32,44.46,6273022.0,60878.0,44.617924
USB,2024-10-02 04:00:00+00:00,44.47,44.91,44.014,44.25,6114298.0,50529.0,44.316113
USB,2024-10-03 04:00:00+00:00,44.04,44.105,43.44,43.98,4513231.0,49562.0,43.881237
