symbol,timestamp,open,high,low,close,volume,trade_count,vwap
VZ,2024-03-13 04:00:00+00:00,40.29,40.5,40.06,40.26,13751846.0,81213.0,40.27083
VZ,2024-03-14 04:00:00+00:00,40.0,40.06,39.44,39.77,17475441.0,109302.0,39.647076
VZ,2024-03-15 04:00:00+00:00,39.6,39.93,39.14,39.49,54893854.0,124060.0,39.514813
VZ,2024-03-18 04:00:00+00:00,39.48,39.96,39.26,39.93,16200777.0,81536.0,39.73663
VZ,2024-03-19 04:00:00+00:00,39.88,40.045,39.805,39.97,15226876.0,77645.0,39.9458
VZ,2024-03-20 04:00:00+00:00,39.96,40.27,39.8,40.12,15198777.0,77205.0,40.050119
VZ,2024-03-21 04:00:00+00:00,40.12,40.59,39.98,40.54,21868344.0,86435.0,40.447275
VZ,2024-03-22 04:00:00+00:00,40.74,40.81,40.01,40.37,17816449.0,90895.0,40.336984
VZ,2024-03-25 04:00:00+00:00,40.53,40.88,40.48,40.87,14587174.0,84581.0,40.748455
VZ,2024-03-26 04:00:00+00:00,40.83,40.9975,40.71,40.85,17854062.0,78049.0,40.869778
VZ,2024-03-27 04:00:00+00:00,41.1,41.78,41.1,41.54,19260122.0,104980.0,41.512729
VZ,2024-03-28 04:00:00+00:00,41.64,42.15,41.63,41.96,19771402.0,93481.0,41.948942
VZ,2024-04-01 04:00:00+00:00,41.99,42.34,41.525,42.28,15031569.0,94183.0,42.038194
VZ,2024-04-02 04:00:00+00:00,42.3,42.675,42.26,42.54,17260824.0,102843.0,42.449846
VZ,2024-04-03 04:00:00+00:00,42.58,42.9,42.53,42.84,18211835.0,94901.0,42.756961
VZ,2024-04-04 04:00:00+00:00,42.99,43.42,42.44,42.45,16461398.0,102649.0,42.827923
VZ,2024-04-05 04:00:00+00:00,42.25,42.435,41.61,42.12,14338679.0,96088.0,42.100936
VZ,2024-04-08 04:00:00+00:00,42.12,42.15,41.71,41.73,14457769.0,89787.0,41.888642
VZ,2024-04-09 04:00:00+00:00,41.06,41.18,40.54,40.84,17226953.0,94505.0,40.771038
VZ,2024-04-10 04:00:00+00:00,40.61,40.66,39.96,40.52,17900359.0,120824.0,40.434738
VZ,2024-04-11 04:00:00+00:00,40.45,40.47,40.09,40.16,14782159.0,85566.0,40.240305
VZ,2024-04-12 04:00:00+00:00,40.18,40.26,39.68,39.72,21549351.0,102992.0,39.864043
VZ,2024-04-15 04:00:00+00:00,40.11,40.35,39.85,40.11,16442814.0,105456.0,40.069394
VZ,2024-04-16 04:00:00+00:00,40.11,40.14,39.57,39.77,14016776.0,96069.0,39.790203
VZ,2024-04-17 04:00:00+00:00,39.85,39.975,39.4615,39.78,21009242.0,100444.0,39.726171
VZ,2024-04-18 04:00:00+00:00,39.85,40.17,39.71,40.13,20173746.0,105105.0,39.967719
VZ,2024-04-19 04:00:00+00:00,40.0,40.675,39.98,40.49,24706520.0,116537.0,40.406217
VZ,2024-04-22 04:00:00+00:00,41.4,41.64,38.56,38.6,51243224.0,259557.0,39.125767
VZ,2024-04-23 04:00:00+00:00,38.91,39.995,38.68,39.7,25972819.0,141938.0,39.688733
VZ,2024-04-24 04:00:00+00:00,39.5,39.66,38.935,39.49,15946635.0,100206.0,39.351738
VZ,2024-04-25 04:00:00+00:00,39.29,39.82,38.96,39.22,16837678.0,93882.0,39.239635
VZ,2024-04-26 04:00:00+00:00,39.06,39.955,38.895,39.68,18246244.0,86571.0,39.70055
VZ,2024-04-29 04:00:00+00:00,39.9,40.82,39.87,40.09,19840961.0,108214.0,40.294632
VZ,2024-04-30 04:00:00+00:00,39.91,39.92,39.44,39.49,20222168.0,89491.0,39.573539
VZ,2024-05-01 04:00:00+00:00,39.33,39.655,39.13,39.2,17760286.0,113358.0,39.354313
VZ,2024-05-02 04:00:00+00:00,39.32,39.48,38.75,38.93,17394935.0,99446.0,38.949341
VZ,2024-05-03 04:00:00+00:00,39.05,39.195,38.75,38.89,13195563.0,89403.0,38.86449
VZ,2024-05-06 04:00:00+00:00,39.12,39.35,39.06,39.33,13348833.0,69719.0,39.247654
VZ,2024-05-07 04:00:00+00:00,39.53,39.58,39.09,39.31,11935174.0,80592.0,39.283135
VZ,2024-05-08 04:00:00+00:00,39.24,39.57,39.1,39.48,10437950.0,74875.0,39.403499
VZ,2024-05-09 04:00:00+00:00,39.51,39.83,39.3801,39.79,12881043.0,64815.0,39.688027
VZ,2024-05-10 04:00:00+00:00,39.81,40.425,39.71,40.4,16888467.0,85820.0,40.200898
