symbol,timestamp,open,high,low,close,volume,trade_count,vwap
V,2024-03-13 04:00:00+00:00,284.66,286.1,283.82,285.14,5783867.0,81367.0,285.106843
V,2024-03-14 04:00:00+00:00,288.96,289.0405,284.55,286.41,5484511.0,95792.0,286.399266
V,2024-03-15 04:00:00+00:00,283.55,285.63,282.64,283.04,9845181.0,93324.0,283.355693
V,2024-03-18 04:00:00+00:00,283.87,286.23,283.25,285.05,4095632.0,72597.0,285.264197
V,2024-03-19 04:00:00+00:00,286.66,288.06,285.25,287.35,6595183.0,69786.0,286.875811
V,2024-03-20 04:00:00+00:00,287.64,289.87,286.72,289.28,6104955.0,72637.0,288.691461
V,2024-03-21 04:00:00+00:00,289.97,290.96,287.9,290.37,5057559.0,81624.0,290.139016
V,2024-03-22 04:00:00+00:00,290.0,290.49,282.89,283.26,8744121.0,110200.0,284.289205
V,2024-03-25 04:00:00+00:00,283.01,283.5,280.04,281.21,8519433.0,84204.0,281.225606
V,2024-03-26 04:00:00+00:00,284.13,284.13,278.41,280.6,8752364.0,90231.0,280.898611
V,2024-03-27 04:00:00+00:00,280.25,281.25,276.98,279.02,5190674.0,96271.0,278.670365
V,2024-03-28 04:00:00+00:00,278.49,279.8,277.12,279.08,5844358.0,80042.0,278.883365
V,2024-04-01 04:00:00+00:00,280.36,280.89,276.79,278.28,5083986.0,82200.0,278.149359
V,2024-04-02 04:00:00+00:00,278.0,279.33,276.98,278.44,6912306.0,93025.0,278.359589
V,2024-04-03 04:00:00+00:00,280.48,280.48,276.56,276.96,4536847.0,72833.0,277.689047
V,2024-04-04 04:00:00+00:00,278.36,279.085,273.56,274.0,4018551.0,81423.0,275.814982
V,2024-04-05 04:00:00+00:00,276.1,277.957,275.03,277.14,4392050.0,79353.0,276.884424
V,2024-04-08 04:00:00+00:00,276.25,277.98,275.15,277.76,5542428.0,72587.0,277.466637
V,2024-04-09 04:00:00+00:00,277.63,278.0,273.32,276.72,7314306.0,82364.0,276.239769
V,2024-04-10 04:00:00+00:00,275.42,276.82,274.12,274.48,5276012.0,72065.0,274.775241
V,2024-04-11 04:00:00+00:00,274.0,276.48,272.18,275.68,8102293.0,86750.0,275.352847
V,2024-04-12 04:00:00+00:00,275.55,277.0,274.055,275.96,9037968.0,98235.0,275.846676
V,2024-04-15 04:00:00+00:00,277.89,277.91,270.34,271.28,10267489.0,95446.0,272.151538
V,2024-04-16 04:00:00+00:00,270.54,274.13,270.17,271.35,8237131.0,77946.0,271.953227
V,2024-04-17 04:00:00+00:00,273.3,274.0,271.5,272.69,5940897.0,79787.0,272.738723
V,2024-04-18 04:00:00+00:00,272.57,273.15,269.86,271.37,8231849.0,74609.0,271.401423
V,2024-04-19 04:00:00+00:00,271.47,272.0,268.29,269.78,7905368.0,99551.0,269.896309
V,2024-04-22 04:00:00+00:00,270.95,273.76,269.36,272.33,6463742.0,85629.0,272.019739
V,2024-04-23 04:00:00+00:00,274.01,274.89,272.71,274.11,6438002.0,118139.0,273.999748
V,2024-04-24 04:00:00+00:00,282.57,283.0,274.49,275.02,8807157.0,136308.0,276.898919
V,2024-04-25 04:00:00+00:00,272.97,276.22,270.49,275.16,8064621.0,95953.0,274.576029
