symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WFC,2024-03-13 04:00:00+00:00,57.62,58.44,57.62,57.82,17444934.0,126115.0,57.993964
WFC,2024-03-14 04:00:00+00:00,57.87,58.125,57.12,57.37,24851140.0,164914.0,57.485047
WFC,2024-03-15 04:00:00+00:00,56.86,58.3,56.86,57.51,40782798.0,146689.0,57.596686
WFC,2024-03-18 04:00:00+00:00,57.6,57.83,57.11,57.77,16376548.0,100288.0,57.586267
WFC,2024-03-19 04:00:00+00:00,57.645,57.94,56.92,57.01,14504755.0,106732.0,57.307433
WFC,2024-03-20 04:00:00+00:00,56.62,57.51,56.28,57.3,22841550.0,155250.0,56.975893
WFC,2024-03-21 04:00:00+00:00,57.59,58.115,57.45,57.85,18141700.0,118578.0,57.829691
WFC,2024-03-22 04:00:00+00:00,57.81,58.015,57.12,57.13,13736607.0,86302.0,57.347482
WFC,2024-03-25 04:00:00+00:00,57.075,57.33,56.37,56.73,15028154.0,90332.0,56.777434
WFC,2024-03-26 04:00:00+00:00,57.14,57.15,56.59,56.68,11445879.0,77580.0,56.78676
WFC,2024-03-27 04:00:00+00:00,56.38,57.64,56.38,57.61,13762768.0,98505.0,57.159317
WFC,2024-03-28 04:00:00+00:00,57.66,58.075,57.56,57.96,14618982.0,94982.0,57.939963
WFC,2024-04-01 04:00:00+00:00,57.88,57.88,57.26,57.61,11039467.0,89971.0,57.592831
WFC,2024-04-02 04:00:00+00:00,57.36,58.0,57.19,57.35,14632878.0,108255.0,57.483122
WFC,2024-04-03 04:00:00+00:00,57.2,57.96,56.85,57.13,13226477.0,110122.0,57.291409
WFC,2024-04-04 04:00:00+00:00,57.73,58.0,56.54,56.68,12361915.0,106603.0,57.248406
WFC,2024-04-05 04:00:00+00:00,56.63,57.62,56.57,57.4,11080968.0,94011.0,57.237856
WFC,2024-04-08 04:00:00+00:00,57.375,57.98,57.31,57.79,15308824.0,107406.0,57.743202
WFC,2024-04-09 04:00:00+00:00,57.7,57.99,56.87,57.58,10645952.0,92119.0,57.390926
WFC,2024-04-10 04:00:00+00:00,56.79,57.295,56.42,56.94,16475238.0,138225.0,56.892386
WFC,2024-04-11 04:00:00+00:00,56.98,57.0,55.625,56.69,18995594.0,146258.0,56.579239
WFC,2024-04-12 04:00:00+00:00,55.97,57.0,55.34,56.47,27872536.0,194488.0,56.451268
WFC,2024-04-15 04:00:00+00:00,57.61,57.98,56.735,56.97,19407516.0,145543.0,57.253456
WFC,2024-04-16 04:00:00+00:00,56.9,56.96,55.66,56.41,25620002.0,167678.0,56.219425
WFC,2024-04-17 04:00:00+00:00,56.88,57.63,56.65,57.18,18867719.0,134127.0,57.111485
WFC,2024-04-18 04:00:00+00:00,57.625,59.13,57.22,58.74,24468521.0,179137.0,58.634102
WFC,2024-04-19 04:00:00+00:00,59.0,60.85,58.855,60.35,34334317.0,216946.0,60.25874
WFC,2024-04-22 04:00:00+00:00,60.4,61.485,60.34,61.1,21753384.0,154976.0,60.975376
WFC,2024-04-23 04:00:00+00:00,61.17,61.76,60.81,60.94,21731239.0,148628.0,61.179167
WFC,2024-04-24 04:00:00+00:00,60.6,60.95,60.05,60.6,19731585.0,147373.0,60.602382
WFC,2024-04-25 04:00:00+00:00,60.61,60.96,59.6,59.93,24002548.0,151047.0,60.091234
WFC,2024-04-26 04:00:00+00:00,59.78,60.43,59.375,59.91,18785900.0,124097.0,59.990677
WFC,2024-04-29 04:00:00+00:00,59.86,60.3,59.36,59.8,15343629.0,116525.0,59.954909
WFC,2024-04-30 04:00:00+00:00,59.6,59.99,59.3,59.32,18007721.0,116387.0,59.553511
WFC,2024-05-01 04:00:00+00:00,59.58,60.145,59.325,59.52,16366622.0,130908.0,59.660352
WFC,2024-05-02 04:00:00+00:00,60.12,60.15,59.32,59.83,15329457.0,114331.0,59.687253
WFC,2024-05-03 04:00:00+00:00,60.03,60.258,59.12,59.94,17298461.0,122166.0,59.892272
WFC,2024-05-06 04:00:00+00:00,60.47,60.878,59.835,60.19,16240271.0,124813.0,60.223789
WFC,2024-05-07 04:00:00+00:00,60.28,60.61,60.06,60.26,16268431.0,112525.0,60.30298
WFC,2024-05-08 04:00:00+00:00,60.15,61.43,60.095,61.23,18718415.0,130185.0,60.87633
WFC,2024-05-09 04:00:00+00:00,60.74,61.37,60.48,61.28,14224342.0,111410.0,61.167053
WFC,2024-05-10 04:00:00+00:00,61.46,61.97,61.46,61.89,14428171.0,98097.0,61.795787
WFC,2024-05-13 04:00:00+00:00,61.96,62.17,61.21,61.26,15203467.0,103366.0,61.595836
WFC,2024-05-14 04:00:00+00:00,61.56,61.985,61.02,61.89,14499616.0,124898.0,61.759188
WFC,2024-05-15 04:00:00+00:00,62.2,62.55,61.87,62.34,17489595.0,114911.0,62.1879
WFC,2024-05-16 04:00:00+00:00,62.45,62.475,60.965,61.06,21104094.0,147934.0,61.503679
WFC,2024-05-17 04:00:00+00:00,61.41,61.63,60.885,61.08,15795963.0,121881.0,61.128422
WFC,2024-05-20 04:00:00+00:00,60.975,61.79,60.59,60.7,15029013.0,114918.0,61.093378
WFC,2024-05-21 04:00:00+00:00,60.82,61.7,60.78,61.46,18422116.0,116525.0,61.438461
WFC,2024-05-22 04:00:00+00:00,61.3,61.45,60.51,60.93,10340465.0,77148.0,60.939395
WFC,2024-05-23 04:00:00+00:00,60.75,60.78,59.36,59.68,13056305.0,103970.0,59.855797
WFC,2024-05-24 04:00:00+00:00,60.04,60.39,59.87,60.21,9913040.0,69050.0,60.098822
WFC,2024-05-28 04:00:00+00:00,59.97,60.18,59.19,59.48,11276265.0,88054.0,59.548097
WFC,2024-05-29 04:00:00+00:00,58.865,58.94,58.42,58.75,12835045.0,92567.0,58.716015
WFC,2024-05-30 04:00:00+00:00,58.82,59.39,58.6,59.21,13584811.0,100142.0,59.095814
WFC,2024-05-31 04:00:00+00:00,59.27,59.99,58.97,59.92,25386837.0,95199.0,59.714768
WFC,2024-06-03 04:00:00+00:00,60.2,60.2,58.6,59.34,13206546.0,98493.0,59.250433
WFC,2024-06-04 04:00:00+00:00,58.82,59.4769,58.34,58.7,12520732.0,101325.0,58.73415
WFC,2024-06-05 04:00:00+00:00,58.86,58.92,58.125,58.68,11199140.0,85435.0,58.531843
WFC,2024-06-06 04:00:00+00:00,58.78,58.995,57.5,57.73,18587366.0,137975.0,57.977789
WFC,2024-06-07 04:00:00+00:00,57.57,58.68,57.57,58.36,14466845.0,100254.0,58.377431
WFC,2024-06-10 04:00:00+00:00,57.9,58.13,57.37,57.93,12793783.0,96745.0,57.844652
WFC,2024-06-11 04:00:00+00:00,57.75,57.75,56.51,57.13,19197807.0,143007.0,57.130871
WFC,2024-06-12 04:00:00+00:00,58.28,58.45,57.155,57.3,16929802.0,143079.0,57.55931
WFC,2024-06-13 04:00:00+00:00,57.45,57.62,56.69,57.27,15963716.0,114023.0,57.279196
WFC,2024-06-14 04:00:00+00:00,56.99,57.61,56.62,57.4,15375353.0,105740.0,57.246677
WFC,2024-06-17 04:00:00+00:00,57.205,58.245,57.07,58.24,18361139.0,119200.0,57.89522
WFC,2024-06-18 04:00:00+00:00,58.21,59.05,57.9,59.05,15547404.0,126270.0,58.859531
WFC,2024-06-20 04:00:00+00:00,58.74,59.2,58.59,58.96,11985694.0,102147.0,58.908574
WFC,2024-06-21 04:00:00+00:00,58.295,58.46,57.32,58.1,62733159.0,154813.0,58.075226
WFC,2024-06-24 04:00:00+00:00,58.49,59.46,58.27,59.01,16198325.0,111206.0,59.071082
WFC,2024-06-25 04:00:00+00:00,58.77,59.0,57.18,57.2,27490698.0,133619.0,57.652059
WFC,2024-06-26 04:00:00+00:00,57.22,57.8,56.8259,57.01,30425651.0,147976.0,57.106234
WFC,2024-06-27 04:00:00+00:00,56.41,57.47,56.33,57.42,13832248.0,110268.0,57.129493
WFC,2024-06-28 04:00:00+00:00,58.09,59.45,58.09,59.39,31026182.0,144685.0,59.178985
WFC,2024-07-01 04:00:00+00:00,59.61,60.61,59.57,60.59,14470399.0,110130.0,60.300506
WFC,2024-07-02 04:00:00+00:00,60.49,61.18,60.14,60.97,9543675.0,77459.0,60.695267
WFC,2024-07-03 04:00:00+00:00,61.0,61.14,60.16,60.66,6698813.0,57686.0,60.595012
WFC,2024-07-05 04:00:00+00:00,60.5,60.66,59.11,59.62,11436349.0,96726.0,59.588289
WFC,2024-07-08 04:00:00+00:00,59.97,60.405,58.66,59.01,12479998.0,98723.0,59.196511
WFC,2024-07-09 04:00:00+00:00,59.075,60.42,58.915,59.88,12238284.0,102050.0,59.767068
WFC,2024-07-10 04:00:00+00:00,59.54,59.99,59.375,59.72,12097212.0,103333.0,59.649571
WFC,2024-07-11 04:00:00+00:00,59.4,60.705,59.28,60.16,16852839.0,128295.0,60.155723
WFC,2024-07-12 04:00:00+00:00,56.2,56.92,55.6,56.54,53042761.0,374282.0,56.325665
WFC,2024-07-15 04:00:00+00:00,57.05,58.24,57.04,57.73,27277286.0,181587.0,57.760634
WFC,2024-07-16 04:00:00+00:00,58.04,60.62,57.525,60.24,25577337.0,173030.0,59.709164
WFC,2024-07-17 04:00:00+00:00,60.16,61.0,59.885,60.91,17371094.0,157862.0,60.706868
WFC,2024-07-18 04:00:00+00:00,60.62,60.82,58.99,59.24,17739015.0,117649.0,59.681343
WFC,2024-07-19 04:00:00+00:00,59.3,59.77,59.11,59.23,12362828.0,107168.0,59.327106
WFC,2024-07-22 04:00:00+00:00,59.26,59.39,58.54,59.14,13638599.0,88579.0,59.075174
WFC,2024-07-23 04:00:00+00:00,59.2,59.905,59.04,59.67,10927821.0,104422.0,59.625577
WFC,2024-07-24 04:00:00+00:00,59.77,60.21,59.37,59.44,10777076.0,82237.0,59.596006
WFC,2024-07-25 04:00:00+00:00,59.56,60.73,59.45,59.7,14119567.0,109109.0,60.107369
WFC,2024-07-26 04:00:00+00:00,59.85,60.45,59.57,60.39,12538935.0,97235.0,60.143855
WFC,2024-07-29 04:00:00+00:00,60.74,60.83,59.345,59.59,8986171.0,73839.0,59.67902
WFC,2024-07-30 04:00:00+00:00,60.46,60.73,59.885,60.01,11503929.0,92459.0,60.193834
WFC,2024-07-31 04:00:00+00:00,59.82,60.12,59.2,59.34,11535807.0,83925.0,59.62603
WFC,2024-08-01 04:00:00+00:00,59.26,59.34,56.515,56.88,17752743.0,139653.0,57.203172
WFC,2024-08-02 04:00:00+00:00,55.18,55.57,52.8,53.26,27642566.0,224940.0,53.394244
WFC,2024-08-05 04:00:00+00:00,51.3,52.4,50.15,52.12,28594008.0,212190.0,51.647975
WFC,2024-08-06 04:00:00+00:00,52.28,52.96,52.05,52.36,18723461.0,141907.0,52.62679
WFC,2024-08-07 04:00:00+00:00,53.15,53.49,52.15,52.29,18407499.0,136364.0,52.663224
WFC,2024-08-08 04:00:00+00:00,52.97,53.3182,52.65,52.76,16176021.0,98023.0,52.916342
WFC,2024-08-09 04:00:00+00:00,52.3,52.83,52.07,52.76,11668975.0,88576.0,52.63047
WFC,2024-08-12 04:00:00+00:00,52.91,53.47,51.675,52.06,18090061.0,113750.0,52.086927
WFC,2024-08-13 04:00:00+00:00,52.36,52.96,51.81,52.87,12268566.0,81752.0,52.589871
WFC,2024-08-14 04:00:00+00:00,53.03,53.775,52.72,53.66,13217178.0,85910.0,53.42058
WFC,2024-08-15 04:00:00+00:00,54.5,55.17,54.43,54.57,16549362.0,118174.0,54.736926
WFC,2024-08-16 04:00:00+00:00,54.78,55.43,54.61,55.33,19173886.0,95254.0,55.194476
WFC,2024-08-19 04:00:00+00:00,55.345,56.46,55.26,56.45,12792854.0,86049.0,56.169971
WFC,2024-08-20 04:00:00+00:00,56.03,56.72,55.92,56.15,12533548.0,92751.0,56.277274
WFC,2024-08-21 04:00:00+00:00,56.44,56.45,55.2,55.46,13691706.0,104825.0,55.504153
WFC,2024-08-22 04:00:00+00:00,55.7,56.37,55.66,55.96,15683045.0,102866.0,56.0281
WFC,2024-08-23 04:00:00+00:00,56.42,57.395,56.32,56.7,17074409.0,126954.0,56.804936
WFC,2024-08-26 04:00:00+00:00,57.02,57.15,56.535,56.72,9478780.0,83529.0,56.796027
WFC,2024-08-27 04:00:00+00:00,56.71,56.92,56.155,56.26,7638523.0,61391.0,56.375665
WFC,2024-08-28 04:00:00+00:00,56.06,57.36,56.03,57.07,11905210.0,105405.0,56.98626
WFC,2024-08-29 04:00:00+00:00,57.31,57.77,56.51,57.35,9283465.0,83814.0,57.373404
WFC,2024-08-30 04:00:00+00:00,57.45,58.58,57.38,58.47,20377255.0,104178.0,58.27491
WFC,2024-09-03 04:00:00+00:00,58.62,58.945,57.9,58.37,15933591.0,138587.0,58.453261
WFC,2024-09-04 04:00:00+00:00,58.49,59.0,57.72,58.12,10985827.0,100240.0,58.296122
WFC,2024-09-05 04:00:00+00:00,58.62,58.68,56.54,56.86,18301040.0,133363.0,56.967937
WFC,2024-09-06 04:00:00+00:00,56.68,56.78,53.69,54.0,21853782.0,175884.0,54.449112
WFC,2024-09-09 04:00:00+00:00,54.73,55.08,54.43,54.59,17134809.0,122253.0,54.697273
WFC,2024-09-10 04:00:00+00:00,56.0,56.1,53.38,53.95,24649976.0,207062.0,54.354238
WFC,2024-09-11 04:00:00+00:00,53.72,53.86,52.425,53.73,17322037.0,152769.0,53.296183
WFC,2024-09-12 04:00:00+00:00,53.73,54.34,50.22,51.57,42605419.0,296066.0,51.961219
WFC,2024-09-13 04:00:00+00:00,51.86,53.035,51.75,52.78,24762027.0,188691.0,52.563787
WFC,2024-09-16 04:00:00+00:00,52.81,53.93,52.81,53.79,18066190.0,131530.0,53.564267
WFC,2024-09-17 04:00:00+00:00,53.97,55.065,53.97,54.51,15885201.0,123493.0,54.634069
WFC,2024-09-18 04:00:00+00:00,54.46,55.19,54.1,54.26,20108994.0,158675.0,54.527547
WFC,2024-09-19 04:00:00+00:00,55.01,56.005,54.65,55.8,21399027.0,151464.0,55.712561
WFC,2024-09-20 04:00:00+00:00,55.35,56.29,54.875,56.29,45276002.0,127528.0,56.042467
WFC,2024-09-23 04:00:00+00:00,56.26,56.52,54.9,55.11,14759257.0,96983.0,55.257881
WFC,2024-09-24 04:00:00+00:00,55.12,55.19,53.79,54.16,16365645.0,105798.0,54.18337
WFC,2024-09-25 04:00:00+00:00,54.28,54.33,53.41,53.61,10555705.0,90368.0,53.680296
WFC,2024-09-26 04:00:00+00:00,54.035,57.11,53.315,56.39,34463426.0,283375.0,55.812343
WFC,2024-09-27 04:00:00+00:00,56.62,56.62,55.8,55.9,13530435.0,107983.0,56.109344
WFC,2024-09-30 04:00:00+00:00,55.66,56.515,55.48,56.49,16286042.0,98372.0,56.248595
WFC,2024-10-01 04:00:00+00:00,56.0,56.03,55.2,55.39,11069395.0,100715.0,55.565729
WFC,2024-10-02 04:00:00+00:00,55.33,55.814,54.92,55.3,9007156.0,82650.0,55.230221
WFC,2024-10-03 04:00:00+00:00,55.08,55.21,54.405,54.98,8135347.0,75532.0,54.872226
WFC,2024-10-04 04:00:00+00:00,55.99,57.125,55.98,56.96,14594449.0,122740.0,56.727906
WFC,2024-10-07 04:00:00+00:00,57.225,57.63,56.8,57.16,11177802.0,107693.0,57.185485
WFC,2024-10-08 04:00:00+00:00,58.28,58.28,57.27,57.3,12073043.0,97937.0,57.476774
WFC,2024-10-09 04:00:00+00:00,57.32,57.725,57.07,57.54,12415302.0,99723.0,57.425099
WFC,2024-10-10 04:00:00+00:00,57.72,58.39,57.35,57.75,12743970.0,123594.0,57.79622
WFC,2024-10-11 04:00:00+00:00,59.955,61.72,59.92,60.99,37049236.0,253606.0,61.076138
WFC,2024-10-14 04:00:00+00:00,61.27,63.35,60.94,62.16,30758849.0,217703.0,62.490481
WFC,2024-10-15 04:00:00+00:00,62.91,63.82,62.225,63.03,24693400.0,211805.0,63.157054
WFC,2024-10-16 04:00:00+00:00,63.235,64.08,63.12,63.89,17412649.0,141942.0,63.740981
WFC,2024-10-17 04:00:00+00:00,64.49,64.715,63.5,64.38,15073498.0,124792.0,64.458999
WFC,2024-10-18 04:00:00+00:00,64.41,64.78,63.825,64.36,19234041.0,115858.0,64.405781
WFC,2024-10-21 04:00:00+00:00,64.48,64.685,63.92,64.02,15603359.0,118830.0,64.205992
WFC,2024-10-22 04:00:00+00:00,64.02,65.2075,64.0,64.81,26164886.0,129252.0,64.815259
WFC,2024-10-23 04:00:00+00:00,64.77,65.05,63.86,64.56,18380876.0,136427.0,64.58434
WFC,2024-10-24 04:00:00+00:00,64.615,65.57,64.325,65.43,18393320.0,125285.0,65.11541
WFC,2024-10-25 04:00:00+00:00,65.845,65.95,64.245,64.53,14855494.0,127540.0,64.851854
WFC,2024-10-28 04:00:00+00:00,64.995,65.745,64.81,65.61,16158895.0,136001.0,65.513011
WFC,2024-10-29 04:00:00+00:00,65.49,66.0,65.24,65.3,13205453.0,102972.0,65.586326
WFC,2024-10-30 04:00:00+00:00,65.13,66.395,65.13,65.41,16021700.0,93593.0,65.638271
WFC,2024-10-31 04:00:00+00:00,65.1,65.75,64.625,64.92,12963150.0,93551.0,65.079505
WFC,2024-11-01 04:00:00+00:00,65.22,65.58,64.62,64.68,13313938.0,97944.0,64.960633
WFC,2024-11-04 05:00:00+00:00,64.56,64.65,63.05,63.7,12607419.0,112115.0,63.656939
WFC,2024-11-05 05:00:00+00:00,64.0,64.5,63.62,64.07,13447215.0,105459.0,63.956453
WFC,2024-11-06 05:00:00+00:00,73.3,74.27,69.95,72.47,63689141.0,479911.0,72.331074
