symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WMT,2024-03-13 04:00:00+00:00,61.26,61.455,60.88,61.28,15935187.0,132165.0,61.169069
WMT,2024-03-14 04:00:00+00:00,61.28,61.44,60.595,61.02,16584660.0,126413.0,60.978523
WMT,2024-03-15 04:00:00+00:00,60.68,61.15,60.46,60.68,50936329.0,121746.0,60.724377
WMT,2024-03-18 04:00:00+00:00,60.69,60.9,60.39,60.86,16801658.0,104719.0,60.752533
WMT,2024-03-19 04:00:00+00:00,60.97,61.07,60.6,60.87,12353624.0,80779.0,60.852787
WMT,2024-03-20 04:00:00+00:00,60.84,61.28,60.74,61.25,12007593.0,89128.0,61.117978
WMT,2024-03-21 04:00:00+00:00,61.28,61.655,61.05,61.45,14265872.0,99694.0,61.466445
WMT,2024-03-22 04:00:00+00:00,61.32,61.526,60.85,60.87,14029440.0,93206.0,61.082422
WMT,2024-03-25 04:00:00+00:00,60.87,60.985,60.36,60.57,14186627.0,105344.0,60.560521
WMT,2024-03-26 04:00:00+00:00,60.46,60.83,60.23,60.51,13738342.0,96122.0,60.608341
WMT,2024-03-27 04:00:00+00:00,60.87,61.05,60.38,60.72,14363410.0,97799.0,60.650428
WMT,2024-03-28 04:00:00+00:00,60.66,60.77,60.16,60.17,17535100.0,112843.0,60.348658
WMT,2024-04-01 04:00:00+00:00,60.31,60.76,59.93,60.0,13837599.0,118439.0,60.208887
WMT,2024-04-02 04:00:00+00:00,59.9,60.1,58.88,59.16,19510121.0,141407.0,59.194448
WMT,2024-04-03 04:00:00+00:00,59.38,59.5,58.94,59.43,14615103.0,110362.0,59.260628
WMT,2024-04-04 04:00:00+00:00,59.54,59.81,59.29,59.5,14436126.0,117293.0,59.530665
WMT,2024-04-05 04:00:00+00:00,59.55,60.04,59.49,59.85,10335909.0,92342.0,59.794577
WMT,2024-04-08 04:00:00+00:00,59.6,60.04,59.42,59.78,11070120.0,98837.0,59.804573
WMT,2024-04-09 04:00:00+00:00,59.87,59.97,59.3,59.79,10015922.0,92178.0,59.703472
WMT,2024-04-10 04:00:00+00:00,59.62,60.76,59.39,60.62,15097558.0,128212.0,60.394147
WMT,2024-04-11 04:00:00+00:00,60.75,60.89,60.07,60.09,10987600.0,100272.0,60.253187
WMT,2024-04-12 04:00:00+00:00,60.0,60.72,59.95,60.14,12279920.0,105411.0,60.28499
WMT,2024-04-15 04:00:00+00:00,60.51,60.7,59.91,59.93,10557182.0,97481.0,60.14015
WMT,2024-04-16 04:00:00+00:00,60.03,60.29,59.78,59.84,14726259.0,114142.0,59.960735
WMT,2024-04-17 04:00:00+00:00,60.15,60.43,59.57,59.65,15329693.0,132703.0,59.889471
WMT,2024-04-18 04:00:00+00:00,59.83,59.935,59.22,59.26,12061538.0,99284.0,59.40225
WMT,2024-04-19 04:00:00+00:00,59.45,59.67,58.97,59.53,14165797.0,100844.0,59.406556
WMT,2024-04-22 04:00:00+00:00,59.56,60.395,59.04,60.14,14909983.0,118398.0,59.8875
WMT,2024-04-23 04:00:00+00:00,60.25,60.35,58.555,59.09,17963945.0,147479.0,59.066893
WMT,2024-04-24 04:00:00+00:00,58.975,60.04,58.81,59.87,18529138.0,121611.0,59.679761
WMT,2024-04-25 04:00:00+00:00,60.05,60.53,59.8325,60.21,19262954.0,125589.0,60.209412
WMT,2024-04-26 04:00:00+00:00,60.11,60.39,60.0,60.16,11045224.0,91861.0,60.180712
WMT,2024-04-29 04:00:00+00:00,60.18,60.39,59.94,60.24,9788575.0,89263.0,60.149776
WMT,2024-04-30 04:00:00+00:00,60.2,60.3,59.16,59.35,14209155.0,109143.0,59.390388
WMT,2024-05-01 04:00:00+00:00,59.31,59.41,58.72,58.85,15470975.0,115634.0,59.015639
WMT,2024-05-02 04:00:00+00:00,58.94,59.885,58.58,59.71,17574115.0,111330.0,59.581294
WMT,2024-05-03 04:00:00+00:00,59.62,59.98,59.14,59.82,14207397.0,104429.0,59.690444
WMT,2024-05-06 04:00:00+00:00,60.0,60.0,59.39,59.87,11119402.0,103165.0,59.71081
WMT,2024-05-07 04:00:00+00:00,60.17,60.8,60.05,60.62,14520240.0,111647.0,60.538784
WMT,2024-05-08 04:00:00+00:00,60.63,60.845,60.22,60.3,11015695.0,96265.0,60.477693
WMT,2024-05-09 04:00:00+00:00,60.2,60.5799,59.95,60.44,14550463.0,101471.0,60.377698
WMT,2024-05-10 04:00:00+00:00,60.41,60.58,60.16,60.48,12356612.0,104416.0,60.4198
WMT,2024-05-13 04:00:00+00:00,60.62,61.345,60.29,60.41,19260522.0,151062.0,60.690578
WMT,2024-05-14 04:00:00+00:00,60.52,60.55,59.435,59.86,18780139.0,139395.0,59.837775
WMT,2024-05-15 04:00:00+00:00,59.83,59.94,59.47,59.83,22240558.0,166153.0,59.720975
WMT,2024-05-16 04:00:00+00:00,64.22,64.415,62.94,64.01,60545613.0,375208.0,63.775537
WMT,2024-05-17 04:00:00+00:00,64.24,64.88,63.63,64.65,29330381.0,198856.0,64.519899
WMT,2024-05-20 04:00:00+00:00,64.42,64.76,63.87,64.18,15001391.0,113271.0,64.284879
WMT,2024-05-21 04:00:00+00:00,64.53,65.19,64.45,65.15,17131691.0,121932.0,64.955299
WMT,2024-05-22 04:00:00+00:00,64.98,65.69,64.73,65.25,14879434.0,110319.0,65.30922
WMT,2024-05-23 04:00:00+00:00,65.17,65.515,64.56,64.84,16222946.0,124409.0,64.978795
WMT,2024-05-24 04:00:00+00:00,65.13,65.69,65.01,65.38,11795024.0,92249.0,65.364029
WMT,2024-05-28 04:00:00+00:00,65.22,65.47,64.74,65.04,13349619.0,118109.0,65.018398
WMT,2024-05-29 04:00:00+00:00,64.75,65.21,64.65,64.92,11538552.0,101100.0,64.976799
WMT,2024-05-30 04:00:00+00:00,64.93,65.1711,64.77,64.89,13053481.0,102015.0,64.930455
WMT,2024-05-31 04:00:00+00:00,64.67,65.9,64.16,65.76,27632223.0,141732.0,65.250509
WMT,2024-06-03 04:00:00+00:00,65.51,65.84,65.1603,65.82,11578709.0,107154.0,65.575996
