symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMD,2024-03-12 16:00:00+00:00,200.2797,201.51,197.98,198.85,7448994.0,73914.0,200.099834
AMD,2024-03-12 17:00:00+00:00,198.82,201.39,198.8,201.0195,6304583.0,59413.0,200.355005
AMD,2024-03-12 18:00:00+00:00,201.0261,201.97,200.17,201.02,5439802.0,57385.0,201.228349
AMD,2024-03-12 19:00:00+00:00,201.03,202.8499,200.41,202.73,7825258.0,87433.0,201.912403
AMD,2024-03-12 20:00:00+00:00,202.73,203.45,202.45,203.4453,3493668.0,4203.0,202.780011
AMD,2024-03-12 21:00:00+00:00,203.46,204.09,202.76,203.9,126550.0,1866.0,203.558348
AMD,2024-03-12 22:00:00+00:00,203.78,204.25,203.6,204.2,104457.0,1434.0,203.892718
AMD,2024-03-12 23:00:00+00:00,204.17,204.5,204.1,204.39,97168.0,1505.0,204.299404
AMD,2024-03-13 08:00:00+00:00,204.85,205.0,201.98,202.58,80693.0,2158.0,203.109195
AMD,2024-03-13 09:00:00+00:00,202.5,203.25,202.0,202.76,29524.0,791.0,202.658376
AMD,2024-03-13 10:00:00+00:00,202.81,203.5,202.11,203.39,31924.0,688.0,202.878576
AMD,2024-03-13 11:00:00+00:00,203.41,203.7,202.4,202.53,154838.0,2367.0,203.088876
AMD,2024-03-13 12:00:00+00:00,202.85,205.43,199.38,200.1,587299.0,10629.0,201.134595
AMD,2024-03-13 13:00:00+00:00,200.16,200.2999,193.56,194.845,13917339.0,151299.0,195.847903
AMD,2024-03-13 14:00:00+00:00,194.8521,195.8594,192.7001,194.4899,15092676.0,157617.0,194.290812
AMD,2024-03-13 15:00:00+00:00,194.51,196.2,193.45,194.735,8950405.0,93172.0,194.711251
AMD,2024-03-13 16:00:00+00:00,194.71,195.43,194.181,195.02,6079669.0,59054.0,194.887054
AMD,2024-03-13 17:00:00+00:00,195.008,196.804,194.92,195.6655,6610352.0,62960.0,195.836971
AMD,2024-03-13 18:00:00+00:00,195.65,196.42,194.56,195.995,5328157.0,53557.0,195.612577
AMD,2024-03-13 19:00:00+00:00,195.982,196.797,194.41,194.76,8590259.0,99943.0,195.426683
AMD,2024-03-13 20:00:00+00:00,194.79,194.91,193.79,194.19,3809589.0,3833.0,194.760062
AMD,2024-03-13 21:00:00+00:00,194.19,194.79,193.3337,193.6703,1111758.0,1958.0,193.910247
AMD,2024-03-13 22:00:00+00:00,193.6708,194.25,193.6708,194.08,64411.0,1054.0,194.045394
AMD,2024-03-13 23:00:00+00:00,194.09,194.49,193.99,194.27,65671.0,1180.0,194.214156
AMD,2024-03-14 08:00:00+00:00,195.07,195.62,194.47,195.0,30175.0,979.0,195.140115
AMD,2024-03-14 09:00:00+00:00,195.07,195.44,194.99,195.11,11177.0,312.0,195.248667
AMD,2024-03-14 10:00:00+00:00,195.27,195.3,194.33,194.33,20977.0,615.0,194.813211
AMD,2024-03-14 11:00:00+00:00,194.5,194.76,193.51,193.89,106514.0,2158.0,194.112582
AMD,2024-03-14 12:00:00+00:00,194.55,195.456,191.8,193.23,436652.0,8038.0,193.296426
AMD,2024-03-14 13:00:00+00:00,193.23,196.93,190.89,191.7548,10779210.0,103803.0,194.043892
AMD,2024-03-14 14:00:00+00:00,191.75,195.07,190.36,193.609,12487281.0,114425.0,193.323019
AMD,2024-03-14 15:00:00+00:00,193.61,194.1849,191.54,192.5123,7197729.0,67803.0,192.62811
AMD,2024-03-14 16:00:00+00:00,192.48,192.82,190.41,190.77,6462783.0,65013.0,191.486519
AMD,2024-03-14 17:00:00+00:00,190.75,190.98,186.24,188.28,14807715.0,134227.0,188.356751
