symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2024-03-12 16:00:00+00:00,908.43,908.79,894.56,895.01,6712471.0,130117.0,901.709916
NVDA,2024-03-12 17:00:00+00:00,895.15,903.6104,890.4232,899.5791,6490179.0,117303.0,898.062074
NVDA,2024-03-12 18:00:00+00:00,899.5477,906.49,899.0001,904.52,5327808.0,96649.0,903.241001
NVDA,2024-03-12 19:00:00+00:00,904.4481,919.6,901.9501,919.38,8196910.0,159895.0,909.939332
NVDA,2024-03-12 20:00:00+00:00,919.13,927.88,902.8135,926.33,3759653.0,27970.0,920.004484
NVDA,2024-03-12 21:00:00+00:00,926.25,927.0,919.13,926.5,319885.0,12938.0,925.502526
NVDA,2024-03-12 22:00:00+00:00,926.36,929.98,926.0,929.71,282318.0,9455.0,928.454808
NVDA,2024-03-12 23:00:00+00:00,929.77,932.32,929.0,931.18,310252.0,10245.0,930.935761
NVDA,2024-03-13 08:00:00+00:00,936.0,936.34,920.58,927.0,300505.0,11952.0,929.404505
NVDA,2024-03-13 09:00:00+00:00,926.01,929.2,925.45,927.75,76433.0,3037.0,927.672254
NVDA,2024-03-13 10:00:00+00:00,928.0,928.45,921.64,926.5,112018.0,4132.0,924.47095
NVDA,2024-03-13 11:00:00+00:00,926.4,931.67,926.0,928.19,356684.0,11353.0,929.315497
NVDA,2024-03-13 12:00:00+00:00,928.63,938.0,904.76,909.95,1491107.0,49231.0,916.935821
NVDA,2024-03-13 13:00:00+00:00,909.8,914.7768,884.8,889.485,12883229.0,267930.0,897.480368
NVDA,2024-03-13 14:00:00+00:00,889.49,900.48,884.35,894.32,11555812.0,268260.0,892.25183
NVDA,2024-03-13 15:00:00+00:00,894.37,898.82,886.19,893.09,6875742.0,168276.0,892.118409
NVDA,2024-03-13 16:00:00+00:00,893.2379,894.1999,887.5,893.25,4541076.0,95435.0,891.375667
NVDA,2024-03-13 17:00:00+00:00,893.2098,907.7,893.05,903.3684,7259722.0,127574.0,901.516664
NVDA,2024-03-13 18:00:00+00:00,903.27,908.77,898.3,905.2281,5393745.0,93798.0,904.222652
NVDA,2024-03-13 19:00:00+00:00,905.02,915.04,903.1375,909.26,9493341.0,164602.0,908.543949
NVDA,2024-03-13 20:00:00+00:00,909.25,912.0,903.58,906.16,2606419.0,9762.0,908.770297
NVDA,2024-03-13 21:00:00+00:00,906.4,908.88,898.22,901.15,254220.0,7587.0,902.12403
NVDA,2024-03-13 22:00:00+00:00,900.8,905.74,900.8,903.9,159276.0,5252.0,903.35828
NVDA,2024-03-13 23:00:00+00:00,903.85,908.0,903.56,905.0,186229.0,5327.0,905.837148
NVDA,2024-03-14 08:00:00+00:00,907.0,909.3,902.0,902.6,66112.0,3474.0,905.744725
NVDA,2024-03-14 09:00:00+00:00,902.95,906.0,902.95,905.2,25751.0,1226.0,903.84926
NVDA,2024-03-14 10:00:00+00:00,905.5,906.2,898.1,900.04,80857.0,3726.0,901.241732
NVDA,2024-03-14 11:00:00+00:00,901.0,906.0,890.33,894.0,449227.0,15388.0,896.315842
NVDA,2024-03-14 12:00:00+00:00,894.0,909.9,889.02,894.0,852662.0,28850.0,894.539383
NVDA,2024-03-14 13:00:00+00:00,893.88,906.46,875.35,880.8,10508658.0,214399.0,890.15699
NVDA,2024-03-14 14:00:00+00:00,880.835,889.71,874.56,882.9631,9553435.0,240980.0,883.742426
NVDA,2024-03-14 15:00:00+00:00,883.0,886.2,875.16,877.155,6416485.0,154520.0,879.932588
