symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XOM,2024-03-12 16:00:00+00:00,108.545,108.58,108.18,108.22,1514999.0,18613.0,108.384165
XOM,2024-03-12 17:00:00+00:00,108.225,108.42,108.025,108.38,1290235.0,14840.0,108.249201
XOM,2024-03-12 18:00:00+00:00,108.375,108.76,108.13,108.63,1379017.0,17678.0,108.437025
XOM,2024-03-12 19:00:00+00:00,108.62,108.91,108.29,108.31,3823597.0,33136.0,108.624738
XOM,2024-03-12 20:00:00+00:00,108.31,108.5833,108.29,108.36,2009639.0,137.0,108.320936
XOM,2024-03-12 21:00:00+00:00,108.34,108.36,108.32,108.36,1073.0,12.0,108.332812
XOM,2024-03-12 22:00:00+00:00,108.36,108.45,108.33,108.41,7796.0,17.0,108.392722
XOM,2024-03-12 23:00:00+00:00,108.41,108.84,108.41,108.5,1666.0,17.0,108.519566
XOM,2024-03-13 08:00:00+00:00,108.59,108.59,108.59,108.59,176.0,7.0,108.59
XOM,2024-03-13 09:00:00+00:00,108.51,108.51,108.51,108.51,200.0,4.0,108.51
XOM,2024-03-13 10:00:00+00:00,108.6,108.75,108.52,108.75,3303.0,75.0,108.578947
XOM,2024-03-13 11:00:00+00:00,108.75,108.85,108.75,108.8,1846.0,35.0,108.803867
XOM,2024-03-13 12:00:00+00:00,108.8,109.15,108.6,109.15,11185.0,237.0,108.956683
XOM,2024-03-13 13:00:00+00:00,109.18,109.88,109.05,109.66,2324768.0,24596.0,109.665265
XOM,2024-03-13 14:00:00+00:00,109.66,109.836,109.1101,109.385,2298315.0,27238.0,109.393682
XOM,2024-03-13 15:00:00+00:00,109.37,109.91,109.345,109.725,1668450.0,19180.0,109.692561
XOM,2024-03-13 16:00:00+00:00,109.725,109.98,109.68,109.81,1364395.0,16489.0,109.830439
XOM,2024-03-13 17:00:00+00:00,109.801,110.2,109.745,110.1489,1739806.0,18392.0,109.975205
XOM,2024-03-13 18:00:00+00:00,110.135,110.35,109.75,109.7999,1410212.0,18294.0,110.096556
XOM,2024-03-13 19:00:00+00:00,109.7988,109.92,109.465,109.535,3701338.0,35940.0,109.676108
XOM,2024-03-13 20:00:00+00:00,109.54,109.68,109.2562,109.57,2495030.0,188.0,109.529224
