symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BKNG,2024-03-13 13:30:00+00:00,3500.0,3500.0,3489.51,3489.51,3245.0,139.0,3499.27322
BKNG,2024-03-13 13:35:00+00:00,3486.02,3486.02,3486.02,3486.02,1187.0,155.0,3486.02
BKNG,2024-03-13 13:36:00+00:00,3482.23,3482.23,3482.23,3482.23,484.0,70.0,3482.23
BKNG,2024-03-13 13:42:00+00:00,3501.86,3504.98,3500.0,3500.0,3931.0,239.0,3501.510744
BKNG,2024-03-13 13:43:00+00:00,3497.83,3497.83,3497.83,3497.83,1431.0,99.0,3497.83
BKNG,2024-03-13 13:48:00+00:00,3494.14,3494.14,3494.14,3494.14,385.0,37.0,3494.14
BKNG,2024-03-13 13:51:00+00:00,3498.31,3498.31,3498.31,3498.31,502.0,68.0,3498.31
BKNG,2024-03-13 13:52:00+00:00,3504.99,3504.99,3500.62,3500.62,305.0,44.0,3502.805
BKNG,2024-03-13 13:53:00+00:00,3505.0,3505.0,3505.0,3505.0,372.0,53.0,3505.0
BKNG,2024-03-13 13:56:00+00:00,3507.69,3508.85,3507.69,3508.49,556.0,57.0,3508.365924
BKNG,2024-03-13 13:57:00+00:00,3509.0,3515.93,3508.56,3515.93,1038.0,105.0,3510.432671
BKNG,2024-03-13 13:58:00+00:00,3515.4,3515.4,3515.4,3515.4,190.0,29.0,3515.4
BKNG,2024-03-13 14:00:00+00:00,3508.3,3508.3,3502.78,3503.1625,1320.0,79.0,3504.8485
BKNG,2024-03-13 14:01:00+00:00,3506.315,3506.93,3506.315,3506.93,945.0,91.0,3506.6225
BKNG,2024-03-13 14:02:00+00:00,3509.41,3509.41,3506.21,3506.21,943.0,78.0,3507.368
BKNG,2024-03-13 14:03:00+00:00,3512.38,3512.38,3509.23,3509.23,1771.0,111.0,3510.0275
BKNG,2024-03-13 14:04:00+00:00,3506.01,3506.01,3503.68,3503.7,20681.0,84.0,3504.107051
BKNG,2024-03-13 14:07:00+00:00,3499.17,3499.17,3499.17,3499.17,654.0,64.0,3499.17
BKNG,2024-03-13 14:08:00+00:00,3502.53,3502.53,3502.53,3502.53,224.0,18.0,3502.53
BKNG,2024-03-13 14:09:00+00:00,3501.43,3501.43,3501.43,3501.43,390.0,24.0,3501.43
BKNG,2024-03-13 14:14:00+00:00,3500.815,3500.865,3500.815,3500.865,751.0,63.0,3500.831667
BKNG,2024-03-13 14:17:00+00:00,3500.48,3500.48,3500.48,3500.48,844.0,85.0,3500.48
BKNG,2024-03-13 14:18:00+00:00,3500.48,3500.48,3500.48,3500.48,747.0,65.0,3500.48
BKNG,2024-03-13 14:30:00+00:00,3496.67,3496.67,3496.67,3496.67,1468.0,143.0,3496.67
BKNG,2024-03-13 14:33:00+00:00,3500.0,3500.0,3500.0,3500.0,749.0,57.0,3500.0
BKNG,2024-03-13 14:34:00+00:00,3500.0,3500.06,3500.0,3500.06,807.0,63.0,3500.010084
BKNG,2024-03-13 14:38:00+00:00,3500.0,3500.0,3499.8904,3500.0,1104.0,80.0,3499.97808
BKNG,2024-03-13 14:40:00+00:00,3497.9,3500.0,3497.9,3500.0,846.0,79.0,3498.98
BKNG,2024-03-13 14:45:00+00:00,3507.575,3507.575,3507.575,3507.575,531.0,59.0,3507.575
BKNG,2024-03-13 14:46:00+00:00,3508.575,3508.58,3508.575,3508.58,959.0,45.0,3508.578214
BKNG,2024-03-13 14:51:00+00:00,3508.52,3508.52,3506.8,3506.8,735.0,54.0,3507.66
BKNG,2024-03-13 14:53:00+00:00,3512.01,3512.01,3512.01,3512.01,513.0,55.0,3512.01
BKNG,2024-03-13 14:56:00+00:00,3508.01,3508.01,3504.55,3504.55,1312.0,82.0,3505.852061
BKNG,2024-03-13 14:59:00+00:00,3511.83,3511.83,3511.83,3511.83,436.0,54.0,3511.83
BKNG,2024-03-13 15:03:00+00:00,3508.43,3508.43,3508.43,3508.43,401.0,38.0,3508.43
BKNG,2024-03-13 15:05:00+00:00,3515.48,3515.48,3513.62,3513.62,561.0,45.0,3514.55
BKNG,2024-03-13 15:08:00+00:00,3513.295,3513.295,3513.295,3513.295,132.0,15.0,3513.295
BKNG,2024-03-13 15:11:00+00:00,3516.78,3516.78,3516.78,3516.78,191.0,30.0,3516.78
BKNG,2024-03-13 15:12:00+00:00,3513.985,3513.985,3513.985,3513.985,294.0,43.0,3513.985
BKNG,2024-03-13 15:13:00+00:00,3515.99,3519.72,3515.99,3519.72,1241.0,86.0,3518.305
BKNG,2024-03-13 15:14:00+00:00,3517.73,3517.73,3516.42,3516.43,963.0,77.0,3516.75
BKNG,2024-03-13 15:17:00+00:00,3514.95,3514.95,3511.51,3511.51,752.0,76.0,3513.23
BKNG,2024-03-13 15:18:00+00:00,3509.53,3509.95,3508.26,3509.0,578.0,66.0,3509.185
BKNG,2024-03-13 15:19:00+00:00,3509.3,3509.3,3509.3,3509.3,417.0,28.0,3509.3
BKNG,2024-03-13 15:20:00+00:00,3505.365,3505.365,3504.845,3504.845,1012.0,55.0,3505.050125
BKNG,2024-03-13 15:21:00+00:00,3504.93,3505.19,3501.6,3502.86,3394.0,172.0,3503.291749
BKNG,2024-03-13 15:24:00+00:00,3500.55,3502.355,3500.55,3502.355,596.0,64.0,3501.4525
BKNG,2024-03-13 15:27:00+00:00,3499.56,3499.56,3499.56,3499.56,258.0,29.0,3499.56
BKNG,2024-03-13 15:29:00+00:00,3500.575,3500.63,3500.001,3500.63,1124.0,140.0,3500.227554
BKNG,2024-03-13 15:30:00+00:00,3502.6,3502.6,3500.71,3500.71,690.0,67.0,3501.34
BKNG,2024-03-13 15:31:00+00:00,3502.27,3502.27,3502.05,3502.05,509.0,50.0,3502.16
BKNG,2024-03-13 15:34:00+00:00,3500.56,3501.16,3500.56,3501.16,478.0,62.0,3500.789885
BKNG,2024-03-13 15:36:00+00:00,3502.5,3502.5,3502.5,3502.5,274.0,24.0,3502.5
BKNG,2024-03-13 15:37:00+00:00,3502.45,3502.45,3502.45,3502.45,280.0,38.0,3502.45
BKNG,2024-03-13 15:38:00+00:00,3503.515,3503.515,3503.515,3503.515,257.0,41.0,3503.515
BKNG,2024-03-13 15:43:00+00:00,3498.0,3498.0,3498.0,3498.0,403.0,59.0,3498.0
BKNG,2024-03-13 15:49:00+00:00,3502.82,3502.82,3502.82,3502.82,442.0,44.0,3502.82
BKNG,2024-03-13 15:54:00+00:00,3502.135,3502.145,3502.135,3502.145,1041.0,75.0,3502.14
BKNG,2024-03-13 15:55:00+00:00,3502.145,3502.145,3500.14,3500.14,668.0,37.0,3501.64375
BKNG,2024-03-13 15:58:00+00:00,3499.15,3500.53,3499.15,3500.53,925.0,83.0,3500.07
BKNG,2024-03-13 16:06:00+00:00,3501.66,3501.66,3498.05,3498.05,1140.0,94.0,3498.841667
BKNG,2024-03-13 16:09:00+00:00,3498.13,3498.13,3498.13,3498.13,493.0,27.0,3498.13
BKNG,2024-03-13 16:11:00+00:00,3497.695,3497.695,3497.695,3497.695,365.0,44.0,3497.695
